secs,km,power,hr,cad,alt
0,0,,60,,92.2
1,0.00057,,63,,91.4
2,0.00231,,63,,91.2
3,0.00521,,64,,90.2
4,0.00845,,66,,90.8
5,0.01176,,69,,90.8
6,0.01544,,70,,90.8
7,0.01902,,72,,90.8
8,0.0228,,74,,91
9,0.02641,,76,,91
10,0.0299,,78,,91.2
11,0.0336,,79,,91.2
12,0.0372,,82,,91.2
13,0.04095,,83,,91.4
14,0.04472,,85,,91.4
15,0.04818,,87,,91.6
16,0.05162,,88,,91.8
17,0.05519,,90,,91.6
18,0.05877,,91,,91.4
19,0.0624,,92,,91.4
20,0.06595,,94,,91.2
21,0.06927,,96,,91.2
22,0.07226,,98,,91.2
23,0.07522,,100,,91.2
24,0.07878,,102,,91.4
25,0.08213,,104,,91.4
26,0.0856,,106,,91.4
27,0.08912,,106,,91.6
28,0.09268,,108,,92.2
29,0.09639,,109,,92.8
30,0.09978,,110,,92.6
31,0.1031,,111,,92.8
32,0.10647,,112,,93
33,0.10984,,113,,93
34,0.11344,,114,,93
35,0.11654,,116,,92.6
36,0.11995,,116,,92.4
37,0.12339,,117,,92.8
38,0.12649,,118,,93.2
39,0.13,,119,,93.2
40,0.13334,,119,,93
41,0.13675,,120,,93.2
42,0.14031,,121,,93.8
43,0.14374,,122,,94.2
44,0.14732,,122,,94.4
45,0.15079,,123,,94
46,0.15412,,123,,94.2
47,0.15742,,124,,94.4
48,0.16002,,124,,94.2
49,0.16321,,124,,94
50,0.16647,,124,,93.8
51,0.1698,,124,,93.8
52,0.17346,,124,,94
53,0.17698,,124,,94
54,0.18064,,124,,94
55,0.18378,,124,,94.2
56,0.18705,,124,,94.2
57,0.19056,,124,,94.6
58,0.19395,,124,,94.8
59,0.1977,,125,,94.8
60,0.20121,,125,,94.6
61,0.2047,,125,,94.8
62,0.20839,,125,,94.8
63,0.21159,,126,,94.6
64,0.21513,,126,,94.4
65,0.21875,,127,,94.2
66,0.22163,,128,,94.6
67,0.22511,,128,,94.6
68,0.22807,,129,,94.6
69,0.23103,,130,,95
70,0.2342,,130,,95.4
71,0.23716,,131,,95.8
72,0.24038,,132,,96
73,0.24355,,133,,96.2
74,0.24683,,134,,96.2
75,0.2501,,135,,96.2
76,0.25329,,136,,96.2
77,0.25672,,136,,96.2
78,0.25943,,137,,96
79,0.26296,,138,,96.2
80,0.26656,,139,,96.2
81,0.26961,,139,,96.2
82,0.27326,,140,,96.4
83,0.27702,,140,,96.2
84,0.28032,,141,,96.4
85,0.28404,,141,,96.8
86,0.28812,,141,,96.8
87,0.29193,,141,,96.8
88,0.29581,,141,,96.6
89,0.29897,,141,,96.6
90,0.30227,,142,,96.8
91,0.3054,,142,,96.6
92,0.30872,,142,,96.4
93,0.31179,,142,,96.4
94,0.31458,,142,,96.6
95,0.31774,,142,,96.6
96,0.32059,,142,,96.8
97,0.32346,,143,,96.8
98,0.32678,,143,,97.2
99,0.32976,,143,,97.6
100,0.33244,,143,,98
101,0.33541,,143,,98.4
102,0.33851,,143,,98.6
103,0.34173,,143,,99
104,0.3451,,143,,99.2
105,0.34806,,143,,99.4
106,0.35066,,143,,99.6
107,0.35389,,143,,99.6
108,0.35726,,143,,99.8
109,0.36059,,143,,100.2
110,0.3636,,144,,100.2
111,0.36588,,144,,100.2
112,0.36809,,144,,100.4
113,0.3707,,144,,100.6
114,0.37384,,144,,101
115,0.37737,,144,,101.4
116,0.38064,,144,,101.6
117,0.3837,,144,,101.8
118,0.38635,,145,,102
119,0.38969,,145,,102.2
120,0.39323,,145,,102.6
121,0.39576,,145,,103.2
122,0.39829,,145,,103
123,0.40033,,145,,102.8
124,0.40177,,146,,102.6
125,0.40401,,146,,103
126,0.40706,,145,,103.6
127,0.41079,,146,,103.4
128,0.4143,,146,,103.2
129,0.41781,,146,,103.4
130,0.42172,,146,,104
131,0.42579,,147,,104.6
132,0.4291,,147,,104.6
133,0.43202,,147,,104.6
134,0.43509,,147,,104.8
135,0.43864,,147,,105.4
136,0.44197,,147,,105.6
