secs,km,power,hr,cad,alt
0,0,,93,,341.2
3,0.00097,,98,,341.2
5,0.0049,,96,,341
11,0.01288,,98,,340.4
13,0.01462,,104,,340.4
22,0.03199,,111,,340.8
32,0.04853,,111,,341
37,0.0576,,106,,341.4
53,0.08349,,109,,341.8
70,0.10757,,107,,342.4
85,0.13444,,116,,343.6
96,0.14958,,114,,343
107,0.16787,,110,,342.6
127,0.19067,,107,,343
143,0.21959,,111,,343.6
160,0.2509,,129,,343.6
181,0.31355,,140,,343.6
198,0.36209,,149,,343.6
216,0.41233,,155,,343.6
238,0.47918,,158,,343.6
259,0.53816,,159,,343.6
279,0.58977,,143,,343.6
294,0.62583,,149,,343.6
318,0.68594,,147,,343.6
336,0.73068,,154,,343.6
357,0.79284,,163,,343.6
375,0.85352,,166,,343.6
387,0.89126,,165,,343.6
391,0.9004,,164,,343.6
408,0.93906,,165,,343.6
419,0.96801,,163,,343.6
433,1.00205,,162,,343.6
441,1.02245,,152,,343.6
464,1.08543,,155,,343.6
487,1.14354,,156,,343.6
513,1.21221,,158,,343.6
538,1.27754,,155,,343.6
564,1.35086,,163,,343.6
578,1.39634,,167,,343.6
601,1.47669,,172,,343.6
625,1.56277,,173,,343.6
643,1.62775,,174,,343.6
664,1.70487,,172,,343.6
686,1.77946,,173,,343.6
712,1.8704,,169,,343.6
733,1.94451,,173,,343.6
751,2.00906,,178,,343.6
776,2.09394,,181,,343.6
800,2.17625,,178,,343.6
820,2.24679,,175,,343.6
845,2.33714,,176,,343.6
869,2.42422,,172,,343.6
891,2.50422,,175,,343.6
907,2.5594,,175,,415.6
916,2.57653,,169,,416.4
928,2.59947,,162,,418.2
941,2.61892,,154,,420.2
956,2.64082,,150,,422.8
966,2.64964,,152,,424.8
973,2.65329,,153,,426.6
982,2.6625,,150,,428.6
994,2.67998,,151,,430.8
1005,2.69746,,145,,431.4
1014,2.71487,,136,,430.4
1023,2.72929,,130,,428.2
1032,2.74454,,145,,425
1043,2.77812,,151,,425.6
1061,2.83587,,156,,426
1076,2.8972,,158,,424.8
1091,2.94564,,166,,424.8
1101,2.96964,,166,,426.2
1112,2.9864,,164,,425.8
1125,3.03022,,167,,427.6
1136,3.06265,,172,,429.6
1145,3.09977,,173,,427.2
1161,3.14156,,170,,425.2
1171,3.1687,,172,,424.8
1179,3.20023,,172,,424.4
1193,3.25648,,172,,424.6
1216,3.30367,,171,,423.8
1236,3.37404,,169,,423.4
1251,3.41745,,162,,422.2
1263,3.46134,,162,,419
1278,3.49175,,159,,418.4
1297,3.54778,,159,,416.4
1312,3.60062,,160,,413.8
1317,3.62009,,159,,412.6
1321,3.63813,,160,,411.6
1325,3.6556,,163,,410.6
1331,3.67807,,167,,408
1334,3.68909,,168,,406.8
1355,3.75274,,167,,404.4
1366,3.78881,,169,,401.2
1376,3.81789,,163,,399.4
1378,3.82398,,164,,398.8
1386,3.84894,,162,,397.4
1394,3.87253,,158,,394.8
1409,3.91599,,162,,391
1420,3.96334,,165,,387.4
1433,4.00517,,163,,385.8
1443,4.04102,,166,,382.8
1455,4.08886,,163,,381.4
1471,4.1372,,168,,378.2
1480,4.16265,,164,,375.6
1493,4.17649,,161,,373.4
