secs,km,power,hr,cad,alt
0,0,,119,,50.4
1,0.00194,,119,,50
2,0.00422889,,118.889,,50.1333
3,0.00651778,,118.778,,50.2667
4,0.00880667,,118.667,,50.4
5,0.0110956,,118.556,,50.5333
6,0.0133844,,118.444,,50.6667
7,0.0156733,,118.333,,50.8
8,0.0179622,,118.222,,50.9333
9,0.0202511,,118.111,,51.0667
10,0.02254,,118,,51.2
11,0.0251038,,117.875,,51.275
12,0.0276675,,117.75,,51.35
13,0.0302312,,117.625,,51.425
14,0.032795,,117.5,,51.5
15,0.0353588,,117.375,,51.575
16,0.0379225,,117.25,,51.65
17,0.0404862,,117.125,,51.725
18,0.04305,,117,,51.8
19,0.0457113,,117.25,,51.75
20,0.0483725,,117.5,,51.7
21,0.0510337,,117.75,,51.65
22,0.053695,,118,,51.6
23,0.0563563,,118.25,,51.55
24,0.0590175,,118.5,,51.5
25,0.0616787,,118.75,,51.45
26,0.06434,,119,,51.4
27,0.0669163,,119,,51.6
28,0.0694925,,119,,51.8
29,0.0720688,,119,,52
30,0.074645,,119,,52.2
31,0.0772213,,119,,52.4
32,0.0797975,,119,,52.6
33,0.0823738,,119,,52.8
34,0.08495,,119,,53
35,0.0874925,,119.125,,53.1
36,0.090035,,119.25,,53.2
37,0.0925775,,119.375,,53.3
38,0.09512,,119.5,,53.4
39,0.0976625,,119.625,,53.5
40,0.100205,,119.75,,53.6
41,0.102748,,119.875,,53.7
42,0.10529,,120,,53.8
43,0.108009,,119.875,,54
44,0.110728,,119.75,,54.2
45,0.113446,,119.625,,54.4
46,0.116165,,119.5,,54.6
47,0.118884,,119.375,,54.8
48,0.121603,,119.25,,55
49,0.124321,,119.125,,55.2
50,0.12704,,119,,55.4
51,0.129546,,119,,55.55
52,0.132053,,119,,55.7
53,0.134559,,119,,55.85
54,0.137065,,119,,56
55,0.139571,,119,,56.15
56,0.142077,,119,,56.3
57,0.144584,,119,,56.45
58,0.14709,,119,,56.6
59,0.14961,,118.875,,56.65
60,0.15213,,118.75,,56.7
61,0.15465,,118.625,,56.75
62,0.15717,,118.5,,56.8
63,0.15969,,118.375,,56.85
64,0.16221,,118.25,,56.9
65,0.16473,,118.125,,56.95
66,0.16725,,118,,57
67,0.169713,,118.222,,56.8444
68,0.172177,,118.444,,56.6889
69,0.17464,,118.667,,56.5333
70,0.177103,,118.889,,56.3778
71,0.179567,,119.111,,56.2222
72,0.18203,,119.333,,56.0667
73,0.184493,,119.556,,55.9111
74,0.186957,,119.778,,55.7556
75,0.18942,,120,,55.6
76,0.191923,,120.222,,55.5111
77,0.194427,,120.444,,55.4222
78,0.19693,,120.667,,55.3333
79,0.199433,,120.889,,55.2444
80,0.201937,,121.111,,55.1556
81,0.20444,,121.333,,55.0667
82,0.206943,,121.556,,54.9778
83,0.209447,,121.778,,54.8889
84,0.21195,,122,,54.8
85,0.214672,,122,,55.1
86,0.217395,,122,,55.4
87,0.220117,,122,,55.7
88,0.22284,,122,,56
89,0.225562,,122,,56.3
90,0.228285,,122,,56.6
91,0.231008,,122,,56.9
92,0.23373,,122,,57.2
93,0.236462,,121.4,,57.68
94,0.239194,,120.8,,58.16
95,0.241926,,120.2,,58.64
96,0.244658,,119.6,,59.12
97,0.24739,,119,,59.6
98,0.250018,,118.75,,59.8
99,0.252645,,118.5,,60
100,0.255273,,118.25,,60.2
101,0.2579,,118,,60.4
102,0.260527,,117.75,,60.6
103,0.263155,,117.5,,60.8
104,0.265782,,117.25,,61
105,0.26841,,117,,61.2
106,0.27114,,117.25,,61.425
107,0.27387,,117.5,,61.65
108,0.2766,,117.75,,61.875
109,0.27933,,118,,62.1
110,0.28206,,118.25,,62.325
111,0.28479,,118.5,,62.55
112,0.28752,,118.75,,62.775
113,0.29025,,119,,63
114,0.293054,,119.429,,63.0286
115,0.295859,,119.857,,63.0571
116,0.298663,,120.286,,63.0857
117,0.301467,,120.714,,63.1143
118,0.304271,,121.143,,63.1429
119,0.307076,,121.571,,63.1714
120,0.30988,,122,,63.2
121,0.31239,,122.375,,63.3
122,0.3149,,122.75,,63.4
123,0.31741,,123.125,,63.5
124,0.31992,,123.5,,63.6
125,0.32243,,123.875,,63.7
126,0.32494,,124.25,,63.8
127,0.32745,,124.625,,63.9
128,0.32996,,125,,64
129,0.33274,,125.125,,64.225
130,0.33552,,125.25,,64.45
131,0.3383,,125.375,,64.675
132,0.34108,,125.5,,64.9
133,0.34386,,125.625,,65.125
134,0.34664,,125.75,,65.35
135,0.34942,,125.875,,65.575
136,0.3522,,126,,65.8
137,0.354614,,126.333,,65.8
138,0.357029,,126.667,,65.8
139,0.359443,,127,,65.8
140,0.361858,,127.333,,65.8
141,0.364272,,127.667,,65.8
142,0.366687,,128,,65.8
143,0.369101,,128.333,,65.8
144,0.371516,,128.667,,65.8
145,0.37393,,129,,65.8
146,0.376829,,129.286,,66.0286
147,0.379727,,129.571,,66.2571
148,0.382626,,129.857,,66.4857
149,0.385524,,130.143,,66.7143
150,0.388423,,130.429,,66.9429
151,0.391321,,130.714,,67.1714
152,0.39422,,131,,67.4
153,0.39677,,130.571,,66.8
154,0.39932,,130.143,,66.2
155,0.40187,,129.714,,65.6
156,0.40442,,129.286,,65
157,0.40697,,128.857,,64.4
158,0.40952,,128.429,,63.8
159,0.41207,,128,,63.2
160,0.41509,,128.143,,63.2571
161,0.41811,,128.286,,63.3143
162,0.42113,,128.429,,63.3714
163,0.42415,,128.571,,63.4286
164,0.42717,,128.714,,63.4857
165,0.43019,,128.857,,63.5429
166,0.43321,,129,,63.6
167,0.436284,,128.714,,63.5143
168,0.439359,,128.429,,63.4286
169,0.442433,,128.143,,63.3429
170,0.445507,,127.857,,63.2571
171,0.448581,,127.571,,63.1714
172,0.451656,,127.286,,63.0857
173,0.45473,,127,,63
174,0.457246,,127,,62.95
175,0.459763,,127,,62.9
176,0.462279,,127,,62.85
177,0.464795,,127,,62.8
178,0.467311,,127,,62.75
179,0.469828,,127,,62.7
180,0.472344,,127,,62.65
181,0.47486,,127,,62.6
182,0.477169,,127.222,,63.2667
183,0.479478,,127.444,,63.9333
184,0.481787,,127.667,,64.6
185,0.484096,,127.889,,65.2667
186,0.486404,,128.111,,65.9333
187,0.488713,,128.333,,66.6
188,0.491022,,128.556,,67.2667
189,0.493331,,128.778,,67.9333
190,0.49564,,129,,68.6
191,0.498286,,128.875,,68.75
192,0.500933,,128.75,,68.9
193,0.503579,,128.625,,69.05
194,0.506225,,128.5,,69.2
195,0.508871,,128.375,,69.35
196,0.511517,,128.25,,69.5
197,0.514164,,128.125,,69.65
198,0.51681,,128,,69.8
199,0.519746,,128,,69.4571
200,0.522681,,128,,69.1143
201,0.525617,,128,,68.7714
202,0.528553,,128,,68.4286
203,0.531489,,128,,68.0857
204,0.534424,,128,,67.7429
205,0.53736,,128,,67.4
206,0.539912,,127.875,,67.15
207,0.542465,,127.75,,66.9
208,0.545017,,127.625,,66.65
209,0.54757,,127.5,,66.4
210,0.550122,,127.375,,66.15
211,0.552675,,127.25,,65.9
212,0.555227,,127.125,,65.65
213,0.55778,,127,,65.4
214,0.56051,,127.125,,65.25
215,0.56324,,127.25,,65.1
216,0.56597,,127.375,,64.95
217,0.5687,,127.5,,64.8
218,0.57143,,127.625,,64.65
219,0.57416,,127.75,,64.5
220,0.57689,,127.875,,64.35
221,0.57962,,128,,64.2
222,0.582267,,128.25,,64
223,0.584915,,128.5,,63.8
224,0.587562,,128.75,,63.6
225,0.59021,,129,,63.4
226,0.592857,,129.25,,63.2
227,0.595505,,129.5,,63
228,0.598152,,129.75,,62.8
229,0.6008,,130,,62.6
230,0.603534,,130.125,,62.675
231,0.606267,,130.25,,62.75
232,0.609001,,130.375,,62.825
233,0.611735,,130.5,,62.9
234,0.614469,,130.625,,62.975
235,0.617202,,130.75,,63.05
236,0.619936,,130.875,,63.125
237,0.62267,,131,,63.2
238,0.625479,,130.571,,63.3714
239,0.628287,,130.143,,63.5429
240,0.631096,,129.714,,63.7143
241,0.633904,,129.286,,63.8857
242,0.636713,,128.857,,64.0571
243,0.639521,,128.429,,64.2286
244,0.64233,,128,,64.4
245,0.644849,,127.75,,64.225
246,0.647367,,127.5,,64.05
247,0.649886,,127.25,,63.875
248,0.652405,,127,,63.7
249,0.654924,,126.75,,63.525
250,0.657442,,126.5,,63.35
251,0.659961,,126.25,,63.175
252,0.66248,,126,,63
253,0.665014,,126.25,,63.05
254,0.667547,,126.5,,63.1
255,0.670081,,126.75,,63.15
256,0.672615,,127,,63.2
257,0.675149,,127.25,,63.25
258,0.677682,,127.5,,63.3
259,0.680216,,127.75,,63.35
260,0.68275,,128,,63.4
261,0.685459,,128.125,,63.475
262,0.688167,,128.25,,63.55
263,0.690876,,128.375,,63.625
264,0.693585,,128.5,,63.7
265,0.696294,,128.625,,63.775
266,0.699002,,128.75,,63.85
267,0.701711,,128.875,,63.925
268,0.70442,,129,,64
269,0.706952,,129,,64.25
270,0.709485,,129,,64.5
271,0.712017,,129,,64.75
272,0.71455,,129,,65
273,0.717082,,129,,65.25
274,0.719615,,129,,65.5
275,0.722147,,129,,65.75
276,0.72468,,129,,66
277,0.726904,,129,,66.2444
278,0.729129,,129,,66.4889
279,0.731353,,129,,66.7333
280,0.733578,,129,,66.9778
281,0.735802,,129,,67.2222
282,0.738027,,129,,67.4667
283,0.740251,,129,,67.7111
284,0.742476,,129,,67.9556
285,0.7447,,129,,68.2
286,0.74716,,129.429,,68.2286
287,0.74962,,129.857,,68.2571
288,0.75208,,130.286,,68.2857
289,0.75454,,130.714,,68.3143
290,0.757,,131.143,,68.3429
291,0.75946,,131.571,,68.3714
292,0.76192,,132,,68.4
293,0.764476,,132.25,,68.6
294,0.767032,,132.5,,68.8
295,0.769589,,132.75,,69
296,0.772145,,133,,69.2
297,0.774701,,133.25,,69.4
298,0.777257,,133.5,,69.6
299,0.779814,,133.75,,69.8
300,0.78237,,134,,70
301,0.785034,,134.125,,70.125
302,0.787697,,134.25,,70.25
303,0.790361,,134.375,,70.375
304,0.793025,,134.5,,70.5
305,0.795689,,134.625,,70.625
306,0.798352,,134.75,,70.75
307,0.801016,,134.875,,70.875
308,0.80368,,135,,71
309,0.806411,,135,,71.3
310,0.809142,,135,,71.6
311,0.811874,,135,,71.9
312,0.814605,,135,,72.2
313,0.817336,,135,,72.5
314,0.820067,,135,,72.8
315,0.822799,,135,,73.1
316,0.82553,,135,,73.4
317,0.82845,,135.5,,73.1333
318,0.83137,,136,,72.8667
319,0.83429,,136.5,,72.6
320,0.83721,,137,,72.3333
321,0.84013,,137.5,,72.0667
322,0.84305,,138,,71.8
323,0.845609,,138.125,,72.075
324,0.848167,,138.25,,72.35
325,0.850726,,138.375,,72.625
326,0.853285,,138.5,,72.9
327,0.855844,,138.625,,73.175
328,0.858402,,138.75,,73.45
329,0.860961,,138.875,,73.725
330,0.86352,,139,,74
331,0.86613,,139,,74.2
332,0.86874,,139,,74.4
333,0.87135,,139,,74.6
334,0.87396,,139,,74.8
335,0.87657,,139,,75
336,0.87918,,139,,75.2
337,0.88179,,139,,75.4
338,0.8844,,139,,75.6
339,0.886828,,139,,75.8889
340,0.889256,,139,,76.1778
341,0.891683,,139,,76.4667
342,0.894111,,139,,76.7556
343,0.896539,,139,,77.0444
344,0.898967,,139,,77.3333
345,0.901394,,139,,77.6222
346,0.903822,,139,,77.9111
347,0.90625,,139,,78.2
348,0.908746,,138.889,,78.5333
349,0.911241,,138.778,,78.8667
350,0.913737,,138.667,,79.2
351,0.916232,,138.556,,79.5333
352,0.918728,,138.444,,79.8667
353,0.921223,,138.333,,80.2
354,0.923719,,138.222,,80.5333
355,0.926214,,138.111,,80.8667
356,0.92871,,138,,81.2
357,0.931355,,137.75,,81.125
358,0.934,,137.5,,81.05
359,0.936645,,137.25,,80.975
360,0.93929,,137,,80.9
361,0.941935,,136.75,,80.825
362,0.94458,,136.5,,80.75
363,0.947225,,136.25,,80.675
364,0.94987,,136,,80.6
365,0.952259,,135.889,,80.4444
366,0.954648,,135.778,,80.2889
367,0.957037,,135.667,,80.1333
368,0.959426,,135.556,,79.9778
369,0.961814,,135.444,,79.8222
370,0.964203,,135.333,,79.6667
371,0.966592,,135.222,,79.5111
372,0.968981,,135.111,,79.3556
373,0.97137,,135,,79.2
374,0.974086,,135,,79.05
375,0.976802,,135,,78.9
376,0.979519,,135,,78.75
377,0.982235,,135,,78.6
378,0.984951,,135,,78.45
379,0.987668,,135,,78.3
380,0.990384,,135,,78.15
381,0.9931,,135,,78
382,0.996015,,135.5,,77.9
383,0.99893,,136,,77.8
384,1.00157,,135.75,,77.625
385,1.0042,,135.5,,77.45
386,1.00684,,135.25,,77.275
387,1.00947,,135,,77.1
388,1.01211,,134.75,,76.925
389,1.01474,,134.5,,76.75
390,1.01738,,134.25,,76.575
391,1.02001,,134,,76.4
392,1.02299,,134,,76.1143
393,1.02597,,134,,75.8286
394,1.02895,,134,,75.5429
395,1.03193,,134,,75.2571
396,1.03491,,134,,74.9714
397,1.03789,,134,,74.6857
398,1.04087,,134,,74.4
399,1.04358,,134,,74.075
400,1.04629,,134,,73.75
401,1.04901,,134,,73.425
402,1.05172,,134,,73.1
403,1.05443,,134,,72.775
404,1.05715,,134,,72.45
405,1.05986,,134,,72.125
406,1.06257,,134,,71.8
407,1.06508,,133.4,,71.12
408,1.06759,,132.8,,70.44
409,1.07009,,132.2,,69.76
410,1.0726,,131.6,,69.08
411,1.07511,,131,,68.4
412,1.07793,,131,,68.15
413,1.08075,,131,,67.9
414,1.08357,,131,,67.65
415,1.08639,,131,,67.4
416,1.08921,,131,,67.15
417,1.09203,,131,,66.9
418,1.09485,,131,,66.65
419,1.09767,,131,,66.4
420,1.1006,,131.143,,66.2857
421,1.10353,,131.286,,66.1714
422,1.10646,,131.429,,66.0571
423,1.1094,,131.571,,65.9429
424,1.11233,,131.714,,65.8286
425,1.11526,,131.857,,65.7143
426,1.11819,,132,,65.6
427,1.121,,132,,65.35
428,1.12382,,132,,65.1
429,1.12663,,132,,64.85
430,1.12944,,132,,64.6
431,1.13225,,132,,64.35
432,1.13506,,132,,64.1
433,1.13788,,132,,63.85
434,1.14069,,132,,63.6
435,1.14333,,131.5,,63.1333
436,1.14597,,131,,62.6667
437,1.14861,,130.5,,62.2
438,1.15125,,130,,61.7333
439,1.15389,,129.5,,61.2667
440,1.15653,,129,,60.8
441,1.1593,,129,,60.675
442,1.16207,,129,,60.55
443,1.16484,,129,,60.425
444,1.16761,,129,,60.3
445,1.17037,,129,,60.175
446,1.17314,,129,,60.05
447,1.17591,,129,,59.925
448,1.17868,,129,,59.8
449,1.18131,,130,,59.9333
450,1.18393,,131,,60.0667
451,1.18656,,132,,60.2
452,1.18931,,132.125,,60.3
453,1.19206,,132.25,,60.4
454,1.19482,,132.375,,60.5
455,1.19757,,132.5,,60.6
456,1.20032,,132.625,,60.7
457,1.20308,,132.75,,60.8
458,1.20583,,132.875,,60.9
459,1.20858,,133,,61
460,1.21194,,133.143,,61.1429
461,1.2153,,133.286,,61.2857
462,1.21866,,133.429,,61.4286
463,1.22202,,133.571,,61.5714
464,1.22538,,133.714,,61.7143
465,1.22874,,133.857,,61.8571
466,1.2321,,134,,62
467,1.23589,,135.5,,62.1
468,1.23968,,137,,62.2
469,1.24379,,138,,62.4667
470,1.24791,,139,,62.7333
471,1.25202,,140,,63
472,1.25619,,141.5,,63.1
473,1.26037,,143,,63.2
474,1.26419,,144.5,,63.3
475,1.26802,,146,,63.4
476,1.27126,,146.5,,63.4667
477,1.27451,,147,,63.5333
478,1.27775,,147.5,,63.6
479,1.28099,,148,,63.6667
