secs,km,power,hr,cad,alt
0,0,,91,,0
1,0,,91,,0
2,0,,91,,0
3,0,,92,,0
4,0,,93,,0
5,0,,93,,0
6,0,,94,,0
7,0,,94,,0
8,0,,95,,0
9,0,,95,,0
10,0,,94,,0
11,0.00178,,94,,0
12,0.00356,,94,,0
13,0.00535,,94,,0
14,0.00713,,94,,0
15,0.00891,,94,,0
16,0.01069,,94,,0
17,0.01248,,94,,0
18,0.01426,,93,,0
19,0.01604,,93,,0
20,0.01782,,93,,0
21,0.0196,,93,,0
22,0.02139,,94,,0
23,0.02442,,95,,0
24,0.02823,,95,,0
25,0.03207,,95,,0
26,0.03607,,95,,0
27,0.04022,,96,,0
28,0.0446,,106,,0
29,0.04931,,106,,0
30,0.05429,,121,,0
31,0.0595,,121,,0
32,0.06492,,121,,0
33,0.07038,,119,,0
34,0.07582,,116,,0
35,0.08106,,113,,0
36,0.08631,,111,,0
37,0.09109,,109,,0
38,0.0955,,107,,0
39,0.0999,,106,,0
40,0.10431,,105,,0
41,0.10872,,104,,0
42,0.11312,,103,,0
43,0.11704,,102,,0
44,0.12065,,100,,0
45,0.12399,,99,,0
46,0.12713,,98,,0
47,0.13012,,98,,0
48,0.13297,,98,,0
49,0.13566,,98,,0
50,0.13821,,99,,0
51,0.14071,,100,,0
52,0.14317,,101,,0
53,0.1456,,101,,0
54,0.14798,,101,,0
55,0.15034,,100,,0
56,0.15266,,99,,0
57,0.15495,,97,,0
58,0.1572,,96,,0
59,0.15943,,95,,0
60,0.16164,,94,,0
61,0.16384,,94,,0
62,0.16608,,95,,0
63,0.16836,,96,,0
64,0.17071,,97,,0
65,0.171935,,99.5,,0
66,0.17316,,102,,0
67,0.17561,,102,,0
68,0.17811,,102,,0
69,0.18066,,102,,0
70,0.18326,,104,,0
71,0.18587,,106,,0
72,0.18847,,106,,0
73,0.19107,,106,,0
74,0.19368,,107,,0
75,0.19649,,107,,0
76,0.19953,,107,,0
77,0.20269,,110,,0
78,0.20585,,112,,0
79,0.20876,,111,,0
80,0.21154,,110,,0
81,0.21404,,110,,0
82,0.21646,,110,,0
83,0.21874,,110,,0
84,0.2209,,110,,0
85,0.22303,,111,,0
86,0.22508,,110,,0
87,0.22711,,110,,0
88,0.22907,,108,,0
89,0.23097,,108,,0
90,0.23287,,108,,0
91,0.23471,,108,,0
92,0.23655,,108,,0
93,0.23839,,107,,0
94,0.24024,,108,,0
95,0.2421,,108,,0
96,0.24399,,108,,0
97,0.2459,,108,,0
98,0.24783,,108,,0
99,0.24979,,115,,0
100,0.25176,,115,,0
101,0.25376,,116,,0
102,0.25587,,116,,0
103,0.25813,,117,,0
104,0.26056,,118,,0
105,0.26312,,119,,0
106,0.2658,,119,,0
107,0.26858,,119,,0
108,0.27145,,118,,0
109,0.27431,,119,,0
110,0.27709,,120,,0
111,0.27968,,120,,0
112,0.28216,,121,,0
113,0.28455,,122,,0
114,0.28687,,123,,0
115,0.28915,,123,,0
116,0.29144,,123,,0
117,0.29372,,124,,0
118,0.29601,,124,,0
119,0.29829,,124,,0
120,0.30058,,124,,0
121,0.30286,,125,,0
122,0.30515,,125,,0
123,0.30744,,125,,0
124,0.30972,,125,,0
125,0.31201,,125,,0
126,0.31429,,126,,0
127,0.31658,,125,,0
128,0.31887,,125,,0
129,0.32115,,124,,0
130,0.32344,,123,,0
131,0.32573,,122,,0
132,0.32801,,121,,0
133,0.3303,,119,,0
134,0.33258,,117,,0
135,0.33487,,115,,0
136,0.33715,,113,,0
137,0.33939,,112,,0
138,0.34156,,111,,0
139,0.34369,,111,,0
140,0.34577,,109,,0
141,0.34782,,109,,0
142,0.34984,,108,,0
143,0.35182,,108,,0
144,0.35379,,108,,0
145,0.35574,,107,,0
146,0.35763,,107,,0
147,0.358565,,107.5,,0
148,0.3595,,108,,0
149,0.3595,,109,,0
150,0.3595,,109,,0
151,0.3595,,108,,0
152,0.3595,,107,,0
153,0.3595,,107,,0
154,0.3595,,107,,0
155,0.3595,,108,,0
156,0.3595,,117,,0
157,0.3595,,122,,0
158,0.3595,,122,,0
159,0.3595,,122,,0
160,0.36247,,122,,0
161,0.36545,,122,,0
162,0.3685,,122,,0
163,0.37154,,122,,0
164,0.3746,,122,,0
165,0.37766,,127,,0
166,0.38071,,127,,0
167,0.38372,,127,,0
168,0.38667,,127,,0
169,0.38957,,127,,0
170,0.39246,,127,,0
171,0.39534,,127,,0
172,0.39828,,127,,0
173,0.40128,,127,,0
174,0.40431,,141,,0
175,0.40735,,141,,0
176,0.41043,,141,,0
177,0.41352,,141,,0
178,0.41663,,141,,0
179,0.41976,,141,,0
180,0.4229,,141,,0
181,0.42606,,141,,0
182,0.42923,,141,,0
183,0.43241,,140,,0
184,0.43559,,140,,0
185,0.43878,,143,,0
186,0.44196,,146,,0
187,0.44514,,146,,0
188,0.44831,,146,,0
189,0.45148,,148,,0
190,0.45466,,148,,0
191,0.45783,,147,,0
192,0.46101,,147,,0
193,0.46421,,147,,0
194,0.46741,,147,,0
195,0.47061,,146,,0
196,0.47381,,146,,0
197,0.477,,146,,0
198,0.48019,,146,,0
199,0.4834,,146,,0
200,0.48663,,151,,0
201,0.48986,,151,,0
202,0.4931,,151,,0
203,0.49634,,153,,0
204,0.49958,,153,,0
205,0.50281,,152,,0
206,0.50605,,152,,0
207,0.50929,,148,,0
208,0.51253,,144,,0
209,0.51579,,144,,0
210,0.51906,,145,,0
211,0.52232,,145,,0
212,0.5256,,145,,0
213,0.52888,,145,,0
214,0.53217,,145,,0
