secs,km,power,hr,cad,alt
0,0,,87,53,52
1,0.0015,,86,53,52
2,0.003,,86,46,51.6
3,0.003,,86,51,53.4
4,0.003,,86,53,53.4
5,0.0045,,86,59,54
6,0.00607,,87,55,53.8
7,0.00766,,87,51,53.8
8,0.00918,,88,53,55
9,0.01063,,89,52,54.2
10,0.01215,,89,51,51
11,0.01341,,90,52,52.6
12,0.01378,,91,52,53.6
13,0.01565,,91,51,52.8
14,0.01814,,92,51,56.2
15,0.02239,,92,51,50.6
16,0.02239,,92,53,50.6
17,0.02239,,90,59,53.6
18,0.02603,,89,55,51.2
19,0.02609,,87,55,52.4
20,0.02657,,87,54,53.6
21,0.02789,,85,54,52.8
22,0.0306,,85,54,49.4
23,0.0306,,85,54,51.2
24,0.03134,,84,54,49
25,0.03278,,84,54,54.8
26,0.03295,,83,54,53
27,0.03455,,82,53,52
28,0.03617,,82,54,51.2
29,0.03822,,82,54,50.6
30,0.03992,,83,53,50
31,0.04155,,83,52,49.4
32,0.04299,,84,52,49
33,0.04453,,85,52,48.8
34,0.04604,,84,52,48.6
35,0.04774,,84,52,48.4
36,0.04926,,84,52,48.4
37,0.05048,,84,51,48.2
38,0.05207,,84,46,48.2
39,0.05375,,84,53,48.2
40,0.05557,,84,53,48.2
41,0.05707,,84,53,48.4
42,0.0585,,84,52,48.4
43,0.05983,,85,52,48.6
44,0.0611,,85,51,48.8
45,0.06237,,85,51,48.8
46,0.06379,,84,51,49
47,0.06516,,83,51,49.2
48,0.06658,,83,52,49.4
49,0.0679,,82,52,49.6
50,0.06919,,81,52,49.6
51,0.07051,,81,52,49.8
52,0.07176,,81,52,49.8
53,0.07306,,81,52,50
54,0.07444,,80,52,50
55,0.07584,,80,52,50.2
56,0.0768,,79,52,50.4
57,0.0776,,78,52,50.4
58,0.0784,,78,42,50.2
59,0.0793,,77,45,50.2
60,0.08059,,78,47,50.2
61,0.08178,,78,48,50.2
62,0.08305,,78,49,50.2
63,0.08432,,79,50,50.2
64,0.08549,,79,50,50.2
65,0.08667,,79,50,50.2
66,0.08787,,79,50,50.2
67,0.08913,,79,50,50.2
68,0.0904,,80,50,50.2
69,0.09158,,80,50,50.2
70,0.09238,,79,48,50.2
71,0.09331,,79,41,50.2
72,0.0942,,78,40,50.2
73,0.09497,,78,38,50.2
74,0.09577,,78,38,50.2
75,0.09604,,77,0,50.2
76,0.09677,,76,0,50.2
77,0.09687,,76,37,50.2
78,0.09704,,75,37,50.2
79,0.09721,,74,37,50.2
80,0.0974,,74,0,50.2
81,0.0974,,73,0,50.2
82,0.0974,,72,0,50.2
83,0.0974,,71,0,50.2
84,0.0974,,70,0,50.2
85,0.09754,,69,0,50.2
86,0.09754,,68,0,50.2
87,0.09768,,67,0,50.2
88,0.09768,,68,0,50.2
89,0.09772,,69,0,50.2
90,0.09772,,70,0,50.2
91,0.09775,,71,0,50.2
92,0.09775,,73,37,50.2
93,0.09786,,73,37,50.2
94,0.09786,,73,0,50.2
95,0.0979,,73,0,50.2
96,0.09799,,73,37,50.2
97,0.09799,,72,37,50.2
98,0.0981,,71,0,50.2
99,0.09821,,70,37,50.2
100,0.0983,,70,37,50.2
101,0.0984,,70,0,50.2
102,0.0984,,69,0,50.2
103,0.09849,,69,0,50.2
104,0.09854,,67,37,50.2
105,0.0986,,67,37,50.2
106,0.0986,,66,0,50.2
107,0.0986,,66,0,50.2
108,0.09861,,65,0,50.2
