secs,km,power,hr,cad,alt
0,0,,73,,395
1,0.0017,,71,,395
2,0.0017,,71.6,,394.96
3,0.0017,,72.2,,394.92
4,0.0017,,72.8,,394.88
5,0.0017,,73.4,,394.84
6,0.0017,,74,,394.8
7,0.00488,,79,,394.8
8,0.00809,,81,,394.8
9,0.01119,,82,,394.8
10,0.01431,,82,,394.8
11,0.01746,,82,,394.6
12,0.02045,,82,,394.6
13,0.02353,,84,,394.6
14,0.02662,,87,,394.4
15,0.02962,,88,,394.2
16,0.03237,,90,,394.2
17,0.03501,,91,,394.2
18,0.03779,,97,,394.2
19,0.0406,,99,,394.2
20,0.0434,,100,,394.2
21,0.04613,,101,,394.2
22,0.04855,,102,,394.2
23,0.05154,,103,,394.2
24,0.05436,,104,,394
25,0.05679,,105,,394
26,0.05954,,105,,394
27,0.062,,106,,393.8
28,0.06424,,107,,393.8
29,0.06638,,107,,393.6
30,0.06835,,107,,393.6
31,0.07007,,106,,393.4
32,0.07201,,105,,393.4
33,0.07419,,105,,393.4
34,0.07582,,104,,393.2
35,0.07714,,105,,393.2
36,0.07864,,105,,393.2
37,0.07975,,105,,393
38,0.08141,,104,,393
39,0.08363,,104,,393
40,0.08611,,104,,392.8
41,0.08891,,104,,392.8
42,0.09166,,104,,392.8
43,0.09482,,105,,392.8
44,0.09795,,106,,392.8
45,0.10057,,106,,392.6
46,0.1037,,107,,392.6
47,0.10664,,109,,392.4
48,0.10915,,110,,392.4
49,0.11156,,111,,392.4
50,0.11382,,111,,392.4
51,0.1169,,111,,392.4
52,0.11989,,112,,392.2
53,0.12281,,112,,392.2
54,0.12615,,112,,392.2
55,0.12902,,113,,392
56,0.132,,113,,392
57,0.13527,,113,,392
58,0.13747,,113,,392
59,0.14016,,114,,392
60,0.14293,,115,,391.8
61,0.14613,,115,,391.8
62,0.14913,,116,,391.6
63,0.15157,,116,,391.6
64,0.15398,,116,,391.6
65,0.15643,,116,,391.4
66,0.15888,,116,,391.4
67,0.16122,,116,,391.2
68,0.16357,,116,,391
69,0.16652,,116,,391
70,0.16985,,116,,391
71,0.17319,,115,,391
72,0.17637,,115,,391
73,0.17923,,115,,391
74,0.18229,,116,,391
75,0.18533,,116,,391
76,0.18809,,117,,391
77,0.19115,,117,,390.8
78,0.19392,,117,,390.8
79,0.19695,,117,,390.8
80,0.19983,,117,,390.6
81,0.20237,,116,,390.6
82,0.20536,,116,,390.6
83,0.20835,,117,,390.4
84,0.21121,,116,,390.4
85,0.2142,,116,,390.2
86,0.21656,,115,,390.2
87,0.21953,,114,,390
88,0.22236,,114,,389.8
89,0.2247,,114,,389.8
90,0.22767,,113,,389.8
91,0.23035,,112,,389.6
92,0.23278,,112,,389.6
93,0.23602,,111,,389.6
94,0.23887,,111,,389.8
95,0.23996,,111,,389.8
96,0.2415,,110,,389.8
97,0.24359,,111,,389.6
98,0.24551,,111,,389.8
99,0.24675,,111,,389.8
100,0.24831,,112,,389.8
101,0.24966,,112,,389.6
102,0.25164,,112,,389.6
103,0.25403,,113,,389.6
104,0.25692,,114,,389.6
105,0.26046,,116,,389.4
106,0.26344,,117,,389.4
107,0.26623,,117,,389.4
108,0.26933,,118,,389.4
109,0.27239,,119,,389.2
110,0.2755,,119,,389
111,0.27837,,119,,389
112,0.28106,,119,,389
113,0.28405,,120,,389
114,0.28707,,122,,388.8
115,0.28953,,123,,388.8
116,0.29198,,123,,388.8
117,0.29433,,124,,388.8
118,0.297,,125,,388.8
119,0.29937,,126,,388.6
120,0.30139,,126,,388.6
121,0.3037,,126,,388.6
122,0.30554,,126,,388.4
123,0.30705,,124,,388.4
124,0.30927,,124,,388.2
125,0.31142,,125,,388.2
126,0.31295,,124,,388.2
127,0.31422,,124,,388
128,0.31534,,123,,388
129,0.31678,,123,,387.8
130,0.31814,,122,,387.8
131,0.31948,,121,,387.8
132,0.32117,,122,,387.6
133,0.32325,,121,,387.6
134,0.32542,,122,,387.6
135,0.32713,,122,,387.6
136,0.32897,,123,,387.6
137,0.33084,,123,,387.6
138,0.33233,,125,,387.6
139,0.33325,,125,,387.6
140,0.33383,,125,,387.6
141,0.33477,,125,,387.4
142,0.33563,,125,,387.4
143,0.33707,,122,,387.2
144,0.33911,,121,,387.2
145,0.34165,,121,,387.2
146,0.3443,,120,,387.2
147,0.34751,,120,,387.2
148,0.35053,,120,,387.2
149,0.35294,,121,,387.2
150,0.3541,,121,,387.2
151,0.35498,,122,,387.2
152,0.35591,,123,,387.2
153,0.35706,,123,,387.2
154,0.35879,,124,,387
155,0.36047,,124,,387.2
156,0.36173,,124,,387.2
157,0.36244,,123,,387.4
158,0.36328,,123,,387.4
159,0.36427,,123,,387.2
160,0.36636,,124,,387
161,0.36781,,123,,387
162,0.36921,,123,,386.8
163,0.37108,,122,,386.8
164,0.37295,,120,,386.8
165,0.37519,,119,,386.8
166,0.37799,,118,,386.8
167,0.38094,,118,,386.8
168,0.38424,,119,,387
169,0.38743,,119,,387
170,0.39071,,119,,387
171,0.39417,,121,,386.8
172,0.39735,,122,,387
173,0.40094,,123,,386.8
174,0.40405,,124,,386.8
175,0.4072,,124,,386.6
176,0.41087,,125,,386.6
177,0.41408,,126,,386.6
178,0.41742,,127,,386.6
179,0.42073,,127,,386.6
180,0.42409,,128,,386.4
181,0.42749,,128,,386.6
182,0.43039,,128,,386.4
183,0.43369,,127,,386.4
184,0.4368,,128,,386.4
185,0.44008,,128,,386.4
186,0.44301,,128,,386.4
187,0.44567,,128,,386.4
188,0.44879,,128,,386.4
189,0.4518,,127,,386.4
190,0.45498,,127,,386.4
191,0.45831,,128,,386.4
192,0.46142,,128,,386.4
193,0.46446,,128,,386.4
194,0.46738,,130,,386.2
195,0.4697,,129,,386.2
196,0.47289,,129,,386.2
197,0.47614,,129,,386.2
198,0.4797,,129,,386.2
199,0.48314,,127,,386.2
200,0.48625,,127,,386.2
201,0.48892,,128,,386
202,0.49168,,128,,385.8
203,0.49468,,128,,385.8
204,0.49839,,127,,385.8
205,0.50133,,127,,385.8
206,0.50449,,127,,385.8
207,0.50772,,126,,385.8
208,0.51075,,127,,386
209,0.51361,,127,,386.2
210,0.51628,,125,,386.2
211,0.51911,,125,,386.2
212,0.52212,,125,,386
213,0.52498,,125,,386
214,0.52797,,125,,386.2
215,0.53088,,125,,386
216,0.5343,,125,,386
217,0.53727,,125,,386
218,0.54027,,125,,386
219,0.54344,,125,,386.2
220,0.54633,,126,,386
221,0.54969,,127,,386
222,0.55298,,127,,386
223,0.5559,,127,,386
224,0.5592,,128,,386.2
225,0.56213,,129,,386
226,0.56494,,129,,386
227,0.5683,,128,,386
228,0.57124,,128,,386.2
229,0.57437,,127,,386.2
230,0.57755,,128,,386.2
231,0.58071,,128,,386.2
232,0.58407,,129,,386.4
233,0.58736,,130,,386.4
234,0.59036,,130,,386.4
235,0.59323,,130,,386.4
236,0.59621,,131,,386.4
237,0.59923,,131,,386.6
238,0.60221,,131,,386.6
239,0.60529,,131,,386.8
240,0.6085,,131,,386.8
241,0.6116,,132,,386.8
242,0.61478,,132,,387
243,0.61773,,131,,387
244,0.62083,,130,,387
245,0.62385,,129,,387
246,0.62696,,129,,386.8
247,0.63018,,129,,386.8
248,0.63319,,129,,386.8
249,0.63613,,131,,386.8
250,0.63929,,131,,386.8
