secs,km,power,hr,cad,alt
0,0,,93,,-0.2
1,0.00131,,93,,54.2
2,0.00282,,93,,7.8
3,0.00434,,93,,-3.8
4,0.00619,,93,,-0.2
5,0.00831,,94,,4.8
6,0.011305,,94,,5.5
7,0.0143,,94,,6.2
8,0.0176,,95,,6.2
9,0.02029,,96,,6.2
10,0.02406,,97,,6.2
11,0.02749,,99,,6.2
12,0.03086,,98,,8.8
13,0.03448,,99,,9.8
14,0.03755,,100,,6.8
15,0.04128,,101,,6.6
16,0.04422,,102,,6.8
17,0.04739,,102,,6.6
18,0.05037,,103,,5.2
19,0.05311,,104,,5.2
20,0.05637,,105,,2.8
21,0.05937,,106,,2.8
22,0.06315,,107,,6.4
23,0.06669,,108,,3
24,0.06977,,109,,6.6
25,0.07328,,110,,6.6
26,0.07693,,111,,6.6
27,0.08025,,112,,6.6
28,0.08329,,112,,6.6
29,0.0866,,113,,6.8
30,0.09042,,114,,-0.2
31,0.09442,,115,,3.8
32,0.09803,,116,,7.4
33,0.101695,,116.5,,7.4
34,0.10536,,117,,7.4
35,0.109247,,117.333,,6.33333
36,0.113133,,117.667,,5.26667
37,0.11702,,118,,4.2
38,0.12126,,118.667,,4.2
39,0.1255,,119.333,,4.2
40,0.12974,,120,,4.2
41,0.133997,,121,,4.2
42,0.138253,,122,,4.2
43,0.14251,,123,,4.2
44,0.14642,,123,,4.2
45,0.15092,,123,,4
46,0.15538,,124,,4.2
47,0.15897,,125,,4.2
48,0.16285,,126,,4.2
49,0.16686,,126,,4.2
50,0.17104,,127,,2
51,0.17365,,128,,2
52,0.1786,,128,,2
53,0.18244,,129,,2
54,0.18578,,130,,2
55,0.190115,,130.5,,2
56,0.19445,,131,,2
57,0.198215,,131.5,,2
58,0.20198,,132,,2
59,0.2055,,132,,2
60,0.20978,,132,,2
61,0.21381,,133,,2
62,0.21756,,133,,2
63,0.22094,,133,,2
64,0.22453,,133,,2
65,0.22792,,133,,2
66,0.23186,,133,,2
67,0.23566,,133,,2
68,0.2395,,133,,2
69,0.24293,,133,,2
70,0.24682,,134,,2
71,0.25034,,134,,2
72,0.25371,,134,,2
73,0.25747,,133,,2
74,0.26083,,133,,2
75,0.264825,,133,,2
76,0.26882,,133,,2
77,0.27261,,133,,2
78,0.27596,,134,,2
79,0.27978,,134,,2
80,0.283342,,134.2,,2
81,0.286904,,134.4,,2
82,0.290466,,134.6,,2
83,0.294028,,134.8,,2
84,0.29759,,135,,2
85,0.301775,,135,,2
86,0.30596,,135,,2
87,0.30908,,135,,2
88,0.31237,,135,,2
89,0.31566,,135,,2
90,0.31969,,136,,2
