secs,km,power,hr,cad,alt
0,0,,114,,19.8
1,0.00163,,114,,20.8
2,0.00342667,,115,,21.3333
3,0.00522333,,116,,21.8667
4,0.00702,,117,,22.4
5,0.009548,,117.6,,23.4
6,0.012076,,118.2,,24.4
7,0.014604,,118.8,,25.4
8,0.017132,,119.4,,26.4
9,0.01966,,120,,27.4
10,0.02216,,126,,28
11,0.02479,,130,,29.2
12,0.02784,,137,,30.4
13,0.03068,,141,,31
14,0.03377,,145,,31.8
15,0.03671,,145,,32.6
16,0.039504,,145.8,,33.04
17,0.042298,,146.6,,33.48
18,0.045092,,147.4,,33.92
19,0.047886,,148.2,,34.36
20,0.05068,,149,,34.8
21,0.0539533,,147.667,,35.5333
22,0.0572267,,146.333,,36.2667
23,0.0605,,145,,37
24,0.063305,,143,,37.6
25,0.06611,,141,,38.2
26,0.0691,,142,,38.65
27,0.07209,,143,,39.1
28,0.07508,,144,,39.55
29,0.07807,,145,,40
30,0.0812933,,146.667,,40.1333
31,0.0845167,,148.333,,40.2667
32,0.08774,,150,,40.4
33,0.09062,,149,,40.8
34,0.09345,,150,,41.3333
35,0.09628,,151,,41.8667
36,0.09911,,152,,42.4
37,0.102196,,151.571,,42.4571
38,0.105281,,151.143,,42.5143
39,0.108367,,150.714,,42.5714
40,0.111453,,150.286,,42.6286
41,0.114539,,149.857,,42.6857
42,0.117624,,149.429,,42.7429
43,0.12071,,149,,42.8
44,0.123867,,149,,42.2857
45,0.127024,,149,,41.7714
46,0.130181,,149,,41.2571
47,0.133339,,149,,40.7429
48,0.136496,,149,,40.2286
49,0.139653,,149,,39.7143
50,0.14281,,149,,39.2
51,0.14599,,150,,39
52,0.14917,,151,,38.8
53,0.15235,,152,,38.6
54,0.15537,,156,,38.6
55,0.158535,,157.5,,38.3
56,0.1617,,159,,38
57,0.164983,,158,,37.8
58,0.168265,,157,,37.6
59,0.171548,,156,,37.4
60,0.17483,,155,,37.2
61,0.178135,,153.5,,37
62,0.18144,,152,,36.8
63,0.18449,,153.5,,36.9
