secs,km,power,hr,cad,alt
0,0,,86,,-246.2
1,0.00089,,91,,-246.2
2,0.00183,,91,,-254
3,0.00271,,96,,-261.4
4,0.00378,,96,,0
5,0.00522,,96,,0.2
6,0.00665,,96,,0.2
7,0.00813,,96,,0.2
8,0.00813,,96,,0.2
9,0.00856,,96,,0.2
10,0.00915,,97,,0.2
11,0.00915,,97,,0.2
12,0.00925,,97,,0
13,0.00964,,97,,0.2
14,0.01023,,97,,0
15,0.0107,,97,,0
16,0.01225,,97,,0
17,0.01405,,97,,0
18,0.01545,,97,,0
19,0.01718,,97,,0
20,0.01906,,102,,0
21,0.02061,,102,,-0.2
22,0.02299,,102,,-0.2
23,0.02576,,102,,-0.2
24,0.02863,,102,,-0.2
25,0.03183,,102,,-0.2
26,0.03565,,102,,-0.2
27,0.03879,,102,,-0.2
28,0.04139,,102,,-0.2
29,0.04391,,102,,-0.2
30,0.04632,,102,,-0.2
31,0.04887,,102,,-0.2
32,0.05139,,102,,-0.2
33,0.05413,,102,,0
34,0.0568,,102,,0
35,0.0595,,102,,0
36,0.0614,,102,,0
37,0.06317,,102,,0
38,0.06417,,103,,0
39,0.0651,,112,,0
40,0.06605,,112,,-0.2
41,0.06704,,112,,-0.2
42,0.06818,,121,,-0.2
43,0.0692,,128,,-0.2
44,0.0708,,128,,-0.2
45,0.07225,,128,,-0.2
46,0.07344,,134,,-0.2
47,0.07399,,134,,0
48,0.07477,,134,,0
49,0.07481,,137,,0
50,0.07565,,137,,0.2
51,0.07565,,137,,0
52,0.07565,,137,,0
53,0.07604,,137,,0
54,0.07604,,140,,-0.2
55,0.07604,,140,,-0.2
56,0.0761,,140,,-0.2
57,0.07666,,140,,-0.2
58,0.07673,,140,,-0.2
59,0.07673,,140.2,,-0.2
60,0.07673,,140.4,,-0.2
61,0.07673,,140.6,,-0.2
62,0.07673,,140.8,,-0.2
63,0.07673,,141,,-0.2
64,0.07673,,141,,-0.4
65,0.07673,,141,,-0.2
66,0.0768,,141,,-0.2
