secs,km,power,hr,cad,alt
0,0,,60,,211.4
1,0.00124857,,60.5714,,211.4
2,0.00249714,,61.1429,,211.4
3,0.00374571,,61.7143,,211.4
4,0.00499429,,62.2857,,211.4
5,0.00624286,,62.8571,,211.4
6,0.00749143,,63.4286,,211.4
7,0.00874,,64,,211.4
8,0.00952667,,65.3333,,211.467
9,0.0103133,,66.6667,,211.533
10,0.0111,,68,,211.6
11,0.01315,,70,,211.6
12,0.01562,,71.5,,211.6
13,0.01809,,73,,211.6
14,0.0215,,74.5,,211.7
15,0.02491,,76,,211.8
16,0.02827,,79,,211.8
17,0.03471,,82,,212
18,0.036335,,84,,212
19,0.03796,,86,,212
20,0.04106,,87.5,,212.1
21,0.04416,,89,,212.2
22,0.04736,,92,,212.2
23,0.05043,,93.5,,212.3
24,0.0535,,95,,212.4
25,0.0565,,97,,212.4
26,0.0595,,99,,212.4
27,0.062615,,100.5,,212.5
28,0.06573,,102,,212.6
29,0.06876,,103.333,,212.667
30,0.07179,,104.667,,212.733
31,0.07482,,106,,212.8
32,0.0779133,,107,,212.8
33,0.0810067,,108,,212.8
34,0.0841,,109,,212.8
35,0.0868067,,110,,212.8
36,0.0895133,,111,,212.8
37,0.09222,,112,,212.8
38,0.09438,,112.5,,212.9
39,0.09654,,113,,213
40,0.0993586,,113.429,,213.029
41,0.102177,,113.857,,213.057
42,0.104996,,114.286,,213.086
43,0.107814,,114.714,,213.114
44,0.110633,,115.143,,213.143
45,0.113451,,115.571,,213.171
46,0.11627,,116,,213.2
47,0.119411,,116.286,,213.229
48,0.122553,,116.571,,213.257
49,0.125694,,116.857,,213.286
50,0.128836,,117.143,,213.314
51,0.131977,,117.429,,213.343
52,0.135119,,117.714,,213.371
53,0.13826,,118,,213.4
54,0.14134,,118.286,,213.429
55,0.14442,,118.571,,213.457
56,0.1475,,118.857,,213.486
57,0.15058,,119.143,,213.514
58,0.15366,,119.429,,213.543
59,0.15674,,119.714,,213.571
60,0.15982,,120,,213.6
61,0.162929,,120.143,,213.629
62,0.166037,,120.286,,213.657
63,0.169146,,120.429,,213.686
64,0.172254,,120.571,,213.714
65,0.175363,,120.714,,213.743
66,0.178471,,120.857,,213.771
67,0.18158,,121,,213.8
68,0.184609,,121.286,,213.771
69,0.187637,,121.571,,213.743
70,0.190666,,121.857,,213.714
71,0.193694,,122.143,,213.686
72,0.196723,,122.429,,213.657
73,0.199751,,122.714,,213.629
74,0.20278,,123,,213.6
75,0.205585,,123.125,,213.575
76,0.20839,,123.25,,213.55
77,0.211195,,123.375,,213.525
78,0.214,,123.5,,213.5
79,0.216805,,123.625,,213.475
80,0.21961,,123.75,,213.45
81,0.222415,,123.875,,213.425
82,0.22522,,124,,213.4
83,0.228058,,124,,213.4
84,0.230895,,124,,213.4
85,0.233733,,124,,213.4
86,0.23657,,124,,213.4
87,0.239407,,124,,213.4
88,0.242245,,124,,213.4
89,0.245082,,124,,213.4
90,0.24792,,124,,213.4
91,0.250803,,124,,213.371
92,0.253686,,124,,213.343
93,0.256569,,124,,213.314
94,0.259451,,124,,213.286
95,0.262334,,124,,213.257
96,0.265217,,124,,213.229
97,0.2681,,124,,213.2
98,0.270961,,124.125,,213.175
99,0.273823,,124.25,,213.15
100,0.276684,,124.375,,213.125
101,0.279545,,124.5,,213.1
102,0.282406,,124.625,,213.075
103,0.285267,,124.75,,213.05
104,0.288129,,124.875,,213.025
105,0.29099,,125,,213
106,0.294023,,125,,213.057
107,0.297056,,125,,213.114
108,0.300089,,125,,213.171
109,0.303121,,125,,213.229
110,0.306154,,125,,213.286
111,0.309187,,125,,213.343
112,0.31222,,125,,213.4
113,0.315241,,125,,213.714
114,0.318263,,125,,214.029
115,0.321284,,125,,214.343
116,0.324306,,125,,214.657
117,0.327327,,125,,214.971
118,0.330349,,125,,215.286
119,0.33337,,125,,215.6
120,0.336279,,125.143,,215.743
121,0.339187,,125.286,,215.886
122,0.342096,,125.429,,216.029
123,0.345004,,125.571,,216.171
124,0.347913,,125.714,,216.314
125,0.350821,,125.857,,216.457
126,0.35373,,126,,216.6
127,0.35699,,126,,216.2
128,0.360239,,126,,215.771
129,0.363487,,126,,215.343
130,0.366736,,126,,214.914
131,0.369984,,126,,214.486
132,0.373233,,126,,214.057
133,0.376481,,126,,213.629
134,0.37973,,126,,213.2
135,0.3826,,126,,212.857
136,0.38547,,126,,212.514
137,0.38834,,126,,212.171
138,0.39121,,126,,211.829
139,0.39408,,126,,211.486
140,0.39695,,126,,211.143
141,0.39982,,126,,210.8
142,0.403006,,125.857,,210.743
143,0.406191,,125.714,,210.686
144,0.409377,,125.571,,210.629
145,0.412563,,125.429,,210.571
146,0.415749,,125.286,,210.514
147,0.418934,,125.143,,210.457
148,0.42212,,125,,210.4
149,0.42565,,124.833,,210.333
150,0.42918,,124.667,,210.267
151,0.43271,,124.5,,210.2
152,0.43624,,124.333,,210.133
153,0.43977,,124.167,,210.067
154,0.4433,,124,,210
155,0.44671,,124,,209.967
156,0.45012,,124,,209.933
157,0.45353,,124,,209.9
158,0.45694,,124,,209.867
159,0.46035,,124,,209.833
160,0.46376,,124,,209.8
161,0.46691,,124.143,,209.829
162,0.47006,,124.286,,209.857
163,0.47321,,124.429,,209.886
164,0.47636,,124.571,,209.914
165,0.47951,,124.714,,209.943
166,0.48266,,124.857,,209.971
167,0.48581,,125,,210
168,0.488926,,124.857,,210.057
169,0.492041,,124.714,,210.114
170,0.495157,,124.571,,210.171
171,0.498273,,124.429,,210.229
172,0.501389,,124.286,,210.286
173,0.504504,,124.143,,210.343
174,0.50762,,124,,210.4
175,0.510766,,124.143,,210.429
176,0.513911,,124.286,,210.457
177,0.517057,,124.429,,210.486
178,0.520203,,124.571,,210.514
179,0.523349,,124.714,,210.543
180,0.526494,,124.857,,210.571
181,0.52964,,125,,210.6
182,0.532709,,125,,210.543
183,0.535777,,125,,210.486
184,0.538846,,125,,210.429
185,0.541914,,125,,210.371
186,0.544983,,125,,210.314
187,0.548051,,125,,210.257
188,0.55112,,125,,210.2
189,0.554019,,125,,210.143
190,0.556917,,125,,210.086
191,0.559816,,125,,210.029
192,0.562714,,125,,209.971
193,0.565613,,125,,209.914
194,0.568511,,125,,209.857
195,0.57141,,125,,209.8
196,0.574459,,125,,209.8
197,0.577507,,125,,209.8
198,0.580556,,125,,209.8
199,0.583604,,125,,209.8
200,0.586653,,125,,209.8
201,0.589701,,125,,209.8
202,0.59275,,125,,209.8
203,0.595781,,125.143,,209.8
204,0.598813,,125.286,,209.8
205,0.601844,,125.429,,209.8
206,0.604876,,125.571,,209.8
