secs,km,power,hr,cad,alt
0,0,,0,,116.493
1,0.000180827,,0,,116.304
2,0.000361654,,0,,116.116
3,0.000542481,,0,,115.927
4,0.000723308,,0,,115.739
5,0.000904134,,0,,115.551
6,0.00108496,,0,,115.362
7,0.00126579,,0,,115.174
8,0.00144662,,0,,114.985
9,0.00287772,,0,,114.968
10,0.00430883,,0,,114.95
11,0.0053106,,16.2,,114.864
12,0.00631238,,32.4,,114.777
13,0.00731415,,48.6,,114.691
14,0.00831593,,64.8,,114.604
15,0.0093177,,81,,114.518
16,0.0138409,,81,,114.576
17,0.0183642,,81,,114.633
18,0.0228874,,81,,114.691
19,0.0247358,,81,,114.691
20,0.0265842,,81,,114.691
21,0.0284326,,81,,114.691
22,0.030281,,81,,114.691
23,0.0321294,,81,,114.691
24,0.0339777,,81,,114.691
25,0.0348595,,81,,114.691
26,0.0357412,,81,,114.691
27,0.036623,,81,,114.691
28,0.0383473,,81,,114.691
29,0.0400715,,81,,114.691
30,0.0415659,,81,,114.691
31,0.0430602,,81,,114.691
32,0.0445546,,81,,114.691
33,0.0446905,,84,,114.691
34,0.0448265,,87,,114.691
35,0.0449625,,90,,114.691
36,0.0450985,,93,,114.691
37,0.0452344,,96,,114.691
38,0.0453704,,99,,114.691
39,0.0455064,,102,,114.691
40,0.0544022,,102,,114.693
41,0.0561035,,101.75,,114.706
42,0.0578048,,101.5,,114.72
43,0.0595062,,101.25,,114.733
44,0.0612075,,101,,114.747
45,0.0660554,,101,,114.762
46,0.0709034,,101,,114.777
47,0.0738862,,101,,114.801
48,0.0768691,,101,,114.824
49,0.0798564,,102.2,,114.845
50,0.0828437,,103.4,,114.865
51,0.085831,,104.6,,114.886
52,0.0888184,,105.8,,114.906
53,0.0918057,,107,,114.927
54,0.0934052,,107,,114.96
55,0.0950047,,107,,114.993
56,0.0966043,,107,,115.026
57,0.0982038,,107,,115.059
58,0.10184,,107,,115.098
59,0.105477,,107,,115.137
60,0.10754,,111.667,,115.163
61,0.109603,,116.333,,115.19
62,0.111666,,121,,115.216
63,0.113777,,121,,115.242
64,0.115889,,121,,115.269
65,0.118001,,121,,115.295
66,0.120259,,122,,115.322
67,0.122517,,123,,115.349
68,0.124775,,124,,115.377
69,0.128209,,125.333,,115.408
70,0.131644,,126.667,,115.439
71,0.135078,,128,,115.47
72,0.136897,,128,,115.493
73,0.138716,,128,,115.516
74,0.140535,,128,,115.539
75,0.141931,,128.333,,115.589
76,0.143328,,128.667,,115.639
77,0.144724,,129,,115.688
78,0.147601,,129,,115.763
79,0.150478,,129,,115.838
80,0.152451,,129.333,,115.903
81,0.154424,,129.667,,115.969
82,0.156398,,130,,116.034
83,0.157631,,130.4,,116.075
84,0.158865,,130.8,,116.117
85,0.160099,,131.2,,116.158
86,0.161332,,131.6,,116.2
87,0.162566,,132,,116.241
88,0.165437,,132,,116.31
89,0.168309,,132,,116.379
90,0.17118,,132,,116.448
91,0.172764,,131.667,,116.521
92,0.174349,,131.333,,116.594
93,0.175933,,131,,116.668
94,0.177617,,131,,116.749
95,0.1793,,131,,116.83
96,0.180984,,131,,116.912
97,0.182951,,131.5,,116.976
98,0.184918,,132,,117.04
99,0.186885,,132.5,,117.104
100,0.188852,,133,,117.169
101,0.19035,,134,,117.255
102,0.191849,,135,,117.341
103,0.193347,,136,,117.427
104,0.195361,,136,,117.517
105,0.197376,,136,,117.607
106,0.19939,,136,,117.697
107,0.200982,,136,,117.808
108,0.202573,,136,,117.919
109,0.204164,,136,,118.03
110,0.205739,,136.333,,118.157
111,0.207314,,136.667,,118.285
112,0.208888,,137,,118.413
113,0.21014,,137,,118.479
114,0.211391,,137,,118.545
115,0.212643,,137,,118.612
116,0.215072,,136.25,,118.679
117,0.217501,,135.5,,118.747
118,0.219929,,134.75,,118.814
119,0.222358,,134,,118.881
120,0.22393,,134,,118.971
121,0.225501,,134,,119.06
122,0.227073,,134,,119.15
123,0.229052,,134,,119.278
124,0.231031,,134,,119.406
125,0.234942,,134,,119.529
126,0.238854,,134,,119.653
127,0.240951,,133,,119.765
128,0.243048,,132,,119.877
129,0.245144,,131,,119.988
130,0.247241,,130,,120.1
131,0.251863,,130.5,,120.198
132,0.256485,,131,,120.296
133,0.260884,,131,,120.384
134,0.265283,,131,,120.472
135,0.269318,,131,,120.557
136,0.273353,,131,,120.643
137,0.275553,,131,,120.708
138,0.277753,,131,,120.773
139,0.279953,,131,,120.839
140,0.282153,,131,,120.904
141,0.286094,,129,,120.947
142,0.290034,,127,,120.99
143,0.294625,,127,,121.023
144,0.299215,,127,,121.057
145,0.301656,,126.75,,121.082
146,0.304097,,126.5,,121.107
147,0.306538,,126.25,,121.132
148,0.308979,,126,,121.158
149,0.313107,,126,,121.159
150,0.317234,,126,,121.161
151,0.322238,,125,,121.151
152,0.327241,,124,,121.141
153,0.331805,,124,,121.114
154,0.336369,,124,,121.087
155,0.338905,,124.25,,121.045
156,0.341442,,124.5,,121.004
157,0.343979,,124.75,,120.963
158,0.346515,,125,,120.922
159,0.350852,,125,,120.86
160,0.355189,,125,,120.797
161,0.359489,,125.5,,120.721
162,0.363789,,126,,120.646
163,0.366521,,126,,120.554
164,0.369253,,126,,120.463
165,0.371985,,126,,120.371
166,0.374717,,126,,120.28
167,0.379014,,126.5,,120.169
168,0.383311,,127,,120.059
169,0.387974,,127,,119.945
170,0.392637,,127,,119.832
171,0.396643,,126.5,,119.713
172,0.400649,,126,,119.593
