secs,km,power,hr,cad,alt
0,0,,73,,7.4
1,0.00086,,76,,7.6
2,0.00188,,78,,7.6
3,0.00314,,79,,7.8
4,0.00468,,80,,8
5,0.00604,,83,,8.2
6,0.00772,,83,,8.2
7,0.0094,,82,,8.4
8,0.01139,,81,,8.4
9,0.01351,,81,,8.4
10,0.0157,,81,,8.4
11,0.01803,,82,,8.4
12,0.02009,,84,,8.4
13,0.02223,,85,,8.4
14,0.0247,,88,,8.4
15,0.02688,,93,,8.4
16,0.02902,,95,,8.2
17,0.03164,,97,,8.2
18,0.03447,,100,,8
19,0.03738,,102,,7.8
20,0.04043,,103,,7.6
21,0.04335,,104,,7.6
22,0.04631,,104,,7.4
23,0.04917,,110,,7.4
24,0.05209,,115,,7.2
25,0.05517,,120,,7
26,0.0581,,118,,6.8
27,0.06089,,117,,6.8
28,0.06382,,122,,6.6
29,0.0667,,124,,6.6
30,0.06939,,125,,6.8
31,0.07222,,125,,6.6
32,0.07526,,125,,6.4
33,0.07821,,128,,6.2
34,0.08117,,128,,5.8
35,0.08433,,127,,5.6
36,0.08707,,126,,6
37,0.08974,,127,,5.8
38,0.0917,,127,,6
39,0.09322,,128,,6
40,0.09417,,131,,6
41,0.09461,,133,,6
42,0.09489,,133,,5.8
43,0.09502,,131,,5.8
44,0.09511,,130,,6
45,0.09521,,130,,6
46,0.09521,,129,,6.2
47,0.09521,,129,,6.2
48,0.09542,,131,,6.2
49,0.0955,,137,,6.4
50,0.09576,,140,,6.4
51,0.09596,,140,,6.4
52,0.09721,,144,,6.4
53,0.09805,,140,,6.2
54,0.0997,,136,,6.2
55,0.10111,,135,,6.2
56,0.10232,,138,,6.2
57,0.10374,,138,,6.2
58,0.10518,,134,,6.2
59,0.10683,,134,,6.2
60,0.10822,,134,,6.2
61,0.10962,,137,,6.2
62,0.11111,,137,,6.2
63,0.11253,,136,,6.2
64,0.11407,,137,,6.4
65,0.11569,,137,,6.4
66,0.11706,,137,,6.4
67,0.11843,,133,,6.4
68,0.11979,,130,,6.4
69,0.12126,,129,,6.4
70,0.1225,,130,,6.4
71,0.12365,,133,,6.4
72,0.12465,,137,,6.4
73,0.12615,,138,,6.4
74,0.12761,,141,,6.4
75,0.12925,,143,,6.4
76,0.13102,,142,,6.4
77,0.13261,,141,,6.4
78,0.13422,,142,,6.4
79,0.1358,,141,,6.4
80,0.13741,,142,,6.2
81,0.13904,,140,,6.2
82,0.14055,,139,,6
83,0.14247,,139,,6
84,0.14418,,140,,6.2
85,0.14571,,143,,6
86,0.14754,,142,,6
87,0.14902,,144,,6
88,0.15026,,145,,6
89,0.15181,,146,,6
90,0.15356,,146,,5.8
91,0.15536,,143,,5.8
92,0.15732,,140,,5.8
93,0.15909,,138,,6
94,0.16049,,138,,5.8
95,0.16177,,138,,6
96,0.16307,,138,,5.8
97,0.16424,,138,,5.8
98,0.16568,,138,,5.8
99,0.16696,,138,,5.8
100,0.16837,,138,,5.8
101,0.16989,,137,,5.8
102,0.17142,,137,,6
103,0.17294,,137,,6
104,0.17448,,137,,6
105,0.17615,,137,,5.8
106,0.17802,,137,,5.8
107,0.17967,,137,,5.6
108,0.18146,,138,,5.6
109,0.18339,,138,,5.6
110,0.18509,,139,,5.4
111,0.18669,,139,,5.4
112,0.18839,,139,,5.4
113,0.19005,,139,,5.4
114,0.19162,,139,,5.2
115,0.19324,,140,,5.2
