secs,km,power,hr,cad,alt
0,0,,92,,267.4
1,0,,92,,267.4
2,0.004572,,92,,267.6
3,0.009144,,92,,267.8
4,0.013716,,92,,268
5,0.018288,,92,,268.2
6,0.02286,,92,,268.4
7,0.027004,,92,,268.6
8,0.031148,,92,,268.8
9,0.035292,,92,,269
10,0.039436,,92,,269.2
11,0.04358,,92,,269.4
12,0.045565,,93.5,,269.5
13,0.04755,,95,,269.6
14,0.05531,,98,,270
15,0.05902,,102,,270
16,0.06278,,102,,270.2
17,0.06645,,104,,270.2
18,0.07012,,106,,270.2
19,0.07376,,109,,270.2
20,0.0774133,,110.667,,270.267
21,0.0810667,,112.333,,270.333
22,0.08472,,114,,270.4
23,0.08847,,116,,270.6
24,0.09222,,118,,270.8
25,0.09578,,122,,271
26,0.09946,,121,,271
27,0.10309,,124,,271.2
28,0.10691,,128,,271.2
29,0.11084,,132,,271.4
30,0.114675,,133.5,,271.6
31,0.11851,,135,,271.8
32,0.12205,,134.4,,271.76
33,0.12559,,133.8,,271.72
34,0.12913,,133.2,,271.68
35,0.13267,,132.6,,271.64
36,0.13621,,132,,271.6
37,0.13976,,130.667,,271.667
38,0.14331,,129.333,,271.733
39,0.14686,,128,,271.8
40,0.15053,,131,,271.8
41,0.15348,,131.143,,271.886
42,0.15643,,131.286,,271.971
43,0.15938,,131.429,,272.057
44,0.16233,,131.571,,272.143
45,0.16528,,131.714,,272.229
46,0.16823,,131.857,,272.314
47,0.17118,,132,,272.4
48,0.1789,,133,,272.6
49,0.182746,,133.6,,272.64
50,0.186592,,134.2,,272.68
51,0.190438,,134.8,,272.72
52,0.194284,,135.4,,272.76
53,0.19813,,136,,272.8
54,0.20014,,138.5,,272.8
55,0.20215,,141,,272.8
56,0.206152,,141,,272.8
57,0.210154,,141,,272.8
58,0.214156,,141,,272.8
59,0.218158,,141,,272.8
60,0.22216,,141,,272.8
61,0.22581,,142.333,,272.867
62,0.22946,,143.667,,272.933
63,0.23311,,145,,273
64,0.23683,,150,,273.2
65,0.24444,,153,,273.6
66,0.24818,,152.25,,273.65
67,0.25192,,151.5,,273.7
68,0.25566,,150.75,,273.75
69,0.2594,,150,,273.8
70,0.26121,,148.5,,274
71,0.26302,,147,,274.2
72,0.26677,,147.75,,274.25
73,0.27052,,148.5,,274.3
74,0.27427,,149.25,,274.35
75,0.27802,,150,,274.4
76,0.283415,,151.5,,274.5
77,0.28881,,153,,274.6
78,0.291946,,153,,274.314
79,0.295081,,153,,274.029
80,0.298217,,153,,273.743
81,0.301353,,153,,273.457
82,0.304489,,153,,273.171
83,0.307624,,153,,272.886
84,0.31076,,153,,272.6
85,0.315195,,152.667,,272.367
86,0.31963,,152.333,,272.133
87,0.324065,,152,,271.9
88,0.3285,,151.667,,271.667
89,0.332935,,151.333,,271.433
90,0.33737,,151,,271.2
91,0.341026,,151,,271.086
92,0.344681,,151,,270.971
93,0.348337,,151,,270.857
94,0.351993,,151,,270.743
95,0.355649,,151,,270.629
96,0.359304,,151,,270.514
97,0.36296,,151,,270.4
98,0.36648,,151.333,,270.2
99,0.37,,151.667,,270
100,0.37352,,152,,269.8
101,0.37704,,152.333,,269.6
102,0.38056,,152.667,,269.4
103,0.38408,,153,,269.2
104,0.386866,,152.75,,269.15
105,0.389652,,152.5,,269.1
106,0.392439,,152.25,,269.05
107,0.395225,,152,,269
108,0.398011,,151.75,,268.95
109,0.400798,,151.5,,268.9
110,0.403584,,151.25,,268.85
111,0.40637,,151,,268.8
112,0.41199,,152,,268.2
113,0.415096,,151.4,,267.8
114,0.418202,,150.8,,267.4
115,0.421308,,150.2,,267
116,0.424414,,149.6,,266.6
117,0.42752,,149,,266.2
118,0.429975,,150,,266.05
119,0.43243,,151,,265.9
120,0.434885,,152,,265.75
121,0.43734,,153,,265.6
122,0.440594,,153.143,,265.429
123,0.443849,,153.286,,265.257
124,0.447103,,153.429,,265.086
125,0.450357,,153.571,,264.914
126,0.453611,,153.714,,264.743
127,0.456866,,153.857,,264.571
128,0.46012,,154,,264.4
129,0.465,,151,,264
130,0.46988,,148,,263.6
131,0.47323,,149,,263.6
132,0.476054,,148.875,,263.5
133,0.478877,,148.75,,263.4
134,0.481701,,148.625,,263.3
135,0.484525,,148.5,,263.2
136,0.487349,,148.375,,263.1
137,0.490173,,148.25,,263
138,0.492996,,148.125,,262.9
139,0.49582,,148,,262.8
140,0.499069,,148,,262.8
141,0.502317,,148,,262.8
142,0.505566,,148,,262.8
143,0.508814,,148,,262.8
144,0.512063,,148,,262.8
145,0.515311,,148,,262.8
146,0.51856,,148,,262.8
147,0.522554,,148.6,,262.88
148,0.526548,,149.2,,262.96
149,0.530542,,149.8,,263.04
150,0.534536,,150.4,,263.12
151,0.53853,,151,,263.2
152,0.541985,,152.5,,263.3
153,0.54544,,154,,263.4
154,0.548863,,154,,263.371
155,0.552286,,154,,263.343
156,0.555709,,154,,263.314
157,0.559131,,154,,263.286
158,0.562554,,154,,263.257
159,0.565977,,154,,263.229
160,0.5694,,154,,263.2
161,0.572693,,154,,263.343
162,0.575986,,154,,263.486
