secs,km,power,hr,cad,alt
0,0,,108,,42
1,0.00186,,108,,42
2,0.00347,,108,,41.8
3,0.00512,,108,,41
4,0.00649,,108,,40.8
5,0.00808,,108,,39.6
6,0.00963,,108,,38.8
7,0.01117,,108,,38.2
8,0.01235,,108,,37.6
9,0.01365,,108,,36.8
10,0.01501,,107,,36
11,0.01667,,107,,35.6
12,0.01837,,107,,35.2
13,0.02048,,107,,35
14,0.02235,,106,,35.2
15,0.02376,,106,,35.4
16,0.0249,,106,,35.4
17,0.0258,,106,,35.8
18,0.02684,,106,,36
19,0.02813,,107,,36.6
20,0.02941,,107,,36.8
21,0.03069,,107,,37.2
22,0.03173,,107,,37.4
23,0.03266,,107,,37.6
24,0.03432,,107,,37.8
25,0.0359,,107,,38
26,0.03728,,107,,38.2
27,0.03887,,107,,38.4
28,0.04078,,107,,38.6
29,0.04264,,107,,38.8
30,0.04405,,107,,39
31,0.04618,,107,,38.6
32,0.04791,,107,,38.4
33,0.04975,,107,,37.8
34,0.05163,,107,,37.4
35,0.05294,,107,,37.2
36,0.05436,,107,,37
37,0.05618,,107,,36.6
38,0.05804,,107,,36.4
39,0.06043,,107,,36.2
40,0.0628,,107,,36
41,0.06516,,107,,36
42,0.06707,,107,,35.8
43,0.0689,,107,,35.6
44,0.07086,,107,,35.4
45,0.0729,,107,,35.2
46,0.07497,,107,,34.8
47,0.07676,,106,,34.6
48,0.07826,,106,,34.4
49,0.07994,,106,,34.2
50,0.08235,,106,,33.8
51,0.08451,,106,,33.8
52,0.08667,,106,,33.6
53,0.08871,,106,,33.6
54,0.09089,,106,,33.4
55,0.09317,,106,,33.4
56,0.09557,,106,,33.2
57,0.09825,,106,,33.2
58,0.10046,,106,,33.2
59,0.10269,,106,,33
60,0.10482,,106,,32.8
61,0.10677,,107,,32.8
62,0.10872,,107,,32.6
63,0.11029,,108,,32.6
64,0.1119,,108,,32.4
65,0.11352,,108,,32.4
66,0.1151,,109,,32.2
67,0.11672,,109,,32.2
68,0.11817,,109,,32
69,0.11968,,109,,31.8
70,0.12113,,109,,31.8
71,0.12241,,109,,31.6
72,0.12406,,109,,31.4
73,0.12592,,109,,31.2
74,0.12788,,109,,31
75,0.13002,,109,,30.8
76,0.1322,,109,,30.6
77,0.13415,,109,,30.4
78,0.13618,,109,,30.2
79,0.13798,,109,,30.2
80,0.13972,,109,,30
81,0.14111,,109,,29.8
82,0.1423,,109,,29.6
83,0.14329,,109,,29.4
84,0.1442,,109,,29
85,0.1448,,109,,28.6
86,0.1451,,109,,28.6
87,0.14539,,108,,28.4
88,0.14548,,108,,28.2
89,0.14548,,108,,28
90,0.14548,,108,,27.8
91,0.14548,,107.875,,27.65
92,0.14548,,107.75,,27.5
93,0.14548,,107.625,,27.35
94,0.14548,,107.5,,27.2
95,0.14548,,107.375,,27.05
96,0.14548,,107.25,,26.9
97,0.14548,,107.125,,26.75
98,0.14548,,107,,26.6
99,0.14715,,107,,26.6
100,0.14886,,108,,26.4
101,0.15083,,110,,26.4
102,0.15291,,111,,26.4
103,0.15506,,112,,26.2
104,0.15734,,112,,26.2
105,0.15959,,114,,26
106,0.16224,,115,,25.8
107,0.16535,,115,,25.8
108,0.16869,,116,,25.6
109,0.17184,,116,,25.4
110,0.17505,,116,,25.2
111,0.17801,,116,,25
112,0.18076,,116,,24.6
113,0.18333,,115,,24.4
114,0.18559,,115,,24.2
115,0.18774,,114,,24.2
116,0.18988,,113,,23.8
117,0.19192,,113,,23.6
118,0.19386,,112,,23.6
119,0.19583,,112,,23.6
120,0.19787,,112,,23.6
121,0.19989,,111,,23.4
122,0.20188,,112,,23.2
123,0.20403,,112,,23.2
124,0.20625,,113,,23
125,0.2086,,113,,22.8
126,0.21093,,113,,22.8
127,0.21306,,114,,22.8
128,0.21509,,114,,22.6
129,0.21707,,114,,22.6
130,0.2191,,114,,22.4
131,0.22113,,114,,22.2
132,0.22312,,114,,22.2
133,0.22512,,114,,22
134,0.22723,,114,,21.8
135,0.2293,,114,,21.8
136,0.23132,,114,,21.6
137,0.23335,,114,,21.4
138,0.23546,,114,,21.4
139,0.23754,,114,,21.2
140,0.23981,,114,,21.2
141,0.24209,,114,,21.2
142,0.24421,,113,,21.2
143,0.24635,,113,,21
