secs,km,power,hr,cad,alt
0,0,,121,,75.6
1,0.0015,,122,,76.2
2,0.0015,,123,,75.95
3,0.0015,,124,,75.7
4,0.0015,,125,,75.45
5,0.0015,,126,,75.2
6,0.00353333,,126,,75.3333
7,0.00556667,,126,,75.4667
8,0.0076,,126,,75.6
9,0.0091,,125,,75.6
10,0.0106,,124,,75.6
11,0.0121,,123,,75.6
12,0.01395,,122.75,,75.5
13,0.0158,,122.5,,75.4
14,0.01765,,122.25,,75.3
15,0.0195,,122,,75.2
16,0.0218833,,122.333,,75.1667
17,0.0242667,,122.667,,75.1333
18,0.02665,,123,,75.1
19,0.0290333,,123.333,,75.0667
20,0.0314167,,123.667,,75.0333
21,0.0338,,124,,75
22,0.0359667,,124,,75.0667
23,0.0381333,,124,,75.1333
24,0.0403,,124,,75.2
25,0.04275,,124.333,,75.2333
26,0.0452,,124.667,,75.2667
27,0.04765,,125,,75.3
28,0.0501,,125.333,,75.3333
29,0.05255,,125.667,,75.3667
30,0.055,,126,,75.4
31,0.05728,,126.2,,75.32
32,0.05956,,126.4,,75.24
33,0.06184,,126.6,,75.16
34,0.06412,,126.8,,75.08
35,0.0664,,127,,75
36,0.0687167,,127.333,,74.9667
37,0.0710333,,127.667,,74.9333
38,0.07335,,128,,74.9
39,0.0756667,,128.333,,74.8667
40,0.0779833,,128.667,,74.8333
41,0.0803,,129,,74.8
42,0.0826,,127,,75
43,0.0851,,127.2,,74.96
44,0.0876,,127.4,,74.92
45,0.0901,,127.6,,74.88
46,0.0926,,127.8,,74.84
47,0.0951,,128,,74.8
48,0.09775,,128.5,,74.5
49,0.1004,,129,,74.2
50,0.102875,,129,,74.1
51,0.10535,,129,,74
52,0.107825,,129,,73.9
53,0.1103,,129,,73.8
54,0.11268,,129.6,,73.88
55,0.11506,,130.2,,73.96
56,0.11744,,130.8,,74.04
57,0.11982,,131.4,,74.12
58,0.1222,,132,,74.2
59,0.1247,,133,,74.4
60,0.127017,,133,,74.4
61,0.129333,,133,,74.4
62,0.13165,,133,,74.4
