secs,km,power,hr,cad,alt
0,0,,70,,315.8
1,0.002515,,71.5,,316
2,0.00503,,73,,316.2
3,0.007925,,74.5,,316.1
4,0.01082,,76,,316
5,0.013965,,77.5,,316.2
6,0.01711,,79,,316.4
7,0.02016,,81,,316.4
8,0.02321,,83,,316.4
9,0.02635,,84.5,,316.4
10,0.02949,,86,,316.4
11,0.032525,,88,,316.1
12,0.03556,,90,,315.8
13,0.038615,,91.5,,316
14,0.04167,,93,,316.2
15,0.0446367,,94.3333,,316.2
16,0.0476033,,95.6667,,316.2
17,0.05057,,97,,316.2
18,0.0534667,,97.5,,316.233
19,0.0563633,,98,,316.267
20,0.05926,,98.5,,316.3
21,0.0621567,,99,,316.333
22,0.0650533,,99.5,,316.367
23,0.06795,,100,,316.4
24,0.0707225,,100.75,,316.3
25,0.073495,,101.5,,316.2
26,0.0762675,,102.25,,316.1
27,0.07904,,103,,316
28,0.0816675,,103.75,,316
29,0.084295,,104.5,,316
30,0.0869225,,105.25,,316
31,0.08955,,106,,316
32,0.092276,,106.6,,315.96
33,0.095002,,107.2,,315.92
34,0.097728,,107.8,,315.88
35,0.100454,,108.4,,315.84
36,0.10318,,109,,315.8
37,0.106047,,109.286,,315.8
38,0.108914,,109.571,,315.8
39,0.111781,,109.857,,315.8
40,0.114649,,110.143,,315.8
41,0.117516,,110.429,,315.8
42,0.120383,,110.714,,315.8
43,0.12325,,111,,315.8
44,0.126219,,111.143,,315.771
45,0.129187,,111.286,,315.743
46,0.132156,,111.429,,315.714
47,0.135124,,111.571,,315.686
48,0.138093,,111.714,,315.657
49,0.141061,,111.857,,315.629
50,0.14403,,112,,315.6
51,0.14717,,113,,315.6
52,0.15031,,114,,315.6
53,0.15345,,115,,315.6
54,0.156309,,115.286,,315.543
55,0.159167,,115.571,,315.486
56,0.162026,,115.857,,315.429
57,0.164884,,116.143,,315.371
58,0.167743,,116.429,,315.314
59,0.170601,,116.714,,315.257
60,0.17346,,117,,315.2
61,0.17652,,117.429,,315.2
62,0.17958,,117.857,,315.2
63,0.18264,,118.286,,315.2
64,0.1857,,118.714,,315.2
65,0.18876,,119.143,,315.2
66,0.19182,,119.571,,315.2
67,0.19488,,120,,315.2
68,0.197547,,120.25,,315.2
69,0.200215,,120.5,,315.2
70,0.202882,,120.75,,315.2
71,0.20555,,121,,315.2
72,0.208217,,121.25,,315.2
73,0.210885,,121.5,,315.2
74,0.213553,,121.75,,315.2
75,0.21622,,122,,315.2
76,0.21893,,122,,315.171
77,0.22164,,122,,315.143
78,0.22435,,122,,315.114
79,0.22706,,122,,315.086
80,0.22977,,122,,315.057
81,0.23248,,122,,315.029
82,0.23519,,122,,315
83,0.23791,,121.875,,314.975
84,0.24063,,121.75,,314.95
85,0.24335,,121.625,,314.925
86,0.24607,,121.5,,314.9
87,0.24879,,121.375,,314.875
88,0.25151,,121.25,,314.85
89,0.25423,,121.125,,314.825
90,0.25695,,121,,314.8
91,0.25947,,120.875,,314.8
92,0.26199,,120.75,,314.8
93,0.26451,,120.625,,314.8
94,0.26703,,120.5,,314.8
95,0.26955,,120.375,,314.8
96,0.27207,,120.25,,314.8
97,0.27459,,120.125,,314.8
98,0.27711,,120,,314.8
99,0.280073,,120.143,,314.686
100,0.283036,,120.286,,314.571
101,0.285999,,120.429,,314.457
102,0.288961,,120.571,,314.343
103,0.291924,,120.714,,314.229
104,0.294887,,120.857,,314.114
105,0.29785,,121,,314
106,0.3008,,121,,313.8
107,0.303544,,121,,313.75
108,0.306287,,121,,313.7
109,0.309031,,121,,313.65
110,0.311775,,121,,313.6
111,0.314519,,121,,313.55
112,0.317263,,121,,313.5
113,0.320006,,121,,313.45
114,0.32275,,121,,313.4
115,0.325686,,121,,313.343
116,0.328621,,121,,313.286
117,0.331557,,121,,313.229
118,0.334493,,121,,313.171
119,0.337429,,121,,313.114
120,0.340364,,121,,313.057
121,0.3433,,121,,313
122,0.34588,,121.125,,313
123,0.34846,,121.25,,313
124,0.35104,,121.375,,313
125,0.35362,,121.5,,313
126,0.3562,,121.625,,313
127,0.35878,,121.75,,313
128,0.36136,,121.875,,313
129,0.36394,,122,,313
130,0.366327,,122,,312.933
131,0.368713,,122,,312.867
132,0.3711,,122,,312.8
133,0.373454,,122.111,,312.822
134,0.375809,,122.222,,312.844
135,0.378163,,122.333,,312.867
136,0.380518,,122.444,,312.889
137,0.382872,,122.556,,312.911
138,0.385227,,122.667,,312.933
139,0.387581,,122.778,,312.956
140,0.389936,,122.889,,312.978
141,0.39229,,123,,313
142,0.394891,,122.875,,313
143,0.397492,,122.75,,313
144,0.400094,,122.625,,313
145,0.402695,,122.5,,313
146,0.405296,,122.375,,313
147,0.407897,,122.25,,313
148,0.410499,,122.125,,313
