secs,km,power,hr,cad,alt
0,0,,138,,159.8
1,0.00308,,138,,159.6
2,0.007084,,138,,159.52
3,0.011088,,138,,159.44
4,0.015092,,138,,159.36
5,0.019096,,138,,159.28
6,0.0231,,138,,159.2
7,0.02679,,138.333,,159.167
8,0.03048,,138.667,,159.133
9,0.03417,,139,,159.1
10,0.03786,,139.333,,159.067
11,0.04155,,139.667,,159.033
12,0.04524,,140,,159
13,0.049205,,141.5,,158.9
14,0.05317,,143,,158.8
15,0.0571,,147,,158.8
16,0.06202,,152,,158.6
17,0.06616,,156,,158.6
18,0.07057,,156.4,,158.6
19,0.07498,,156.8,,158.6
20,0.07939,,157.2,,158.6
21,0.0838,,157.6,,158.6
22,0.08821,,158,,158.6
23,0.09198,,159.5,,158.5
24,0.09575,,161,,158.4
25,0.0996367,,161.167,,158.4
26,0.103523,,161.333,,158.4
27,0.10741,,161.5,,158.4
28,0.111297,,161.667,,158.4
29,0.115183,,161.833,,158.4
30,0.11907,,162,,158.4
31,0.122895,,162.75,,158.4
32,0.12672,,163.5,,158.4
33,0.130545,,164.25,,158.4
34,0.13437,,165,,158.4
35,0.138237,,165.167,,158.433
36,0.142103,,165.333,,158.467
37,0.14597,,165.5,,158.5
38,0.149837,,165.667,,158.533
39,0.153703,,165.833,,158.567
40,0.15757,,166,,158.6
41,0.161295,,166.333,,158.6
42,0.16502,,166.667,,158.6
43,0.168745,,167,,158.6
44,0.17247,,167.333,,158.6
45,0.176195,,167.667,,158.6
46,0.17992,,168,,158.6
47,0.183552,,168.667,,158.6
48,0.187183,,169.333,,158.6
49,0.190815,,170,,158.6
50,0.194447,,170.667,,158.6
51,0.198078,,171.333,,158.6
52,0.20171,,172,,158.6
53,0.205338,,171.667,,158.6
54,0.208967,,171.333,,158.6
55,0.212595,,171,,158.6
56,0.216223,,170.667,,158.6
57,0.219852,,170.333,,158.6
58,0.22348,,170,,158.6
59,0.227008,,170.333,,158.6
60,0.230537,,170.667,,158.6
61,0.234065,,171,,158.6
62,0.237593,,171.333,,158.6
63,0.241122,,171.667,,158.6
64,0.24465,,172,,158.6
65,0.24814,,172,,158.6
66,0.25163,,172,,158.6
67,0.25512,,172,,158.6
68,0.25861,,172,,158.6
69,0.2621,,172,,158.6
70,0.26559,,172,,158.6
71,0.269092,,172.167,,158.567
72,0.272593,,172.333,,158.533
73,0.276095,,172.5,,158.5
74,0.279597,,172.667,,158.467
75,0.283098,,172.833,,158.433
76,0.2866,,173,,158.4
77,0.29014,,173.6,,158.4
78,0.29368,,174.2,,158.4
79,0.29722,,174.8,,158.4
80,0.30076,,175.4,,158.4
81,0.3043,,176,,158.4
82,0.308038,,175.667,,158.333
83,0.311777,,175.333,,158.267
84,0.315515,,175,,158.2
85,0.319253,,174.667,,158.133
86,0.322992,,174.333,,158.067
87,0.32673,,174,,158
88,0.330208,,174,,158
89,0.333687,,174,,158
90,0.337165,,174,,158
91,0.340643,,174,,158
92,0.344122,,174,,158
93,0.3476,,174,,158
94,0.351068,,174,,158.033
95,0.354537,,174,,158.067
96,0.358005,,174,,158.1
97,0.361473,,174,,158.133
98,0.364942,,174,,158.167
99,0.36841,,174,,158.2
100,0.371905,,173.833,,158.2
101,0.3754,,173.667,,158.2
102,0.378895,,173.5,,158.2
103,0.38239,,173.333,,158.2
104,0.385885,,173.167,,158.2
105,0.38938,,173,,158.2
106,0.392544,,172.857,,158.229
107,0.395709,,172.714,,158.257
108,0.398873,,172.571,,158.286
109,0.402037,,172.429,,158.314
110,0.405201,,172.286,,158.343
111,0.408366,,172.143,,158.371
112,0.41153,,172,,158.4
113,0.41502,,173,,158.467
114,0.41851,,174,,158.533
115,0.422,,175,,158.6
116,0.425314,,175.429,,158.629
117,0.428629,,175.857,,158.657
118,0.431943,,176.286,,158.686
119,0.435257,,176.714,,158.714
120,0.438571,,177.143,,158.743
121,0.441886,,177.571,,158.771
122,0.4452,,178,,158.8
123,0.448533,,177.714,,158.8
124,0.451866,,177.429,,158.8
125,0.455199,,177.143,,158.8
126,0.458531,,176.857,,158.8
127,0.461864,,176.571,,158.8
128,0.465197,,176.286,,158.8
129,0.46853,,176,,158.8
130,0.471987,,175.667,,158.767
131,0.475443,,175.333,,158.733
132,0.4789,,175,,158.7
133,0.482357,,174.667,,158.667
134,0.485813,,174.333,,158.633
135,0.48927,,174,,158.6
136,0.492516,,174.143,,158.571
137,0.495761,,174.286,,158.543
138,0.499007,,174.429,,158.514
139,0.502253,,174.571,,158.486
140,0.505499,,174.714,,158.457
141,0.508744,,174.857,,158.429
142,0.51199,,175,,158.4
143,0.515184,,174.714,,158.429
144,0.518379,,174.429,,158.457
145,0.521573,,174.143,,158.486
146,0.524767,,173.857,,158.514
147,0.527961,,173.571,,158.543
148,0.531156,,173.286,,158.571
149,0.53435,,173,,158.6
150,0.537451,,173,,158.571
151,0.540553,,173,,158.543
152,0.543654,,173,,158.514
153,0.546756,,173,,158.486
154,0.549857,,173,,158.457
155,0.552959,,173,,158.429
156,0.55606,,173,,158.4
157,0.559107,,173.286,,158.429
158,0.562154,,173.571,,158.457
159,0.565201,,173.857,,158.486
160,0.568249,,174.143,,158.514
161,0.571296,,174.429,,158.543
162,0.574343,,174.714,,158.571
163,0.57739,,175,,158.6
164,0.580546,,175.143,,158.629
165,0.583701,,175.286,,158.657
166,0.586857,,175.429,,158.686
167,0.590013,,175.571,,158.714
168,0.593169,,175.714,,158.743
169,0.596324,,175.857,,158.771
170,0.59948,,176,,158.8
171,0.602855,,176,,158.733
172,0.60623,,176,,158.667
173,0.609605,,176,,158.6
174,0.61298,,176,,158.533
175,0.616355,,176,,158.467
176,0.61973,,176,,158.4
177,0.623143,,176.167,,158.4
178,0.626557,,176.333,,158.4
179,0.62997,,176.5,,158.4
180,0.633383,,176.667,,158.4
181,0.636797,,176.833,,158.4
182,0.64021,,177,,158.4
183,0.643406,,176.714,,158.343
184,0.646601,,176.429,,158.286
185,0.649797,,176.143,,158.229
186,0.652993,,175.857,,158.171
187,0.656189,,175.571,,158.114
188,0.659384,,175.286,,158.057
189,0.66258,,175,,158
190,0.665993,,175.333,,158
191,0.669407,,175.667,,158
192,0.67282,,176,,158
193,0.676233,,176.333,,158
194,0.679647,,176.667,,158
195,0.68306,,177,,158
196,0.686802,,177,,157.92
197,0.690544,,177,,157.84
198,0.694286,,177,,157.76
199,0.698028,,177,,157.68
200,0.70177,,177,,157.6
201,0.705358,,176.833,,157.633
202,0.708947,,176.667,,157.667
203,0.712535,,176.5,,157.7
204,0.716123,,176.333,,157.733
205,0.719712,,176.167,,157.767
206,0.7233,,176,,157.8
207,0.726787,,175.833,,157.867
208,0.730273,,175.667,,157.933
209,0.73376,,175.5,,158
210,0.737247,,175.333,,158.067
211,0.740733,,175.167,,158.133
212,0.74422,,175,,158.2
213,0.747675,,175,,158.2
214,0.75113,,175,,158.2
215,0.754585,,175,,158.2
216,0.75804,,175,,158.2
217,0.761495,,175,,158.2
218,0.76495,,175,,158.2
219,0.768293,,174.667,,158.233
220,0.771637,,174.333,,158.267
221,0.77498,,174,,158.3
222,0.778323,,173.667,,158.333
223,0.781667,,173.333,,158.367
224,0.78501,,173,,158.4
225,0.788261,,172.857,,158.4
226,0.791513,,172.714,,158.4
227,0.794764,,172.571,,158.4
228,0.798016,,172.429,,158.4
229,0.801267,,172.286,,158.4
230,0.804519,,172.143,,158.4
231,0.80777,,172,,158.4
232,0.811107,,172.5,,158.45
233,0.814445,,173,,158.5
234,0.817782,,173.5,,158.55
235,0.82112,,174,,158.6
236,0.82446,,174.5,,158.6
237,0.8278,,175,,158.6
238,0.83114,,175.5,,158.6
239,0.83448,,176,,158.6
240,0.83782,,176.5,,158.6
241,0.84116,,177,,158.6
242,0.84466,,177,,158.6
243,0.84816,,177,,158.6
244,0.85166,,177,,158.6
245,0.85516,,177,,158.6
246,0.85866,,177,,158.6
247,0.86216,,177,,158.6
248,0.865662,,177,,158.567
249,0.869163,,177,,158.533
250,0.872665,,177,,158.5
251,0.876167,,177,,158.467
252,0.879668,,177,,158.433
253,0.88317,,177,,158.4
254,0.886585,,176.833,,158.467
255,0.89,,176.667,,158.533
256,0.893415,,176.5,,158.6
257,0.89683,,176.333,,158.667
258,0.900245,,176.167,,158.733
259,0.90366,,176,,158.8
260,0.907362,,176,,158.767
261,0.911063,,176,,158.733
262,0.914765,,176,,158.7
263,0.918467,,176,,158.667
264,0.922168,,176,,158.633
265,0.92587,,176,,158.6
266,0.92955,,176.167,,158.6
267,0.93323,,176.333,,158.6
268,0.93691,,176.5,,158.6
269,0.94059,,176.667,,158.6
270,0.94427,,176.833,,158.6
271,0.94795,,177,,158.6
272,0.951737,,177.333,,158.633
273,0.955523,,177.667,,158.667
274,0.95931,,178,,158.7
275,0.963097,,178.333,,158.733
276,0.966883,,178.667,,158.767
277,0.97067,,179,,158.8
278,0.974237,,179.333,,158.733
279,0.977803,,179.667,,158.667
280,0.98137,,180,,158.6
281,0.984937,,180.333,,158.533
282,0.988503,,180.667,,158.467
283,0.99207,,181,,158.4
284,0.995815,,181,,158.4
285,0.99956,,181,,158.4
286,1.00366,,181,,158.4
287,1.00777,,181,,158.4
