secs,km,power,hr,cad,alt
0,0,,121,,47.6
1,0.00253,,119,,47.4
2,0.00536,,131,,47.2
3,0.00844,,136,,47.2
4,0.01131,,141,,46.8
5,0.01457,,146,,46.6
6,0.0181,,149,,46.2
7,0.02166,,155,,45.8
8,0.0248025,,156.25,,45.6
9,0.027945,,157.5,,45.4
10,0.0310875,,158.75,,45.2
11,0.03423,,160,,45
12,0.037175,,161.5,,44.8
13,0.04012,,163,,44.6
14,0.042945,,166,,44.3
15,0.04577,,169,,44
16,0.04874,,169.667,,43.8333
17,0.05171,,170.333,,43.6667
18,0.05468,,171,,43.5
19,0.05765,,171.667,,43.3333
20,0.06062,,172.333,,43.1667
21,0.06359,,173,,43
22,0.0666867,,171.667,,43.0667
23,0.0697833,,170.333,,43.1333
24,0.07288,,169,,43.2
25,0.07608,,169.6,,43.52
26,0.07928,,170.2,,43.84
27,0.08248,,170.8,,44.16
28,0.08568,,171.4,,44.48
29,0.08888,,172,,44.8
30,0.091425,,172.5,,44.9333
31,0.09397,,173,,45.0667
32,0.096515,,173.5,,45.2
33,0.09906,,174,,45.3333
34,0.101605,,174.5,,45.4667
35,0.10415,,175,,45.6
36,0.106878,,176.8,,45.76
37,0.109606,,178.6,,45.92
38,0.112334,,180.4,,46.08
39,0.115062,,182.2,,46.24
40,0.11779,,184,,46.4
41,0.12049,,184,,46.6
42,0.1238,,182.5,,46.8
43,0.12711,,181,,47
44,0.13014,,189,,46.8
45,0.13317,,189,,46.8
46,0.135913,,188,,46.85
47,0.138655,,187,,46.9
48,0.141398,,186,,46.95
49,0.14414,,185,,47
50,0.14707,,185,,46.9
51,0.15,,185,,46.8
52,0.15281,,185.2,,47.04
53,0.15562,,185.4,,47.28
54,0.15843,,185.6,,47.52
55,0.16124,,185.8,,47.76
56,0.16405,,186,,48
57,0.167016,,185.571,,48.7143
58,0.169981,,185.143,,49.4286
59,0.172947,,184.714,,50.1429
60,0.175913,,184.286,,50.8571
61,0.178879,,183.857,,51.5714
62,0.181844,,183.429,,52.2857
63,0.18481,,183,,53
64,0.188064,,184.4,,53.08
65,0.191318,,185.8,,53.16
66,0.194572,,187.2,,53.24
67,0.197826,,188.6,,53.32
68,0.20108,,190,,53.4
69,0.20429,,190,,53.8
70,0.2077,,186,,53.8
71,0.21105,,185.833,,53.9667
72,0.2144,,185.667,,54.1333
73,0.21775,,185.5,,54.3
74,0.2211,,185.333,,54.4667
75,0.22445,,185.167,,54.6333
76,0.2278,,185,,54.8
77,0.23103,,187,,55.0667
78,0.23426,,189,,55.3333
79,0.23749,,191,,55.6
80,0.24083,,191,,55.6
81,0.24351,,191,,56
82,0.245895,,189.5,,56.3
83,0.24828,,188,,56.6
84,0.250995,,187.5,,56.8
85,0.25371,,187,,57
86,0.256914,,186.857,,57.2857
87,0.260119,,186.714,,57.5714
88,0.263323,,186.571,,57.8571
89,0.266527,,186.429,,58.1429
90,0.269731,,186.286,,58.4286
91,0.272936,,186.143,,58.7143
92,0.27614,,186,,59
93,0.279127,,186.286,,58.8286
94,0.282114,,186.571,,58.6571
