secs,km,power,hr,cad,alt
0,0,,65,,49.6
1,0.00073,,68,,49.6
2,0.00107,,74,,49.6
3,0.001645,,76.5,,49.6
4,0.00222,,79,,49.6
5,0.00404,,83,,49.6
6,0.00539,,83,,49.6
7,0.00614,,84,,49.6
8,0.00729333,,84.3333,,49.6
9,0.00844667,,84.6667,,49.6
10,0.0096,,85,,49.6
11,0.0113086,,85.5714,,49.6286
12,0.0130171,,86.1429,,49.6571
13,0.0147257,,86.7143,,49.6857
14,0.0164343,,87.2857,,49.7143
15,0.0181429,,87.8571,,49.7429
16,0.0198514,,88.4286,,49.7714
17,0.02156,,89,,49.8
18,0.023945,,91,,49.8
19,0.02633,,93,,49.8
20,0.0284733,,94,,49.8
21,0.0306167,,95,,49.8
22,0.03276,,96,,49.8
23,0.034865,,97.1667,,49.8333
24,0.03697,,98.3333,,49.8667
25,0.039075,,99.5,,49.9
26,0.04118,,100.667,,49.9333
27,0.043285,,101.833,,49.9667
28,0.04539,,103,,50
29,0.04735,,108,,50
30,0.04921,,113,,50
31,0.05131,,117,,50
32,0.05359,,122,,50
33,0.05541,,122,,50
34,0.05707,,121.2,,50
35,0.05873,,120.4,,50
36,0.06039,,119.6,,50
37,0.06205,,118.8,,50
38,0.06371,,118,,50
39,0.065265,,116.5,,50
40,0.06682,,115,,50
41,0.0685675,,114.25,,50
42,0.070315,,113.5,,50
43,0.0720625,,112.75,,50
44,0.07381,,112,,50
45,0.075795,,109.5,,50
46,0.07778,,107,,50
47,0.0797629,,106.571,,50
48,0.0817457,,106.143,,50
49,0.0837286,,105.714,,50
50,0.0857114,,105.286,,50
51,0.0876943,,104.857,,50
52,0.0896771,,104.429,,50
53,0.09166,,104,,50
54,0.09323,,107,,50
55,0.09507,,110,,50
56,0.09667,,110,,50
57,0.0985167,,108.667,,50
58,0.100363,,107.333,,50
59,0.10221,,106,,50
60,0.104205,,104.5,,50
61,0.1062,,103,,50
62,0.108135,,104.5,,50
63,0.11007,,106,,50
64,0.11191,,108,,50
65,0.11375,,110,,50
66,0.11559,,112,,50
67,0.11726,,117,,50
68,0.118865,,118.5,,50
69,0.12047,,120,,50
70,0.122095,,118.5,,50
71,0.12372,,117,,50
72,0.125284,,118,,49.96
73,0.126848,,119,,49.92
74,0.128412,,120,,49.88
75,0.129976,,121,,49.84
76,0.13154,,122,,49.8
77,0.13348,,124.5,,49.8
78,0.13542,,127,,49.8
79,0.137355,,128.5,,49.8
80,0.13929,,130,,49.8
81,0.14118,,131,,49.7333
82,0.14307,,132,,49.6667
83,0.14496,,133,,49.6
84,0.14682,,134,,49.56
85,0.14868,,135,,49.52
86,0.15054,,136,,49.48
87,0.1524,,137,,49.44
88,0.15426,,138,,49.4
89,0.15628,,135,,49.4
90,0.157875,,131.5,,49.4
91,0.15947,,128,,49.4
92,0.16107,,128,,49.2
93,0.16306,,121,,49.2
94,0.16482,,117,,49.2
95,0.16658,,114,,49.2
96,0.16868,,106,,49.2
97,0.17046,,103,,49
98,0.17227,,96,,49
99,0.17429,,93,,49
100,0.17618,,87,,49
101,0.17786,,87,,49
102,0.178806,,87,,48.9714
103,0.179751,,87,,48.9429
104,0.180697,,87,,48.9143
105,0.181643,,87,,48.8857
106,0.182589,,87,,48.8571
107,0.183534,,87,,48.8286
108,0.18448,,87,,48.8
109,0.18598,,87.5,,48.8
110,0.18748,,88,,48.8
111,0.189584,,88.3,,48.78
112,0.191688,,88.6,,48.76
113,0.193792,,88.9,,48.74
114,0.195896,,89.2,,48.72
