secs,km,power,hr,cad,alt
0,0,,100,,178
1,0.00294,,100,,178.6
2,0.00561,,105,,178.8
3,0.00885,,110,,179
4,0.01194,,110,,179.4
5,0.01497,,113.333,,180
6,0.018,,116.667,,180.6
7,0.02103,,120,,181.2
8,0.02383,,120,,181.6
9,0.02632,,124,,181.8
10,0.0284725,,125.375,,182.475
11,0.030625,,126.75,,183.15
12,0.0327775,,128.125,,183.825
13,0.03493,,129.5,,184.5
14,0.0370825,,130.875,,185.175
15,0.039235,,132.25,,185.85
16,0.0413875,,133.625,,186.525
17,0.04354,,135,,187.2
18,0.04555,,138,,187.8
19,0.0477,,138,,188.2
20,0.0498267,,138.333,,188.489
21,0.0519533,,138.667,,188.778
22,0.05408,,139,,189.067
23,0.0562067,,139.333,,189.356
24,0.0583333,,139.667,,189.644
25,0.06046,,140,,189.933
26,0.0625867,,140.333,,190.222
27,0.0647133,,140.667,,190.511
28,0.06684,,141,,190.8
29,0.068965,,140.5,,190.967
30,0.07109,,140,,191.133
31,0.073215,,139.5,,191.3
32,0.07534,,139,,191.467
33,0.077465,,138.5,,191.633
34,0.07959,,138,,191.8
35,0.082065,,138.75,,191.35
36,0.08454,,139.5,,190.9
37,0.087015,,140.25,,190.45
38,0.08949,,141,,190
39,0.0918011,,140.778,,189.978
40,0.0941122,,140.556,,189.956
41,0.0964233,,140.333,,189.933
42,0.0987344,,140.111,,189.911
43,0.101046,,139.889,,189.889
44,0.103357,,139.667,,189.867
45,0.105668,,139.444,,189.844
46,0.107979,,139.222,,189.822
47,0.11029,,139,,189.8
48,0.112638,,139.75,,189.8
49,0.114985,,140.5,,189.8
50,0.117332,,141.25,,189.8
51,0.11968,,142,,189.8
52,0.122,,145,,190.2
53,0.12446,,145,,190.8
54,0.126943,,144.889,,191.022
55,0.129427,,144.778,,191.244
56,0.13191,,144.667,,191.467
57,0.134393,,144.556,,191.689
58,0.136877,,144.444,,191.911
59,0.13936,,144.333,,192.133
60,0.141843,,144.222,,192.356
61,0.144327,,144.111,,192.578
62,0.14681,,144,,192.8
63,0.14923,,144.75,,192.95
64,0.15165,,145.5,,193.1
65,0.15407,,146.25,,193.25
66,0.15649,,147,,193.4
67,0.158537,,146.25,,193.25
68,0.160585,,145.5,,193.1
69,0.162632,,144.75,,192.95
70,0.16468,,144,,192.8
71,0.167232,,143.875,,192.725
72,0.169785,,143.75,,192.65
