secs,km,power,hr,cad,alt
0,0,,95,,193
1,0,,95,,193
2,0,,95.2,,192.96
3,0,,95.4,,192.92
4,0,,95.6,,192.88
5,0,,95.8,,192.84
6,0,,96,,192.8
7,0,,96,,193.15
8,0,,96,,193.5
9,0,,96,,193.85
10,0,,96,,194.2
11,0.002125,,96,,194.1
12,0.00425,,96,,194
13,0.00647571,,96,,194.143
14,0.00870143,,96,,194.286
15,0.0109271,,96,,194.429
16,0.0131529,,96,,194.571
17,0.0153786,,96,,194.714
18,0.0176043,,96,,194.857
19,0.01983,,96,,195
20,0.02206,,95,,195.2
21,0.0241444,,95.7778,,195.356
22,0.0262289,,96.5556,,195.511
23,0.0283133,,97.3333,,195.667
24,0.0303978,,98.1111,,195.822
25,0.0324822,,98.8889,,195.978
26,0.0345667,,99.6667,,196.133
27,0.0366511,,100.444,,196.289
28,0.0387356,,101.222,,196.444
29,0.04082,,102,,196.6
30,0.04281,,102,,196.8
31,0.04504,,102,,196.9
32,0.04727,,102,,197
33,0.0493875,,102.75,,197.1
34,0.051505,,103.5,,197.2
35,0.0536225,,104.25,,197.3
36,0.05574,,105,,197.4
37,0.05799,,105.5,,197.5
38,0.06024,,106,,197.6
39,0.062615,,106,,197.85
40,0.06499,,106,,198.1
41,0.067365,,106,,198.35
42,0.06974,,106,,198.6
43,0.07221,,106,,198.8
44,0.0746933,,107.667,,198.933
45,0.0771767,,109.333,,199.067
46,0.07966,,111,,199.2
47,0.0819,,111,,199.4
48,0.084205,,111,,199.5
49,0.08651,,111,,199.6
50,0.088815,,111,,199.7
51,0.09112,,111,,199.8
52,0.0934667,,111,,199.867
53,0.0958133,,111,,199.933
54,0.09816,,111,,200
55,0.10055,,116,,200
56,0.10305,,116,,200
57,0.105766,,115.625,,200
58,0.108483,,115.25,,200
59,0.111199,,114.875,,200
60,0.113915,,114.5,,200
61,0.116631,,114.125,,200
62,0.119347,,113.75,,200
63,0.122064,,113.375,,200
64,0.12478,,113,,200
65,0.127505,,113,,200
66,0.13023,,113,,200
67,0.13297,,110,,199.8
68,0.135705,,107.5,,199.7
69,0.13844,,105,,199.6
70,0.1412,,105,,199.6
71,0.143874,,104.714,,199.714
72,0.146549,,104.429,,199.829
73,0.149223,,104.143,,199.943
74,0.151897,,103.857,,200.057
75,0.154571,,103.571,,200.171
76,0.157246,,103.286,,200.286
77,0.15992,,103,,200.4
78,0.162674,,103.125,,200.425
79,0.165427,,103.25,,200.45
80,0.168181,,103.375,,200.475
81,0.170935,,103.5,,200.5
82,0.173689,,103.625,,200.525
83,0.176442,,103.75,,200.55
84,0.179196,,103.875,,200.575
85,0.18195,,104,,200.6
86,0.18455,,104,,200.6
87,0.18715,,104,,200.6
88,0.189801,,104.375,,200.6
89,0.192452,,104.75,,200.6
90,0.195104,,105.125,,200.6
91,0.197755,,105.5,,200.6
92,0.200406,,105.875,,200.6
93,0.203057,,106.25,,200.6
94,0.205709,,106.625,,200.6
95,0.20836,,107,,200.6
96,0.21091,,111,,200.6
97,0.21345,,111,,200.8
98,0.21584,,115,,201
99,0.21829,,115,,201.1
100,0.22074,,115,,201.2
101,0.223254,,115.25,,201.25
102,0.225768,,115.5,,201.3
103,0.228281,,115.75,,201.35
104,0.230795,,116,,201.4
105,0.233309,,116.25,,201.45
106,0.235823,,116.5,,201.5
107,0.238336,,116.75,,201.55
108,0.24085,,117,,201.6
109,0.243422,,117,,201.64
110,0.245994,,117,,201.68
111,0.248566,,117,,201.72
112,0.251138,,117,,201.76
113,0.25371,,117,,201.8
114,0.25638,,117,,201.85
115,0.25905,,117,,201.9
116,0.26172,,117,,201.95
117,0.26439,,117,,202
118,0.267054,,117.25,,202.05
119,0.269718,,117.5,,202.1
120,0.272381,,117.75,,202.15
121,0.275045,,118,,202.2
122,0.277709,,118.25,,202.25
123,0.280373,,118.5,,202.3
124,0.283036,,118.75,,202.35
125,0.2857,,119,,202.4
126,0.28828,,119,,202.5
127,0.29086,,119,,202.6
128,0.29358,,119,,202.8
129,0.2963,,119.75,,202.7
130,0.29902,,120.5,,202.6
131,0.30174,,121.25,,202.5
132,0.30446,,122,,202.4
133,0.30708,,122.25,,202.3
134,0.3097,,122.5,,202.2
135,0.31232,,122.75,,202.1
136,0.31494,,123,,202
137,0.317625,,123.25,,202.075
138,0.32031,,123.5,,202.15
139,0.322995,,123.75,,202.225
140,0.32568,,124,,202.3
141,0.328365,,124.25,,202.375
142,0.33105,,124.5,,202.45
