secs,km,power,hr,cad,alt
0,0,,95,,517.6
1,0.00092,,95,,517.6
2,0.00184,,95,,517.6
3,0.00369,,95,,517.714
4,0.00554,,95,,517.829
5,0.00739,,95,,517.943
6,0.00924,,95,,518.057
7,0.01109,,95,,518.171
8,0.01294,,95,,518.286
9,0.01479,,95,,518.4
10,0.017745,,95,,518.5
11,0.0207,,95,,518.6
12,0.02621,,99,,518.2
13,0.02776,,100.5,,518.2
14,0.02931,,102,,518.2
15,0.0357,,106,,517.8
16,0.0357,,106,,517.8
17,0.038055,,108.5,,517.8
18,0.04041,,111,,517.8
19,0.04526,,115,,517.6
20,0.04526,,115,,517.6
21,0.048035,,116.5,,517.5
22,0.05081,,118,,517.4
23,0.05555,,119,,517.4
24,0.05726,,120,,517.2
25,0.05897,,121,,517
26,0.06068,,122,,516.8
27,0.06544,,126,,516.4
28,0.06544,,126,,516.4
29,0.06803,,127,,516.4
30,0.0708367,,126.333,,517
31,0.0736433,,125.667,,517.6
32,0.07645,,125,,518.2
33,0.0792567,,124.333,,518.8
34,0.0820633,,123.667,,519.4
35,0.08487,,123,,520
36,0.087516,,123.6,,520.4
37,0.090162,,124.2,,520.8
38,0.092808,,124.8,,521.2
39,0.095454,,125.4,,521.6
40,0.0981,,126,,522
41,0.100565,,126.75,,522
42,0.10303,,127.5,,522
43,0.105495,,128.25,,522
44,0.10796,,129,,522
45,0.110536,,129.25,,521.775
46,0.113113,,129.5,,521.55
47,0.115689,,129.75,,521.325
48,0.118265,,130,,521.1
49,0.120841,,130.25,,520.875
50,0.123417,,130.5,,520.65
51,0.125994,,130.75,,520.425
52,0.12857,,131,,520.2
53,0.131279,,131.25,,520.625
54,0.133987,,131.5,,521.05
55,0.136696,,131.75,,521.475
56,0.139405,,132,,521.9
57,0.142114,,132.25,,522.325
58,0.144823,,132.5,,522.75
59,0.147531,,132.75,,523.175
60,0.15024,,133,,523.6
61,0.152915,,133.125,,524.05
62,0.15559,,133.25,,524.5
63,0.158265,,133.375,,524.95
64,0.16094,,133.5,,525.4
65,0.163615,,133.625,,525.85
66,0.16629,,133.75,,526.3
67,0.168965,,133.875,,526.75
68,0.17164,,134,,527.2
69,0.174246,,134,,527.2
70,0.176852,,134,,527.2
71,0.179459,,134,,527.2
72,0.182065,,134,,527.2
73,0.184671,,134,,527.2
74,0.187277,,134,,527.2
75,0.189884,,134,,527.2
76,0.19249,,134,,527.2
77,0.195102,,134,,526.925
78,0.197715,,134,,526.65
79,0.200327,,134,,526.375
80,0.20294,,134,,526.1
