secs,km,power,hr,cad,alt
0,0,,118,,256.8
1,0.0042,,115,,256.8
2,0.0068,,115,,256.8
3,0.009685,,116.5,,256.8
4,0.01257,,118,,256.8
5,0.01544,,121,,256.8
6,0.018515,,123.5,,256.9
7,0.02159,,126,,257
8,0.023085,,127.5,,257
9,0.02458,,129,,257
10,0.03063,,132,,257
11,0.03381,,133.5,,257.5
12,0.03699,,135,,258
13,0.0388733,,136,,258.067
14,0.0407567,,137,,258.133
15,0.04264,,138,,258.2
16,0.0461425,,138.25,,258.2
17,0.049645,,138.5,,258.2
18,0.0531475,,138.75,,258.2
19,0.05665,,139,,258.2
20,0.05961,,140,,258.7
21,0.06257,,141,,259.2
22,0.06554,,142.333,,259.267
23,0.06851,,143.667,,259.333
24,0.07148,,145,,259.4
25,0.07148,,147,,259.4
26,0.075865,,147,,260.1
27,0.08025,,147,,260.8
28,0.08296,,144,,261
29,0.08575,,145,,261.2
30,0.08854,,146,,261.4
31,0.09133,,147,,261.6
32,0.09401,,147,,261.8
33,0.09401,,148,,261.8
34,0.09654,,145,,261.6
35,0.099615,,145.333,,261.667
36,0.10269,,145.667,,261.733
37,0.105765,,146,,261.8
38,0.10884,,146.333,,261.867
39,0.111915,,146.667,,261.933
40,0.11499,,147,,262
41,0.117268,,146.833,,262.1
42,0.119547,,146.667,,262.2
43,0.121825,,146.5,,262.3
44,0.124103,,146.333,,262.4
45,0.126382,,146.167,,262.5
46,0.12866,,146,,262.6
47,0.13158,,146,,262.8
48,0.134345,,144.5,,262.8
49,0.13711,,143,,262.8
50,0.139903,,143.333,,262.867
51,0.142697,,143.667,,262.933
52,0.14549,,144,,263
53,0.15173,,144,,262.8
54,0.153395,,142.5,,262.8
55,0.15506,,141,,262.8
56,0.158233,,142,,262.6
57,0.161407,,143,,262.4
58,0.16458,,144,,262.2
59,0.167485,,144,,262
60,0.17039,,144,,261.8
61,0.173154,,144,,261.6
62,0.175918,,144,,261.4
63,0.178682,,144,,261.2
64,0.181446,,144,,261
65,0.18421,,144,,260.8
66,0.188885,,145,,260.6
67,0.19356,,146,,260.4
68,0.195968,,145.667,,260.3
69,0.198377,,145.333,,260.2
70,0.200785,,145,,260.1
71,0.203193,,144.667,,260
72,0.205602,,144.333,,259.9
73,0.20801,,144,,259.8
74,0.21073,,141,,259.8
75,0.213668,,140.8,,259.76
76,0.216606,,140.6,,259.72
77,0.219544,,140.4,,259.68
78,0.222482,,140.2,,259.64
79,0.22542,,140,,259.6
80,0.23161,,140,,259.2
81,0.234137,,140,,259.233
82,0.236663,,140,,259.267
83,0.23919,,140,,259.3
84,0.241717,,140,,259.333
85,0.244243,,140,,259.367
86,0.24677,,140,,259.4
87,0.249813,,140.5,,259.333
88,0.252857,,141,,259.267
89,0.2559,,141.5,,259.2
90,0.258943,,142,,259.133
91,0.261987,,142.5,,259.067
92,0.26503,,143,,259
93,0.267717,,142.667,,259.233
94,0.270403,,142.333,,259.467
95,0.27309,,142,,259.7
96,0.275777,,141.667,,259.933
97,0.278463,,141.333,,260.167
98,0.28115,,141,,260.4
99,0.283646,,140.4,,260.48
100,0.286142,,139.8,,260.56
101,0.288638,,139.2,,260.64
102,0.291134,,138.6,,260.72
103,0.29363,,138,,260.8
104,0.29593,,138.5,,260.8
105,0.29823,,139,,260.8
106,0.300593,,139.167,,260.9
107,0.302957,,139.333,,261
108,0.30532,,139.5,,261.1
109,0.307683,,139.667,,261.2
110,0.310047,,139.833,,261.3
111,0.31241,,140,,261.4
112,0.31766,,140,,261
113,0.320418,,139.5,,260.867
114,0.323177,,139,,260.733
115,0.325935,,138.5,,260.6
116,0.328693,,138,,260.467
117,0.331452,,137.5,,260.333
118,0.33421,,137,,260.2
119,0.33421,,138,,260.2
120,0.33868,,137,,259.7
121,0.34315,,136,,259.2
122,0.345698,,136.2,,259.04
123,0.348246,,136.4,,258.88
124,0.350794,,136.6,,258.72
125,0.353342,,136.8,,258.56
126,0.35589,,137,,258.4
127,0.358015,,136.5,,258.2
128,0.36014,,136,,258
129,0.3606,,135,,257.8
130,0.3607,,137,,257.8
131,0.363005,,137.5,,257.4
132,0.36531,,138,,257
133,0.36792,,138,,257.1
134,0.37053,,138,,257.2
135,0.3767,,135,,256.8
136,0.379602,,135,,257.04
137,0.382504,,135,,257.28
138,0.385406,,135,,257.52
139,0.388308,,135,,257.76
140,0.39121,,135,,258
141,0.393458,,135.2,,258.24
142,0.395706,,135.4,,258.48
143,0.397954,,135.6,,258.72
144,0.400202,,135.8,,258.96
145,0.40245,,136,,259.2
146,0.405185,,136,,259.6
147,0.40792,,136,,260
148,0.41402,,136,,260.4
149,0.417385,,136,,260.4
150,0.42075,,136,,260.4
151,0.42397,,136,,260.4
152,0.427092,,136.4,,260.64
153,0.430214,,136.8,,260.88
154,0.433336,,137.2,,261.12
155,0.436458,,137.6,,261.36
156,0.43958,,138,,261.6
157,0.441895,,137.5,,261.8
158,0.44421,,137,,262
159,0.446525,,136.5,,262.2
160,0.44884,,136,,262.4
161,0.451753,,136.333,,262.4
162,0.454667,,136.667,,262.4
163,0.45758,,137,,262.4
164,0.460493,,137.333,,262.4
165,0.463407,,137.667,,262.4
166,0.46632,,138,,262.4
167,0.46923,,137,,262.8
168,0.47541,,138,,262.8
169,0.477882,,138,,262.867
170,0.480353,,138,,262.933
171,0.482825,,138,,263
172,0.485297,,138,,263.067
173,0.487768,,138,,263.133
174,0.49024,,138,,263.2
175,0.493205,,138.5,,263.7
176,0.49617,,139,,264.2
177,0.49929,,139,,264.6
