secs,km,power,hr,cad,alt
0,0,,86,,175.6
1,0.00076,,85,,175.6
2,0.00165,,84,,175.6
3,0.00251,,83,,175.6
4,0.00458,,81,,175.6
5,0.00665,,82,,175.6
6,0.00908,,83,,175.6
7,0.01188,,86,,175.6
8,0.01438,,87,,175.6
9,0.01705,,88,,175.8
10,0.01949,,89,,175.8
11,0.02185,,89,,175.8
12,0.02426,,90,,175.8
13,0.02667,,91,,175.8
14,0.02931,,92,,175.8
15,0.03195,,94,,175.6
16,0.03433,,94,,175.6
17,0.03695,,95,,175.4
18,0.03943,,96,,175.4
19,0.04466,,98,,175.2
20,0.04466,,98,,175.2
21,0.04707,,99,,175
22,0.04952,,100,,175
23,0.05188,,100,,175
24,0.05444,,101,,175
25,0.05725,,102,,175.2
26,0.05987,,102,,175.2
27,0.06249,,103,,175.2
28,0.06512,,103,,175.2
29,0.06758,,104,,175.2
30,0.06998,,104,,175.4
31,0.07234,,105,,175.4
32,0.07487,,106,,175.4
33,0.07749,,106,,175.6
34,0.07988,,106,,175.6
35,0.08232,,106,,175.6
36,0.08467,,107,,175.8
37,0.08678,,107,,176
38,0.0889,,107,,176
39,0.09095,,108,,176.2
40,0.09281,,108,,176.4
41,0.09488,,108,,176.6
42,0.09678,,109,,176.6
43,0.09844,,110,,176.8
44,0.10009,,110,,176.8
45,0.10222,,110,,177
46,0.10463,,111,,177
47,0.10702,,111,,177
48,0.10904,,111,,177.2
49,0.11125,,112,,177
50,0.11363,,112,,177
51,0.11827,,112,,176.8
52,0.11827,,112,,176.8
53,0.12075,,113,,176.6
54,0.12331,,113,,176.6
55,0.12579,,113,,176.4
56,0.12792,,113,,176.4
57,0.13006,,114,,176.2
58,0.13263,,114,,176
59,0.13491,,114,,176
60,0.13732,,114,,175.8
61,0.13987,,115,,175.6
62,0.14249,,115,,175.6
63,0.14516,,115,,175.4
64,0.14776,,115,,175.4
65,0.15038,,116,,175.4
66,0.15321,,116,,175.2
67,0.15572,,116,,175.2
68,0.15844,,116,,175.2
69,0.16092,,116,,175
70,0.16327,,116,,175
71,0.16559,,117,,174.8
72,0.16802,,116,,174.8
73,0.17064,,116,,174.6
74,0.17323,,117,,174.6
75,0.17586,,117,,174.6
76,0.17846,,116,,174.4
77,0.18085,,116,,174.4
78,0.18328,,116,,174.2
79,0.18572,,116,,174.2
80,0.18806,,116,,174
81,0.19069,,116,,174
82,0.19311,,115,,173.8
83,0.19549,,115,,173.6
84,0.19824,,115,,173.6
85,0.20072,,115,,173.4
86,0.20334,,115,,173.2
87,0.20585,,116,,173.2
88,0.20836,,115,,173
89,0.21109,,115,,173
90,0.21363,,115,,172.8
91,0.21622,,115,,172.8
92,0.21882,,115,,172.8
93,0.22162,,115,,172.6
94,0.2243,,115,,172.6
95,0.22694,,116,,172.4
96,0.22985,,116,,172.4
97,0.23251,,116,,172.2
98,0.23497,,116,,172.2
99,0.2377,,116,,172
100,0.24043,,116,,172
101,0.24333,,116,,172
102,0.24617,,117,,171.8
103,0.24873,,117,,171.8
104,0.2517,,116,,171.6
105,0.25438,,116,,171.6
106,0.25697,,116,,171.4
107,0.25961,,116,,171.2
108,0.26204,,116,,171.2
109,0.26476,,116,,171
110,0.26734,,116,,171
111,0.26962,,116,,171
112,0.27194,,116,,171
113,0.27433,,116,,170.8
114,0.27678,,117,,170.8
115,0.2793,,116,,170.8
116,0.28169,,116,,170.8
117,0.28427,,116,,170.8
118,0.28683,,116,,170.8
119,0.2895,,116,,170.6
120,0.29198,,116,,170.6
121,0.2943,,116,,170.6
122,0.29929,,115,,170.6
123,0.29929,,115,,170.6
124,0.30186,,114,,170.6
125,0.30446,,113,,170.6
126,0.30714,,113,,170.4
127,0.3099,,112,,170.4
128,0.31236,,111,,170.2
129,0.31515,,109,,170
130,0.31791,,108,,169.8
131,0.32056,,108,,169.6
132,0.32342,,105,,169.4
133,0.32619,,105,,169.2
134,0.32886,,103,,169
135,0.33171,,101,,168.8
136,0.33443,,100,,168.6
137,0.33724,,99,,168.4
138,0.34003,,98,,168
139,0.34543,,96,,167.6
140,0.34543,,94,,167.6
141,0.348,,93,,167.4
142,0.35071,,93,,167.2
143,0.35373,,94,,167
144,0.35662,,95,,166.8
145,0.35972,,97,,166.6
146,0.36275,,101,,166.2
147,0.36568,,104,,166.2
148,0.36848,,107,,166.2
149,0.37131,,108,,166.2
150,0.37402,,109,,166.2
151,0.37654,,110,,166.2
152,0.37939,,111,,166
153,0.38204,,111,,166
154,0.38468,,111,,165.8
155,0.38737,,111,,165.6
156,0.38994,,112,,165.6
157,0.39261,,112,,165.4
158,0.39506,,113,,165.2
159,0.39754,,113,,165.2
160,0.40004,,113,,165
161,0.4024,,113,,164.8
162,0.405,,113,,164.8
163,0.40763,,113,,164.8
164,0.41025,,112,,164.8
165,0.41272,,111,,164.8
166,0.41497,,111,,164.6
167,0.41739,,111,,164.6
168,0.4199,,111,,164.6
169,0.42252,,111,,164.6
170,0.4252,,110,,164.6
171,0.42763,,110,,164.4
172,0.4302,,110,,164.4
173,0.43282,,110,,164.4
174,0.43545,,110,,164.4
175,0.43821,,109,,164.2
176,0.44101,,109,,164.2
177,0.44369,,109,,164.2
178,0.4463,,109,,164.2
179,0.44899,,110,,164
180,0.45175,,111,,163.8
181,0.45448,,111,,163.6
182,0.46039,,111,,163.4
183,0.46039,,111,,163.4
184,0.46339,,110,,163.2
185,0.46661,,109,,163
186,0.46978,,108,,162.8
187,0.4729,,109,,162.6
188,0.47587,,108,,162.6
189,0.47886,,108,,162.4
190,0.48154,,109,,162.4
191,0.48451,,109,,162.4
192,0.48731,,108,,162.4
193,0.48992,,108,,162.4
194,0.49261,,108,,162.4
195,0.49522,,108,,162.4
196,0.4977,,108,,162.4
197,0.50018,,108,,162.4
198,0.50234,,109,,162.4
199,0.50463,,109,,162.4
200,0.50673,,109,,162.4
201,0.50895,,110,,162.4
202,0.51136,,112,,162.2
203,0.51376,,112,,162
204,0.51646,,113,,162
205,0.51909,,113,,161.8
206,0.5217,,113,,161.6
207,0.52418,,113,,161.6
208,0.52668,,113,,161.4
209,0.52947,,114,,161.2
210,0.53212,,114,,161
211,0.53455,,114,,161
212,0.53719,,114,,160.8
213,0.53964,,114,,160.6
214,0.54169,,114,,160.6
215,0.5433,,114,,160.6
216,0.54466,,114,,160.4
217,0.54588,,113,,160.4
218,0.54703,,113,,160.4
219,0.54822,,112,,160.4
220,0.54947,,110,,160.4
221,0.55072,,110,,160.4
222,0.55192,,110,,160.2
223,0.55301,,109,,160.2
224,0.55417,,109,,160.2
225,0.55586,,109,,160
226,0.55803,,109,,159.8
227,0.56047,,109,,159.6
228,0.56288,,109,,159.4
229,0.56479,,109,,159.4
230,0.56642,,109,,159.2
231,0.57044,,109,,158.8
232,0.57044,,109,,158.8
233,0.57278,,109,,158.6
