secs,km,power,hr,cad,alt
0,0,,111,,1
1,0.00143,,110,,0.8
2,0.00353286,,110,,0.742857
3,0.00563571,,110,,0.685714
4,0.00773857,,110,,0.628571
5,0.00984143,,110,,0.571429
6,0.0119443,,110,,0.514286
7,0.0140471,,110,,0.457143
8,0.01615,,110,,0.4
9,0.0188367,,111.333,,0.266667
10,0.0215233,,112.667,,0.133333
11,0.02421,,114,,0
12,0.02656,,115.5,,-0.2
13,0.02891,,117,,-0.4
14,0.03144,,120,,-0.6
15,0.03381,,121.5,,-0.6
16,0.03618,,123,,-0.6
17,0.0384475,,122.625,,-0.625
18,0.040715,,122.25,,-0.65
19,0.0429825,,121.875,,-0.675
20,0.04525,,121.5,,-0.7
21,0.0475175,,121.125,,-0.725
22,0.049785,,120.75,,-0.75
23,0.0520525,,120.375,,-0.775
24,0.05432,,120,,-0.8
25,0.05666,,115,,-0.8
26,0.05904,,113.5,,-0.7
27,0.06142,,112,,-0.6
28,0.0637657,,112.143,,-0.657143
29,0.0661114,,112.286,,-0.714286
30,0.0684571,,112.429,,-0.771429
31,0.0708029,,112.571,,-0.828571
32,0.0731486,,112.714,,-0.885714
33,0.0754943,,112.857,,-0.942857
34,0.07784,,113,,-1
35,0.08012,,114,,-1.2
36,0.08235,,114.5,,-1.1
37,0.08458,,115,,-1
38,0.08681,,115.5,,-0.9
39,0.08904,,116,,-0.8
40,0.09127,,116.5,,-0.7
41,0.0935,,117,,-0.6
42,0.09581,,117.286,,-0.485714
43,0.09812,,117.571,,-0.371429
44,0.10043,,117.857,,-0.257143
45,0.10274,,118.143,,-0.142857
46,0.10505,,118.429,,-0.0285714
47,0.10736,,118.714,,0.0857143
48,0.10967,,119,,0.2
49,0.112007,,119.333,,0.2
50,0.114343,,119.667,,0.2
51,0.11668,,120,,0.2
52,0.11893,,120.333,,0.666667
53,0.12118,,120.667,,1.13333
54,0.12343,,121,,1.6
55,0.12524,,121,,2.8
56,0.12748,,121.5,,3.6
57,0.12972,,122,,4.4
58,0.132075,,122.5,,5
59,0.13443,,123,,5.6
60,0.136197,,123,,5.9
61,0.137965,,123,,6.2
62,0.139732,,123,,6.5
63,0.1415,,123,,6.8
64,0.14328,,123,,7.2
65,0.14529,,123.5,,7.6
66,0.1473,,124,,8
67,0.149678,,124.2,,8.08
68,0.152056,,124.4,,8.16
69,0.154434,,124.6,,8.24
70,0.156812,,124.8,,8.32
71,0.15919,,125,,8.4
72,0.161433,,125,,8.25714
73,0.163676,,125,,8.11429
74,0.165919,,125,,7.97143
75,0.168161,,125,,7.82857
76,0.170404,,125,,7.68571
77,0.172647,,125,,7.54286
78,0.17489,,125,,7.4
79,0.177305,,124.5,,7.1
80,0.17972,,124,,6.8
81,0.18205,,124,,6.45
82,0.18438,,124,,6.1
83,0.18671,,124,,5.75
84,0.18904,,124,,5.4
85,0.191525,,124.5,,5.1
86,0.19401,,125,,4.8
87,0.19646,,125,,4.2
88,0.198847,,125,,3.8
89,0.201233,,125,,3.4
90,0.20362,,125,,3
91,0.205645,,125,,2.5
92,0.20767,,125,,2
93,0.209753,,125,,1.6
94,0.211837,,125,,1.2
95,0.21392,,125,,0.8
96,0.21587,,124.833,,0.6
97,0.21782,,124.667,,0.4
98,0.21977,,124.5,,0.2
99,0.22172,,124.333,,1.89848e-14
100,0.22367,,124.167,,-0.2
101,0.22562,,124,,-0.4
102,0.22793,,123,,-1
103,0.23011,,123,,-1.26667
104,0.23229,,123,,-1.53333
105,0.23447,,123,,-1.8
106,0.236675,,123.5,,-2.5
107,0.23888,,124,,-3.2
108,0.241053,,124.333,,-2
109,0.243227,,124.667,,-0.8
110,0.2454,,125,,0.4
111,0.24773,,125,,2
112,0.24998,,126,,4.8
113,0.2523,,126,,6.4
114,0.254445,,126,,7.2
115,0.25659,,126,,8
116,0.259685,,126.5,,9.1
117,0.26278,,127,,10.2
118,0.26701,,127,,12.6
119,0.27071,,127,,14.4
120,0.27426,,128,,15.6
