secs,km,power,hr,cad,alt
0,0,,90,,13.4
1,0.00261,,90,,12.8
2,0.00611167,,90.3333,,12.9667
3,0.00961333,,90.6667,,13.1333
4,0.013115,,91,,13.3
5,0.0166167,,91.3333,,13.4667
6,0.0201183,,91.6667,,13.6333
7,0.02362,,92,,13.8
8,0.02723,,99,,13.8
9,0.0307,,103,,14
10,0.03413,,103,,13.8
11,0.03744,,106,,13.8
12,0.04074,,109,,14
13,0.044025,,111.5,,13.9
14,0.04731,,114,,13.8
15,0.05045,,117.5,,13.8
16,0.05359,,121,,13.8
17,0.056695,,123,,13.9
18,0.0598,,125,,14
19,0.063195,,126.5,,13.9
20,0.06659,,128,,13.8
21,0.06991,,129.333,,13.8667
22,0.07323,,130.667,,13.9333
23,0.07655,,132,,14
24,0.079865,,132.5,,14.4
25,0.08318,,133,,14.8
26,0.0851433,,133.5,,14.7333
27,0.0871067,,134,,14.6667
28,0.08907,,134.5,,14.6
29,0.0910333,,135,,14.5333
30,0.0929967,,135.5,,14.4667
31,0.09496,,136,,14.4
32,0.09554,,136,,14.4
33,0.0964,,135.4,,14.44
34,0.09726,,134.8,,14.48
35,0.09812,,134.2,,14.52
36,0.09898,,133.6,,14.56
37,0.09984,,133,,14.6
38,0.10255,,132,,14.6667
39,0.10526,,131,,14.7333
40,0.10797,,130,,14.8
41,0.111035,,128.5,,14.8
42,0.1141,,127,,14.8
43,0.117202,,127.5,,14.8
44,0.120303,,128,,14.8
45,0.123405,,128.5,,14.8
46,0.126507,,129,,14.8
47,0.129608,,129.5,,14.8
48,0.13271,,130,,14.8
49,0.135902,,130.75,,14.8
50,0.139095,,131.5,,14.8
51,0.142288,,132.25,,14.8
52,0.14548,,133,,14.8
53,0.14852,,136,,14.8
54,0.151785,,136.75,,14.85
55,0.15505,,137.5,,14.9
56,0.158315,,138.25,,14.95
57,0.16158,,139,,15
58,0.164953,,139.333,,15.0333
59,0.168327,,139.667,,15.0667
60,0.1717,,140,,15.1
61,0.175073,,140.333,,15.1333
62,0.178447,,140.667,,15.1667
63,0.18182,,141,,15.2
64,0.184765,,141.75,,15.25
65,0.18771,,142.5,,15.3
66,0.190655,,143.25,,15.35
67,0.1936,,144,,15.4
68,0.19696,,144,,15.4
69,0.20017,,144.5,,15
70,0.20338,,145,,14.6
71,0.207068,,145.167,,14.5
72,0.210757,,145.333,,14.4
73,0.214445,,145.5,,14.3
74,0.218133,,145.667,,14.2
75,0.221822,,145.833,,14.1
76,0.22551,,146,,14
77,0.228822,,146,,13.92
78,0.232134,,146,,13.84
79,0.235446,,146,,13.76
80,0.238758,,146,,13.68
81,0.24207,,146,,13.6
82,0.245337,,145.857,,13.6
83,0.248604,,145.714,,13.6
84,0.251871,,145.571,,13.6
85,0.255139,,145.429,,13.6
86,0.258406,,145.286,,13.6
87,0.261673,,145.143,,13.6
88,0.26494,,145,,13.6
89,0.268011,,145,,13.6857
90,0.271083,,145,,13.7714
91,0.274154,,145,,13.8571
92,0.277226,,145,,13.9429
93,0.280297,,145,,14.0286
