secs,km,power,hr,cad,alt
0,0,,84,,-7.8
1,0.00248,,84,,-9.4
4,0.00745,,87,,-10.4
12,0.02612,,86,,-9.6
18,0.04097,,89,,-11
20,0.04555,,93,,-11.8
21,0.04785,,99,,-11.8
22,0.05054,,104,,-12.4
23,0.05302,,109,,-13
26,0.06009,,112,,-14.2
30,0.07044,,121,,-15.2
31,0.07322,,125,,-15
33,0.07796,,128,,-14.6
40,0.09382,,131,,-13.6
49,0.11446,,134,,-6.6
53,0.12509,,129,,-4.6
61,0.1454,,128,,-3.6
65,0.15494,,133,,-3.8
69,0.16475,,129,,-3.8
70,0.16701,,126,,-4
72,0.17164,,129,,-3.6
74,0.17601,,133,,-3.6
76,0.18072,,136,,-3.2
78,0.18523,,141,,-3
79,0.18748,,141,,-3
83,0.19541,,138,,-2.8
93,0.21781,,139,,-3
103,0.23924,,137,,-3
111,0.26006,,135,,-3
120,0.28185,,133,,-4
129,0.30333,,133,,-4.8
138,0.32355,,134,,-6
147,0.34354,,131,,-6.4
151,0.35313,,127,,-6.2
160,0.37435,,128,,-4.2
168,0.39452,,126,,-5.2
177,0.41667,,127,,-5.6
185,0.43676,,128,,-4.6
194,0.45834,,129,,-5.2
200,0.47334,,132,,-5.4
209,0.49525,,131,,-5.2
218,0.51717,,131,,-4.2
229,0.53943,,132,,-3.8
239,0.56062,,130,,-4.8
249,0.5828,,132,,-6
258,0.60393,,132,,-7.4
267,0.62564,,133,,-8.6
275,0.64781,,133,,-8.8
277,0.65316,,133,,-9
280,0.66007,,133,,-9.4
291,0.68257,,133,,-8
299,0.70468,,133,,-7.4
307,0.72595,,133,,-6.8
315,0.74681,,133,,-5.8
324,0.76918,,133,,-3.4
332,0.7912,,134,,-2.2
340,0.81128,,134,,-1.2
349,0.83358,,133,,0
358,0.85538,,131,,1.4
367,0.87757,,131,,0.2
376,0.89848,,134,,-2.2
385,0.91851,,135,,-6.4
394,0.93913,,136,,-12.8
402,0.96146,,133,,-11.4
410,0.98299,,132,,-5
418,1.00714,,132,,-3
422,1.01661,,133,,-2.4
431,1.03939,,136,,-1.8
439,1.06174,,136,,-2.4
447,1.08321,,136,,-3.2
454,1.10156,,138,,-4.4
462,1.12197,,136,,-7.6
471,1.14397,,134,,-9.4
479,1.1641,,135,,-11.8
487,1.18452,,136,,-14
494,1.20546,,138,,-13.2
498,1.21773,,142,,-13.6
506,1.2395,,142,,-11.2
514,1.26144,,141,,-8.4
521,1.28211,,142,,-6.2
528,1.30314,,141,,-5
535,1.32379,,139,,-1.2
542,1.3454,,139,,0.8
545,1.35439,,142,,0
552,1.37455,,141,,0.4
560,1.39645,,143,,1.4
568,1.41908,,142,,2
576,1.44188,,139,,4.8
582,1.45875,,142,,7.4
591,1.48106,,143,,9
599,1.50548,,142,,8.2
607,1.52633,,140,,6
615,1.54848,,139,,4.8
622,1.56852,,138,,6.2
629,1.58897,,139,,4
637,1.6113,,139,,0.2
641,1.6227,,142,,-0.6
649,1.6439,,143,,-0.2
657,1.66635,,144,,0
665,1.68877,,142,,-0.4
671,1.7047,,142,,-0.6
679,1.72752,,142,,0.2
687,1.74997,,142,,0.6
688,1.75486,,142,,0.8
690,1.757,,141,,1.2
698,1.77758,,142,,1.4
706,1.80049,,141,,1.2
714,1.82235,,142,,4.6
719,1.83261,,145,,5.4
723,1.84279,,149,,3.8
730,1.86318,,149,,3.6
737,1.88454,,149,,3.4
744,1.90621,,149,,6
751,1.92698,,149,,8.2
758,1.94828,,148,,7.4
765,1.96933,,146,,5.4
772,1.99045,,146,,3.6
779,2.01465,,147,,2.4
782,2.01856,,147,,1.6
