secs,km,power,hr,cad,alt
0,0,,84,,49.6
1,0.00058,,84,,49.8
2,0.00151,,84,,49.8
3,0.00214,,84,,50
4,0.004,,84,,50.2
5,0.00585,,84,,50.2
6,0.0081,,84,,50.2
7,0.01074,,84,,50.4
8,0.01392,,84,,50.4
9,0.01711,,84,,50.6
10,0.0203,,84,,50.8
11,0.02327,,88,,51
12,0.02616,,91,,51.2
13,0.02934,,93,,51.2
14,0.03241,,96,,51.4
15,0.03549,,98,,51.8
16,0.03842,,101,,52
17,0.04105,,102,,52.2
18,0.04395,,104,,52.4
19,0.04692,,104,,52.6
20,0.04969,,105,,52.6
21,0.05247,,106,,52.6
22,0.0553,,106,,53
23,0.05795,,106,,53.4
24,0.06057,,107,,53.6
25,0.06323,,107,,53.8
26,0.06574,,108,,53.6
27,0.06817,,108,,53.8
28,0.07066,,108,,54
29,0.07306,,109,,54
30,0.07561,,110,,54
31,0.0781,,110,,53.8
32,0.08067,,111,,54
33,0.08318,,111,,53.6
34,0.08574,,112,,53.6
35,0.08839,,112,,53.8
36,0.09081,,112,,54
37,0.09326,,112,,54
38,0.09571,,112,,54.2
39,0.09797,,112,,53.8
40,0.10023,,113,,53.6
41,0.10289,,113,,54
42,0.10529,,114,,54.2
43,0.10764,,115,,54
44,0.11014,,115,,54.4
45,0.11275,,116,,54.8
46,0.11524,,117,,54.8
47,0.11775,,117,,54.8
48,0.12008,,118,,55.2
49,0.12247,,118,,55.6
50,0.12495,,119,,55.8
51,0.12734,,119,,55.6
52,0.13008,,120,,55.8
53,0.13271,,120,,56
54,0.13514,,120,,56
55,0.13769,,121,,56
56,0.14028,,121,,56.2
57,0.14257,,122,,56.2
58,0.14495,,122,,56.4
59,0.14737,,123,,56.2
60,0.14968,,123,,56.2
61,0.15185,,123,,56.4
62,0.15415,,124,,56.4
63,0.15664,,124,,56.8
64,0.15911,,124,,57
65,0.1614,,124,,57.6
66,0.16366,,125,,57.6
67,0.16651,,125,,57.6
68,0.16967,,125,,58.6
69,0.17238,,125,,59
70,0.17585,,125,,59.8
71,0.17898,,125,,60.4
72,0.18161,,126,,60.4
73,0.18487,,127,,61.2
74,0.18801,,127,,62
75,0.19082,,127,,62.4
76,0.19392,,128,,62.6
77,0.19718,,128,,63
78,0.19988,,128,,63.2
79,0.2023,,129,,63.6
80,0.20522,,129,,64
81,0.20788,,129,,63.8
82,0.21079,,129,,64.4
83,0.21366,,129,,64.4
84,0.21634,,129,,64.4
85,0.21906,,129,,64.8
86,0.22184,,130,,65
87,0.22419,,130,,64.8
88,0.22674,,130,,65
89,0.22939,,130,,64.8
90,0.23202,,130,,64.6
91,0.23476,,130,,64.6
92,0.23769,,131,,64.4
93,0.24027,,131,,64.4
94,0.2429,,131,,64.2
95,0.24507,,131,,64
96,0.24703,,131,,64.4
97,0.24907,,132,,64.6
98,0.25096,,132,,64.8
99,0.25309,,132,,65
100,0.25512,,132,,65
101,0.25746,,131,,65.4
102,0.25913,,132,,65.6
103,0.26091,,131,,65.8
104,0.26309,,131,,65.8
105,0.26513,,132,,66
106,0.26706,,132,,66.2
107,0.26918,,132,,66.4
108,0.27155,,132,,66.6
109,0.27356,,132,,67
110,0.27556,,132,,67.2
111,0.27732,,132,,67.4
112,0.27955,,132,,67.6
113,0.2823,,133,,67.8
114,0.2853,,132,,68
115,0.28743,,133,,68.2
116,0.28963,,133,,68.4
117,0.29181,,133,,68.6
118,0.29432,,133,,68.8
119,0.29678,,133,,69
120,0.29881,,133,,69.4
121,0.30084,,133,,69.6
122,0.30301,,132,,69.8
123,0.30546,,133,,70
124,0.30804,,133,,70.2
125,0.31063,,132,,70.6
126,0.31377,,132,,70.8
127,0.31669,,133,,71.2
128,0.31912,,132,,71.4
129,0.32159,,132,,71.6
130,0.32344,,132,,71.8
131,0.32567,,132,,72.2
132,0.32788,,132,,72.4
133,0.33044,,132,,72.8
134,0.33369,,133,,73
135,0.33639,,133,,73.6
136,0.33834,,133,,73.8
137,0.34051,,133,,74.2
138,0.34324,,133,,74.6
139,0.34536,,133,,75
140,0.34759,,133,,75.4
141,0.34988,,132,,75.8
142,0.35169,,132,,76
143,0.35389,,132,,76
144,0.35611,,132,,76.2
145,0.35823,,132,,76.6
146,0.36003,,132,,76.8
147,0.36196,,132,,76.8
148,0.36452,,132,,77.2
149,0.36769,,132,,77
150,0.37027,,132,,77.4
151,0.37339,,132,,77
152,0.37625,,131,,76.6
153,0.37821,,131,,76.8
154,0.38033,,131,,77
155,0.38249,,131,,77
156,0.38374,,131,,77.2
157,0.38475,,131,,77.4
158,0.38547,,131,,77.8
159,0.38687,,131,,78
160,0.38803,,131,,78.2
161,0.38985,,131,,78.2
162,0.39193,,132,,78.4
163,0.39406,,131,,78.4
164,0.39701,,131,,78
165,0.39893,,131,,78
166,0.40177,,131,,78
167,0.404,,130,,78
168,0.40563,,131,,78
169,0.40731,,131,,78
170,0.40898,,131,,78
171,0.41089,,131,,78
172,0.41315,,132,,77.8
173,0.4154,,132,,77.8
174,0.41783,,132,,77.8
175,0.41971,,132,,77.8
176,0.42145,,132,,78.2
177,0.42309,,132,,77.8
178,0.42501,,132,,77.4
179,0.42764,,132,,77
180,0.43109,,132,,76.2
181,0.43398,,132,,75.8
182,0.43612,,132,,75.6
183,0.43921,,132,,74.4
184,0.44165,,132,,74
185,0.44373,,132,,74
186,0.44643,,132,,73.2
187,0.44906,,132,,73
188,0.45141,,132,,72.6
189,0.45371,,133,,72.2
190,0.45633,,133,,72.4
191,0.45888,,133,,72.4
192,0.4609,,133,,71.4
193,0.4631,,134,,70.6
194,0.46493,,134,,70.4
195,0.46696,,134,,70.4
196,0.46903,,134,,70.2
197,0.47171,,134,,70.4
198,0.47409,,134,,69.8
199,0.47705,,135,,66.8
200,0.47942,,135,,66.2
201,0.48217,,135,,65.6
202,0.48469,,135,,64.6
203,0.48723,,135,,63.8
204,0.48961,,135,,63.2
205,0.49195,,135,,62.6
206,0.49383,,136,,62
207,0.49594,,136,,60.2
208,0.49828,,136,,59.6
209,0.50084,,136,,59
210,0.50337,,137,,58.2
211,0.50596,,137,,57.4
212,0.50849,,137,,57.2
213,0.51093,,137,,57
214,0.51324,,137,,56.6
215,0.51528,,136,,56
216,0.51726,,137,,55.8
217,0.5195,,137,,55.8
218,0.52182,,137,,55.6
219,0.52395,,137,,55.4
220,0.52591,,138,,55.2
221,0.52739,,137,,54.8
222,0.52974,,137,,54.8
223,0.53168,,137,,54.4
224,0.53349,,137,,54.4
225,0.53574,,137,,54.8
226,0.53788,,137,,54.8
227,0.5398,,137,,54.4
228,0.54203,,137,,54.4
229,0.54381,,137,,54.2
230,0.54534,,137,,54.4
231,0.54712,,137,,54.2
232,0.54902,,137,,54.4
233,0.55106,,137,,54.4
234,0.55369,,136,,53.4
235,0.5566,,137,,53
236,0.55889,,137,,52.6
237,0.56136,,137,,52
238,0.56343,,137,,51.6
239,0.56551,,138,,51.4
240,0.56799,,138,,51.4
241,0.57064,,138,,51.6
242,0.57343,,138,,52
243,0.57636,,139,,52.4
244,0.57866,,139,,52.2
245,0.58073,,139,,52.4
246,0.58298,,139,,52.8
247,0.58485,,139,,52.8
248,0.58664,,139,,53
249,0.58877,,139,,53.2
250,0.59111,,139,,53.2
251,0.59342,,139,,53.6
252,0.59654,,139,,53.4
253,0.59885,,139,,53.6
254,0.60085,,139,,53.8
255,0.60296,,139,,53.4
256,0.6056,,139,,53.6
257,0.60833,,139,,53.8
258,0.61042,,139,,54
259,0.61237,,139,,54.6
260,0.61492,,139,,55.2
261,0.61736,,139,,56.2
262,0.61919,,139,,56.6
263,0.62118,,139,,57.2
264,0.62335,,139,,56.6
265,0.62556,,139,,56.8
266,0.62782,,139,,56.8
267,0.63112,,140,,55.4
268,0.63396,,140,,54.8
269,0.63667,,139,,54.2
270,0.63917,,140,,54.2
271,0.64149,,140,,53.8
272,0.64372,,140,,54
273,0.64589,,141,,54.4
274,0.64821,,141,,54.8
275,0.65035,,141,,54.8
276,0.65235,,141,,55
277,0.65457,,141,,55
278,0.65698,,142,,55.4
279,0.6595,,142,,55.6
280,0.66194,,142,,55.8
281,0.66454,,142,,56
282,0.66735,,142,,57.4
283,0.66953,,142,,57.6
284,0.67208,,142,,57.2
285,0.67423,,143,,57
286,0.67687,,143,,58.2
287,0.679,,143,,57.8
288,0.68126,,143,,58.2
289,0.68411,,143,,58.4
290,0.68642,,143,,57.8
291,0.68882,,143,,57.6
292,0.6913,,144,,57.2
293,0.69372,,143,,57
294,0.69601,,143,,57
295,0.69817,,144,,56.8
296,0.70036,,143,,56.2
297,0.70268,,143,,56.4
298,0.70477,,144,,56
299,0.70685,,143,,56.2
300,0.70913,,144,,55.8
301,0.71148,,144,,56.2
302,0.71421,,144,,57.4
303,0.71698,,144,,57.6
304,0.71943,,144,,58
305,0.72158,,144,,57.2
306,0.72397,,144,,57.4
307,0.72616,,145,,57.6
308,0.72908,,145,,57.2
309,0.73164,,145,,57
310,0.73414,,146,,57.4
311,0.73664,,146,,57.8
312,0.73889,,146,,58
313,0.74141,,146,,58.8
314,0.74389,,147,,59.2
315,0.74632,,147,,59.2
316,0.7483,,147,,59.4
317,0.75036,,147,,59.6
318,0.75228,,147,,60.6
319,0.75461,,147,,60.4
320,0.75746,,147,,60.8
321,0.75967,,146,,60.8
322,0.76169,,146,,60.8
323,0.76362,,146,,61
324,0.7653,,146,,61.2
325,0.76733,,146,,61
326,0.7697,,146,,60.6
327,0.77308,,146,,59.2
328,0.77569,,146,,59
329,0.77803,,146,,58.4
330,0.78057,,146,,57.8
331,0.78301,,146,,57.6
332,0.7857,,146,,57.6
333,0.78833,,146,,57.8
334,0.79077,,146,,57.8
335,0.79352,,146,,58
336,0.79607,,146,,59
337,0.79849,,146,,58.8
338,0.80066,,146,,58.6
339,0.80287,,147,,58.6
340,0.80553,,147,,58.8
341,0.80796,,147,,59
342,0.81033,,147,,59
343,0.81261,,147,,59.2
344,0.81473,,147,,59.2
345,0.81691,,147,,59
346,0.81933,,147,,59.2
347,0.82121,,147,,59
348,0.82354,,147,,59.4
349,0.8255,,147,,59.4
350,0.8271,,147,,60
351,0.82927,,147,,60.2
352,0.83117,,147,,61
353,0.83311,,147,,61.6
354,0.83518,,147,,62.6
355,0.83723,,147,,63.6
356,0.83916,,147,,64.2
357,0.84118,,147,,64.6
358,0.84324,,147,,65.2
359,0.84527,,147,,66.2
360,0.84752,,147,,66.8
361,0.84965,,147,,66.8
362,0.85161,,147,,67.2
363,0.85321,,147,,66.4
364,0.85508,,148,,66.6
365,0.85767,,147,,68.2
366,0.86008,,147,,68.4
367,0.86231,,148,,68.2
368,0.86452,,148,,68
369,0.86655,,148,,68.2
370,0.86857,,148,,67.6
371,0.87079,,148,,67
372,0.87334,,148,,65.8
373,0.87567,,148,,65
374,0.8774,,148,,64.4
375,0.87942,,148,,64
376,0.88157,,148,,64
377,0.88336,,148,,64
378,0.88494,,149,,64.6
379,0.88668,,149,,65.2
380,0.88796,,149,,65.2
381,0.88883,,148,,64.4
382,0.88999,,149,,64
383,0.89179,,149,,63.6
384,0.89382,,149,,64.8
385,0.89645,,149,,65.4
386,0.89831,,149,,65
387,0.90037,,148,,65
388,0.90259,,149,,64.6
389,0.9047,,149,,64.6
390,0.90714,,149,,64.6
391,0.90921,,149,,64.8
392,0.91108,,150,,65.2
393,0.91277,,150,,65.2
394,0.91474,,150,,65.2
395,0.91702,,150,,65
396,0.91924,,150,,64.8
397,0.9212,,150,,64.4
398,0.92353,,150,,64.2
399,0.92571,,150,,63.6
400,0.92777,,150,,63.6
401,0.93027,,150,,63
402,0.93238,,150,,62.8
403,0.93457,,150,,62.2
404,0.93644,,150,,61.8
405,0.9382,,149,,61.6
406,0.94025,,149,,61
407,0.94368,,149,,60.8
408,0.94603,,149,,60.2
409,0.94793,,149,,60.2
410,0.94986,,149,,60
411,0.95197,,149,,60
412,0.95402,,149,,60
413,0.95624,,150,,59.8
414,0.95823,,150,,59.8
415,0.96049,,150,,60.2
416,0.96286,,150,,60.6
417,0.96506,,151,,60.4
418,0.96711,,151,,60.4
419,0.96951,,151,,60.2
420,0.9716,,151,,59.2
421,0.97411,,151,,59
422,0.97641,,151,,58.8
423,0.97826,,151,,58.6
424,0.98025,,151,,58
425,0.98229,,151,,57.6
426,0.98481,,151,,57.8
427,0.98716,,151,,58
428,0.98901,,151,,58
429,0.9907,,151,,58
430,0.99266,,151,,58
431,0.99491,,151,,58
432,0.99701,,151,,58.2
433,0.99966,,152,,58.8
434,1.00211,,152,,59.2
435,1.00392,,152,,59
436,1.00582,,152,,59.4
437,1.00775,,152,,59.6
438,1.00989,,152,,59.8
439,1.01196,,152,,59.8
440,1.01388,,152,,60
441,1.01573,,153,,60.4
442,1.01807,,153,,61.2
443,1.02011,,153,,61.2
444,1.0221,,153,,61.4
445,1.02415,,153,,61.6
446,1.02642,,153,,61.4
447,1.02843,,153,,61.4
448,1.03045,,153,,61.6
449,1.03276,,153,,61.6
450,1.03535,,154,,61.8
451,1.03784,,153,,62
452,1.04001,,153,,62.2
453,1.04228,,154,,62.2
454,1.04439,,153,,61.8
455,1.04625,,154,,62
456,1.04817,,153,,62.4
457,1.05054,,153,,63
458,1.05247,,154,,63.4
459,1.05432,,153,,63.4
460,1.05575,,154,,63.4
461,1.05732,,153,,63.8
462,1.05956,,154,,64.2
463,1.06164,,154,,64.8
464,1.06383,,154,,65.2
465,1.06559,,154,,65.8
466,1.06838,,154,,66.2
467,1.07087,,154,,66.4
468,1.07328,,155,,66.6
469,1.0758,,155,,66.8
470,1.07818,,155,,66.8
471,1.08048,,154,,67
472,1.08266,,154,,66.8
473,1.08429,,154,,67.2
474,1.08545,,154,,67.4
475,1.08698,,154,,67.4
476,1.08855,,153,,67.8
477,1.08974,,154,,67.6
478,1.09141,,153,,68
479,1.09292,,153,,67.8
480,1.09466,,153,,67.6
481,1.09672,,153,,67.2
482,1.09884,,153,,66.8
483,1.10072,,153,,66.6
484,1.10254,,154,,66.8
485,1.10425,,154,,67
486,1.1057,,154,,67.2
487,1.10717,,153,,67.4
488,1.1086,,154,,67.8
489,1.11002,,153,,67.8
490,1.11145,,153,,68
491,1.11293,,153,,68.2
492,1.11486,,153,,68.4
493,1.11678,,152,,68.6
494,1.11862,,152,,68.8
495,1.12052,,152,,69.2
496,1.12229,,153,,69
497,1.12414,,152,,68.8
498,1.12662,,152,,68.4
499,1.12874,,152,,68.6
500,1.13086,,152,,68.4
501,1.13292,,152,,67.8
502,1.13506,,152,,67.8
503,1.13737,,152,,67.8
504,1.13948,,151,,67.6
505,1.14221,,151,,67.4
506,1.1448,,151,,67.2
507,1.14725,,151,,67.2
508,1.14961,,150,,67.2
509,1.15217,,150,,66.8
510,1.15416,,149,,66.6
511,1.15597,,149,,66.6
512,1.15767,,148,,66.6
513,1.15978,,147,,66.6
514,1.16168,,147,,66.8
515,1.16346,,147,,66.8
516,1.16517,,147,,66.8
517,1.16682,,147,,67.2
518,1.16888,,146,,67.2
519,1.17084,,146,,67
520,1.17273,,146,,67.2
521,1.17451,,146,,67.2
522,1.17618,,145,,67.2
523,1.17789,,145,,67.4
524,1.17992,,144,,67.6
525,1.18189,,144,,67.8
526,1.1837,,143,,68
527,1.18552,,143,,68
528,1.18728,,143,,68.2
529,1.18872,,142,,68.2
530,1.18997,,142,,68.2
531,1.19147,,142,,68.2
532,1.19303,,141,,68
533,1.19466,,141,,67.8
534,1.19648,,141,,67.6
535,1.19779,,140,,67.6
536,1.19949,,140,,67.4
537,1.20103,,139,,67.4
