secs,km,power,hr,cad,alt
0,0,,74,,100.395
1,0,,74,,99.9951
2,0.000759963,,74,,99.7951
3,0.00228989,,73,,99.3952
4,0.00379981,,72,,99.1952
5,0.00582972,,73,,99.5951
6,0.00864958,,76,,99.7951
7,0.0112994,,79,,100.195
8,0.0139293,,81,,100.595
9,0.0166792,,84,,100.995
10,0.0193391,,86,,100.995
11,0.0219889,,88,,100.795
12,0.0246188,,90,,100.795
13,0.0272087,,91,,100.995
14,0.0292986,,91,,101.595
15,0.0312185,,93,,101.595
16,0.0339783,,94,,101.395
17,0.0374382,,96,,101.595
18,0.040818,,97,,100.995
19,0.0446378,,98,,100.595
20,0.0482776,,99,,100.595
21,0.0516475,,100,,100.195
22,0.0550573,,100,,99.5951
23,0.0586071,,100,,99.1952
24,0.062197,,99,,99.5951
25,0.0656668,,98,,99.5951
26,0.0694766,,98,,99.3952
27,0.0729964,,99,,99.7951
28,0.0763463,,100,,99.7951
29,0.0802161,,102,,99.7951
30,0.0841259,,104,,99.1952
31,0.0876757,,105,,99.1952
32,0.0915155,,107,,98.1952
33,0.0949654,,110,,98.1952
34,0.0984152,,112,,98.3952
35,0.101895,,114,,98.7952
36,0.105735,,115,,98.9952
37,0.109345,,116,,99.1952
38,0.112824,,117,,99.1952
39,0.116674,,118,,98.9952
40,0.120444,,118,,98.3952
41,0.123994,,118,,98.1952
42,0.127084,,117,,97.5952
43,0.130264,,117,,97.3952
44,0.133163,,117,,97.3952
45,0.136053,,117,,97.1953
46,0.139003,,117,,97.1953
47,0.142143,,118,,96.9953
48,0.145383,,118,,96.5953
49,0.148813,,119,,96.5953
50,0.152333,,118,,96.7953
51,0.156012,,118,,97.1953
52,0.159812,,117,,96.9953
53,0.163712,,117,,97.1953
54,0.167862,,116,,97.7952
55,0.171502,,115,,98.3952
56,0.175321,,115,,97.3952
57,0.179061,,114,,96.3953
58,0.182791,,114,,95.7953
59,0.186411,,114,,96.3953
60,0.189951,,114,,96.1953
61,0.193601,,114,,96.1953
62,0.19722,,115,,96.1953
63,0.20045,,117,,95.7953
64,0.20365,,119,,95.3953
65,0.20691,,122,,95.5953
66,0.21056,,124,,95.7953
67,0.2142,,125,,95.5953
68,0.217589,,127,,95.5953
69,0.220729,,127,,95.5953
70,0.224039,,128,,95.5953
71,0.227339,,128,,95.1954
72,0.230879,,127,,95.3953
73,0.234539,,127,,95.5953
74,0.238228,,127,,95.5953
75,0.241808,,127,,95.5953
76,0.245568,,127,,95.5953
77,0.249338,,128,,95.3953
78,0.253008,,129,,95.3953
79,0.256557,,131,,95.1954
80,0.260207,,132,,94.9954
81,0.263827,,134,,94.5954
82,0.267497,,135,,94.3954
83,0.271207,,136,,94.3954
84,0.276057,,137,,94.3954
85,0.280356,,138,,94.9954
86,0.284576,,138,,95.3953
87,0.288506,,139,,94.5954
88,0.292346,,139,,93.7954
89,0.296056,,139,,93.7954
90,0.299715,,139,,94.1954
91,0.303205,,139,,94.5954
92,0.306605,,139,,94.9954
93,0.310065,,139,,95.3953
94,0.313615,,139,,95.3953
95,0.316995,,139,,95.5953
96,0.320294,,140,,95.3953
97,0.323734,,140,,95.7953
98,0.327194,,140,,95.9953
99,0.330544,,141,,95.5953
100,0.333944,,141,,95.3953
101,0.337224,,141,,95.3953
102,0.340673,,141,,95.1954
103,0.344123,,141,,95.3953
104,0.347643,,141,,95.3953
105,0.351163,,142,,95.3953
106,0.354683,,142,,94.5954
107,0.358103,,142,,94.3954
108,0.361602,,144,,94.5954
109,0.365142,,144,,94.7954
110,0.368602,,145,,94.7954
111,0.372082,,145,,94.9954
112,0.375492,,145,,94.9954
113,0.378722,,145,,94.7954
114,0.381871,,144,,94.5954
115,0.385151,,144,,94.5954
116,0.388651,,143,,94.5954
117,0.392321,,143,,94.3954
118,0.395991,,142,,94.1954
119,0.399581,,142,,94.1954
120,0.40313,,142,,94.3954
121,0.40651,,143,,94.3954
122,0.40999,,144,,94.1954
123,0.41341,,145,,94.3954
124,0.41683,,146,,94.1954
125,0.420319,,146,,94.1954
126,0.423859,,146,,94.1954
127,0.427489,,146,,94.1954
128,0.431069,,146,,94.1954
129,0.434529,,146,,93.9954
130,0.438059,,146,,94.1954
131,0.441518,,148,,93.9954
132,0.445028,,149,,93.7954
133,0.448548,,149,,93.7954
134,0.452058,,150,,93.3954
135,0.455408,,150,,93.5954
136,0.458858,,150,,93.7954
137,0.462197,,150,,93.5954
138,0.465477,,149,,93.5954
139,0.468757,,149,,93.3954
140,0.472017,,147,,93.5954
