secs,km,power,hr,cad,alt
0,0,,85,,8.2
1,0.00225,,85,,7
5,0.01294,,85,,4.6
9,0.02315,,90,,3.4
10,0.02606,,94,,2.4
11,0.02925,,100,,3.2
12,0.03205,,104,,3.2
13,0.03462,,104,,3.6
15,0.04022,,107,,4.4
20,0.05464,,110,,3.6
22,0.05949,,113,,3.4
25,0.06797,,116,,2.8
28,0.07648,,121,,2.8
29,0.07921,,121,,3
31,0.08457,,126,,2.6
34,0.09331,,122,,2.4
36,0.09911,,125,,2.2
38,0.10493,,121,,2.6
43,0.1197,,125,,3
44,0.1228,,128,,2.8
45,0.12596,,131,,2.8
46,0.12902,,131,,3
48,0.13504,,128,,3.4
49,0.13793,,125,,3.6
50,0.14079,,125,,3.8
52,0.14627,,122,,4.2
56,0.15615,,125,,5.2
62,0.16984,,128,,6
71,0.19143,,128,,7
79,0.21385,,129,,8.2
86,0.23475,,130,,13.6
94,0.25615,,130,,17
97,0.26272,,130,,16.4
105,0.2843,,132,,13.8
108,0.2926,,136,,13
113,0.30623,,139,,11.6
120,0.32407,,136,,10.6
124,0.33411,,136,,10.8
127,0.3435,,141,,10.2
129,0.34975,,145,,9.6
136,0.37121,,143,,7.8
144,0.39288,,141,,5.6
152,0.41517,,140,,4
160,0.437,,140,,3
167,0.45607,,140,,3
172,0.47034,,140,,2.8
177,0.48443,,141,,2.6
182,0.49864,,141,,2.2
189,0.51911,,140,,2
192,0.52738,,141,,1.6
194,0.53294,,138,,1.4
202,0.5552,,139,,1.8
209,0.5747,,142,,1.6
212,0.58309,,143,,1.8
220,0.60515,,145,,2.4
222,0.61049,,145,,3
230,0.63137,,143,,3.2
231,0.63395,,139,,3
232,0.63647,,136,,2.8
233,0.63909,,136,,2.8
238,0.65344,,139,,2.6
242,0.66483,,136,,2.4
247,0.67895,,136,,2.4
255,0.70161,,138,,1.8
263,0.72372,,139,,1.4
265,0.7293,,146,,1.2
266,0.7321,,142,,1.2
267,0.73506,,145,,1
268,0.73798,,151,,0.8
269,0.7408,,156,,0.6
270,0.74353,,159,,0.4
272,0.7491,,162,,0.4
274,0.75478,,165,,0.2
277,0.76292,,166,,-0.6
283,0.77925,,163,,-1.4
286,0.7872,,160,,-1.4
290,0.79758,,157,,-1.4
292,0.80284,,155,,-1.4
298,0.81941,,152,,-1.4
305,0.83916,,151,,-0.6
311,0.85964,,150,,0.6
317,0.88105,,150,,1.2
322,0.89716,,149,,2.2
329,0.91873,,149,,3.8
336,0.94029,,148,,4.2
337,0.94351,,147,,4.2
344,0.96564,,146,,4.2
351,0.98799,,145,,3.8
356,1.00298,,145,,2.4
363,1.02495,,146,,1.8
370,1.0452,,148,,2
377,1.06676,,147,,3.8
384,1.08731,,147,,4
391,1.1089,,148,,3.8
398,1.12938,,148,,3
405,1.14952,,148,,1.2
412,1.17055,,145,,1.2
419,1.19165,,145,,1.4
423,1.20355,,148,,1.6
427,1.21552,,147,,2.6
435,1.23828,,145,,2.4
443,1.26166,,144,,1
450,1.28392,,146,,0.4
452,1.2898,,151,,0
453,1.29271,,151,,-0.2
461,1.31512,,150,,0
464,1.32323,,147,,0
468,1.33482,,143,,-0.6
470,1.34095,,140,,-0.2
476,1.35953,,143,,1.2
480,1.37151,,146,,2.8
487,1.39303,,148,,3
494,1.41665,,149,,0.2
500,1.43845,,149,,-2.6
507,1.46064,,148,,-5
514,1.48213,,149,,-5.6
521,1.50257,,147,,-6.2
523,1.50884,,154,,-6.6
524,1.51162,,154,,-7
526,1.51654,,151,,-7.2
527,1.51892,,146,,-7.6
528,1.52129,,146,,-8
535,1.54192,,144,,-11.2
542,1.56202,,145,,-9.8
549,1.58378,,149,,-7.6
556,1.60588,,148,,-8.4
563,1.62711,,149,,-8.8
570,1.64876,,148,,-7.8
577,1.67024,,146,,-6.2
584,1.69235,,146,,-5.2
587,1.70132,,147,,-4.4
594,1.72331,,145,,-3.2
601,1.74537,,145,,-3
608,1.7669,,145,,-2.4
610,1.77184,,146,,-1.4
618,1.79343,,148,,-3.6
622,1.80554,,151,,-3
630,1.82813,,152,,-4
637,1.84825,,151,,-5.6
644,1.86997,,151,,-5
647,1.87935,,148,,-4.4
649,1.88505,,151,,-4.4
650,1.88782,,148,,-4.2
658,1.91037,,147,,-4
665,1.93184,,146,,-3.2
669,1.944,,149,,-3.6
676,1.96667,,150,,-6.2
683,1.98973,,149,,-7.8
687,2.00216,,149,,-7.6
694,2.02317,,149,,-7.4
701,2.04376,,149,,-7.4
704,2.05278,,146,,-7.4
711,2.07312,,147,,-6.8
719,2.09584,,147,,-5.4
722,2.10435,,147,,-4.6
727,2.11893,,144,,-4.2
734,2.1396,,143,,-3
741,2.16001,,142,,-3.2
748,2.18071,,143,,-3
755,2.2027,,143,,-2
762,2.2243,,144,,-0.8
769,2.24567,,145,,0.6
776,2.26639,,144,,-0.2
784,2.28791,,144,,1.6
791,2.30857,,146,,1.8
794,2.31768,,152,,1.8
795,2.32046,,152,,2
802,2.34231,,150,,2.2
810,2.36496,,149,,-1
818,2.3871,,148,,-5.8
826,2.40901,,147,,-5.4
829,2.41652,,147,,-3.8
836,2.43653,,148,,-5.2
839,2.44608,,145,,-4.8
846,2.468,,144,,-0.4
853,2.48801,,141,,1.8
857,2.49896,,143,,3.2
862,2.51225,,146,,5
869,2.53337,,147,,5
873,2.54457,,150,,5.4
880,2.56617,,150,,2.6
885,2.58042,,153,,3.8
891,2.59882,,150,,5.8
899,2.62117,,148,,3.4
901,2.62636,,152,,3.6
909,2.64894,,154,,4.2
917,2.67086,,153,,4
922,2.68431,,154,,3.2
930,2.70599,,154,,2.2
937,2.72624,,155,,0
944,2.74648,,157,,-1.6
952,2.76883,,157,,-2.2
955,2.77737,,160,,-2.8
963,2.7984,,158,,-3.6
970,2.81843,,157,,-3.8
973,2.82658,,154,,-3
982,2.84794,,152,,-1.4
989,2.86914,,150,,-1.8
996,2.88955,,152,,-2.2
1002,2.90681,,152,,-2.8
1010,2.92926,,153,,-1
1017,2.95142,,152,,4.4
1024,2.97185,,153,,2.6
1027,2.97907,,153,,1.4
1029,2.98343,,153,,0.2
1035,3.00063,,152,,-1.2
1042,3.02072,,153,,-1.2
1049,3.04099,,153,,-1.6
1054,3.05577,,152,,-1.4
1061,3.07888,,152,,0
1068,3.10087,,154,,0.2
1075,3.12131,,154,,-1.2
1082,3.14148,,156,,-1
1090,3.1633,,155,,-1.8
1098,3.18363,,155,,-1.8
1106,3.2037,,156,,-1.2
1107,3.20589,,156,,-1.6
1115,3.22709,,156,,-1.4
1123,3.2492,,156,,-0.4
1131,3.26999,,156,,0.8
1139,3.2926,,155,,-0.4
1142,3.30151,,155,,-1
1149,3.32193,,154,,-1.4
1156,3.34234,,153,,-0.8
1163,3.36309,,153,,-0.8
1170,3.38406,,152,,-0.8
