secs,km,power,hr,cad,alt
0,0,,63,,30.8
1,0.00078,,62,,30.8
2,0.00249,,61,,30.8
3,0.00403,,61,,30.8
4,0.0057,,63,,30.8
5,0.00811,,64,,30.8
6,0.01013,,64,,30.8
7,0.01259,,66,,30.8
8,0.01515,,69,,30.8
9,0.01733,,71,,30.8
10,0.0195,,73,,30.8
11,0.02099,,76,,30.8
12,0.02286,,80,,30.8
13,0.02507,,81,,30.8
14,0.02712,,84,,30.8
15,0.03004,,85,,30.8
16,0.03278,,87,,30.8
17,0.03493,,88,,30.8
18,0.03673,,89,,30.8
19,0.03896,,91,,30.8
20,0.04134,,92,,30.8
21,0.04409,,93,,30.8
22,0.04657,,93,,30.8
23,0.04891,,93,,30.8
24,0.04974,,93,,30.8
25,0.05289,,93,,30.8
26,0.0557,,93,,30.8
27,0.05806,,93,,30.8
28,0.06162,,93,,30.8
29,0.06327,,93,,30.8
30,0.06589,,93.5,,30.8
31,0.06851,,94,,30.8
32,0.07066,,95,,30.8
33,0.072815,,95,,30.8
34,0.07497,,95,,30.8
35,0.0772,,96,,30.8
36,0.07966,,96,,30.8
37,0.0819,,97,,30.8
38,0.08455,,97.3333,,30.1333
39,0.0872,,97.6667,,29.4667
40,0.08985,,98,,28.8
41,0.09225,,98,,28.8
42,0.09369,,98,,28.8
43,0.09641,,99,,28.8
44,0.098995,,99,,28.8
45,0.10158,,99,,28.8
46,0.1044,,100,,28.8
47,0.10698,,100,,28.8
48,0.10964,,101,,28.8
49,0.11173,,101,,28.8
50,0.11481,,101,,28.8
51,0.11736,,102,,28.8
52,0.11982,,102,,28.8
53,0.12253,,102,,28.8
54,0.12486,,103,,28.8
55,0.12725,,103,,28.8
56,0.13061,,103,,28.8
57,0.13351,,104,,28.8
58,0.13549,,104,,27.6
59,0.13774,,105,,27.6
60,0.13927,,105,,27.6
61,0.143485,,105.5,,27.6
62,0.1477,,106,,27.6
63,0.15081,,106,,27.6
64,0.15308,,106,,27.6
65,0.15607,,107,,27.6
66,0.15853,,107,,27.6
67,0.16165,,107,,27.6
68,0.16452,,107,,27.6
69,0.16692,,107,,27.6
70,0.17008,,107,,27.6
71,0.1738,,107,,27.6
72,0.17642,,107,,27.6
73,0.18001,,107,,27.8
74,0.18306,,107,,27.6
75,0.18622,,107,,27.6
76,0.18938,,107,,27.6
77,0.19202,,107,,26.4
78,0.19432,,108,,26.2
79,0.19661,,108,,26.4
80,0.199073,,108.25,,26.4
81,0.201535,,108.5,,26.4
82,0.203997,,108.75,,26.4
83,0.20646,,109,,26.4
84,0.209092,,109,,26.4
85,0.211723,,109,,26.4
86,0.214355,,109,,26.4
87,0.216987,,109,,26.4
88,0.219618,,109,,26.4
89,0.22225,,109,,26.4
90,0.22536,,109,,26.4
91,0.22847,,109,,26.4
92,0.23114,,110,,26.4
93,0.23435,,110,,26.4
94,0.237135,,110.5,,26.4
95,0.23992,,111,,26.4
96,0.242773,,111.333,,26.3333
97,0.245627,,111.667,,26.2667
98,0.24848,,112,,26.2
99,0.25154,,112,,26.4
100,0.25496,,111,,26.4
101,0.25689,,112,,26.2
102,0.25948,,111,,26.2
103,0.26199,,112,,26.4
104,0.2647,,112,,26.2
105,0.26789,,112,,26.2
106,0.27072,,112,,26.4
107,0.27341,,111,,26.2
108,0.27637,,111,,26.2
109,0.2781,,111,,26.4
110,0.28065,,110,,26.4
111,0.28307,,109,,26.4
112,0.28464,,108,,26.4
113,0.28692,,107,,26.4
114,0.28856,,106,,26.4
115,0.29028,,106,,26.4
116,0.29244,,106,,26.4
117,0.29468,,106,,26.4
118,0.29682,,106,,26.4
119,0.29874,,107,,26.4
120,0.300976,,107.6,,26.4
121,0.303212,,108.2,,26.4
122,0.305448,,108.8,,26.4
123,0.307684,,109.4,,26.4
124,0.30992,,110,,26.4
125,0.31256,,110.5,,26.4
126,0.3152,,111,,26.4
127,0.31784,,111.5,,26.4
128,0.32048,,112,,26.4
129,0.32311,,112.5,,26.4
130,0.32574,,113,,26.4
131,0.328555,,113.25,,26.35
132,0.33137,,113.5,,26.3
133,0.334185,,113.75,,26.25
134,0.337,,114,,26.2
135,0.34008,,114,,26.4
136,0.34246,,114,,26.4
137,0.34525,,114,,26.4
138,0.34792,,115,,26.4
139,0.35045,,115,,26.4
140,0.35349,,115,,26.4
141,0.35632,,115,,26.4
142,0.35886,,115,,26.4
143,0.36182,,114,,26.4
144,0.36373,,114,,26.4
145,0.36667,,114,,26.4
146,0.3697,,114,,26.4
147,0.37244,,114,,26.4
148,0.37513,,114,,26.4
149,0.37779,,114,,26.4
150,0.38069,,113,,26.4
151,0.38354,,114,,26.4
152,0.38634,,113,,26.4
153,0.3889,,114,,26.4
154,0.39116,,113,,26.4
155,0.39455,,113,,26.2
156,0.39753,,113,,26.2
157,0.40042,,112,,26.2
158,0.40361,,112,,26.2
159,0.40548,,112,,26.2
160,0.40844,,112,,26.2
161,0.41018,,111,,26.4
162,0.41227,,111,,26.4
