secs,km,power,hr,cad,alt
0,0,,141,,436
1,0.00295,,141.5,,434.8
2,0.0059,,142,,433.6
3,0.00989,,142,,432
4,0.01318,,142,,430
5,0.01654,,142,,428.8
6,0.01654,,142,,424.2
7,0.01654,,142,,420
8,0.01654,,142,,416.4
9,0.01654,,141,,413
10,0.01654,,141,,409
11,0.01664,,140,,405
12,0.0178,,140,,402.2
13,0.01998,,140,,399.8
14,0.02267,,140,,398.8
15,0.02511,,138,,398
16,0.02732,,139,,397
17,0.02968,,140,,396.2
18,0.0321,,140,,395.2
19,0.03389,,141,,394.4
20,0.03542,,141,,393.6
21,0.03702,,141,,392.6
22,0.0392,,141,,391.6
23,0.04121,,138,,390.8
24,0.04348,,138,,390
25,0.04544,,138,,388.8
26,0.04749,,138,,387.8
27,0.04958,,138,,386.8
28,0.05053,,138,,385
29,0.05131,,138,,382.8
30,0.05205,,138,,380.8
31,0.05342,,138,,379.2
32,0.05499,,138,,377.8
33,0.05645,,139,,376.4
34,0.05802,,139,,375
35,0.06003,,139,,374
36,0.06175,,144,,372.8
37,0.06357,,144,,371.6
38,0.06574,,144,,370.6
39,0.07027,,145,,369
40,0.07556,,145,,367
41,0.08024,,145,,365.4
42,0.08487,,145,,363.8
43,0.0902,,144,,362
44,0.09442,,144,,360.6
45,0.099,,145,,359.2
46,0.10386,,147,,357.6
47,0.10844,,149,,356.2
48,0.11303,,149,,354.8
49,0.11704,,149,,353.4
50,0.12091,,148,,352.2
51,0.12545,,146,,351
52,0.12985,,145,,349.8
53,0.13365,,146,,349
54,0.13783,,146,,347.8
55,0.14144,,146,,347
56,0.14593,,146,,346
57,0.15011,,146,,345.2
58,0.15441,,146,,344.4
59,0.15867,,146,,343.4
60,0.16243,,146,,342.8
61,0.1659,,146,,342
62,0.17012,,146,,341.2
63,0.17395,,149,,340.6
64,0.17792,,149,,339.8
65,0.18165,,149,,339
66,0.18518,,149,,338.4
67,0.18898,,149,,337.6
68,0.19268,,149,,337
69,0.196,,149,,336.2
70,0.19933,,149,,335.6
71,0.20244,,149,,335
72,0.20569,,149,,334.2
73,0.20913,,150,,333.6
74,0.21244,,150,,333
75,0.21598,,151,,332.4
76,0.21916,,151,,331.8
77,0.22255,,151,,331
78,0.22603,,151,,330.4
79,0.22944,,151,,329.8
80,0.23313,,151,,329.2
81,0.23631,,151,,328.6
82,0.23907,,153,,328
83,0.24177,,152,,327.4
84,0.2445,,153,,326.8
85,0.24733,,153,,326.2
86,0.25072,,153,,325.6
87,0.2539,,153,,324.8
88,0.25728,,152,,324.2
89,0.26059,,152,,323.6
90,0.26382,,152,,323
91,0.26727,,152,,322.2
92,0.27039,,151,,321.6
93,0.27337,,150,,321
94,0.27621,,151,,320.4
95,0.27896,,151,,319.8
96,0.28206,,151,,319.2
97,0.28466,,150,,318.6
98,0.2875,,151,,318
99,0.29048,,152,,317.4
100,0.29322,,154,,316.6
101,0.29587,,154,,316
102,0.29901,,152,,315.4
103,0.30198,,150,,314.8
104,0.30515,,150,,314.2
105,0.30816,,151,,313.6
106,0.31068,,153,,312.8
107,0.31311,,153,,312.2
108,0.31591,,153,,311.6
109,0.31863,,153,,311
110,0.32153,,153,,310.4
111,0.32455,,153,,309.8
112,0.32767,,153,,309
113,0.33091,,149,,308.4
114,0.33393,,149,,307.6
115,0.33688,,149,,307
116,0.34019,,149,,306.4
117,0.3433,,149,,305.4
118,0.34633,,149,,304.8
119,0.34942,,149,,303.8
120,0.35249,,149,,303
121,0.35549,,149,,302.2
122,0.35823,,150,,301.4
123,0.36116,,151,,300.6
124,0.36427,,152,,299.8
125,0.3671,,152,,299
126,0.36996,,153,,298.2
127,0.3729,,151,,297.4
128,0.37585,,151,,296.4
129,0.37853,,152,,295.6
130,0.38157,,151,,294.6
131,0.38452,,152,,294
132,0.38756,,152,,293.2
133,0.39058,,153,,292.4
134,0.39373,,153,,291.6
135,0.39674,,152,,290.6
136,0.39967,,153,,289.8
137,0.4027,,154,,288.8
138,0.40585,,153,,287.6
139,0.40877,,153,,286.4
140,0.41169,,154,,285.4
141,0.41425,,153,,284.6
142,0.41705,,153,,284
143,0.41973,,153,,283.2
144,0.42226,,154,,282.6
145,0.42509,,153,,281.8
146,0.42759,,153,,281.2
147,0.43008,,154,,280.4
148,0.43266,,152,,279.6
149,0.43409,,153,,277.2
150,0.43585,,153,,275
151,0.43769,,152,,272.8
152,0.44007,,152,,271.2
153,0.44082,,153,,268.2
154,0.44234,,153,,266.2
155,0.44425,,152,,264.6
156,0.44576,,152,,262.4
157,0.44748,,152,,260.6
158,0.4489,,152,,259
159,0.45069,,152,,257.6
160,0.45276,,152,,256.4
161,0.45394,,152,,254.6
162,0.45569,,152,,253.4
163,0.45772,,152,,252.4
164,0.45956,,153,,251.4
165,0.46196,,153,,250.4
166,0.46453,,153,,249.4
167,0.46605,,154,,248.4
168,0.46713,,154,,247.4
169,0.46816,,154,,246.6
170,0.46901,,154,,245.8
171,0.47036,,153,,245
172,0.47175,,153,,244
173,0.47346,,153,,243.2
174,0.47569,,154,,242.4
175,0.47802,,155,,241.6
176,0.48038,,155,,240.6
177,0.48312,,153,,239.6
178,0.48618,,152,,238.4
179,0.48928,,152,,237.4
180,0.49206,,153,,236.4
181,0.49486,,153,,235.6
182,0.49777,,154,,234.6
183,0.50064,,153,,233.8
184,0.50348,,152,,232.8
185,0.50623,,152,,232
186,0.50904,,152,,231
187,0.51189,,152,,230.4
188,0.51617,,152,,227
189,0.52005,,152,,224.2
