secs,km,power,hr,cad,alt
0,0,,82,,0
1,0,,82,,0
2,0,,82.2727,,0
3,0,,82.5455,,0
4,0,,82.8182,,0
5,0,,83.0909,,0
6,0,,83.3636,,0
7,0,,83.6364,,0
8,0,,83.9091,,0
9,0,,84.1818,,0
10,0,,84.4545,,0
11,0,,84.7273,,0
12,0,,85,,0
13,0,,84.5714,,0
14,0,,84.1429,,0
15,0,,83.7143,,0
16,0,,83.2857,,0
17,0,,82.8571,,0
18,0,,82.4286,,0
19,0,,82,,0
20,0.000778333,,82.6667,,0
21,0.00155667,,83.3333,,0
22,0.002335,,84,,0
23,0.00311333,,84.6667,,0
24,0.00389167,,85.3333,,0
25,0.00467,,86,,0
26,0.0058,,91,,0
27,0.0058,,90.6154,,0
28,0.0058,,90.2308,,0
29,0.0058,,89.8462,,0
30,0.0058,,89.4615,,0
31,0.0058,,89.0769,,0
32,0.0058,,88.6923,,0
33,0.0058,,88.3077,,0
34,0.0058,,87.9231,,0
35,0.0058,,87.5385,,0
36,0.0058,,87.1538,,0
37,0.0058,,86.7692,,0
38,0.0058,,86.3846,,0
39,0.0058,,86,,0
40,0.006583,,85.7,,0
41,0.007366,,85.4,,0
42,0.008149,,85.1,,0
43,0.008932,,84.8,,0
44,0.009715,,84.5,,0
45,0.010498,,84.2,,0
46,0.011281,,83.9,,0
47,0.012064,,83.6,,0
48,0.012847,,83.3,,0
49,0.01363,,83,,0
74,0.01847,,86,,0
75,0.01847,,86.25,,0
76,0.01847,,86.5,,0
77,0.01847,,86.75,,0
78,0.01847,,87,,0
79,0.01847,,87.25,,0
80,0.01847,,87.5,,0
81,0.01847,,87.75,,0
82,0.01847,,88,,0
83,0.01847,,88.25,,0
84,0.01847,,88.5,,0
85,0.01847,,88.75,,0
86,0.01847,,89,,0
87,0.01941,,89.3333,,0
88,0.02035,,89.6667,,0
89,0.02129,,90,,0
90,0.02223,,90.3333,,0
91,0.02317,,90.6667,,0
92,0.02411,,91,,0
93,0.02505,,91.3333,,0
94,0.02599,,91.6667,,0
95,0.02693,,92,,0
96,0.02787,,92.3333,,0
97,0.02881,,92.6667,,0
98,0.02975,,93,,0
99,0.02975,,93.375,,0
100,0.02975,,93.75,,0
101,0.02975,,94.125,,0
102,0.02975,,94.5,,0
103,0.02975,,94.875,,0
104,0.02975,,95.25,,0
105,0.02975,,95.625,,0
106,0.02975,,96,,0
107,0.02975,,102,,0
108,0.02975,,106,,0
109,0.02975,,106,,0
110,0.02975,,106.6,,0
111,0.02975,,107.2,,0
112,0.02975,,107.8,,0
113,0.02975,,108.4,,0
114,0.02975,,109,,0
115,0.02975,,108.4,,0
116,0.02975,,107.8,,0
117,0.02975,,107.2,,0
118,0.02975,,106.6,,0
119,0.02975,,106,,0
120,0.02975,,104,,0
121,0.02975,,102,,0
122,0.02975,,100,,0
123,0.02975,,98,,0
124,0.03061,,98.0417,,0
125,0.03147,,98.0833,,0
