secs,km,power,hr,cad,alt
0,0,,103,,687.2
1,0.00119,,103,,687
2,0.002865,,99.5,,686.9
3,0.00454,,96,,686.8
4,0.00616,,91,,686.6
5,0.00775,,91,,686.6
6,0.009285,,92.5,,686.6
7,0.01082,,94,,686.6
8,0.01269,,95,,686.6
9,0.01456,,96,,686.6
10,0.01643,,97,,686.6
11,0.0184218,,96.9091,,686.527
12,0.0204136,,96.8182,,686.455
13,0.0224055,,96.7273,,686.382
14,0.0243973,,96.6364,,686.309
15,0.0263891,,96.5455,,686.236
16,0.0283809,,96.4545,,686.164
17,0.0303727,,96.3636,,686.091
18,0.0323645,,96.2727,,686.018
19,0.0343564,,96.1818,,685.945
20,0.0363482,,96.0909,,685.873
21,0.03834,,96,,685.8
22,0.0403367,,95.5,,685.667
23,0.0423333,,95,,685.533
24,0.04433,,94.5,,685.4
25,0.0463267,,94,,685.267
26,0.0483233,,93.5,,685.133
27,0.05032,,93,,685
28,0.0523,,92.25,,684.85
29,0.05428,,91.5,,684.7
30,0.05626,,90.75,,684.55
31,0.05824,,90,,684.4
32,0.0599483,,90.0833,,684.4
33,0.0616567,,90.1667,,684.4
34,0.063365,,90.25,,684.4
35,0.0650733,,90.3333,,684.4
36,0.0667817,,90.4167,,684.4
37,0.06849,,90.5,,684.4
38,0.0701983,,90.5833,,684.4
39,0.0719067,,90.6667,,684.4
40,0.073615,,90.75,,684.4
41,0.0753233,,90.8333,,684.4
42,0.0770317,,90.9167,,684.4
43,0.07874,,91,,684.4
44,0.0807027,,91.2727,,684.255
45,0.0826655,,91.5455,,684.109
46,0.0846282,,91.8182,,683.964
47,0.0865909,,92.0909,,683.818
48,0.0885536,,92.3636,,683.673
49,0.0905164,,92.6364,,683.527
50,0.0924791,,92.9091,,683.382
51,0.0944418,,93.1818,,683.236
52,0.0964045,,93.4545,,683.091
53,0.0983673,,93.7273,,682.945
54,0.10033,,94,,682.8
55,0.102341,,94.1,,682.56
56,0.104352,,94.2,,682.32
57,0.106363,,94.3,,682.08
58,0.108374,,94.4,,681.84
59,0.110385,,94.5,,681.6
60,0.112396,,94.6,,681.36
61,0.114407,,94.7,,681.12
62,0.116418,,94.8,,680.88
63,0.118429,,94.9,,680.64
64,0.12044,,95,,680.4
65,0.122506,,94.9,,680.06
66,0.124572,,94.8,,679.72
67,0.126638,,94.7,,679.38
68,0.128704,,94.6,,679.04
69,0.13077,,94.5,,678.7
70,0.132836,,94.4,,678.36
71,0.134902,,94.3,,678.02
72,0.136968,,94.2,,677.68
73,0.139034,,94.1,,677.34
74,0.1411,,94,,677
75,0.14298,,93.9091,,676.836
76,0.14486,,93.8182,,676.673
77,0.14674,,93.7273,,676.509
78,0.14862,,93.6364,,676.345
79,0.1505,,93.5455,,676.182
80,0.15238,,93.4545,,676.018
81,0.15426,,93.3636,,675.855
82,0.15614,,93.2727,,675.691
83,0.15802,,93.1818,,675.527
84,0.1599,,93.0909,,675.364
85,0.16178,,93,,675.2
86,0.163745,,93,,675.236
87,0.165711,,93,,675.273
88,0.167676,,93,,675.309
89,0.169642,,93,,675.345
90,0.171607,,93,,675.382
91,0.173573,,93,,675.418
92,0.175538,,93,,675.455
93,0.177504,,93,,675.491
94,0.179469,,93,,675.527
95,0.181435,,93,,675.564
96,0.1834,,93,,675.6
97,0.185251,,93,,675.673
98,0.187102,,93,,675.745
99,0.188953,,93,,675.818
100,0.190804,,93,,675.891
101,0.192655,,93,,675.964
102,0.194505,,93,,676.036
103,0.196356,,93,,676.109
104,0.198207,,93,,676.182
105,0.200058,,93,,676.255
106,0.201909,,93,,676.327
107,0.20376,,93,,676.4
108,0.205617,,93.0909,,676.473
109,0.207475,,93.1818,,676.545
110,0.209332,,93.2727,,676.618
111,0.211189,,93.3636,,676.691
112,0.213046,,93.4545,,676.764
113,0.214904,,93.5455,,676.836
114,0.216761,,93.6364,,676.909
115,0.218618,,93.7273,,676.982
116,0.220475,,93.8182,,677.055
117,0.222333,,93.9091,,677.127
118,0.22419,,94,,677.2
119,0.225958,,94,,677.183
120,0.227727,,94,,677.167
121,0.229495,,94,,677.15
122,0.231263,,94,,677.133
123,0.233032,,94,,677.117
124,0.2348,,94,,677.1
125,0.236568,,94,,677.083
126,0.238337,,94,,677.067
127,0.240105,,94,,677.05
128,0.241873,,94,,677.033
129,0.243642,,94,,677.017
130,0.24541,,94,,677
131,0.247271,,93.8182,,676.982
132,0.249132,,93.6364,,676.964
133,0.250993,,93.4545,,676.945
134,0.252854,,93.2727,,676.927
135,0.254715,,93.0909,,676.909
136,0.256575,,92.9091,,676.891
137,0.258436,,92.7273,,676.873
138,0.260297,,92.5455,,676.855
139,0.262158,,92.3636,,676.836
140,0.264019,,92.1818,,676.818
141,0.26588,,92,,676.8
142,0.267745,,92,,676.782
143,0.269609,,92,,676.764
144,0.271474,,92,,676.745
145,0.273338,,92,,676.727
146,0.275203,,92,,676.709
147,0.277067,,92,,676.691
148,0.278932,,92,,676.673
149,0.280796,,92,,676.655
150,0.282661,,92,,676.636
151,0.284525,,92,,676.618
152,0.28639,,92,,676.6
153,0.288281,,92,,676.564
154,0.290172,,92,,676.527
155,0.292063,,92,,676.491
156,0.293954,,92,,676.455
157,0.295845,,92,,676.418
158,0.297735,,92,,676.382
159,0.299626,,92,,676.345
160,0.301517,,92,,676.309
161,0.303408,,92,,676.273
162,0.305299,,92,,676.236
163,0.30719,,92,,676.2
164,0.309121,,91.9091,,676.255
165,0.311052,,91.8182,,676.309
166,0.312983,,91.7273,,676.364
167,0.314914,,91.6364,,676.418
168,0.316845,,91.5455,,676.473
169,0.318775,,91.4545,,676.527
170,0.320706,,91.3636,,676.582
171,0.322637,,91.2727,,676.636
172,0.324568,,91.1818,,676.691
173,0.326499,,91.0909,,676.745
174,0.32843,,91,,676.8
175,0.330338,,91,,676.909
176,0.332246,,91,,677.018
177,0.334155,,91,,677.127
178,0.336063,,91,,677.236
179,0.337971,,91,,677.345
180,0.339879,,91,,677.455
181,0.341787,,91,,677.564
182,0.343695,,91,,677.673
183,0.345604,,91,,677.782
184,0.347512,,91,,677.891
185,0.34942,,91,,678
186,0.351254,,91,,677.982
187,0.353087,,91,,677.964
188,0.354921,,91,,677.945
189,0.356755,,91,,677.927
190,0.358588,,91,,677.909
191,0.360422,,91,,677.891
192,0.362255,,91,,677.873
193,0.364089,,91,,677.855
194,0.365923,,91,,677.836
195,0.367756,,91,,677.818
196,0.36959,,91,,677.8
197,0.37254,,91,,677.8
198,0.373367,,91,,677.75
199,0.374195,,91,,677.7
200,0.375023,,91,,677.65
201,0.37585,,91,,677.6
202,0.377878,,90.5,,677.5
203,0.379907,,90,,677.4
204,0.381935,,89.5,,677.3
205,0.383963,,89,,677.2
206,0.385992,,88.5,,677.1
207,0.38802,,88,,677
208,0.389945,,89,,676.975
209,0.39187,,90,,676.95
210,0.393795,,91,,676.925
211,0.39572,,92,,676.9
212,0.397645,,93,,676.875
213,0.39957,,94,,676.85
214,0.401495,,95,,676.825
215,0.40342,,96,,676.8
216,0.40676,,103,,676.8
217,0.40676,,103,,676.8
218,0.40858,,105,,676.8
219,0.4104,,107,,676.8
220,0.412034,,107.4,,676.8
221,0.413668,,107.8,,676.8
222,0.415302,,108.2,,676.8
223,0.416936,,108.6,,676.8
224,0.41857,,109,,676.8
225,0.420385,,110,,676.75
226,0.4222,,111,,676.7
227,0.424015,,112,,676.65
228,0.42583,,113,,676.6
229,0.427269,,112.714,,676.229
230,0.428707,,112.429,,675.857
231,0.430146,,112.143,,675.486
232,0.431584,,111.857,,675.114
233,0.433023,,111.571,,674.743
234,0.434461,,111.286,,674.371
235,0.4359,,111,,674
236,0.43896,,101,,673.2
237,0.43896,,101,,673.2
238,0.440605,,98.5,,672.7
239,0.44225,,96,,672.2
240,0.44395,,96,,671.8
241,0.445552,,95.4,,671.44
242,0.447154,,94.8,,671.08
243,0.448756,,94.2,,670.72
244,0.450358,,93.6,,670.36
245,0.45196,,93,,670
246,0.453677,,93.1667,,669.8
247,0.455393,,93.3333,,669.6
248,0.45711,,93.5,,669.4
249,0.458827,,93.6667,,669.2
250,0.460543,,93.8333,,669
251,0.46226,,94,,668.8
252,0.463977,,94.1667,,668.6
253,0.465693,,94.3333,,668.4
254,0.46741,,94.5,,668.2
255,0.469127,,94.6667,,668
256,0.470843,,94.8333,,667.8
257,0.47256,,95,,667.6
258,0.474306,,95.2727,,667.382
259,0.476053,,95.5455,,667.164
260,0.477799,,95.8182,,666.945
261,0.479545,,96.0909,,666.727
262,0.481292,,96.3636,,666.509
263,0.483038,,96.6364,,666.291
264,0.484785,,96.9091,,666.073
265,0.486531,,97.1818,,665.855
266,0.488277,,97.4545,,665.636
267,0.490024,,97.7273,,665.418
268,0.49177,,98,,665.2
269,0.493402,,98.0769,,665.077
270,0.495035,,98.1538,,664.954
271,0.496667,,98.2308,,664.831
272,0.498299,,98.3077,,664.708
273,0.499932,,98.3846,,664.585
274,0.501564,,98.4615,,664.462
275,0.503196,,98.5385,,664.338
276,0.504828,,98.6154,,664.215
277,0.506461,,98.6923,,664.092
278,0.508093,,98.7692,,663.969
279,0.509725,,98.8462,,663.846
280,0.511358,,98.9231,,663.723
281,0.51299,,99,,663.6
282,0.514596,,98.8462,,663.554
283,0.516202,,98.6923,,663.508
284,0.517808,,98.5385,,663.462
285,0.519415,,98.3846,,663.415
286,0.521021,,98.2308,,663.369
287,0.522627,,98.0769,,663.323
288,0.524233,,97.9231,,663.277
289,0.525839,,97.7692,,663.231
290,0.527445,,97.6154,,663.185
291,0.529052,,97.4615,,663.138
292,0.530658,,97.3077,,663.092
293,0.532264,,97.1538,,663.046
294,0.53387,,97,,663
295,0.53551,,96.7143,,662.886
296,0.53715,,96.4286,,662.771
297,0.53879,,96.1429,,662.657
298,0.54043,,95.8571,,662.543
299,0.54207,,95.5714,,662.429
300,0.54371,,95.2857,,662.314
301,0.54535,,95,,662.2
302,0.54691,,94.8,,661.68
303,0.54847,,94.6,,661.16
304,0.55003,,94.4,,660.64
305,0.55159,,94.2,,660.12
306,0.55315,,94,,659.6
307,0.554873,,93.8333,,659.3
308,0.556597,,93.6667,,659
309,0.55832,,93.5,,658.7
310,0.560043,,93.3333,,658.4
311,0.561767,,93.1667,,658.1
312,0.56349,,93,,657.8
313,0.565213,,92.8333,,657.5
314,0.566937,,92.6667,,657.2
315,0.56866,,92.5,,656.9
316,0.570383,,92.3333,,656.6
317,0.572107,,92.1667,,656.3
318,0.57383,,92,,656
319,0.575589,,92,,656.017
320,0.577348,,92,,656.033
321,0.579107,,92,,656.05
322,0.580867,,92,,656.067
323,0.582626,,92,,656.083
324,0.584385,,92,,656.1
325,0.586144,,92,,656.117
326,0.587903,,92,,656.133
327,0.589662,,92,,656.15
328,0.591422,,92,,656.167
329,0.593181,,92,,656.183
330,0.59494,,92,,656.2
331,0.5968,,92.0909,,656.291
332,0.59866,,92.1818,,656.382
333,0.60052,,92.2727,,656.473
334,0.60238,,92.3636,,656.564
335,0.60424,,92.4545,,656.655
336,0.6061,,92.5455,,656.745
337,0.60796,,92.6364,,656.836
338,0.60982,,92.7273,,656.927
339,0.61168,,92.8182,,657.018
340,0.61354,,92.9091,,657.109
341,0.6154,,93,,657.2
342,0.61706,,93,,657.133
343,0.61872,,93,,657.067
344,0.62038,,93,,657
345,0.62204,,93,,656.933
346,0.6237,,93,,656.867
347,0.62536,,93,,656.8
348,0.62702,,93,,656.733
349,0.62868,,93,,656.667
350,0.63034,,93,,656.6
351,0.632034,,92.7273,,656.636
352,0.633727,,92.4545,,656.673
353,0.635421,,92.1818,,656.709
354,0.637115,,91.9091,,656.745
355,0.638808,,91.6364,,656.782
356,0.640502,,91.3636,,656.818
357,0.642195,,91.0909,,656.855
358,0.643889,,90.8182,,656.891
359,0.645583,,90.5455,,656.927
360,0.647276,,90.2727,,656.964
361,0.64897,,90,,657
362,0.650456,,90,,657.314
363,0.651941,,90,,657.629
364,0.653427,,90,,657.943
365,0.654913,,90,,658.257
366,0.656399,,90,,658.571
367,0.657884,,90,,658.886
368,0.65937,,90,,659.2
369,0.660856,,90,,659.514
370,0.662341,,90,,659.829
371,0.663827,,90,,660.143
372,0.665313,,90,,660.457
373,0.666799,,90,,660.771
374,0.668284,,90,,661.086
375,0.66977,,90,,661.4
376,0.671115,,90.1333,,661.72
377,0.672461,,90.2667,,662.04
378,0.673806,,90.4,,662.36
379,0.675151,,90.5333,,662.68
380,0.676497,,90.6667,,663
381,0.677842,,90.8,,663.32
382,0.679187,,90.9333,,663.64
383,0.680533,,91.0667,,663.96
384,0.681878,,91.2,,664.28
385,0.683223,,91.3333,,664.6
386,0.684569,,91.4667,,664.92
387,0.685914,,91.6,,665.24
388,0.687259,,91.7333,,665.56
389,0.688605,,91.8667,,665.88
390,0.68995,,92,,666.2
391,0.691548,,92,,666.338
392,0.693145,,92,,666.477
393,0.694743,,92,,666.615
394,0.696341,,92,,666.754
395,0.697938,,92,,666.892
396,0.699536,,92,,667.031
397,0.701134,,92,,667.169
398,0.702732,,92,,667.308
399,0.704329,,92,,667.446
400,0.705927,,92,,667.585
401,0.707525,,92,,667.723
402,0.709122,,92,,667.862
403,0.71072,,92,,668
404,0.712417,,92.0833,,667.917
405,0.714113,,92.1667,,667.833
406,0.71581,,92.25,,667.75
407,0.717507,,92.3333,,667.667
408,0.719203,,92.4167,,667.583
409,0.7209,,92.5,,667.5
410,0.722597,,92.5833,,667.417
411,0.724293,,92.6667,,667.333
412,0.72599,,92.75,,667.25
413,0.727687,,92.8333,,667.167
414,0.729383,,92.9167,,667.083
415,0.73108,,93,,667
416,0.732794,,93.1111,,666.733
417,0.734509,,93.2222,,666.467
418,0.736223,,93.3333,,666.2
419,0.737938,,93.4444,,665.933
420,0.739652,,93.5556,,665.667
421,0.741367,,93.6667,,665.4
422,0.743081,,93.7778,,665.133
423,0.744796,,93.8889,,664.867
424,0.74651,,94,,664.6
425,0.747994,,94,,664.514
426,0.749477,,94,,664.429
427,0.750961,,94,,664.343
428,0.752444,,94,,664.257
429,0.753928,,94,,664.171
430,0.755411,,94,,664.086
431,0.756895,,94,,664
432,0.758379,,94,,663.914
433,0.759862,,94,,663.829
434,0.761346,,94,,663.743
