secs,km,power,hr,cad,alt
0,0,,83,,508.6
1,0.00113,,83,,508.6
2,0.00235,,87,,508.8
3,0.00371,,87,,508.8
4,0.00507,,87,,508.8
5,0.00739778,,87.2222,,508.911
6,0.00972556,,87.4444,,509.022
7,0.0120533,,87.6667,,509.133
8,0.0143811,,87.8889,,509.244
9,0.0167089,,88.1111,,509.356
10,0.0190367,,88.3333,,509.467
11,0.0213644,,88.5556,,509.578
12,0.0236922,,88.7778,,509.689
13,0.02602,,89,,509.8
14,0.02825,,90.5,,509.9
15,0.03048,,92,,510
16,0.03288,,98,,510
17,0.03538,,102,,510
18,0.0375633,,103,,510.067
19,0.0397467,,104,,510.133
20,0.04193,,105,,510.2
21,0.044854,,105.6,,510.28
22,0.047778,,106.2,,510.36
23,0.050702,,106.8,,510.44
24,0.053626,,107.4,,510.52
25,0.05655,,108,,510.6
26,0.05957,,109.5,,510.7
27,0.06259,,111,,510.8
28,0.06573,,114,,511
29,0.06885,,115,,511.1
30,0.07197,,116,,511.2
31,0.0745338,,116.375,,511.1
32,0.0770975,,116.75,,511
33,0.0796613,,117.125,,510.9
34,0.082225,,117.5,,510.8
35,0.0847888,,117.875,,510.7
36,0.0873525,,118.25,,510.6
37,0.0899163,,118.625,,510.5
38,0.09248,,119,,510.4
39,0.095,,120.5,,510.3
40,0.09752,,122,,510.2
41,0.100085,,122.5,,510.233
42,0.10265,,123,,510.267
43,0.105215,,123.5,,510.3
44,0.10778,,124,,510.333
45,0.110345,,124.5,,510.367
46,0.11291,,125,,510.4
47,0.115735,,125.125,,510.3
48,0.11856,,125.25,,510.2
49,0.121385,,125.375,,510.1
50,0.12421,,125.5,,510
51,0.127035,,125.625,,509.9
52,0.12986,,125.75,,509.8
53,0.132685,,125.875,,509.7
54,0.13551,,126,,509.6
55,0.138375,,126.75,,509.8
56,0.14124,,127.5,,510
57,0.144105,,128.25,,510.2
58,0.14697,,129,,510.4
59,0.14918,,129.182,,510.473
60,0.15139,,129.364,,510.545
61,0.1536,,129.545,,510.618
62,0.15581,,129.727,,510.691
63,0.15802,,129.909,,510.764
64,0.16023,,130.091,,510.836
65,0.16244,,130.273,,510.909
66,0.16465,,130.455,,510.982
67,0.16686,,130.636,,511.055
68,0.16907,,130.818,,511.127
69,0.17128,,131,,511.2
70,0.173832,,131.222,,512.222
71,0.176384,,131.444,,513.244
72,0.178937,,131.667,,514.267
73,0.181489,,131.889,,515.289
74,0.184041,,132.111,,516.311
75,0.186593,,132.333,,517.333
76,0.189146,,132.556,,518.356
77,0.191698,,132.778,,519.378
78,0.19425,,133,,520.4
79,0.196724,,133.111,,520.867
80,0.199199,,133.222,,521.333
81,0.201673,,133.333,,521.8
82,0.204148,,133.444,,522.267
83,0.206622,,133.556,,522.733
84,0.209097,,133.667,,523.2
85,0.211571,,133.778,,523.667
86,0.214046,,133.889,,524.133
87,0.21652,,134,,524.6
88,0.219361,,133.75,,524.775
89,0.222202,,133.5,,524.95
90,0.225044,,133.25,,525.125
91,0.227885,,133,,525.3
92,0.230726,,132.75,,525.475
93,0.233567,,132.5,,525.65
94,0.236409,,132.25,,525.825
95,0.23925,,132,,526
96,0.242276,,132,,525.971
97,0.245301,,132,,525.943
98,0.248327,,132,,525.914
