secs,km,power,hr,cad,alt
0,0,,90,,47
1,0,,90,,46.6
2,0.00068,,89,,45.8
3,0.0028375,,90,,45.85
4,0.004995,,91,,45.9
5,0.0071525,,92,,45.95
6,0.00931,,93,,46
7,0.01174,,96,,45.4
8,0.01455,,101,,46
9,0.01864,,104.5,,45.8
10,0.02273,,108,,45.6
11,0.02667,,111,,45.6
12,0.03041,,111,,46
13,0.0346575,,111.75,,45.9
14,0.038905,,112.5,,45.8
15,0.0431525,,113.25,,45.7
16,0.0474,,114,,45.6
17,0.0512233,,115.667,,45.5333
18,0.0550467,,117.333,,45.4667
19,0.05887,,119,,45.4
20,0.06247,,122,,45.6
21,0.065965,,120.5,,45.6
22,0.06946,,119,,45.6
23,0.07309,,125,,45.6
24,0.07646,,127,,45.6
25,0.07983,,129,,45.6
26,0.08323,,131.5,,45.6
27,0.08663,,134,,45.6
28,0.08996,,137,,45.6
29,0.0933,,137,,45.6
30,0.0967,,134.5,,45.6
31,0.1001,,132,,45.6
32,0.10332,,127,,45.6
33,0.10676,,124,,45.6
34,0.11042,,124,,45.6
35,0.11369,,123.714,,45.6286
36,0.11696,,123.429,,45.6571
37,0.12023,,123.143,,45.6857
38,0.1235,,122.857,,45.7143
39,0.12677,,122.571,,45.7429
40,0.13004,,122.286,,45.7714
41,0.13331,,122,,45.8
42,0.13674,,125,,45.8
43,0.140048,,126.5,,45.85
44,0.143355,,128,,45.9
45,0.146663,,129.5,,45.95
46,0.14997,,131,,46
47,0.15321,,136,,46.2
48,0.15632,,139,,46.2
49,0.15948,,139,,46.4
50,0.162385,,140.5,,46.3
51,0.16529,,142,,46.2
52,0.16862,,141.5,,46.2
53,0.17195,,141,,46.2
54,0.17528,,140.5,,46.2
55,0.17861,,140,,46.2
56,0.18194,,139.5,,46.2
57,0.18527,,139,,46.2
58,0.18863,,137.333,,46.2
59,0.19199,,135.667,,46.2
60,0.19535,,134,,46.2
61,0.197374,,134.333,,46.1778
62,0.199399,,134.667,,46.1556
63,0.201423,,135,,46.1333
64,0.203448,,135.333,,46.1111
65,0.205472,,135.667,,46.0889
66,0.207497,,136,,46.0667
67,0.209521,,136.333,,46.0444
68,0.211546,,136.667,,46.0222
69,0.21357,,137,,46
70,0.21696,,137,,45.9714
71,0.22035,,137,,45.9429
72,0.22374,,137,,45.9143
73,0.22713,,137,,45.8857
74,0.23052,,137,,45.8571
75,0.23391,,137,,45.8286
76,0.2373,,137,,45.8
77,0.240738,,136.833,,45.7667
78,0.244177,,136.667,,45.7333
79,0.247615,,136.5,,45.7
80,0.251053,,136.333,,45.6667
81,0.254492,,136.167,,45.6333
82,0.25793,,136,,45.6
83,0.261244,,135.714,,45.5714
84,0.264559,,135.429,,45.5429
85,0.267873,,135.143,,45.5143
86,0.271187,,134.857,,45.4857
87,0.274501,,134.571,,45.4571
88,0.277816,,134.286,,45.4286
89,0.28113,,134,,45.4
90,0.284468,,133.833,,45.3667
91,0.287807,,133.667,,45.3333
92,0.291145,,133.5,,45.3
93,0.294483,,133.333,,45.2667
94,0.297822,,133.167,,45.2333
95,0.30116,,133,,45.2
96,0.304624,,133.2,,45.12
97,0.308088,,133.4,,45.04
98,0.311552,,133.6,,44.96
99,0.315016,,133.8,,44.88
100,0.31848,,134,,44.8
101,0.31848,,134,,44.6
102,0.31848,,134,,44.4
103,0.31848,,134,,44.2
104,0.31848,,134,,44
105,0.31848,,134,,43.8
106,0.31848,,134,,43.6
107,0.31848,,134,,43.4
108,0.31848,,134,,43.2
109,0.31848,,134,,43
110,0.31848,,134,,42.8
111,0.31848,,134,,42.6
112,0.322065,,133.667,,42.4667
113,0.32565,,133.333,,42.3333
114,0.329235,,133,,42.2
115,0.33282,,132.667,,42.0667
116,0.336405,,132.333,,41.9333
117,0.33999,,132,,41.8
118,0.343788,,132.167,,41.8
119,0.347587,,132.333,,41.8
120,0.351385,,132.5,,41.8
121,0.355183,,132.667,,41.8
122,0.358982,,132.833,,41.8
123,0.36278,,133,,41.8
124,0.36625,,132.833,,41.7667
125,0.36972,,132.667,,41.7333
126,0.37319,,132.5,,41.7
127,0.37666,,132.333,,41.6667
128,0.38013,,132.167,,41.6333
129,0.3836,,132,,41.6
130,0.38728,,131.75,,41.55
131,0.39096,,131.5,,41.5
132,0.39464,,131.25,,41.45
133,0.39832,,131,,41.4
