secs,km,power,hr,cad,alt
0,0,,109,,687
1,0.00064,,108,,687
2,0.00122,,108,,687
3,0.00198,,119,,687.2
4,0.00314,,119,,687.4
5,0.00439,,119,,687.6
6,0.00614,,123,,687.6
7,0.00904,,123,,688
8,0.00904,,123,,688
9,0.01063,,123,,687.8
10,0.0122,,123,,687.8
11,0.01425,,123,,687.6
12,0.01657,,123,,687.4
13,0.01887,,123,,687
14,0.02094,,123,,686.8
15,0.02284,,123,,686.6
16,0.02476,,123,,686.4
17,0.02669,,123,,686.2
18,0.02863,,123,,685.8
19,0.03054,,123,,685.6
20,0.03241,,129,,685.6
21,0.03444,,129,,685.6
22,0.0363,,134,,685.6
23,0.03817,,134,,685.8
24,0.03996,,134,,685.6
25,0.04194,,134,,685.4
26,0.04385,,134,,685.4
27,0.0454,,134,,685.2
28,0.04723,,137,,685.2
29,0.04886,,143,,685.2
30,0.05075,,146,,685.2
31,0.0531,,146,,685.2
32,0.05512,,146,,685.2
33,0.05703,,148,,685
34,0.05887,,149,,685
35,0.06075,,149,,684.8
36,0.06265,,149,,684.8
37,0.06512,,149,,684.4
38,0.06645,,149,,684.6
39,0.06724,,146,,684.6
40,0.06815,,141,,684.4
41,0.06867,,137,,684.4
42,0.069,,134,,684.4
43,0.06905,,131,,684.4
44,0.06905,,129,,684.4
45,0.06919,,128,,684.6
46,0.06981,,126,,684.6
47,0.06981,,123,,684.6
48,0.06989,,123,,684.6
49,0.06999,,123,,684.4
50,0.07,,123,,684.4
51,0.07028,,121,,684.4
52,0.07042,,119,,684.4
53,0.07114,,119,,684.4
54,0.07236,,119,,684.2
55,0.07368,,119,,684.2
56,0.07528,,119,,684.2
57,0.07703,,119,,684.2
58,0.07892,,119,,684.2
59,0.08056,,119,,684.4
60,0.0824,,119,,684.6
61,0.08416,,119,,684.8
62,0.08561,,119,,685
63,0.0873,,119,,685
64,0.089,,121,,685.2
65,0.09062,,121,,685.4
66,0.09239,,121,,685.8
67,0.09348,,121,,686
68,0.09518,,121,,686.4
69,0.09678,,121,,686.6
70,0.09866,,121,,686.8
71,0.10047,,128,,687.2
72,0.10236,,137,,687.4
73,0.10408,,137,,687.4
74,0.10575,,137,,687.6
75,0.10747,,137,,687.8
76,0.10888,,137,,688.2
77,0.11059,,137,,688.4
78,0.11231,,137,,688.6
79,0.11419,,137,,688.8
80,0.11603,,137,,689
81,0.11774,,142,,689
82,0.11934,,142,,689.2
83,0.12114,,142,,689.4
84,0.12302,,142,,689.6
85,0.12493,,142,,689.6
86,0.12682,,142,,689.4
87,0.12848,,142,,689.2
88,0.13005,,142,,689.2
89,0.13194,,142,,689.2
90,0.13368,,142,,689.2
91,0.13522,,140,,689.2
92,0.13674,,140,,689.2
93,0.1383,,140,,689
94,0.13998,,140,,689
95,0.14173,,140,,689
96,0.14371,,140,,688.8
97,0.14568,,140,,688.8
98,0.1474,,140,,688.4
99,0.14894,,140,,688.4
100,0.15061,,140,,688.6
101,0.15259,,138,,688.4
102,0.15443,,138,,688.2
103,0.15626,,138,,688
104,0.15821,,138,,687.6
105,0.15978,,138,,687.8
106,0.16139,,134,,687.8
107,0.16304,,131,,687.6
108,0.16486,,130,,687.4
109,0.16614,,130,,687.4
110,0.16765,,128,,687.4
111,0.16952,,126,,687.4
112,0.17129,,125,,687.4
113,0.17329,,124,,687.4
114,0.1751,,123,,687.6
115,0.17699,,123,,687.8
116,0.17885,,123,,687.8
117,0.18077,,123,,687.8
118,0.1826,,123,,687.8
119,0.18438,,123,,687.8
120,0.18597,,123,,687.8
121,0.18751,,123,,687.8
122,0.18914,,123,,687.6
123,0.19071,,123,,687.6
124,0.19232,,122,,687.6
125,0.19397,,123,,687.4
126,0.19606,,123,,687.4
127,0.19791,,122,,687.4
128,0.19985,,121,,687.4
129,0.20151,,121,,687.2
130,0.20322,,121,,687
131,0.20507,,121,,686.8
132,0.20671,,121,,686.8
133,0.20843,,121,,686.8
134,0.21026,,121,,686.8
135,0.21218,,120,,687
136,0.21374,,120,,687
137,0.21501,,120,,687.2
138,0.21603,,118,,687.4
139,0.21644,,117,,687.6
140,0.21644,,115,,687.6
141,0.21668,,113,,687.6
142,0.21685,,112,,687.4
143,0.21721,,113,,687.4
144,0.21813,,113,,687.4
145,0.21901,,113,,687.4
146,0.22028,,113,,687.4
147,0.22206,,113,,687.4
148,0.2237,,121,,687.4
149,0.22542,,121,,687.4
150,0.22697,,121,,687.4
151,0.22813,,121,,687.4
152,0.22961,,121,,687.4
153,0.23153,,121,,687.4
154,0.23306,,121,,687.4
155,0.23472,,121,,687.4
156,0.23619,,121,,687.4
157,0.23778,,121,,687.4
158,0.23936,,121,,687.2
159,0.24119,,121,,687.2
160,0.24323,,121,,687.2
161,0.24512,,121,,687.2
162,0.24705,,121,,687
163,0.24899,,121,,686.8
164,0.25041,,121,,686.8
165,0.25211,,121,,686.6
166,0.25384,,121,,686.6
167,0.25603,,121,,686.4
168,0.25795,,121,,686.4
169,0.25972,,121,,686.2
170,0.26143,,122,,686
171,0.26336,,122,,685.8
172,0.26532,,122,,685.6
173,0.26714,,122,,685.6
174,0.26927,,123,,685.6
175,0.2712,,123,,685.6
176,0.2735,,123,,685.6
177,0.27572,,119,,685.6
178,0.27793,,119,,685.6
179,0.27996,,128,,685.6
180,0.28161,,140,,685.6
181,0.28307,,140,,685.6
182,0.28439,,140,,685.6
183,0.28569,,140,,685.8
184,0.28706,,140,,685.8
185,0.28842,,140,,685.6
186,0.2899,,140,,685.6
187,0.29142,,140,,685.8
188,0.29279,,140,,685.6
189,0.29421,,140,,685.4
190,0.29593,,140,,685.4
191,0.29795,,140,,685.4
192,0.29999,,140,,685.4
193,0.3021,,136,,685.6
194,0.30408,,135,,685.6
195,0.30618,,135,,685.6
196,0.30847,,135,,685.6
197,0.31062,,131,,685.6
198,0.31278,,129,,685.8
199,0.31528,,127,,685.6
200,0.31758,,126,,685.4
201,0.31955,,126,,685.2
202,0.32132,,125,,685.2
203,0.32317,,125,,685.2
204,0.32486,,125,,684.8
205,0.32655,,124,,684.8
206,0.3285,,123,,684.8
207,0.33057,,122,,684.8
208,0.33241,,121,,684.8
209,0.33398,,120,,684.8
210,0.33537,,120,,685
