secs,km,power,hr,cad,alt
0,0,,64,,113
1,0.00131,,64,,113
2,0.00419,,73,,113.4
3,0.00635,,73,,113.6
4,0.00889,,73,,112.2
5,0.01202,,73,,110.8
6,0.01436,,73,,112.2
7,0.01642,,73,,111.8
8,0.01934,,82,,112
9,0.02233,,82,,112.4
10,0.02386,,82,,112.4
11,0.02695,,82,,112.4
12,0.02951,,82,,113
13,0.03147,,82,,112.6
14,0.03498,,82,,112.4
15,0.03764,,82,,113.2
16,0.03979,,82,,112.4
17,0.04263,,82,,112.4
18,0.04509,,82,,113
19,0.04754,,82,,112.4
20,0.05002,,82,,112.2
21,0.05251,,82,,112.2
22,0.05494,,84.5,,112.2
23,0.05737,,87,,112.2
24,0.05737,,87,,112.4
25,0.06331,,87,,112.8
26,0.06962,,87,,112.8
27,0.07362,,87,,112.6
28,0.07435,,87,,113
29,0.07849,,87,,113.2
30,0.08161,,104,,113
31,0.08421,,104,,113.2
32,0.08679,,104,,112.6
33,0.08915,,104,,112.8
34,0.09151,,104,,112.8
35,0.09394,,104,,112.4
36,0.09642,,104,,112.8
37,0.09871,,104,,112.8
38,0.10106,,104,,112.2
39,0.10407,,110,,112.6
40,0.10648,,110,,112.8
41,0.10929,,110,,112.8
42,0.11222,,110,,112.8
43,0.1146,,109,,112.8
44,0.11726,,108,,112.8
45,0.12019,,108,,113
46,0.12277,,108,,112.8
47,0.12547,,108,,113
48,0.12832,,110,,113.2
49,0.13118,,111,,113.2
50,0.13382,,111,,113.2
51,0.13647,,111,,113.2
52,0.13911,,111,,113.2
53,0.14182,,111,,112.8
54,0.14459,,111,,113.2
55,0.14783,,111,,113
56,0.15048,,117,,112.8
57,0.15322,,117,,113
58,0.15581,,117,,112.4
59,0.15894,,117,,112.8
60,0.16161,,117,,112.2
61,0.16489,,117,,112.6
62,0.16766,,117,,112.8
63,0.17035,,117,,112.4
64,0.17312,,117,,111.6
65,0.17612,,117,,111.4
66,0.17904,,121,,109.6
