secs,km,power,hr,cad,alt
0,0,,85,,435.4
1,0.00273,,86,,434.8
2,0.00545667,,86.6667,,434.7
3,0.00818333,,87.3333,,434.6
4,0.01091,,88,,434.5
5,0.0136367,,88.6667,,434.4
6,0.0163633,,89.3333,,434.3
7,0.01909,,90,,434.2
8,0.02347,,93,,434.6
9,0.02627,,96,,434.4
10,0.02917,,100,,434.4
11,0.032075,,101.5,,434.2
12,0.03498,,103,,434
13,0.03774,,106,,433.8
14,0.040726,,106.6,,433.8
15,0.043712,,107.2,,433.8
16,0.046698,,107.8,,433.8
17,0.049684,,108.4,,433.8
18,0.05267,,109,,433.8
19,0.055925,,112,,434
20,0.05918,,115,,434.2
21,0.06228,,115,,434.6
22,0.06515,,114.25,,434.9
23,0.06802,,113.5,,435.2
24,0.07089,,112.75,,435.5
25,0.07376,,112,,435.8
26,0.07623,,111.667,,436
27,0.0787,,111.333,,436.2
28,0.08117,,111,,436.4
29,0.08142,,115.4,,436.56
30,0.08167,,119.8,,436.72
31,0.08192,,124.2,,436.88
32,0.08217,,128.6,,437.04
33,0.08242,,133,,437.2
34,0.08472,,133,,437.4
35,0.087805,,130.5,,437.7
36,0.09089,,128,,438
37,0.09437,,122,,438.4
38,0.09774,,119,,438.6
39,0.10163,,113,,439.2
40,0.10486,,107,,439.4
41,0.10774,,104,,440
42,0.11088,,100,,440.8
43,0.1146,,100,,441.4
44,0.118647,,101.25,,441.8
45,0.122695,,102.5,,442.2
46,0.126742,,103.75,,442.6
47,0.13079,,105,,443
48,0.134583,,106.333,,443.6
49,0.138377,,107.667,,444.2
50,0.14217,,109,,444.8
51,0.14575,,110,,445.4
52,0.14933,,111,,446
53,0.15291,,112,,446.6
54,0.15647,,110.5,,447
55,0.16003,,109,,447.4
56,0.16356,,107.667,,448
57,0.16709,,106.333,,448.6
58,0.17062,,105,,449.2
59,0.17406,,108,,449.8
60,0.177528,,108.8,,450.56
61,0.180996,,109.6,,451.32
62,0.184464,,110.4,,452.08
63,0.187932,,111.2,,452.84
64,0.1914,,112,,453.6
65,0.194534,,112.8,,453.88
66,0.197668,,113.6,,454.16
67,0.200802,,114.4,,454.44
68,0.203936,,115.2,,454.72
69,0.20707,,116,,455
70,0.2108,,116.75,,454.4
71,0.21453,,117.5,,453.8
72,0.21826,,118.25,,453.2
73,0.22199,,119,,452.6
74,0.22682,,122,,451.6
75,0.23141,,122,,450.8
76,0.235295,,120.5,,450.4
77,0.23918,,119,,450
78,0.24288,,122,,449.6
79,0.24651,,125,,449
80,0.25002,,125,,448.6
81,0.25383,,121,,447.8
82,0.2574,,122.5,,447
83,0.26097,,124,,446.2
84,0.264405,,122.5,,445.8
85,0.26784,,121,,445.4
86,0.271313,,120,,445.133
87,0.274787,,119,,444.867
88,0.27826,,118,,444.6
89,0.28161,,121,,444.4
90,0.284931,,120.714,,444.171
91,0.288253,,120.429,,443.943
92,0.291574,,120.143,,443.714
93,0.294896,,119.857,,443.486
94,0.298217,,119.571,,443.257
95,0.301539,,119.286,,443.029
96,0.30486,,119,,442.8
97,0.308362,,118.667,,442.767
98,0.311863,,118.333,,442.733
99,0.315365,,118,,442.7
100,0.318867,,117.667,,442.667
101,0.322368,,117.333,,442.633
102,0.32587,,117,,442.6
103,0.328308,,117,,442.6
104,0.330747,,117,,442.6
105,0.333185,,117,,442.6
106,0.335623,,117,,442.6
107,0.338062,,117,,442.6
108,0.3405,,117,,442.6
109,0.343666,,117.143,,442.457
110,0.346831,,117.286,,442.314
111,0.349997,,117.429,,442.171
112,0.353163,,117.571,,442.029
113,0.356329,,117.714,,441.886
114,0.359494,,117.857,,441.743
115,0.36266,,118,,441.6
116,0.365704,,118,,441.571
117,0.368749,,118,,441.543
118,0.371793,,118,,441.514
119,0.374837,,118,,441.486
120,0.377881,,118,,441.457
121,0.380926,,118,,441.429
122,0.38397,,118,,441.4
123,0.387322,,117.4,,441.32
124,0.390674,,116.8,,441.24
125,0.394026,,116.2,,441.16
126,0.397378,,115.6,,441.08
127,0.40073,,115,,441
128,0.403833,,114.714,,440.6
129,0.406936,,114.429,,440.2
130,0.410039,,114.143,,439.8
