secs,km,power,hr,cad,alt
0,0,,70,0,148.439
1,0,,72,0,148.439
2,0.0026,,73,0,148.439
3,0.0056,,73,0,148.439
4,0.0089,,77,41,148.439
5,0.0124,,79,72,148.439
6,0.0157,,80,78,148.439
7,0.0195,,82,83,148.439
8,0.0237,,83,84,148.439
9,0.028,,86,84,148.439
10,0.0322,,88,84,147.373
11,0.0363,,89,84,147.373
12,0.0401,,92,84,148.439
13,0.0435,,95,84,148.439
14,0.0468,,98,84,148.439
15,0.05,,100,84,148.439
16,0.053,,102,84,148.439
17,0.0556,,105,84,148.439
18,0.058,,107,84,148.439
19,0.0604,,109,84,148.439
20,0.0626,,110,84,148.439
21,0.0651,,112,84,148.439
22,0.0674,,113,84,148.439
23,0.0699,,115,84,148.439
24,0.0725,,116,84,148.439
25,0.0752,,117,84,148.439
26,0.0779,,118,84,148.439
27,0.0808,,119,83,148.439
28,0.0835,,119,84,148.439
29,0.0864,,120,84,148.439
30,0.0893,,120,84,148.439
31,0.092,,121,84,148.439
32,0.0944,,121,83,148.439
33,0.0969,,121,83,147.373
34,0.0996,,122,83,147.373
35,0.1022,,122,83,147.373
36,0.1047,,123,83,147.373
37,0.1075,,123,83,147.373
38,0.1102,,123,83,147.373
39,0.1132,,124,83,147.373
40,0.1162,,125,83,147.373
41,0.1192,,125,83,147.373
42,0.1223,,125,83,147.373
43,0.1253,,125,83,147.373
44,0.1285,,126,83,147.373
45,0.1315,,126,83,145.391
46,0.1344,,126,83,145.391
47,0.1374,,126,83,145.391
48,0.1405,,127,83,145.391
49,0.1435,,126,83,145.391
50,0.1463,,126,83,145.391
51,0.1492,,126,83,145.391
52,0.152,,126,83,145.391
53,0.1549,,126,83,145.391
54,0.1579,,125,83,145.391
55,0.1609,,125,83,145.391
56,0.1639,,125,83,145.391
57,0.1667,,125,83,144.477
58,0.1694,,125,83,144.477
59,0.172,,125,83,144.477
60,0.1747,,125,83,144.477
61,0.1771,,124,83,144.477
62,0.1797,,124,83,144.477
63,0.1823,,124,83,144.477
64,0.1847,,124,83,144.477
65,0.1873,,124,83,144.477
66,0.19,,123,83,144.477
67,0.1931,,123,83,144.477
68,0.196,,122,83,144.477
69,0.1988,,121,84,144.477
70,0.2018,,121,83,144.477
71,0.2048,,121,83,144.477
72,0.2076,,121,83,144.477
73,0.2104,,121,83,143.41
74,0.2131,,121,83,143.41
75,0.2155,,122,83,143.41
76,0.2177,,122,83,143.41
77,0.2201,,122,83,143.41
78,0.2226,,122,83,143.41
79,0.2249,,122,83,143.41
80,0.2274,,122,83,143.41
81,0.2298,,122,83,143.41
82,0.2322,,121,83,143.41
83,0.2345,,121,83,143.41
84,0.2371,,121,83,143.41
85,0.2398,,121,83,143.41
86,0.2424,,121,83,143.41
87,0.2453,,121,84,143.41
88,0.2483,,121,86,143.41
89,0.2513,,121,87,142.343
90,0.2545,,122,91,142.343
91,0.2578,,122,91,142.343
92,0.2612,,122,90,142.343
93,0.2645,,123,89,142.343
94,0.2677,,123,85,142.343
95,0.2708,,123,84,142.343
96,0.2736,,123,83,142.343
97,0.2754,,73,0,142.343
98,0.2754,,72,0,142.343
99,0.2755,,73,0,142.343
100,0.2756,,73,0,142.343
101,0.2756,,76,0,142.343
102,0.2761,,77,41,142.343
103,0.2781,,78,73,142.343
104,0.2804,,80,79,142.343
105,0.2833,,81,83,141.429
106,0.2863,,83,84,141.429
107,0.2897,,83,84,141.429
108,0.2929,,84,87,141.429
109,0.2963,,85,87,141.429
110,0.2997,,86,87,141.429
111,0.3034,,86,86,141.429
112,0.3072,,88,85,141.429
113,0.3111,,89,85,141.429
114,0.3147,,90,85,141.429
115,0.3184,,91,85,140.362
116,0.3218,,93,85,140.362
117,0.3253,,94,85,140.362
118,0.3289,,95,85,140.362
119,0.3323,,95,85,140.362
120,0.3355,,96,85,140.362
121,0.3385,,97,85,139.448
122,0.3414,,99,85,139.448
123,0.3442,,99,84,139.448
124,0.3468,,101,84,139.448
125,0.3495,,103,84,139.448
126,0.352,,103,84,139.448
127,0.3545,,106,84,139.448
128,0.357,,106,84,139.448
129,0.3594,,107,84,139.448
130,0.3619,,108,84,139.448
131,0.3644,,110,83,139.448
132,0.3668,,111,84,139.448
133,0.3694,,112,84,139.448
134,0.372,,113,84,139.448
135,0.3747,,113,84,138.381
136,0.3774,,113,84,138.381
137,0.38,,113,84,138.381
138,0.3829,,114,84,138.381
139,0.3858,,114,84,138.381
140,0.3887,,115,84,138.381
141,0.3917,,115,84,137.466
142,0.3946,,115,84,137.466
143,0.3974,,116,84,137.466
144,0.3999,,116,84,137.466
145,0.4027,,117,84,137.466
146,0.4055,,117,84,137.466
147,0.4083,,117,84,137.466
148,0.4112,,118,84,137.466
149,0.4141,,118,84,137.466
150,0.4173,,119,84,137.466
151,0.4206,,119,86,136.4
152,0.4242,,120,85,136.4
153,0.4282,,120,85,136.4
154,0.4323,,120,85,136.4
155,0.4364,,121,85,136.4
156,0.4405,,121,85,136.4
157,0.4446,,122,85,136.4
158,0.4486,,122,85,136.4
159,0.4526,,123,85,136.4
160,0.4565,,122,85,136.4
161,0.46,,123,86,135.333
162,0.4635,,122,85,135.333
163,0.4667,,122,87,135.333
164,0.4697,,122,87,135.333
165,0.4727,,122,87,135.333
166,0.4758,,122,86,135.333
167,0.4787,,122,86,135.333
168,0.4817,,123,87,135.333
169,0.4847,,123,87,135.333
170,0.4876,,123,87,135.333
171,0.4906,,124,87,135.333
172,0.4936,,123,87,135.333
173,0.4966,,123,87,135.333
174,0.4999,,124,87,135.333
175,0.5029,,124,85,134.418
176,0.5066,,124,85,134.418
177,0.5102,,124,85,134.418
178,0.5138,,124,85,134.418
179,0.5173,,124,85,133.352
180,0.5206,,124,85,133.352
181,0.5244,,123,85,133.352
182,0.5282,,123,85,133.352
183,0.5317,,122,85,133.352
184,0.5355,,122,85,133.352
185,0.5388,,122,85,132.437
186,0.5421,,122,85,132.437
