secs,km,power,hr,cad,alt
0,0,,91,,5
1,0.00159,,92,,5
2,0.00399571,,92.4286,,4.97143
3,0.00640143,,92.8571,,4.94286
4,0.00880714,,93.2857,,4.91429
5,0.0112129,,93.7143,,4.88571
6,0.0136186,,94.1429,,4.85714
7,0.0160243,,94.5714,,4.82857
8,0.01843,,95,,4.8
9,0.02112,,103,,4.8
10,0.023538,,104,,4.8
11,0.025956,,105,,4.8
12,0.028374,,106,,4.8
13,0.030792,,107,,4.8
14,0.03321,,108,,4.8
15,0.035735,,107.786,,4.78571
16,0.03826,,107.571,,4.77143
17,0.040785,,107.357,,4.75714
18,0.04331,,107.143,,4.74286
19,0.045835,,106.929,,4.72857
20,0.04836,,106.714,,4.71429
21,0.050885,,106.5,,4.7
22,0.05341,,106.286,,4.68571
23,0.055935,,106.071,,4.67143
24,0.05846,,105.857,,4.65714
25,0.060985,,105.643,,4.64286
26,0.06351,,105.429,,4.62857
27,0.066035,,105.214,,4.61429
28,0.06856,,105,,4.6
29,0.069264,,105.4,,4.6
30,0.069968,,105.8,,4.6
31,0.070672,,106.2,,4.6
32,0.071376,,106.6,,4.6
33,0.07208,,107,,4.6
34,0.0732678,,107.222,,4.57778
35,0.0744556,,107.444,,4.55556
36,0.0756433,,107.667,,4.53333
37,0.0768311,,107.889,,4.51111
38,0.0780189,,108.111,,4.48889
39,0.0792067,,108.333,,4.46667
40,0.0803944,,108.556,,4.44444
41,0.0815822,,108.778,,4.42222
42,0.08277,,109,,4.4
43,0.0850407,,109.357,,4.41429
44,0.0873114,,109.714,,4.42857
45,0.0895821,,110.071,,4.44286
46,0.0918529,,110.429,,4.45714
47,0.0941236,,110.786,,4.47143
48,0.0963943,,111.143,,4.48571
49,0.098665,,111.5,,4.5
50,0.100936,,111.857,,4.51429
51,0.103206,,112.214,,4.52857
52,0.105477,,112.571,,4.54286
53,0.107748,,112.929,,4.55714
54,0.110019,,113.286,,4.57143
55,0.112289,,113.643,,4.58571
56,0.11456,,114,,4.6
57,0.116747,,114.429,,4.61429
58,0.118934,,114.857,,4.62857
59,0.121121,,115.286,,4.64286
60,0.123309,,115.714,,4.65714
61,0.125496,,116.143,,4.67143
62,0.127683,,116.571,,4.68571
63,0.12987,,117,,4.7
64,0.132057,,117.429,,4.71429
65,0.134244,,117.857,,4.72857
66,0.136431,,118.286,,4.74286
67,0.138619,,118.714,,4.75714
68,0.140806,,119.143,,4.77143
69,0.142993,,119.571,,4.78571
70,0.14518,,120,,4.8
71,0.147348,,120.143,,4.84286
72,0.149516,,120.286,,4.88571
73,0.151684,,120.429,,4.92857
74,0.153851,,120.571,,4.97143
75,0.156019,,120.714,,5.01429
76,0.158187,,120.857,,5.05714
77,0.160355,,121,,5.1
78,0.162523,,121.143,,5.14286
79,0.164691,,121.286,,5.18571
80,0.166859,,121.429,,5.22857
81,0.169026,,121.571,,5.27143
