secs,km,power,hr,cad,alt
0,0,,94,,175.4
1,0.00401,,95,,174.4
2,0.00681,,97,,168.7
3,0.00961,,99,,163
4,0.01068,,100.5,,155.8
5,0.01175,,102,,148.6
6,0.0135933,,103,,146.933
7,0.0154367,,104,,145.267
8,0.01728,,105,,143.6
9,0.0200062,,105.375,,143.025
10,0.0227325,,105.75,,142.45
11,0.0254588,,106.125,,141.875
12,0.028185,,106.5,,141.3
13,0.0309113,,106.875,,140.725
14,0.0336375,,107.25,,140.15
15,0.0363638,,107.625,,139.575
16,0.03909,,108,,139
17,0.0420757,,108.143,,136.657
18,0.0450614,,108.286,,134.314
19,0.0480471,,108.429,,131.971
20,0.0510329,,108.571,,129.629
21,0.0540186,,108.714,,127.286
22,0.0570043,,108.857,,124.943
23,0.05999,,109,,122.6
24,0.06398,,109.333,,119.033
25,0.06797,,109.667,,115.467
26,0.07196,,110,,111.9
27,0.07595,,110.333,,108.333
28,0.07994,,110.667,,104.767
29,0.08393,,111,,101.2
30,0.08872,,111.6,,97.6
31,0.09351,,112.2,,94
32,0.0983,,112.8,,90.4
33,0.10309,,113.4,,86.8
34,0.10788,,114,,83.2
35,0.111908,,114.6,,81.24
36,0.115936,,115.2,,79.28
37,0.119964,,115.8,,77.32
38,0.123992,,116.4,,75.36
39,0.12802,,117,,73.4
40,0.132103,,118,,71.4
41,0.136187,,119,,69.4
42,0.14027,,120,,67.4
43,0.143973,,121,,66
44,0.147677,,122,,64.6
45,0.15138,,123,,63.2
46,0.15516,,123.75,,62
47,0.15894,,124.5,,60.8
48,0.16272,,125.25,,59.6
49,0.1665,,126,,58.4
50,0.169285,,126.75,,58.15
51,0.17207,,127.5,,57.9
52,0.174855,,128.25,,57.65
53,0.17764,,129,,57.4
54,0.180384,,129.125,,57.225
55,0.183127,,129.25,,57.05
56,0.185871,,129.375,,56.875
57,0.188615,,129.5,,56.7
58,0.191359,,129.625,,56.525
59,0.194102,,129.75,,56.35
60,0.196846,,129.875,,56.175
61,0.19959,,130,,56
62,0.202824,,130.143,,55.3714
63,0.206059,,130.286,,54.7429
64,0.209293,,130.429,,54.1143
65,0.212527,,130.571,,53.4857
66,0.215761,,130.714,,52.8571
67,0.218996,,130.857,,52.2286
68,0.22223,,131,,51.6
69,0.225773,,131.333,,51.0333
70,0.229317,,131.667,,50.4667
71,0.23286,,132,,49.9
72,0.236403,,132.333,,49.3333
73,0.239947,,132.667,,48.7667
74,0.24349,,133,,48.2
75,0.247796,,133,,47.84
76,0.252102,,133,,47.48
77,0.256408,,133,,47.12
78,0.260714,,133,,46.76
79,0.26502,,133,,46.4
80,0.267506,,133.111,,46.2
81,0.269991,,133.222,,46
82,0.272477,,133.333,,45.8
83,0.274962,,133.444,,45.6
84,0.277448,,133.556,,45.4
85,0.279933,,133.667,,45.2
86,0.282419,,133.778,,45
87,0.284904,,133.889,,44.8
88,0.28739,,134,,44.6
89,0.290721,,134,,44.2
90,0.294053,,134,,43.8
91,0.297384,,134,,43.4
92,0.300716,,134,,43
93,0.304047,,134,,42.6
94,0.307379,,134,,42.2
95,0.31071,,134,,41.8
96,0.314125,,134.333,,41.5667
97,0.31754,,134.667,,41.3333
98,0.320955,,135,,41.1
99,0.32437,,135.333,,40.8667
100,0.327785,,135.667,,40.6333
101,0.3312,,136,,40.4
102,0.334377,,136.286,,40.1143
103,0.337554,,136.571,,39.8286
104,0.340731,,136.857,,39.5429
105,0.343909,,137.143,,39.2571
106,0.347086,,137.429,,38.9714
107,0.350263,,137.714,,38.6857
108,0.35344,,138,,38.4
109,0.356463,,138.143,,38.1714
110,0.359486,,138.286,,37.9429
111,0.362509,,138.429,,37.7143
112,0.365531,,138.571,,37.4857
113,0.368554,,138.714,,37.2571
114,0.371577,,138.857,,37.0286
115,0.3746,,139,,36.8
116,0.378065,,139,,36.4667
117,0.38153,,139,,36.1333
118,0.384995,,139,,35.8
119,0.38846,,139,,35.4667
120,0.391925,,139,,35.1333
121,0.39539,,139,,34.8
122,0.398554,,139,,34.6
123,0.401719,,139,,34.4
124,0.404883,,139,,34.2
125,0.408047,,139,,34
126,0.411211,,139,,33.8
127,0.414376,,139,,33.6
128,0.41754,,139,,33.4
129,0.42002,,138.889,,33.6
130,0.4225,,138.778,,33.8
131,0.42498,,138.667,,34
132,0.42746,,138.556,,34.2
133,0.42994,,138.444,,34.4
134,0.43242,,138.333,,34.6
135,0.4349,,138.222,,34.8
136,0.43738,,138.111,,35
137,0.43986,,138,,35.2
138,0.44283,,138,,35
139,0.4458,,138,,34.8
140,0.44877,,138,,34.6
141,0.45174,,138,,34.4
142,0.45606,,137.8,,33.76
