secs,km,power,hr,cad,alt
0,0,,73,50,40
1,0.002,,73,85,39.8
2,0.00495,,73,83,37.6
3,0.00847,,73,82,37
4,0.01154,,0,82,36.6
5,0.01395,,0,81,36.2
6,0.01526,,0,81,36
7,0.01573,,73,0,35.8
8,0.01641,,73,0,35.4
9,0.01847,,73,81,35.4
10,0.02135,,75,84,35.4
11,0.02461,,77,83,35.4
12,0.02787,,79,83,35.4
13,0.03086,,81,83,35.4
14,0.03434,,81,83,35.2
15,0.03801,,81,81,35
16,0.04155,,83,81,35
17,0.04513,,84,81,34.4
18,0.04865,,86,81,34.2
19,0.05267,,88,81,34
20,0.05631,,90,81,34.2
21,0.05994,,92,81,34
22,0.06366,,96,81,33.6
23,0.06711,,103,81,33.6
24,0.0705,,107,81,33.6
25,0.07436,,113,81,33.6
26,0.07802,,115,81,33.2
27,0.08146,,118,81,32.6
28,0.08519,,119,80,32
29,0.08871,,121,80,31.2
30,0.09228,,122,80,30.6
31,0.09608,,123,80,29.4
32,0.09951,,125,80,28.8
33,0.10265,,127,81,28.4
34,0.10581,,127,82,28.6
35,0.1084,,128,82,28.8
36,0.11166,,129,82,29.2
37,0.1151,,129,81,29.4
38,0.11863,,130,80,31
39,0.12235,,130,80,31.2
40,0.12553,,130,80,31.8
41,0.12913,,131,80,33
42,0.13261,,131,80,33.8
43,0.136,,131,80,34.2
44,0.13908,,131,80,34.8
45,0.14257,,131,80,35.2
46,0.14593,,131,80,35.2
47,0.14891,,131,80,35.8
48,0.15218,,131,80,36.2
49,0.15552,,132,80,36.6
50,0.15853,,132,80,37
51,0.16142,,133,80,37.6
52,0.16419,,133,79,37.8
53,0.16706,,134,79,38.6
54,0.17011,,134,79,39.4
55,0.17314,,134,79,39.6
56,0.17567,,134,79,40.2
57,0.1783,,135,79,40
58,0.18124,,134,78,39
59,0.1844,,134,70,38.2
60,0.18747,,134,75,38
61,0.19042,,133,77,38.2
62,0.19362,,133,81,37.6
63,0.19737,,133,80,36.8
64,0.20098,,133,81,36.6
65,0.20352,,133,81,36.6
66,0.20621,,133,80,36.2
67,0.20905,,133,80,35.8
68,0.21216,,133,80,35.8
69,0.21593,,133,80,35.6
70,0.21945,,133,80,35.4
71,0.22258,,133,80,35.2
72,0.22562,,134,79,35.2
73,0.22882,,134,79,35.6
74,0.2321,,135,79,34.8
75,0.23544,,136,81,33.8
76,0.23861,,135,82,33.8
77,0.24132,,136,81,33.4
78,0.24443,,137,81,33.6
79,0.24781,,137,80,33
80,0.25041,,137,80,33.2
81,0.25291,,137,80,32.8
82,0.25609,,137,81,31.8
83,0.25893,,138,80,31.8
84,0.26216,,137,80,31.8
85,0.26545,,137,80,31.6
86,0.26837,,138,80,32
87,0.27124,,138,80,32.6
88,0.27471,,138,80,32.8
89,0.27819,,138,79,32.8
90,0.28147,,137,79,32.8
91,0.28376,,137,80,33
92,0.28606,,136,80,33.2
93,0.2889,,135,81,33
94,0.29208,,135,81,32.8
95,0.29543,,135,81,33
96,0.29861,,135,81,32.8
97,0.30139,,136,82,32.6
98,0.30407,,136,82,32.6
99,0.30706,,136,82,32.8
100,0.31014,,135,82,33.2
101,0.31359,,136,82,33.2
102,0.31667,,136,82,33.2
103,0.32036,,136,81,33.2
104,0.32438,,137,81,33.2
105,0.32807,,137,81,33.2
106,0.33132,,138,81,33.2
107,0.33467,,138,81,33.2
108,0.33771,,138,81,33.4
109,0.34101,,139,81,33.2
110,0.34407,,139,80,33.2
111,0.34692,,140,81,33.6
112,0.35047,,139,81,33.6
113,0.35357,,140,80,33.6
114,0.35657,,140,81,33.6
115,0.35978,,140,80,33.6
116,0.36296,,139,80,33.6
117,0.36621,,138,81,33.6
118,0.36986,,138,81,33.2
119,0.37351,,138,81,33.2
120,0.37689,,138,81,33.2
121,0.38049,,137,81,33.2
122,0.38411,,137,81,32.6
123,0.38811,,137,82,32.6
124,0.39186,,138,85,32.6
125,0.39544,,138,85,33
126,0.39982,,139,84,33.2
127,0.40399,,139,82,33.2
128,0.40733,,139,81,33.4
129,0.41052,,140,81,33.4
130,0.41348,,140,94,33.8
131,0.41673,,141,94,34.2
132,0.42053,,141,88,34.4
133,0.42356,,141,80,34.4
134,0.42675,,141,80,34.6
135,0.42949,,142,81,35
136,0.43258,,142,82,34.8
137,0.4355,,142,81,34.8
138,0.4383,,143,81,34.6
139,0.44173,,143,81,34.4
140,0.44505,,143,81,34.4
141,0.44789,,142,81,34.6
142,0.45132,,143,81,34.4
143,0.45447,,142,81,34.6
144,0.45733,,141,81,34.6
145,0.4601,,141,81,34.8
146,0.46294,,141,81,35
147,0.46572,,141,81,35
148,0.46864,,142,81,35.2
149,0.47164,,142,82,35.6
150,0.4747,,143,82,36.2
