secs,km,power,hr,cad,alt
0,0,,85,,107
1,0,,85,,107
2,0,,85,,106
3,0.014,,85,,105
4,0.014,,85,,104
5,0.014,,85,,104
6,0.014,,88,,104
7,0.014,,88,,104
8,0.027,,88,,104
9,0.027,,88,,104
10,0.027,,88,,104
11,0.027,,88,,104
12,0.027,,88,,104
13,0.039,,88,,104
14,0.039,,88,,103
15,0.039,,88,,103
16,0.039,,88,,102
17,0.039,,88,,101
18,0.051,,88,,100
19,0.051,,88,,99
20,0.051,,88,,99
21,0.051,,88,,99
22,0.051,,88,,99
23,0.063,,90,,99
24,0.063,,101,,100
25,0.063,,109,,100
26,0.063,,109,,100
27,0.063,,110,,100
28,0.076,,113,,100
29,0.076,,116,,101
30,0.076,,117,,101
31,0.076,,120,,101
32,0.089,,120,,101
33,0.089,,120,,102
34,0.089,,120,,102
35,0.089,,120,,102
36,0.102,,120,,102
37,0.102,,122,,102
38,0.102,,123,,101
39,0.112,,124,,101
40,0.112,,124,,101
41,0.112,,124,,101
42,0.112,,122,,101
43,0.124,,122,,101
44,0.124,,123,,101
45,0.124,,124,,101
46,0.124,,124,,101
47,0.135,,127,,101
48,0.135,,132,,101
49,0.135,,133,,101
50,0.144,,132,,101
51,0.144,,132,,102
52,0.144,,133,,102
53,0.144,,133,,102
54,0.155,,132,,102
55,0.155,,131,,102
56,0.155,,131,,102
57,0.155,,133,,102
58,0.166,,134,,102
59,0.166,,135,,102
60,0.166,,133,,102
61,0.166,,134,,102
62,0.179,,134,,102
63,0.179,,135,,101
64,0.179,,135,,101
65,0.188,,135,,101
66,0.188,,136,,101
67,0.188,,136,,102
68,0.196,,136,,101
69,0.196,,136,,101
70,0.196,,137,,101
71,0.196,,137,,101
72,0.208,,137,,101
73,0.208,,137,,101
74,0.208,,135,,101
75,0.217,,135,,101
76,0.217,,136,,101
77,0.217,,135,,101
78,0.227,,136,,101
79,0.227,,138,,101
80,0.227,,139,,101
81,0.227,,141,,101
82,0.238,,142,,101
83,0.238,,139,,101
84,0.238,,140,,101
85,0.238,,142,,101
86,0.25,,140,,101
87,0.25,,139,,101
88,0.25,,139,,101
89,0.25,,142,,100
90,0.262,,145,,100
91,0.262,,145,,100
92,0.262,,143,,100
93,0.262,,139,,100
94,0.274,,137,,100
95,0.274,,138,,100
96,0.274,,139,,100
97,0.274,,138,,100
98,0.286,,138,,100
99,0.286,,137,,100
100,0.286,,138,,100
101,0.286,,140,,100
102,0.298,,145,,100
103,0.298,,145,,100
104,0.298,,141,,100
105,0.298,,138,,100
106,0.309,,140,,100
107,0.309,,140,,100
108,0.309,,139,,100
109,0.309,,138,,99
110,0.322,,138,,99
111,0.322,,138,,99
112,0.322,,140,,99
113,0.322,,141,,99
114,0.334,,139,,99
115,0.334,,138,,98
116,0.334,,136,,98
117,0.334,,136,,98
118,0.347,,136,,98
119,0.347,,136,,98
120,0.347,,136,,98
121,0.347,,136,,98
122,0.359,,137,,98
123,0.359,,135,,98
124,0.359,,135,,98
125,0.359,,135,,97
126,0.372,,137,,98
127,0.372,,137,,97
128,0.372,,136,,97
129,0.372,,135,,97
130,0.384,,137,,97
131,0.384,,137,,97
132,0.384,,137,,96
133,0.384,,137,,96
134,0.396,,136,,96
135,0.396,,136,,97
136,0.396,,136,,96
137,0.396,,136,,96
138,0.407,,136,,96
139,0.407,,136,,96
140,0.407,,135,,97
141,0.407,,134,,97
142,0.418,,135,,96
143,0.418,,135,,97
144,0.418,,134,,97
145,0.418,,135,,97
146,0.429,,135,,97
147,0.429,,136,,97
148,0.429,,136,,97
149,0.429,,135,,97
150,0.442,,137,,98
151,0.442,,136,,98
152,0.442,,136,,98
153,0.442,,137,,98
154,0.453,,136,,98
155,0.453,,136,,98
156,0.453,,138,,98
157,0.463,,137,,98
158,0.463,,137,,98
159,0.463,,136,,98
160,0.463,,135,,98
161,0.475,,136,,98
162,0.475,,138,,98
163,0.475,,137,,98
164,0.484,,136,,98
165,0.484,,136,,98
166,0.484,,136,,97
167,0.484,,134,,97
168,0.494,,135,,97
169,0.494,,136,,96
170,0.494,,136,,96
171,0.504,,139,,96
172,0.504,,139,,96
173,0.504,,140,,96
174,0.514,,139,,95
175,0.514,,139,,95
176,0.514,,138,,95
177,0.523,,139,,95
178,0.523,,138,,95
179,0.523,,136,,95
180,0.523,,137,,95
181,0.534,,137,,95
182,0.534,,138,,94
183,0.534,,138,,94
184,0.534,,137,,94
185,0.545,,139,,94
186,0.545,,141,,94
187,0.545,,140,,94
188,0.545,,139,,94
189,0.556,,139,,94
190,0.556,,139,,94
191,0.556,,139,,94
192,0.556,,139,,94
193,0.568,,140,,94
194,0.568,,139,,94
195,0.568,,140,,94
196,0.568,,139,,94
197,0.58,,140,,94
198,0.58,,141,,94
199,0.58,,141,,94
200,0.58,,139,,94
201,0.591,,140,,94
202,0.591,,139,,94
203,0.591,,139,,94
204,0.591,,139,,94
205,0.602,,139,,94
206,0.602,,138,,94
207,0.602,,138,,94
208,0.602,,138,,94
209,0.613,,140,,93
210,0.613,,139,,93
211,0.613,,139,,93
212,0.613,,139,,93
213,0.624,,139,,93
214,0.624,,142,,93
215,0.624,,145,,93
216,0.624,,145,,93
217,0.635,,145,,93
218,0.635,,145,,93
219,0.635,,144,,93
220,0.635,,142,,92
221,0.647,,139,,92
222,0.647,,138,,92
223,0.647,,140,,92
224,0.647,,140,,92
225,0.659,,139,,92
226,0.659,,139,,92
227,0.659,,139,,92
228,0.659,,138,,92
229,0.67,,139,,92
230,0.67,,139,,92
231,0.67,,138,,92
232,0.67,,138,,92
233,0.682,,139,,92
234,0.682,,139,,92
235,0.682,,139,,92
236,0.682,,140,,92
237,0.693,,138,,92
238,0.693,,138,,92
239,0.693,,138,,92
240,0.693,,139,,92
241,0.704,,139,,92
242,0.704,,139,,92
243,0.704,,139,,92
244,0.704,,139,,92
245,0.716,,139,,92
246,0.716,,139,,91
247,0.716,,140,,91
248,0.716,,140,,91
249,0.729,,139,,91
250,0.729,,139,,91
251,0.729,,139,,90
252,0.729,,139,,90
253,0.729,,137,,90
254,0.743,,139,,90
255,0.743,,139,,90
256,0.743,,139,,90
257,0.743,,139,,90
258,0.754,,138,,90
259,0.754,,140,,90
260,0.754,,139,,90
261,0.754,,140,,90
262,0.765,,140,,90
263,0.765,,140,,90
264,0.765,,139,,90
265,0.765,,140,,90
266,0.765,,140,,90
267,0.777,,142,,90
268,0.777,,141,,91
269,0.777,,141,,90
270,0.777,,141,,90
271,0.789,,141,,90
272,0.789,,140,,90
273,0.789,,140,,90
274,0.789,,139,,91
275,0.789,,138,,91
276,0.801,,138,,91
277,0.801,,139,,91
278,0.801,,139,,91
279,0.801,,140,,90
280,0.814,,139,,90
281,0.814,,138,,89
282,0.814,,137,,89
283,0.814,,139,,89
284,0.826,,139,,89
285,0.826,,140,,90
286,0.826,,140,,89
287,0.826,,140,,89
288,0.838,,140,,90
289,0.838,,140,,90
290,0.838,,140,,90
291,0.838,,141,,90
292,0.838,,142,,91
293,0.851,,142,,91
294,0.851,,142,,91
295,0.851,,142,,92
296,0.851,,142,,92
297,0.862,,142,,92
298,0.862,,142,,92
299,0.862,,142,,92
300,0.862,,142,,92
301,0.874,,143,,93
302,0.874,,143,,93
303,0.874,,144,,93
304,0.874,,144,,93
305,0.886,,143,,94
306,0.886,,143,,94
307,0.886,,143,,94
308,0.886,,144,,94
309,0.897,,143,,94
310,0.897,,143,,94
311,0.897,,143,,94
312,0.897,,143,,94
313,0.897,,143,,94
314,0.91,,143,,94
315,0.91,,143,,94
316,0.91,,144,,94
317,0.91,,143,,94
318,0.921,,144,,94
319,0.921,,143,,94
320,0.921,,142,,94
321,0.921,,142,,94
322,0.933,,141,,94
323,0.933,,139,,94
324,0.933,,136,,94
325,0.933,,135,,94
326,0.945,,133,,94
327,0.945,,132,,94
328,0.945,,131,,94
329,0.945,,130,,94
330,0.957,,127,,94
331,0.957,,127,,94
332,0.957,,129,,94
333,0.957,,132,,94
334,0.957,,133,,94
335,0.97,,135,,94
336,0.97,,137,,94
337,0.97,,138,,94
338,0.97,,140,,93
339,0.981,,140,,94
340,0.981,,140,,94
341,0.981,,140,,94
342,0.981,,140,,94
343,0.992,,140,,94
344,0.992,,140,,94
345,0.992,,141,,94
346,0.992,,142,,94
347,1.004,,142,,95
