secs,km,power,hr,cad,alt
0,0,,83,,101.4
1,0.00021,,83,,101.4
2,0.002005,,83,,101.1
3,0.0038,,83,,100.8
4,0.0062,,83,,101
5,0.00869,,84.5,,100.9
6,0.01118,,86,,100.8
7,0.01387,,87,,101.2
8,0.01549,,88,,101.4
9,0.018135,,89.5,,101.4
10,0.02078,,91,,101.4
11,0.022775,,92.5,,101.3
12,0.02477,,94,,101.2
13,0.0272,,96,,101.2
14,0.0290233,,97.3333,,101.2
15,0.0308467,,98.6667,,101.2
16,0.03267,,100,,101.2
17,0.03501,,102,,101.3
18,0.03735,,104,,101.4
19,0.03958,,105,,101.4
20,0.04181,,106,,101.4
21,0.04404,,107,,101.4
22,0.0468033,,108,,101.4
23,0.0495667,,109,,101.4
24,0.05233,,110,,101.4
25,0.054925,,111,,101.45
26,0.05752,,112,,101.5
27,0.060115,,113,,101.55
28,0.06271,,114,,101.6
29,0.06505,,115,,101.5
30,0.06739,,116,,101.4
31,0.07009,,117,,101.4
32,0.07279,,118,,101.4
33,0.07549,,119,,101.4
34,0.07803,,119.667,,101.4
35,0.08057,,120.333,,101.4
36,0.08311,,121,,101.4
37,0.0856767,,122,,101.467
38,0.0882433,,123,,101.533
39,0.09081,,124,,101.6
40,0.0937767,,124.333,,101.6
41,0.0967433,,124.667,,101.6
42,0.09971,,125,,101.6
43,0.10259,,125.75,,101.65
44,0.10547,,126.5,,101.7
45,0.10835,,127.25,,101.75
46,0.11123,,128,,101.8
47,0.11458,,128,,101.8
48,0.117488,,128.5,,101.75
49,0.120395,,129,,101.7
50,0.123302,,129.5,,101.65
51,0.12621,,130,,101.6
52,0.12882,,130.2,,101.68
53,0.13143,,130.4,,101.76
54,0.13404,,130.6,,101.84
55,0.13665,,130.8,,101.92
56,0.13926,,131,,102
57,0.14208,,131.25,,102
58,0.1449,,131.5,,102
59,0.14772,,131.75,,102
60,0.15054,,132,,102
61,0.153448,,132.2,,102.04
62,0.156356,,132.4,,102.08
63,0.159264,,132.6,,102.12
64,0.162172,,132.8,,102.16
65,0.16508,,133,,102.2
66,0.1678,,133,,102.2
67,0.17096,,133,,102.267
68,0.17412,,133,,102.333
69,0.17728,,133,,102.4
70,0.180287,,133,,102.333
71,0.183293,,133,,102.267
72,0.1863,,133,,102.2
73,0.18688,,133.2,,102.24
74,0.18746,,133.4,,102.28
75,0.18804,,133.6,,102.32
76,0.18862,,133.8,,102.36
77,0.1892,,134,,102.4
78,0.18953,,134,,102.4
79,0.18986,,134,,102.4
80,0.19101,,135,,102.6
81,0.193067,,135,,102.533
82,0.195123,,135,,102.467
83,0.19718,,135,,102.4
84,0.199938,,135,,102.45
85,0.202695,,135,,102.5
86,0.205453,,135,,102.55
87,0.20821,,135,,102.6
88,0.211015,,135,,102.6
89,0.21382,,135,,102.6
90,0.216625,,135,,102.6
91,0.21943,,135,,102.6
92,0.222038,,135,,102.6
93,0.224647,,135,,102.6
94,0.227255,,135,,102.6
95,0.229863,,135,,102.6
96,0.232472,,135,,102.6
97,0.23508,,135,,102.6
98,0.235418,,135.167,,102.6
99,0.235757,,135.333,,102.6
100,0.236095,,135.5,,102.6
101,0.236433,,135.667,,102.6
102,0.236772,,135.833,,102.6
103,0.23711,,136,,102.6
104,0.238896,,136,,102.64
105,0.240682,,136,,102.68
106,0.242468,,136,,102.72
107,0.244254,,136,,102.76
108,0.24604,,136,,102.8
109,0.248174,,136.2,,102.8
110,0.250308,,136.4,,102.8
111,0.252442,,136.6,,102.8
112,0.254576,,136.8,,102.8
113,0.25671,,137,,102.8
114,0.259408,,137,,102.76
115,0.262106,,137,,102.72
116,0.264804,,137,,102.68
117,0.267502,,137,,102.64
118,0.2702,,137,,102.6
119,0.272925,,137.167,,102.6
120,0.27565,,137.333,,102.6
121,0.278375,,137.5,,102.6
122,0.2811,,137.667,,102.6
123,0.283825,,137.833,,102.6
124,0.28655,,138,,102.6
125,0.289436,,138,,102.6
126,0.292322,,138,,102.6
127,0.295208,,138,,102.6
128,0.298094,,138,,102.6
129,0.30098,,138,,102.6
130,0.303923,,138,,102.6
131,0.306866,,138,,102.6
132,0.309809,,138,,102.6
133,0.312751,,138,,102.6
134,0.315694,,138,,102.6
135,0.318637,,138,,102.6
136,0.32158,,138,,102.6
137,0.324313,,137.75,,102.6
138,0.327045,,137.5,,102.6
139,0.329778,,137.25,,102.6
140,0.33251,,137,,102.6
141,0.335446,,137,,102.56
142,0.338382,,137,,102.52
143,0.341318,,137,,102.48
144,0.344254,,137,,102.44
145,0.34719,,137,,102.4
146,0.350282,,136.6,,102.4
147,0.353374,,136.2,,102.4
148,0.356466,,135.8,,102.4
149,0.359558,,135.4,,102.4
150,0.36265,,135,,102.4
151,0.365472,,135,,102.4
152,0.368294,,135,,102.4
153,0.371116,,135,,102.4
154,0.373938,,135,,102.4
155,0.37676,,135,,102.4
156,0.379398,,135,,102.4
157,0.382035,,135,,102.4
158,0.384672,,135,,102.4
159,0.38731,,135,,102.4
160,0.39032,,135,,102.6
161,0.393444,,135,,102.56
162,0.396568,,135,,102.52
163,0.399692,,135,,102.48
164,0.402816,,135,,102.44
165,0.40594,,135,,102.4
166,0.40889,,135,,102.4
167,0.41184,,135,,102.4
168,0.41479,,135,,102.4
169,0.41774,,135,,102.4
170,0.42069,,135,,102.4
171,0.423786,,135,,102.4
172,0.426881,,135,,102.4
173,0.429977,,135,,102.4
174,0.433073,,135,,102.4
175,0.436169,,135,,102.4
176,0.439264,,135,,102.4
177,0.44236,,135,,102.4
178,0.44539,,135.167,,102.4
179,0.44842,,135.333,,102.4
180,0.45145,,135.5,,102.4
181,0.45448,,135.667,,102.4
182,0.45751,,135.833,,102.4
183,0.46054,,136,,102.4
184,0.463624,,136.2,,102.4
185,0.466708,,136.4,,102.4
186,0.469792,,136.6,,102.4
187,0.472876,,136.8,,102.4
188,0.47596,,137,,102.4
189,0.478997,,137,,102.371
190,0.482034,,137,,102.343
191,0.485071,,137,,102.314
192,0.488109,,137,,102.286
193,0.491146,,137,,102.257
194,0.494183,,137,,102.229
195,0.49722,,137,,102.2
196,0.500369,,137,,102.143
197,0.503517,,137,,102.086
198,0.506666,,137,,102.029
199,0.509814,,137,,101.971
200,0.512963,,137,,101.914
201,0.516111,,137,,101.857
202,0.51926,,137,,101.8
203,0.522293,,137,,101.771
204,0.525326,,137,,101.743
205,0.528359,,137,,101.714
206,0.531391,,137,,101.686
207,0.534424,,137,,101.657
208,0.537457,,137,,101.629
209,0.54049,,137,,101.6
210,0.543497,,137,,101.55
211,0.546505,,137,,101.5
212,0.549513,,137,,101.45
213,0.55252,,137,,101.4
214,0.55534,,137,,101.6
215,0.558448,,137,,101.48
216,0.561556,,137,,101.36
217,0.564664,,137,,101.24
218,0.567772,,137,,101.12
219,0.57088,,137,,101
220,0.573882,,137,,100.967
221,0.576883,,137,,100.933
222,0.579885,,137,,100.9
223,0.582887,,137,,100.867
224,0.585888,,137,,100.833
225,0.58889,,137,,100.8
226,0.58889,,136.5,,100.8
227,0.58889,,136,,100.8
228,0.59906,,134,,100.8
229,0.6025,,134,,100.6
230,0.605364,,133.6,,100.6
231,0.608228,,133.2,,100.6
232,0.611092,,132.8,,100.6
233,0.613956,,132.4,,100.6
234,0.61682,,132,,100.6
235,0.62022,,133,,100.4
236,0.62383,,132,,100.4
237,0.62742,,132.667,,100.4
238,0.63101,,133.333,,100.4
239,0.6346,,134,,100.4
240,0.637408,,134.2,,100.4
241,0.640216,,134.4,,100.4
242,0.643024,,134.6,,100.4
