secs,km,power,hr,cad,alt
0,0,,101,,7.4
1,0.00355859,,99,,7.4
2,0.00711719,,97,,7.4
3,0.0110938,,96,,7.4
4,0.0154141,,96,,7.4
5,0.0197344,,96,,7.4
6,0.0240547,,96,,7.4
7,0.0285508,,98,,7.4
8,0.0330469,,100,,7.4
9,0.0373086,,101.5,,7.5
10,0.0415703,,103,,7.6
11,0.045957,,104.25,,7.7
12,0.0503438,,105.5,,7.8
13,0.0547305,,106.75,,7.9
14,0.0591172,,108,,8
15,0.0633703,,108.8,,7.76
16,0.0676234,,109.6,,7.52
17,0.0718766,,110.4,,7.28
18,0.0761297,,111.2,,7.04
19,0.0803828,,112,,6.8
20,0.0846562,,115,,6.6
21,0.0886133,,117.5,,6.3
22,0.0925703,,120,,6
23,0.0963672,,125,,5.8
24,0.100445,,130,,5.6
25,0.104055,,133,,5.4
26,0.108237,,134,,5.33333
27,0.112419,,135,,5.26667
28,0.116602,,136,,5.2
29,0.120628,,136.4,,5.24
30,0.124655,,136.8,,5.28
31,0.128681,,137.2,,5.32
32,0.132708,,137.6,,5.36
33,0.136734,,138,,5.4
34,0.140547,,135,,5.4
35,0.144461,,138,,5.6
36,0.148405,,138.6,,5.68
37,0.152348,,139.2,,5.76
38,0.156292,,139.8,,5.84
39,0.160236,,140.4,,5.92
40,0.16418,,141,,6
41,0.168164,,139.667,,6.06667
42,0.172148,,138.333,,6.13333
43,0.176133,,137,,6.2
44,0.180086,,132,,6.2
45,0.184203,,132,,6.2
46,0.188293,,132.75,,6.2
47,0.192383,,133.5,,6.2
48,0.196473,,134.25,,6.2
49,0.200563,,135,,6.2
50,0.204409,,136,,6.2
51,0.208255,,137,,6.2
52,0.212102,,138,,6.2
53,0.215996,,139.5,,6.2
54,0.219891,,141,,6.2
55,0.223734,,141,,6.2
56,0.227578,,141,,6.2
57,0.231422,,141,,6.2
58,0.235266,,141,,6.2
59,0.239109,,141,,6.2
60,0.242953,,141,,6.2
61,0.246876,,140.667,,6.13333
62,0.250799,,140.333,,6.06667
63,0.254723,,140,,6
64,0.258646,,139.667,,5.93333
65,0.262569,,139.333,,5.86667
66,0.266492,,139,,5.8
67,0.270424,,139,,5.76667
68,0.274357,,139,,5.73333
69,0.278289,,139,,5.7
70,0.282221,,139,,5.66667
71,0.286154,,139,,5.63333
72,0.290086,,139,,5.6
73,0.294505,,139,,5.86667
74,0.298924,,139,,6.13333
75,0.303344,,139,,6.4
76,0.307673,,138.8,,6.72
77,0.312003,,138.6,,7.04
78,0.316333,,138.4,,7.36
79,0.320662,,138.2,,7.68
80,0.324992,,138,,8
81,0.32925,,138,,8.32
82,0.333508,,138,,8.64
83,0.337766,,138,,8.96
84,0.342023,,138,,9.28
85,0.346281,,138,,9.6
86,0.349496,,137.857,,9.82857
87,0.35271,,137.714,,10.0571
88,0.355924,,137.571,,10.2857
89,0.359138,,137.429,,10.5143
90,0.362353,,137.286,,10.7429
91,0.365567,,137.143,,10.9714
92,0.368781,,137,,11.2
93,0.37328,,137.2,,11.32
94,0.377778,,137.4,,11.44
95,0.382277,,137.6,,11.56
96,0.386775,,137.8,,11.68
97,0.391273,,138,,11.8
98,0.395188,,140,,11.7
99,0.399102,,142,,11.6
100,0.403473,,143.5,,11.5
101,0.407844,,145,,11.4
