secs,km,power,hr,cad,alt
0,0,,63,,281
1,0.00202,,64,,281
2,0.00426,,67,,280.8
3,0.00701,,67.1667,,280.767
4,0.00976,,67.3333,,280.733
5,0.01251,,67.5,,280.7
6,0.01526,,67.6667,,280.667
7,0.01801,,67.8333,,280.633
8,0.02076,,68,,280.6
9,0.0236433,,69.3333,,280.533
10,0.0265267,,70.6667,,280.467
11,0.02941,,72,,280.4
12,0.032235,,73.5,,280.3
13,0.03506,,75,,280.2
14,0.03745,,76.5,,280.2
15,0.03984,,78,,280.2
16,0.043062,,78.6,,280.12
17,0.046284,,79.2,,280.04
18,0.049506,,79.8,,279.96
19,0.052728,,80.4,,279.88
20,0.05595,,81,,279.8
21,0.0592125,,82,,279.75
22,0.062475,,83,,279.7
23,0.0657375,,84,,279.65
24,0.069,,85,,279.6
25,0.07248,,86,,279.467
26,0.07596,,87,,279.333
27,0.07944,,88,,279.2
28,0.0827983,,88.3333,,279.133
29,0.0861567,,88.6667,,279.067
30,0.089515,,89,,279
31,0.0928733,,89.3333,,278.933
32,0.0962317,,89.6667,,278.867
33,0.09959,,90,,278.8
34,0.102755,,92,,278.7
35,0.10592,,94,,278.6
36,0.10895,,95,,278.533
37,0.11198,,96,,278.467
38,0.11501,,97,,278.4
39,0.117964,,97.8,,278.32
40,0.120918,,98.6,,278.24
41,0.123872,,99.4,,278.16
42,0.126826,,100.2,,278.08
43,0.12978,,101,,278
44,0.132913,,102,,278
45,0.136047,,103,,278
46,0.13918,,104,,278
47,0.14228,,105.333,,278.133
48,0.14538,,106.667,,278.267
49,0.14848,,108,,278.4
50,0.151653,,109,,278.467
51,0.154827,,110,,278.533
52,0.158,,111,,278.6
53,0.161202,,111.167,,278.667
54,0.164403,,111.333,,278.733
55,0.167605,,111.5,,278.8
56,0.170807,,111.667,,278.867
57,0.174008,,111.833,,278.933
58,0.17721,,112,,279
59,0.18009,,112.75,,279.1
60,0.18297,,113.5,,279.2
