secs,km,power,hr,cad,alt
0,0,,71,,237.6
1,0.00274,,70.5,,238.2
2,0.00548,,70,,238.8
3,0.009835,,71.75,,238.8
4,0.01419,,73.5,,238.8
5,0.018545,,75.25,,238.8
6,0.0229,,77,,238.8
7,0.02746,,79,,238.867
8,0.03202,,81,,238.933
9,0.03658,,83,,239
10,0.040875,,84.5,,239
11,0.04517,,86,,239
12,0.04925,,87,,239.2
13,0.05333,,88,,239.4
14,0.05734,,86,,239.6
15,0.06135,,84,,239.8
16,0.06555,,86,,239.8
17,0.06975,,88,,239.8
18,0.07408,,90,,239.6
19,0.07841,,92,,239.4
20,0.08317,,97,,239.2
21,0.08747,,102,,239.2
22,0.09199,,106,,239.2
23,0.09661,,111,,239.2
24,0.10048,,115,,239.2
25,0.10435,,120,,239.2
26,0.10884,,121,,239.2
27,0.113872,,120.5,,239.15
28,0.118905,,120,,239.1
29,0.123938,,119.5,,239.05
30,0.12897,,119,,239
31,0.134315,,120.5,,238.9
32,0.13966,,122,,238.8
33,0.14467,,125,,238.5
34,0.14968,,128,,238.2
35,0.15455,,132,,238
36,0.15942,,135,,237.8
37,0.16398,,132.5,,237.8
38,0.16854,,130,,237.8
39,0.17352,,135,,237.6
40,0.178117,,134.333,,237.6
41,0.182713,,133.667,,237.6
42,0.18731,,133,,237.6
43,0.1915,,136,,237.6
44,0.195654,,135.8,,237.6
45,0.199808,,135.6,,237.6
46,0.203962,,135.4,,237.6
47,0.208116,,135.2,,237.6
48,0.21227,,135,,237.6
49,0.217026,,135.8,,237.6
50,0.221782,,136.6,,237.6
51,0.226538,,137.4,,237.6
52,0.231294,,138.2,,237.6
53,0.23605,,139,,237.6
54,0.240556,,138.8,,237.6
55,0.245062,,138.6,,237.6
56,0.249568,,138.4,,237.6
57,0.254074,,138.2,,237.6
58,0.25858,,138,,237.6
59,0.26308,,138,,237.56
60,0.26758,,138,,237.52
61,0.27208,,138,,237.48
62,0.27658,,138,,237.44
63,0.28108,,138,,237.4
64,0.28558,,139.5,,237.3
65,0.29008,,141,,237.2
66,0.294408,,141.2,,237.2
67,0.298736,,141.4,,237.2
68,0.303064,,141.6,,237.2
69,0.307392,,141.8,,237.2
70,0.31172,,142,,237.2
71,0.31619,,139,,237
72,0.320683,,140,,237
73,0.325177,,141,,237
74,0.32967,,142,,237
75,0.33409,,140,,236.9
76,0.33851,,138,,236.8
77,0.34318,,137.25,,236.8
78,0.34785,,136.5,,236.8
79,0.35252,,135.75,,236.8
80,0.35719,,135,,236.8
81,0.36175,,139,,236.8
82,0.36654,,140,,236.8
83,0.37128,,139.4,,236.72
84,0.37602,,138.8,,236.64
85,0.38076,,138.2,,236.56
86,0.3855,,137.6,,236.48
87,0.39024,,137,,236.4
88,0.3948,,136.75,,236.3
89,0.39936,,136.5,,236.2
90,0.40392,,136.25,,236.1
91,0.40848,,136,,236
92,0.412705,,136.5,,235.9
93,0.41693,,137,,235.8
94,0.421102,,137,,235.8
95,0.425274,,137,,235.8
96,0.429446,,137,,235.8
97,0.433618,,137,,235.8
98,0.43779,,137,,235.8
99,0.44171,,137,,235.6
100,0.446038,,136.8,,235.56
101,0.450366,,136.6,,235.52
102,0.454694,,136.4,,235.48
103,0.459022,,136.2,,235.44
104,0.46335,,136,,235.4
105,0.467564,,136,,235.36
106,0.471778,,136,,235.32
107,0.475992,,136,,235.28
108,0.480206,,136,,235.24
109,0.48442,,136,,235.2
110,0.488688,,136,,235.16
111,0.492956,,136,,235.12
112,0.497224,,136,,235.08
113,0.501492,,136,,235.04
114,0.50576,,136,,235
115,0.509958,,135.8,,234.96
116,0.514156,,135.6,,234.92
117,0.518354,,135.4,,234.88
118,0.522552,,135.2,,234.84
119,0.52675,,135,,234.8
120,0.530875,,135,,234.7
121,0.535,,135,,234.6
122,0.53888,,135.75,,234.55
123,0.54276,,136.5,,234.5
124,0.54664,,137.25,,234.45
125,0.55052,,138,,234.4
126,0.55452,,138,,234.367
127,0.55852,,138,,234.333
128,0.56252,,138,,234.3
129,0.56652,,138,,234.267
130,0.57052,,138,,234.233
131,0.57452,,138,,234.2
132,0.578718,,137.8,,234.16
133,0.582916,,137.6,,234.12
134,0.587114,,137.4,,234.08
135,0.591312,,137.2,,234.04
136,0.59551,,137,,234
137,0.599726,,137,,233.96
138,0.603942,,137,,233.92
139,0.608158,,137,,233.88
140,0.612374,,137,,233.84
141,0.61659,,137,,233.8
142,0.620784,,137.4,,233.8
143,0.624978,,137.8,,233.8
144,0.629172,,138.2,,233.8
145,0.633366,,138.6,,233.8
146,0.63756,,139,,233.8
147,0.64191,,139,,233.8
148,0.64626,,139,,233.8
149,0.65061,,139,,233.8
150,0.65496,,139,,233.8
151,0.65931,,139,,233.8
152,0.663528,,138.8,,233.84
153,0.667746,,138.6,,233.88
154,0.671964,,138.4,,233.92
155,0.676182,,138.2,,233.96
156,0.6804,,138,,234
157,0.68458,,138,,234
158,0.68876,,138,,234
159,0.69294,,138,,234
160,0.69712,,138,,234
161,0.7013,,138,,234
162,0.705688,,138,,233.92
163,0.710076,,138,,233.84
164,0.714464,,138,,233.76
165,0.718852,,138,,233.68
166,0.72324,,138,,233.6
167,0.727688,,138,,233.6
168,0.732136,,138,,233.6
169,0.736584,,138,,233.6
170,0.741032,,138,,233.6
171,0.74548,,138,,233.6
172,0.74988,,137.5,,233.6
173,0.75428,,137,,233.6
174,0.758578,,136.6,,233.56
175,0.762876,,136.2,,233.52
176,0.767174,,135.8,,233.48
177,0.771472,,135.4,,233.44
178,0.77577,,135,,233.4
179,0.780106,,135.2,,233.36
180,0.784442,,135.4,,233.32
181,0.788778,,135.6,,233.28
182,0.793114,,135.8,,233.24
183,0.79745,,136,,233.2
184,0.801842,,136.2,,233.16
185,0.806234,,136.4,,233.12
186,0.810626,,136.6,,233.08
187,0.815018,,136.8,,233.04
188,0.81941,,137,,233
189,0.823774,,137.2,,232.92
190,0.828138,,137.4,,232.84
191,0.832502,,137.6,,232.76
192,0.836866,,137.8,,232.68
193,0.84123,,138,,232.6
194,0.84539,,138,,232.6
195,0.849512,,138.4,,232.52
196,0.853634,,138.8,,232.44
197,0.857756,,139.2,,232.36
198,0.861878,,139.6,,232.28
199,0.866,,140,,232.2
200,0.870232,,140.2,,232.2
201,0.874464,,140.4,,232.2
202,0.878696,,140.6,,232.2
203,0.882928,,140.8,,232.2
204,0.88716,,141,,232.2
205,0.891296,,141,,232.24
206,0.895432,,141,,232.28
207,0.899568,,141,,232.32
208,0.903704,,141,,232.36
209,0.90784,,141,,232.4
