secs,km,power,hr,cad,alt
0,0,,142,,342.2
1,0.0046,,142,,341.8
2,0.00933,,143,,341.4
3,0.01435,,143,,341
3,0.01435,,143,,341
5,0.02431,,141,,340.2
8,0.03729,,139,,339.6
13,0.05869,,136,,340
16,0.07223,,135,,340.2
21,0.09421,,136,,340.6
27,0.11714,,139,,341
31,0.13045,,142,,341.2
34,0.13863,,145,,341.4
36,0.14361,,148,,341.4
40,0.15432,,151,,341.8
45,0.17134,,154,,341.8
49,0.19193,,154,,342.2
53,0.21657,,153,,342.2
54,0.2233,,151,,341.8
56,0.23752,,150,,341.2
58,0.25117,,150,,340.6
61,0.27358,,150,,339.8
64,0.29603,,149,,339.2
67,0.31478,,148,,338.8
69,0.32509,,147,,338.6
75,0.3492,,144,,339.2
76,0.35347,,144,,339.4
81,0.37536,,145,,340
86,0.3958,,147,,340.2
92,0.41932,,148,,340.6
97,0.43985,,149,,341.6
103,0.46296,,149,,343
109,0.48378,,149,,343.2
116,0.50598,,149,,344.4
120,0.51897,,146,,345
124,0.53263,,143,,345.2
130,0.55425,,143,,346
136,0.57752,,142,,348.2
141,0.59394,,145,,347.8
148,0.61697,,146,,347.4
154,0.6368,,142,,348.4
158,0.64816,,139,,349
165,0.66883,,139,,350
172,0.69126,,136,,350.2
177,0.71268,,136,,348.4
182,0.73356,,135,,346.8
187,0.75386,,133,,346.6
191,0.77611,,133,,348
194,0.79704,,133,,348
195,0.80339,,132,,347.8
199,0.82774,,134,,347.2
202,0.84597,,138,,347.2
206,0.86934,,140,,345.4
209,0.88439,,143,,343.4
211,0.89226,,145,,342.6
214,0.90196,,147,,341.6
217,0.91046,,150,,340.6
221,0.91937,,153,,339.8
227,0.93043,,156,,339.2
237,0.95151,,154,,340.2
247,0.97167,,155,,341.4
258,0.99347,,157,,343
269,1.0142,,156,,344.8
276,1.02672,,159,,346.6
283,1.03841,,162,,348.2
292,1.05321,,162,,350.2
308,1.06138,,159,,350.8
319,1.0622,,156,,350.8
328,1.06406,,153,,350.8
332,1.06435,,150,,350.8
335,1.06542,,146,,350.8
337,1.06623,,143,,350.8
339,1.06641,,139,,350.8
343,1.06845,,136,,351
347,1.06981,,133,,351
349,1.07281,,130,,350.8
351,1.07588,,130,,350.4
355,1.08428,,143,,349.8
356,1.08857,,143,,349.6
360,1.11278,,143,,348.4
363,1.13614,,141,,347.2
366,1.15954,,141,,345.6
367,1.16715,,141,,345
370,1.19079,,141,,343.4
373,1.21516,,145,,341.6
376,1.2397,,146,,339.6
377,1.24725,,147,,339
381,1.2696,,148,,337.6
385,1.29244,,150,,336.2
386,1.29881,,150,,336
388,1.31174,,150,,335.4
391,1.32705,,152,,334.6
394,1.346,,153,,333.6
397,1.36838,,154,,333.6
399,1.3846,,154,,333.8
401,1.39854,,157,,333.8
403,1.41047,,158,,334
406,1.4271,,159,,334
410,1.44358,,160,,334
414,1.46303,,161,,334.8
418,1.48201,,163,,335.6
420,1.48944,,165,,335.8
426,1.50947,,166,,336.6
428,1.51676,,166,,336.8
429,1.52008,,166,,337
437,1.54116,,164,,337.4
441,1.55104,,165,,337
442,1.55261,,165,,337
447,1.55925,,165,,336.6
449,1.56089,,162,,336.4
451,1.56115,,158,,336.4
453,1.56155,,153,,336.4
454,1.56192,,150,,336.4
456,1.56267,,147,,336.4
460,1.5669,,150,,336.4
465,1.57972,,150,,336.8
474,1.60149,,150,,338
482,1.61688,,153,,339.4
487,1.62964,,156,,340.8
492,1.64265,,155,,342
496,1.65434,,152,,342.8
503,1.67662,,153,,344.6
510,1.69843,,153,,346.2
514,1.70855,,156,,347
518,1.71971,,159,,348
522,1.72981,,162,,348.4
525,1.73687,,163,,348.8
535,1.7588,,164,,352
542,1.77255,,167,,353.8
550,1.78635,,169,,355.4
554,1.79212,,169,,356.4
558,1.79669,,167,,357
569,1.805,,164,,357.4
572,1.80775,,161,,357.4
576,1.81414,,158,,357.4
582,1.82602,,155,,357.8
583,1.82842,,155,,357.8
586,1.83534,,150,,358
587,1.83619,,148,,358
590,1.83989,,145,,357.6
593,1.84263,,142,,358
597,1.84461,,138,,358.2
602,1.84517,,135,,358.2
606,1.84542,,132,,358.2
609,1.84854,,129,,358.4
610,1.84981,,130,,358.2
616,1.85897,,130,,357.4
624,1.8796,,127,,357.2
627,1.88286,,127,,357.4
638,1.88703,,124,,357.8
640,1.88836,,119,,357.6
642,1.8906,,116,,357.4
643,1.89272,,117,,357.4
645,1.90004,,120,,357.4
646,1.9036,,123,,357.4
650,1.90818,,126,,357.6
654,1.90902,,123,,357.6
666,1.91137,,120,,357.8
674,1.91449,,123,,358
677,1.91921,,122,,358
682,1.93847,,125,,358
685,1.95337,,129,,358
688,1.96921,,132,,358.6
692,1.9915,,134,,359.4
696,2.01457,,136,,360.6
700,2.03712,,137,,361
704,2.05715,,138,,361
706,2.0658,,137,,361.2
708,2.07395,,137,,361
711,2.08786,,137,,361.6
714,2.10035,,134,,361.6
721,2.11494,,132,,361.4
724,2.11549,,129,,361.4
736,2.11755,,126,,360.8
737,2.11775,,122,,360.8
744,2.11903,,119,,360.6
746,2.11939,,116,,360.6
