secs,km,power,hr,cad,alt
0,0,,73,,0.4
1,0.0014,,73,,0.2
2,0.003615,,73,,0.2
3,0.00583,,73,,0.2
4,0.00908,,74.3333,,0.266667
5,0.01233,,75.6667,,0.333333
6,0.01558,,77,,0.4
7,0.01888,,78.5,,0.2
8,0.02218,,80,,0
9,0.025335,,82,,0
10,0.02849,,84,,0
11,0.03199,,85.5,,0
12,0.03549,,87,,0
13,0.03901,,88.5,,0
14,0.04253,,90,,0
15,0.04615,,91,,-0.0666667
16,0.04977,,92,,-0.133333
17,0.05339,,93,,-0.2
18,0.0565467,,94,,-0.2
19,0.0597033,,95,,-0.2
20,0.06286,,96,,-0.2
21,0.065694,,96.6,,-0.24
22,0.068528,,97.2,,-0.28
23,0.071362,,97.8,,-0.32
24,0.074196,,98.4,,-0.36
25,0.07703,,99,,-0.4
26,0.0802025,,99.75,,-0.4
27,0.083375,,100.5,,-0.4
28,0.0865475,,101.25,,-0.4
29,0.08972,,102,,-0.4
30,0.0925817,,102.5,,-0.4
31,0.0954433,,103,,-0.4
32,0.098305,,103.5,,-0.4
33,0.101167,,104,,-0.4
34,0.104028,,104.5,,-0.4
35,0.10689,,105,,-0.4
36,0.109878,,105.6,,-0.36
37,0.112866,,106.2,,-0.32
38,0.115854,,106.8,,-0.28
39,0.118842,,107.4,,-0.24
40,0.12183,,108,,-0.2
41,0.12506,,109,,-0.333333
42,0.12829,,110,,-0.466667
43,0.13152,,111,,-0.6
44,0.13458,,112,,-0.6
45,0.137777,,112.75,,-0.65
46,0.140975,,113.5,,-0.7
47,0.144173,,114.25,,-0.75
48,0.14737,,115,,-0.8
49,0.1506,,115.5,,-0.866667
50,0.15383,,116,,-0.933333
51,0.15706,,116.5,,-1
52,0.16029,,117,,-1.06667
53,0.16352,,117.5,,-1.13333
54,0.16675,,118,,-1.2
55,0.1703,,118.333,,-1.23333
56,0.17385,,118.667,,-1.26667
57,0.1774,,119,,-1.3
58,0.18095,,119.333,,-1.33333
59,0.1845,,119.667,,-1.36667
60,0.18805,,120,,-1.4
61,0.191505,,120,,-1.6
62,0.19496,,120,,-1.8
63,0.198066,,119.857,,-1.68571
64,0.201171,,119.714,,-1.57143
65,0.204277,,119.571,,-1.45714
66,0.207383,,119.429,,-1.34286
67,0.210489,,119.286,,-1.22857
68,0.213594,,119.143,,-1.11429
69,0.2167,,119,,-1
70,0.219981,,119,,-1.02857
71,0.223263,,119,,-1.05714
72,0.226544,,119,,-1.08571
73,0.229826,,119,,-1.11429
74,0.233107,,119,,-1.14286
75,0.236389,,119,,-1.17143
76,0.23967,,119,,-1.2
77,0.240401,,118.8,,-1.18667
78,0.241131,,118.6,,-1.17333
79,0.241862,,118.4,,-1.16
80,0.242593,,118.2,,-1.14667
81,0.243323,,118,,-1.13333
82,0.244054,,117.8,,-1.12
83,0.244785,,117.6,,-1.10667
84,0.245515,,117.4,,-1.09333
85,0.246246,,117.2,,-1.08
86,0.246977,,117,,-1.06667
87,0.247707,,116.8,,-1.05333
88,0.248438,,116.6,,-1.04
89,0.249169,,116.4,,-1.02667
90,0.249899,,116.2,,-1.01333
91,0.25063,,116,,-1
92,0.25201,,115.8,,-1
93,0.25339,,115.6,,-1
94,0.25477,,115.4,,-1
95,0.25615,,115.2,,-1
96,0.25753,,115,,-1
97,0.259202,,114.4,,-1.04
98,0.260874,,113.8,,-1.08
99,0.262546,,113.2,,-1.12
100,0.264218,,112.6,,-1.16
101,0.26589,,112,,-1.2
102,0.267535,,110.5,,-1.2
103,0.26918,,109,,-1.2
104,0.27073,,107.5,,-1.2
105,0.27228,,106,,-1.2
106,0.27401,,105,,-1.13333
107,0.27574,,104,,-1.06667
108,0.27747,,103,,-1
109,0.280296,,103,,-1.05
110,0.283122,,103,,-1.1
111,0.285949,,103,,-1.15
112,0.288775,,103,,-1.2
113,0.291601,,103,,-1.25
114,0.294428,,103,,-1.3
115,0.297254,,103,,-1.35
116,0.30008,,103,,-1.4
117,0.303382,,103.6,,-1.4
118,0.306684,,104.2,,-1.4
119,0.309986,,104.8,,-1.4
120,0.313288,,105.4,,-1.4
121,0.31659,,106,,-1.4
122,0.319982,,106.167,,-1.4
123,0.323373,,106.333,,-1.4
124,0.326765,,106.5,,-1.4
125,0.330157,,106.667,,-1.4
126,0.333548,,106.833,,-1.4
127,0.33694,,107,,-1.4
128,0.3404,,107.6,,-1.4
129,0.34386,,108.2,,-1.4
130,0.34732,,108.8,,-1.4
131,0.35078,,109.4,,-1.4
132,0.35424,,110,,-1.4
133,0.357795,,110.5,,-1.36667
134,0.36135,,111,,-1.33333
135,0.364905,,111.5,,-1.3
136,0.36846,,112,,-1.26667
137,0.372015,,112.5,,-1.23333
138,0.37557,,113,,-1.2
139,0.379022,,113.6,,-1.16
140,0.382474,,114.2,,-1.12
141,0.385926,,114.8,,-1.08
142,0.389378,,115.4,,-1.04
143,0.39283,,116,,-1
144,0.396325,,116.333,,-0.966667
145,0.39982,,116.667,,-0.933333
146,0.403315,,117,,-0.9
147,0.40681,,117.333,,-0.866667
148,0.410305,,117.667,,-0.833333
149,0.4138,,118,,-0.8
150,0.4171,,119,,-0.6
151,0.420173,,119.286,,-0.542857
152,0.423246,,119.571,,-0.485714
153,0.426319,,119.857,,-0.428571
154,0.429391,,120.143,,-0.371429
155,0.432464,,120.429,,-0.314286
156,0.435537,,120.714,,-0.257143
157,0.43861,,121,,-0.2
158,0.441899,,121.286,,-0.171429
159,0.445187,,121.571,,-0.142857
160,0.448476,,121.857,,-0.114286
161,0.451764,,122.143,,-0.0857143
162,0.455053,,122.429,,-0.0571429
163,0.458341,,122.714,,-0.0285714
164,0.46163,,123,,0
165,0.464693,,123.429,,-0.0285714
166,0.467756,,123.857,,-0.0571429
167,0.470819,,124.286,,-0.0857143
168,0.473881,,124.714,,-0.114286
169,0.476944,,125.143,,-0.142857
170,0.480007,,125.571,,-0.171429
171,0.48307,,126,,-0.2
172,0.48618,,126.429,,-0.114286
173,0.48929,,126.857,,-0.0285714
174,0.4924,,127.286,,0.0571429
175,0.49551,,127.714,,0.142857
176,0.49862,,128.143,,0.228571
177,0.50173,,128.571,,0.314286
178,0.50484,,129,,0.4
179,0.508232,,129.333,,0.366667
180,0.511623,,129.667,,0.333333
181,0.515015,,130,,0.3
