secs,km,power,hr,cad,alt
0,0,,110,,68.4
1,0.00158,,110,,67.8
2,0.00361,,111,,68.2667
3,0.00564,,112,,68.7333
4,0.00767,,113,,69.2
5,0.01045,,113,,67.2
6,0.01341,,115,,67.6
7,0.016215,,117.5,,67.7
8,0.01902,,120,,67.8
9,0.021935,,120.75,,67.55
10,0.02485,,121.5,,67.3
11,0.027765,,122.25,,67.05
12,0.03068,,123,,66.8
13,0.03364,,124,,66.6
14,0.035945,,125.5,,66.6
15,0.03825,,127,,66.6
16,0.0408933,,128,,66.6
17,0.0435367,,129,,66.6
18,0.04618,,130,,66.6
19,0.0489567,,131,,66.6667
20,0.0517333,,132,,66.7333
21,0.05451,,133,,66.8
22,0.0568825,,133.5,,66.85
23,0.059255,,134,,66.9
24,0.0616275,,134.5,,66.95
25,0.064,,135,,67
26,0.0662975,,135.5,,67.35
27,0.068595,,136,,67.7
28,0.0708925,,136.5,,68.05
29,0.07319,,137,,68.4
30,0.0760967,,137.333,,68.4
31,0.0790033,,137.667,,68.4
32,0.08191,,138,,68.4
33,0.084766,,138.2,,68.24
34,0.087622,,138.4,,68.08
35,0.090478,,138.6,,67.92
36,0.093334,,138.8,,67.76
37,0.09619,,139,,67.6
38,0.0993775,,139.25,,67.55
39,0.102565,,139.5,,67.5
40,0.105753,,139.75,,67.45
41,0.10894,,140,,67.4
42,0.11153,,140,,67.3333
43,0.11412,,140,,67.2667
44,0.11671,,140,,67.2
45,0.11923,,140,,67.4
46,0.12182,,140.333,,67.7333
47,0.12441,,140.667,,68.0667
48,0.127,,141,,68.4
49,0.12993,,141.5,,68.3
50,0.13286,,142,,68.2
51,0.13579,,142.5,,68.1
52,0.13872,,143,,68
53,0.14165,,143.5,,67.9
54,0.14458,,144,,67.8
55,0.147299,,144.143,,67.7714
56,0.150017,,144.286,,67.7429
57,0.152736,,144.429,,67.7143
58,0.155454,,144.571,,67.6857
59,0.158173,,144.714,,67.6571
60,0.160891,,144.857,,67.6286
61,0.16361,,145,,67.6
62,0.167138,,145.333,,67.6
63,0.170667,,145.667,,67.6
64,0.174195,,146,,67.6
65,0.177723,,146.333,,67.6
66,0.181252,,146.667,,67.6
67,0.18478,,147,,67.6
68,0.18844,,147,,67.4
69,0.1921,,147,,67.2
70,0.195773,,147,,67.15
71,0.199445,,147,,67.1
72,0.203117,,147,,67.05
73,0.20679,,147,,67
74,0.209955,,147.5,,67
75,0.21312,,148,,67
76,0.216528,,148,,67.0667
77,0.219937,,148,,67.1333
78,0.223345,,148,,67.2
79,0.226753,,148,,67.2667
80,0.230162,,148,,67.3333
81,0.23357,,148,,67.4
82,0.237028,,148.167,,67.3667
83,0.240487,,148.333,,67.3333
84,0.243945,,148.5,,67.3
85,0.247403,,148.667,,67.2667
86,0.250862,,148.833,,67.2333
87,0.25432,,149,,67.2
88,0.257943,,149,,67.1333
89,0.261567,,149,,67.0667
90,0.26519,,149,,67
91,0.268813,,149,,66.9333
92,0.272437,,149,,66.8667
93,0.27606,,149,,66.8
94,0.27939,,149,,66.8
95,0.28279,,149,,66.9333
96,0.28619,,149,,67.0667
97,0.28959,,149,,67.2
98,0.29299,,149,,67.3333
99,0.29639,,149,,67.4667
100,0.29979,,149,,67.6
101,0.303287,,149.167,,67.5
102,0.306783,,149.333,,67.4
103,0.31028,,149.5,,67.3
104,0.313777,,149.667,,67.2
105,0.317273,,149.833,,67.1
106,0.32077,,150,,67
107,0.32423,,150,,67.2
108,0.327937,,150.167,,67.1333
109,0.331643,,150.333,,67.0667
110,0.33535,,150.5,,67
111,0.339057,,150.667,,66.9333
112,0.342763,,150.833,,66.8667
113,0.34647,,151,,66.8
114,0.34979,,151.143,,66.7714
115,0.35311,,151.286,,66.7429
