secs,km,power,hr,cad,alt
0,0,,72,,866
1,0.00253,,74,,866.4
2,0.00528,,80,,866.4
3,0.00808,,85,,866.6
4,0.01082,,92,,866.6
5,0.013575,,96.5,,866.5
6,0.01633,,101,,866.4
7,0.01905,,107,,866.4
8,0.02193,,112,,866.4
9,0.02484,,115,,866.2
10,0.02755,,120,,866
11,0.030375,,122.5,,865.8
12,0.0332,,125,,865.6
13,0.03617,,129,,865.8
14,0.03918,,131,,865.6
15,0.04219,,133,,865.4
16,0.04521,,136,,865.4
17,0.04798,,139,,865.2
18,0.05079,,142,,865.2
19,0.0534525,,143,,865.15
20,0.056115,,144,,865.1
21,0.0587775,,145,,865.05
22,0.06144,,146,,865
23,0.064115,,147.5,,864.9
24,0.06679,,149,,864.8
25,0.069525,,151,,864.8
26,0.07226,,153,,864.8
27,0.07514,,154.5,,864.7
28,0.07802,,156,,864.6
29,0.08094,,159,,864.6
30,0.0837,,164,,864.6
31,0.08679,,166,,864.5
32,0.08988,,168,,864.4
33,0.093375,,170,,864.3
34,0.09687,,172,,864.2
35,0.10034,,173,,864
36,0.103601,,172.714,,863.971
37,0.106863,,172.429,,863.943
38,0.110124,,172.143,,863.914
39,0.113386,,171.857,,863.886
40,0.116647,,171.571,,863.857
41,0.119909,,171.286,,863.829
42,0.12317,,171,,863.8
43,0.12618,,171.143,,863.714
44,0.12919,,171.286,,863.629
45,0.1322,,171.429,,863.543
46,0.13521,,171.571,,863.457
47,0.13822,,171.714,,863.371
48,0.14123,,171.857,,863.286
49,0.14424,,172,,863.2
50,0.147404,,172.2,,863.12
51,0.150568,,172.4,,863.04
52,0.153732,,172.6,,862.96
53,0.156896,,172.8,,862.88
54,0.16006,,173,,862.8
55,0.163089,,173.286,,862.743
56,0.166117,,173.571,,862.686
57,0.169146,,173.857,,862.629
58,0.172174,,174.143,,862.571
59,0.175203,,174.429,,862.514
60,0.178231,,174.714,,862.457
61,0.18126,,175,,862.4
62,0.184174,,175.286,,862.343
63,0.187089,,175.571,,862.286
64,0.190003,,175.857,,862.229
65,0.192917,,176.143,,862.171
66,0.195831,,176.429,,862.114
67,0.198746,,176.714,,862.057
68,0.20166,,177,,862
69,0.20455,,176.333,,861.933
70,0.20744,,175.667,,861.867
71,0.21033,,175,,861.8
72,0.213233,,174.857,,861.8
73,0.216136,,174.714,,861.8
74,0.219039,,174.571,,861.8
75,0.221941,,174.429,,861.8
76,0.224844,,174.286,,861.8
77,0.227747,,174.143,,861.8
78,0.23065,,174,,861.8
79,0.233755,,174.75,,861.75
80,0.23686,,175.5,,861.7
81,0.239965,,176.25,,861.65
82,0.24307,,177,,861.6
83,0.246021,,176.857,,861.6
84,0.248973,,176.714,,861.6
85,0.251924,,176.571,,861.6
86,0.254876,,176.429,,861.6
87,0.257827,,176.286,,861.6
88,0.260779,,176.143,,861.6
89,0.26373,,176,,861.6
90,0.26665,,175.857,,861.6
91,0.26957,,175.714,,861.6
92,0.27249,,175.571,,861.6
93,0.27541,,175.429,,861.6
94,0.27833,,175.286,,861.6
95,0.28125,,175.143,,861.6
96,0.28417,,175,,861.6
97,0.286991,,174.571,,861.6
98,0.289813,,174.143,,861.6
99,0.292634,,173.714,,861.6
100,0.295456,,173.286,,861.6
101,0.298277,,172.857,,861.6
102,0.301099,,172.429,,861.6
103,0.30392,,172,,861.6
104,0.306897,,171.5,,861.633
105,0.309873,,171,,861.667
106,0.31285,,170.5,,861.7
107,0.315827,,170,,861.733
108,0.318803,,169.5,,861.767
109,0.32178,,169,,861.8
110,0.324747,,169.143,,861.743
111,0.327714,,169.286,,861.686
112,0.330681,,169.429,,861.629
113,0.333649,,169.571,,861.571
114,0.336616,,169.714,,861.514
115,0.339583,,169.857,,861.457
116,0.34255,,170,,861.4
117,0.345374,,170.2,,861.28
118,0.348198,,170.4,,861.16
119,0.351022,,170.6,,861.04
120,0.353846,,170.8,,860.92
121,0.35667,,171,,860.8
122,0.359575,,171.5,,860.733
123,0.36248,,172,,860.667
124,0.365385,,172.5,,860.6
125,0.36829,,173,,860.533
126,0.371195,,173.5,,860.467
127,0.3741,,174,,860.4
128,0.37712,,174.143,,860.371
129,0.38014,,174.286,,860.343
130,0.38316,,174.429,,860.314
131,0.38618,,174.571,,860.286
132,0.3892,,174.714,,860.257
133,0.39222,,174.857,,860.229
134,0.39524,,175,,860.2
135,0.39822,,175.5,,860.1
136,0.4012,,176,,860
137,0.40418,,176.5,,859.9
138,0.40716,,177,,859.8
139,0.410151,,177,,859.771
140,0.413143,,177,,859.743
141,0.416134,,177,,859.714
142,0.419126,,177,,859.686
143,0.422117,,177,,859.657
144,0.425109,,177,,859.629
145,0.4281,,177,,859.6
146,0.430983,,177,,859.6
147,0.433866,,177,,859.6
148,0.436749,,177,,859.6
149,0.439631,,177,,859.6
150,0.442514,,177,,859.6
151,0.445397,,177,,859.6
152,0.44828,,177,,859.6
153,0.45086,,176.875,,859.6
154,0.45344,,176.75,,859.6
155,0.45602,,176.625,,859.6
156,0.4586,,176.5,,859.6
157,0.46118,,176.375,,859.6
158,0.46376,,176.25,,859.6
159,0.46634,,176.125,,859.6
160,0.46892,,176,,859.6
161,0.471587,,176.375,,859.675
162,0.474255,,176.75,,859.75
163,0.476922,,177.125,,859.825
164,0.47959,,177.5,,859.9
165,0.482258,,177.875,,859.975
166,0.484925,,178.25,,860.05
167,0.487592,,178.625,,860.125
168,0.49026,,179,,860.2
169,0.493061,,179.125,,860.175
170,0.495862,,179.25,,860.15
171,0.498664,,179.375,,860.125
172,0.501465,,179.5,,860.1
173,0.504266,,179.625,,860.075
174,0.507068,,179.75,,860.05
175,0.509869,,179.875,,860.025
176,0.51267,,180,,860
177,0.515634,,179.571,,860
178,0.518599,,179.143,,860
179,0.521563,,178.714,,860
180,0.524527,,178.286,,860
181,0.527491,,177.857,,860
182,0.530456,,177.429,,860
183,0.53342,,177,,860
184,0.536336,,177,,860.029
185,0.539251,,177,,860.057
186,0.542167,,177,,860.086
187,0.545083,,177,,860.114
188,0.547999,,177,,860.143
189,0.550914,,177,,860.171
190,0.55383,,177,,860.2
191,0.55708,,177.286,,860.286
192,0.56033,,177.571,,860.371
193,0.56358,,177.857,,860.457
194,0.56683,,178.143,,860.543
195,0.57008,,178.429,,860.629
196,0.57333,,178.714,,860.714
197,0.57658,,179,,860.8
198,0.5803,,179,,860.8
199,0.583506,,178.714,,860.857
200,0.586711,,178.429,,860.914
201,0.589917,,178.143,,860.971
202,0.593123,,177.857,,861.029
203,0.596329,,177.571,,861.086
204,0.599534,,177.286,,861.143
205,0.60274,,177,,861.2
206,0.605749,,177,,861.171
207,0.608757,,177,,861.143
208,0.611766,,177,,861.114
209,0.614774,,177,,861.086
210,0.617783,,177,,861.057
211,0.620791,,177,,861.029
212,0.6238,,177,,861
213,0.626739,,177,,860.943
214,0.629677,,177,,860.886
215,0.632616,,177,,860.829
216,0.635554,,177,,860.771
217,0.638493,,177,,860.714
218,0.641431,,177,,860.657
219,0.64437,,177,,860.6
220,0.647267,,177,,860.514
221,0.650164,,177,,860.429
222,0.653061,,177,,860.343
223,0.655959,,177,,860.257
224,0.658856,,177,,860.171
225,0.661753,,177,,860.086
226,0.66465,,177,,860
227,0.6674,,177,,859.95
228,0.67015,,177,,859.9
229,0.6729,,177,,859.85
230,0.67565,,177,,859.8
231,0.67857,,176.714,,859.714
232,0.68149,,176.429,,859.629
233,0.68441,,176.143,,859.543
234,0.68733,,175.857,,859.457
235,0.69025,,175.571,,859.371
236,0.69317,,175.286,,859.286
237,0.69609,,175,,859.2
238,0.69897,,174.2,,859.16
239,0.70185,,173.4,,859.12
