secs,km,power,hr,cad,alt
0,0,,78,,0
1,0.00089,,80,,0
2,0.00223,,81,,0
3,0.00405,,83,,0
4,0.00633,,84,,0
5,0.00908,,84,,0
6,0.01195,,86,,1
7,0.01476,,87,,1
8,0.01757,,88,,1
9,0.02038,,90,,1
10,0.02314,,91,,1
11,0.026,,92,,1
12,0.02886,,93,,1
13,0.03164,,94,,1
14,0.03461,,95,,1
15,0.03747,,96,,1
16,0.04038,,96,,1
17,0.04337,,98,,1
18,0.04632,,98,,1
19,0.04928,,102,,1
20,0.05222,,101,,1
21,0.0551,,102,,1
22,0.05814,,103,,1
23,0.06124,,104,,1
24,0.06434,,104,,1
25,0.06753,,105,,1
26,0.07092,,106,,1
27,0.07429,,107,,1
28,0.07771,,109,,1
29,0.08105,,110,,1
30,0.08442,,110,,1
31,0.08783,,112,,1
32,0.09118,,112,,1
33,0.09451,,113,,1
34,0.09783,,114,,1
35,0.10103,,115,,1
36,0.10437,,116,,1
37,0.10772,,118,,1
38,0.11119,,118,,1
39,0.11461,,119,,1
40,0.11803,,119,,1
41,0.12154,,120,,1
42,0.125,,121,,1
43,0.12842,,121,,1
44,0.13188,,122,,1
45,0.13527,,122,,1
46,0.13876,,123,,1
47,0.14213,,123,,1
48,0.1455,,123,,1
49,0.1489,,124,,1
50,0.15234,,124,,1
51,0.15575,,125,,1
52,0.15898,,125,,1
53,0.16231,,126,,1
54,0.16558,,126,,1
55,0.16897,,127,,1
56,0.17223,,127,,1
57,0.17559,,127,,1
58,0.17899,,128,,1
59,0.1824,,128,,1
60,0.18582,,129,,1
61,0.18926,,129,,1
62,0.19265,,130,,1
63,0.19599,,130,,1
64,0.19936,,130,,1
65,0.20264,,130,,1
66,0.20585,,131,,1
67,0.20923,,131,,1
68,0.2125,,131,,1
69,0.21569,,132,,1
70,0.21902,,132,,1
71,0.22231,,132,,1
72,0.22551,,133,,1
73,0.22879,,133,,1
74,0.23201,,133,,1
75,0.23534,,134,,1
76,0.23858,,134,,1
77,0.24176,,134,,1
78,0.24498,,134,,1
79,0.24819,,134,,1
80,0.25136,,134,,1
81,0.25451,,134,,1
82,0.25772,,134,,1
83,0.26097,,134,,1
84,0.26424,,135,,1
85,0.26754,,135,,1
86,0.27082,,135,,1
87,0.27406,,135,,1
88,0.27718,,135,,1
89,0.28042,,135,,1
90,0.28359,,135,,1
91,0.28686,,135,,1
92,0.29009,,135,,1
93,0.29348,,135,,1
94,0.29687,,135,,1
95,0.30017,,135,,1
96,0.30354,,135,,1
97,0.30685,,135,,1
98,0.31011,,135,,1
99,0.31338,,135,,1
100,0.31671,,136,,1
101,0.31996,,136,,1
102,0.32334,,136,,1
103,0.32666,,136,,1
104,0.33005,,136,,1
105,0.33344,,136,,1
106,0.33682,,136,,1
107,0.34011,,135,,1
108,0.3435,,136,,1
109,0.34682,,135,,1
110,0.3502,,136,,1
111,0.35371,,135,,1
112,0.35727,,135,,1
113,0.36075,,135,,1
114,0.36434,,135,,1
115,0.36789,,135,,1
116,0.37142,,135,,1
117,0.37495,,136,,1
118,0.37851,,135,,1
119,0.38189,,136,,1
120,0.38542,,135,,1
121,0.38894,,135,,1
122,0.39232,,135,,1
123,0.39567,,135,,1
124,0.39907,,135,,1
125,0.40249,,135,,1
126,0.40594,,134,,1
127,0.40937,,134,,1
128,0.41285,,135,,1
129,0.4163,,134,,1
130,0.41975,,134,,1
131,0.42333,,134,,1
132,0.42674,,134,,1
133,0.43026,,134,,1
134,0.43376,,134,,1
135,0.4372,,134,,1
136,0.44061,,134,,1
137,0.44399,,133,,1
138,0.44741,,133,,1
139,0.4508,,133,,1
140,0.45416,,133,,1
141,0.4575,,133,,1
142,0.46088,,133,,1
143,0.46436,,134,,1
144,0.46777,,134,,1
145,0.47116,,133,,1
146,0.47469,,134,,1
147,0.47825,,134,,1
148,0.48169,,134,,1
149,0.48514,,134,,1
150,0.48861,,134,,1
151,0.49213,,134,,1
152,0.49563,,134,,1
153,0.49914,,135,,1
154,0.50272,,135,,1
155,0.50622,,135,,1
156,0.5098,,135,,1
157,0.51332,,135,,1
158,0.51688,,135,,1
159,0.52052,,135,,1
160,0.52407,,135,,1
161,0.52771,,135,,1
162,0.53126,,135,,1
163,0.53481,,135,,1
164,0.53829,,135,,1
165,0.54161,,135,,1
166,0.54494,,135,,1
167,0.5482,,135,,1
168,0.55142,,135,,1
169,0.55468,,135,,1
170,0.55791,,135,,1
171,0.56118,,136,,1
172,0.56443,,135,,1
173,0.5678,,136,,1
174,0.5711,,136,,1
175,0.5744,,136,,1
176,0.57779,,137,,1
177,0.58112,,136,,1
178,0.58443,,137,,1
179,0.58784,,137,,1
180,0.59117,,137,,1
181,0.59453,,137,,1
182,0.59789,,137,,1
183,0.60124,,137,,1
184,0.60467,,137,,1
185,0.60804,,137,,1
186,0.61152,,137,,1
187,0.61495,,137,,1
188,0.61841,,137,,1
189,0.62181,,137,,1
190,0.62529,,137,,1
191,0.62878,,137,,1
192,0.6322,,136,,1
193,0.6355,,136,,1
194,0.63891,,136,,1
195,0.64212,,136,,1
196,0.64543,,135,,1
197,0.64869,,134,,1
198,0.65204,,133,,1
199,0.65531,,133,,1
200,0.65867,,133,,1
201,0.66206,,133,,1
202,0.66539,,133,,1
203,0.66871,,133,,1
204,0.67211,,133,,1
205,0.67551,,133,,1
206,0.67887,,132,,1
207,0.68224,,133,,1
208,0.68554,,133,,1
209,0.68885,,133,,1
210,0.69216,,133,,1
211,0.69549,,134,,1
212,0.6988,,134,,1
213,0.70212,,134,,1
214,0.70539,,134,,1
215,0.70872,,135,,1
216,0.71208,,135,,1
217,0.71545,,135,,1
218,0.71887,,136,,1
219,0.7223,,136,,1
220,0.72575,,136,,1
221,0.72908,,136,,1
222,0.73245,,137,,1
223,0.73581,,137,,1
224,0.73919,,137,,1
225,0.74252,,136,,1
226,0.74585,,137,,1
227,0.74921,,137,,1
228,0.75247,,137,,1
229,0.75584,,137,,1
230,0.75916,,137,,1
231,0.7625,,137,,1
232,0.76587,,137,,1
233,0.76936,,136,,1
234,0.77278,,137,,1
235,0.77609,,136,,1
236,0.77947,,136,,1
237,0.7828,,136,,1
238,0.78615,,136,,1
239,0.78947,,136,,1
240,0.79275,,136,,1
241,0.79617,,135,,1
242,0.79954,,135,,1
243,0.80282,,135,,1
244,0.80611,,135,,1
245,0.80944,,135,,1
246,0.81271,,135,,1
247,0.81611,,135,,1
248,0.81937,,135,,1
249,0.8227,,136,,1
250,0.82604,,136,,1
251,0.82938,,136,,1
252,0.83279,,136,,1
253,0.83625,,136,,1
254,0.83973,,136,,1
255,0.84321,,136,,1
256,0.84663,,136,,1
257,0.85017,,136,,1
258,0.85375,,136,,1
259,0.85721,,136,,1
260,0.86068,,136,,1
261,0.86428,,136,,1
262,0.86785,,136,,1
263,0.87145,,136,,1
264,0.87494,,135,,1
265,0.8785,,135,,1
266,0.88202,,135,,1
267,0.88564,,135,,1
268,0.88915,,135,,1
269,0.89272,,135,,1
270,0.89611,,135,,1
271,0.89961,,135,,1
272,0.90302,,134,,1
273,0.90652,,134,,1
274,0.90994,,134,,1
275,0.91336,,134,,1
276,0.91679,,134,,1
277,0.9204,,134,,1
278,0.92395,,135,,1
279,0.92759,,135,,1
280,0.93119,,135,,1
281,0.93473,,135,,1
282,0.93832,,135,,1
283,0.94179,,135,,1
284,0.94521,,135,,1
285,0.94869,,135,,1
286,0.95203,,135,,1
287,0.9555,,135,,1
288,0.95895,,136,,1
289,0.96229,,136,,1
290,0.96573,,136,,1
291,0.96915,,136,,1
292,0.97257,,136,,1
293,0.9759,,137,,1
294,0.97922,,137,,1
295,0.98259,,137,,1
296,0.98596,,137,,1
297,0.98934,,138,,1
298,0.99262,,137,,1
299,0.99592,,138,,1
