secs,km,power,hr,cad,alt
0,0,,125,,39.2
1,0.00381,,127,,39.2
2,0.00763,,125,,39.2
3,0.01145,,125,,39.2
4,0.01496,,125,,39.2
5,0.01839,,126,,39.2
6,0.02164,,126,,39.2
7,0.02487,,126,,39.4
8,0.02818,,126,,39.4
9,0.03172,,127,,39.4
10,0.03492,,127,,39.4
11,0.03809,,127,,39.4
12,0.04133,,128,,39.4
13,0.04454,,128,,39.2
14,0.04773,,128,,39.2
15,0.0511,,128,,39
16,0.0541,,128,,38.8
17,0.0575,,129,,38.4
18,0.06071,,129,,38.2
19,0.06408,,130,,38.2
20,0.0678,,130,,38.4
21,0.07161,,130,,38.4
22,0.07544,,130,,38.2
23,0.07909,,131,,38.4
24,0.08257,,131,,38.2
25,0.08603,,131,,38.2
26,0.08946,,131,,38.2
27,0.09283,,131,,38.2
28,0.09633,,131,,38
29,0.09995,,131,,38
30,0.10367,,132,,38.2
31,0.10728,,132,,38
32,0.11102,,132,,37.8
33,0.11441,,132,,37.6
34,0.11789,,132,,37.8
35,0.12145,,132,,38
36,0.12476,,132,,38.2
37,0.12853,,132,,38.2
38,0.13183,,131,,37.8
39,0.13462,,131,,37.8
40,0.13768,,131,,37.8
41,0.14097,,131,,37.8
42,0.14465,,131,,38
43,0.14838,,131,,37.8
44,0.15218,,131,,38
45,0.15541,,131,,37.8
46,0.15869,,130,,37.6
47,0.16214,,132,,37.2
48,0.16572,,131,,37
49,0.16921,,132,,37.2
50,0.17257,,132,,37.2
51,0.17619,,132,,37.8
52,0.17955,,132,,38
53,0.18324,,132,,38
54,0.18665,,132,,38
55,0.18954,,132,,37.8
56,0.19287,,132,,37.8
57,0.19632,,132,,37.8
58,0.19993,,132,,37.8
59,0.20308,,132,,38
60,0.20663,,133,,37.8
61,0.21003,,133,,37.6
62,0.21336,,133,,37.8
63,0.21668,,134,,37.8
64,0.21977,,134,,37.8
65,0.223,,135,,37.8
66,0.2264,,135,,37.6
67,0.22975,,135,,37.4
68,0.23297,,135,,37.4
69,0.23667,,135,,37.4
70,0.24036,,135,,37.2
71,0.2438,,135,,37.2
72,0.24741,,135,,37.6
73,0.25099,,135,,37.6
74,0.25465,,135,,37.6
75,0.25811,,135,,37.6
76,0.26169,,135,,37.6
77,0.26529,,135,,37.4
78,0.26881,,135,,37.4
79,0.27243,,134,,37.8
80,0.27607,,135,,38
81,0.27939,,135,,37.8
82,0.28255,,135,,37.6
83,0.28606,,135,,37.4
84,0.28937,,135,,37.2
85,0.29308,,135,,37.2
86,0.2964,,135,,37.2
87,0.29946,,135,,37.4
88,0.30278,,135,,37.2
89,0.30614,,135,,37.4
90,0.30988,,135,,37.6
91,0.31309,,135,,37.4
92,0.31657,,134,,37.4
93,0.3197,,134,,37.6
94,0.32267,,134,,37.8
95,0.32614,,133,,37.8
96,0.32935,,134,,37.8
97,0.333,,134,,37.8
98,0.33625,,133,,38
99,0.33935,,134,,38
100,0.34255,,133,,38
101,0.34577,,134,,38
102,0.34956,,134,,38
103,0.3529,,134,,38
104,0.35666,,135,,38
105,0.36002,,134,,38
106,0.36344,,135,,38
107,0.36658,,135,,38
108,0.36963,,134,,38.2
109,0.37321,,135,,38
110,0.37655,,135,,38.2
111,0.37993,,135,,38.2
112,0.3833,,136,,38.2
113,0.38669,,136,,38.4
114,0.39032,,137,,38.4
115,0.39385,,137,,38.4
116,0.3976,,137,,38.6
117,0.40122,,137,,38.6
118,0.40484,,137,,39
119,0.40852,,137,,38.6
120,0.4124,,137,,38.8
121,0.41606,,137,,38.8
122,0.41958,,137,,38.6
123,0.42313,,137,,38.6
124,0.42662,,137,,38.6
125,0.42972,,137,,38.6
126,0.43298,,137,,38.6
127,0.43642,,137,,38.6
128,0.43977,,137,,38.6
129,0.44351,,137,,38.6
130,0.44697,,136,,38.8
131,0.4505,,135,,38.8
132,0.45381,,134,,38.8
133,0.45697,,134,,38.8
134,0.46044,,134,,38.8
135,0.46395,,134,,38.8
136,0.46775,,134,,38.8
137,0.47146,,134,,38.8
138,0.47502,,135,,38.8
139,0.47818,,134,,38.8
140,0.48107,,135,,38.8
141,0.48416,,135,,38.6
142,0.48725,,135,,38.6
143,0.49082,,135,,38.6
144,0.49409,,135,,38.8
145,0.49762,,135,,39
146,0.5007,,135,,39.2
147,0.50393,,135,,39.4
148,0.50726,,135,,39.6
149,0.5106,,135,,39.4
150,0.51414,,135,,39.2
151,0.51737,,135,,39.2
152,0.521,,135,,39.2
153,0.52463,,135,,39.2
154,0.52829,,135,,39
155,0.53155,,135,,39.2
156,0.53503,,134,,39.2
157,0.53831,,135,,39.2
158,0.54156,,135,,39.2
159,0.54501,,135,,39.2
160,0.54825,,135,,39.2
161,0.55178,,135,,39.4
162,0.55544,,135,,39.4
163,0.55916,,135,,39.4
164,0.56249,,135,,39.2
165,0.56581,,136,,39
166,0.56891,,136,,38.8
167,0.57245,,136,,39.2
168,0.57557,,136,,39.8
169,0.5786,,136,,39.6
170,0.58215,,136,,39.6
171,0.58534,,136,,39.6
172,0.58911,,136,,39.6
173,0.59265,,136,,39.8
174,0.59616,,136,,39.6
175,0.59958,,136,,39.6
176,0.60289,,136,,39.6
177,0.60654,,137,,39.6
178,0.61009,,137,,39.4
179,0.61387,,137,,39.4
180,0.61743,,137,,39.6
181,0.62113,,137,,39.8
182,0.62466,,137,,39.6
183,0.62826,,137,,39.6
184,0.63153,,136,,39.6
185,0.63466,,136,,39.6
186,0.63811,,136,,39.8
187,0.64157,,136,,39.6
188,0.64522,,136,,39.8
189,0.6487,,137,,39.8
190,0.65235,,137,,39.8
191,0.65591,,137,,40
192,0.65961,,137,,39.8
193,0.66336,,137,,39.8
194,0.66701,,137,,39.8
195,0.67064,,137,,40.2
196,0.67423,,138,,39.8
197,0.6779,,138,,39.6
198,0.68152,,138,,39.8
199,0.68515,,138,,39.8
200,0.68881,,138,,39.6
201,0.69236,,138,,39.6
202,0.69584,,138,,39.8
203,0.69951,,138,,39.8
204,0.70267,,138,,39.8
205,0.70613,,138,,39.8
206,0.70959,,138,,39.6
207,0.71302,,139,,39.6
208,0.71677,,139,,39.8
209,0.7203,,139,,39.6
210,0.72392,,139,,39.6
211,0.72759,,138,,40
212,0.73149,,138,,39.8
213,0.73544,,137,,40
