secs,km,power,hr,cad,alt
0,0,,70,,0
1,0.00242,,74,,0
2,0.00482,,79,,0
3,0.00734,,82,,0
4,0.00986,,82,,1
5,0.01238,,87,,1
6,0.0149,,87,,1
7,0.01743,,92,,1
8,0.01993,,92,,1
9,0.02239,,96,,1
10,0.02497,,96,,1
11,0.0275,,100,,1
12,0.02999,,101,,1
13,0.0325,,101,,1
14,0.03503,,101,,1
15,0.03758,,101,,1
16,0.04017,,101,,1
17,0.04266,,101,,1
18,0.04519,,102,,1
19,0.04772,,103,,1
20,0.0502,,103,,1
21,0.05269,,105,,1
22,0.05514,,106,,1
23,0.05763,,106,,1
24,0.06006,,107,,1
25,0.06257,,109,,1
26,0.06515,,110,,1
27,0.0677,,112,,1
28,0.07028,,113,,1
29,0.07283,,114,,1
30,0.07541,,115,,1
31,0.07794,,116,,1
32,0.08044,,116,,1
33,0.08294,,117,,1
34,0.08541,,118,,1
35,0.08794,,118,,1
36,0.09051,,119,,1
37,0.09304,,119,,1
38,0.09551,,120,,1
39,0.09797,,120,,1
40,0.10047,,121,,1
41,0.10304,,121,,1
42,0.10558,,122,,1
43,0.10812,,122,,1
44,0.11059,,123,,1
45,0.11307,,123,,1
46,0.11558,,123,,1
47,0.11806,,124,,1
48,0.12057,,124,,1
49,0.12305,,124,,1
50,0.12554,,125,,1
51,0.12798,,125,,1
52,0.13048,,125,,1
53,0.13299,,125,,1
54,0.1355,,126,,1
55,0.138,,125,,1
56,0.14059,,124,,1
57,0.14315,,123,,1
58,0.14572,,122,,1
59,0.14824,,120,,1
60,0.15076,,120,,1
61,0.15329,,116,,1
62,0.1558,,116,,1
63,0.15834,,115,,1
64,0.1609,,115,,1
65,0.16343,,115,,1
66,0.16593,,115,,1
67,0.16841,,115,,1
68,0.17087,,115,,1
69,0.17337,,115,,1
70,0.17588,,116,,1
71,0.17845,,116,,1
72,0.18098,,116,,1
73,0.1835,,116,,1
74,0.18601,,116,,1
75,0.18847,,116,,1
76,0.19094,,116,,1
77,0.19341,,116,,1
78,0.19591,,116,,1
79,0.19844,,116,,1
80,0.20098,,116,,1
81,0.20349,,116,,1
82,0.20602,,117,,1
83,0.20856,,117,,1
84,0.21108,,117,,1
85,0.21358,,117,,1
86,0.2161,,117,,1
87,0.21859,,117,,1
88,0.22103,,117,,1
89,0.22342,,118,,1
90,0.22585,,118,,1
91,0.22834,,118,,1
92,0.23082,,118,,1
93,0.23344,,118,,1
94,0.23594,,118,,1
95,0.23835,,118,,1
96,0.2409,,118,,1
97,0.24335,,118,,1
98,0.24588,,118,,1
99,0.24834,,119,,1
100,0.25085,,119,,1
101,0.2533,,119,,1
102,0.2558,,119,,1
103,0.25827,,119,,1
104,0.26071,,119,,1
105,0.26321,,119,,1
106,0.26567,,120,,1
107,0.2682,,121,,1
108,0.27076,,122,,1
109,0.2733,,122,,1
110,0.27585,,122,,1
111,0.27842,,122,,1
112,0.28091,,122,,1
113,0.28349,,122,,1
114,0.28602,,121,,1
115,0.2885,,121,,1
116,0.29106,,121,,1
117,0.2936,,121,,1
118,0.29614,,121,,1
119,0.29863,,122,,1
120,0.30111,,122,,1
121,0.3036,,121,,1
122,0.30606,,121,,1
123,0.30854,,121,,1
124,0.31101,,121,,1
125,0.3135,,121,,1
126,0.31599,,121,,1
127,0.31848,,121,,1
128,0.32097,,123,,1
129,0.32344,,123,,1
130,0.32587,,123,,1
131,0.32833,,123,,1
132,0.33076,,123,,1
133,0.33321,,124,,1
134,0.33567,,124,,1
135,0.33816,,124,,1
136,0.34065,,124,,1
137,0.3432,,125,,1
138,0.34574,,124,,1
139,0.34827,,124,,1
140,0.35084,,125,,1
141,0.35333,,124,,1
142,0.35585,,124,,1
143,0.35833,,124,,1
144,0.36078,,124,,1
145,0.36327,,124,,1
146,0.36572,,124,,1
147,0.36824,,123,,1
148,0.37071,,123,,1
149,0.37316,,124,,1
150,0.37566,,124,,1
151,0.37819,,124,,1
152,0.38069,,124,,1
153,0.38317,,124,,1
154,0.38569,,125,,1
155,0.38817,,124,,1
156,0.39064,,124,,1
157,0.39309,,123,,1
158,0.39559,,123,,1
159,0.39807,,123,,1
160,0.40057,,122,,1
161,0.40307,,122,,1
162,0.40554,,122,,1
163,0.40806,,122,,1
164,0.41053,,122,,1
165,0.41305,,122,,1
166,0.41549,,122,,1
167,0.41795,,122,,1
168,0.42044,,122,,1
169,0.42292,,122,,1
170,0.42538,,123,,1
171,0.4279,,123,,1
172,0.43035,,123,,1
173,0.43285,,123,,1
174,0.43531,,123,,1
175,0.43773,,123,,1
176,0.44019,,123,,1
177,0.44264,,124,,1
178,0.44515,,124,,1
179,0.44763,,124,,1
180,0.45015,,124,,1
181,0.45264,,124,,1
182,0.45518,,123,,1
183,0.45765,,123,,1
184,0.46017,,123,,1
185,0.46262,,123,,1
186,0.46513,,124,,1
187,0.46759,,124,,1
188,0.47007,,124,,1
189,0.47256,,123,,1
190,0.47506,,123,,1
191,0.47759,,123,,1
192,0.48006,,122,,1
193,0.48254,,122,,1
194,0.48504,,122,,1
195,0.48756,,122,,1
196,0.49008,,122,,1
197,0.4926,,122,,1
198,0.49514,,122,,1
199,0.49758,,123,,1
200,0.50003,,124,,1
201,0.50256,,124,,1
202,0.50498,,125,,1
203,0.5075,,125,,1
204,0.51003,,125,,1
205,0.5125,,124,,1
206,0.51501,,124,,1
207,0.51744,,124,,1
208,0.51989,,124,,1
209,0.52236,,125,,1
210,0.52481,,125,,1
211,0.52734,,125,,1
212,0.52985,,125,,1
213,0.53233,,126,,1
214,0.53494,,126,,1
215,0.53737,,127,,1
216,0.53993,,127,,1
217,0.54246,,127,,1
218,0.54498,,127,,1
219,0.54749,,127,,1
220,0.54998,,127,,1
221,0.55245,,127,,1
222,0.55495,,127,,1
223,0.55742,,127,,1
224,0.55994,,127,,1
225,0.56251,,127,,1
226,0.56497,,127,,1
227,0.56748,,127,,1
228,0.56998,,127,,1
229,0.57241,,127,,1
230,0.57494,,127,,1
231,0.5774,,126,,1
232,0.57988,,126,,1
233,0.58235,,126,,1
234,0.5848,,126,,1
235,0.58726,,127,,1
236,0.58969,,127,,1
237,0.59217,,127,,1
238,0.59469,,126,,1
239,0.59719,,126,,1
240,0.59969,,126,,1
241,0.60217,,125,,1
242,0.60466,,125,,1
243,0.60714,,126,,1
244,0.60966,,126,,1
245,0.6122,,126,,1
246,0.61469,,127,,1
247,0.61713,,128,,1
248,0.6196,,128,,1
249,0.62209,,129,,1
250,0.62455,,129,,1
251,0.62702,,129,,1
252,0.62949,,129,,1
253,0.63198,,129,,1
254,0.63448,,129,,1
255,0.63699,,129,,1
256,0.63951,,129,,1
257,0.64202,,129,,1
258,0.6445,,129,,1
259,0.64692,,129,,1
260,0.64941,,129,,1
261,0.6519,,129,,1
262,0.65438,,128,,1
263,0.65688,,128,,1
264,0.65938,,128,,1
265,0.66185,,128,,1
266,0.66432,,127,,1
267,0.66679,,127,,1
268,0.66929,,127,,1
269,0.67179,,127,,1
270,0.67437,,127,,1
271,0.67687,,127,,1
272,0.67929,,127,,1
273,0.68184,,127,,1
274,0.68431,,128,,1
275,0.68678,,128,,1
276,0.68923,,128,,1
277,0.69172,,129,,1
278,0.69421,,129,,1
279,0.69672,,129,,1
280,0.69922,,129,,1
281,0.70173,,129,,1
282,0.70423,,129,,1
283,0.70679,,129,,1
284,0.7093,,129,,1
285,0.71189,,129,,1
286,0.71443,,129,,1
287,0.71699,,130,,1
288,0.71955,,130,,1
289,0.72208,,130,,1
290,0.72459,,131,,1
291,0.72711,,131,,1
292,0.72964,,131,,1
293,0.73218,,131,,1
294,0.73466,,131,,1
295,0.73719,,130,,1
296,0.7398,,130,,1
297,0.74223,,130,,1
298,0.74476,,129,,1
299,0.7473,,129,,1
300,0.74982,,129,,1
301,0.75231,,128,,1
302,0.7549,,128,,1
303,0.75735,,129,,1
304,0.75992,,129,,1
305,0.7624,,129,,1
306,0.76492,,129,,1
307,0.76743,,129,,1
308,0.76991,,129,,1
309,0.77239,,128,,1
310,0.7749,,128,,1
311,0.77739,,128,,1
312,0.77994,,128,,1
313,0.78244,,128,,1
314,0.78498,,129,,1
315,0.78749,,129,,1
316,0.79001,,130,,1
317,0.79255,,130,,1
318,0.79508,,130,,1
319,0.79758,,129,,1
320,0.80008,,129,,1
321,0.80258,,129,,1
322,0.80504,,129,,1
323,0.80754,,129,,1
324,0.81006,,129,,1
325,0.81252,,129,,1
326,0.81505,,129,,1
327,0.81752,,130,,1
328,0.82004,,131,,1
329,0.82255,,131,,1
330,0.82503,,132,,1
331,0.82757,,132,,1
332,0.83007,,132,,1
333,0.83257,,132,,1
334,0.83506,,132,,1
335,0.83754,,131,,1
336,0.84007,,131,,1
337,0.84258,,130,,1
338,0.84507,,130,,1
339,0.8476,,129,,1
340,0.85011,,129,,1
341,0.85264,,129,,1
342,0.85514,,129,,1
343,0.85763,,129,,1
344,0.86011,,129,,1
345,0.86261,,129,,1
346,0.86519,,129,,1
347,0.8676,,130,,1
348,0.87008,,130,,1
349,0.87256,,130,,1
350,0.87507,,130,,1
351,0.87755,,130,,1
352,0.88013,,130,,1
353,0.88256,,129,,1
354,0.88508,,129,,1
355,0.88765,,129,,1
356,0.89021,,130,,1
357,0.89279,,130,,1
358,0.8954,,130,,1
359,0.89787,,129,,1
360,0.90033,,129,,1
361,0.90281,,129,,1
362,0.90531,,129,,1
363,0.90784,,129,,1
364,0.91032,,130,,1
365,0.91278,,130,,1
366,0.91531,,130,,1
367,0.91778,,131,,1
368,0.92031,,131,,1
369,0.92278,,131,,1
370,0.92531,,131,,1
371,0.92783,,132,,1
372,0.93034,,132,,1
373,0.93287,,132,,1
374,0.93538,,132,,1
375,0.9379,,132,,1
376,0.94041,,132,,1
377,0.94295,,132,,1
378,0.94549,,133,,1
379,0.94801,,133,,1
380,0.9505,,133,,1
381,0.953,,133,,1
382,0.95551,,133,,1
383,0.95803,,133,,1
384,0.96053,,132,,1
385,0.96308,,132,,1
386,0.96565,,132,,1
387,0.96822,,131,,1
388,0.97077,,131,,1
389,0.97328,,131,,1
390,0.9758,,131,,1
391,0.97832,,131,,1
392,0.98085,,131,,1
393,0.98338,,130,,1
394,0.9859,,130,,1
395,0.98842,,130,,1
396,0.99093,,130,,1
397,0.99347,,130,,1
398,0.99598,,130,,1
399,0.99849,,130,,1
400,1.00102,,130,,1
401,1.00354,,130,,1
402,1.00604,,130,,1
403,1.00851,,130,,1
404,1.011,,130,,1
405,1.01352,,130,,1
406,1.01604,,130,,1
407,1.01856,,130,,1
408,1.02108,,130,,1
409,1.02362,,130,,1
410,1.02615,,130,,1
411,1.02868,,130,,1
412,1.03119,,131,,1
413,1.03369,,131,,1
414,1.0362,,132,,1
415,1.03873,,132,,1
416,1.04125,,132,,1
417,1.0438,,131,,1
418,1.04634,,131,,1
