secs,km,power,hr,cad,alt
0,0,,88,,0
1,0.001475,,89.5,,0
2,0.00295,,91,,0
3,0.00441,,94,,-35.2
4,0.00588,,97,,-2.8
5,0.006645,,99,,-1.3
6,0.00741,,101,,0.2
7,0.00851,,105,,5.4
8,0.010605,,107,,10.7
9,0.0127,,109,,16
10,0.017855,,110.5,,16.4
11,0.02301,,112,,16.8
12,0.02301,,114,,9.4
13,0.0258333,,115.333,,10.2
14,0.0286567,,116.667,,11
15,0.03148,,118,,11.8
16,0.03556,,119,,13.4667
17,0.03964,,120,,15.1333
18,0.04372,,121,,16.8
19,0.0489067,,122,,17.9333
20,0.0540933,,123,,19.0667
21,0.05928,,124,,20.2
22,0.062425,,124.75,,19.25
23,0.06557,,125.5,,18.3
24,0.068715,,126.25,,17.35
25,0.07186,,127,,16.4
26,0.0754771,,127.143,,20.2
27,0.0790943,,127.286,,24
28,0.0827114,,127.429,,27.8
29,0.0863286,,127.571,,31.6
30,0.0899457,,127.714,,35.4
31,0.0935629,,127.857,,39.2
32,0.09718,,128,,43
33,0.098855,,128.25,,42.5
34,0.10053,,128.5,,42
35,0.102205,,128.75,,41.5
36,0.10388,,129,,41
37,0.10608,,129,,40.6
38,0.10787,,129.5,,40.1
39,0.10966,,130,,39.6
40,0.110823,,130.25,,38.8
41,0.111985,,130.5,,38
42,0.113148,,130.75,,37.2
43,0.11431,,131,,36.4
44,0.116042,,131.167,,35.8333
45,0.117773,,131.333,,35.2667
46,0.119505,,131.5,,34.7
47,0.121237,,131.667,,34.1333
48,0.122968,,131.833,,33.5667
49,0.1247,,132,,33
50,0.127309,,132,,32.5
51,0.129917,,132,,32
52,0.132526,,132,,31.5
53,0.135135,,132,,31
54,0.137744,,132,,30.5
55,0.140352,,132,,30
56,0.142961,,132,,29.5
57,0.14557,,132,,29
58,0.148282,,132.125,,28.6
59,0.150995,,132.25,,28.2
60,0.153707,,132.375,,27.8
61,0.15642,,132.5,,27.4
62,0.159132,,132.625,,27
63,0.161845,,132.75,,26.6
64,0.164557,,132.875,,26.2
65,0.16727,,133,,25.8
66,0.170407,,133.5,,25.4667
67,0.173543,,134,,25.1333
68,0.17668,,134.5,,24.8
69,0.179817,,135,,24.4667
70,0.182953,,135.5,,24.1333
71,0.18609,,136,,23.8
72,0.189003,,136,,22.8857
73,0.191916,,136,,21.9714
74,0.194829,,136,,21.0571
75,0.197741,,136,,20.1429
76,0.200654,,136,,19.2286
77,0.203567,,136,,18.3143
78,0.20648,,136,,17.4
79,0.20924,,136,,17
80,0.212,,136,,16.6
81,0.214229,,136.25,,16.2
82,0.216457,,136.5,,15.8
83,0.218686,,136.75,,15.4
84,0.220915,,137,,15
85,0.223144,,137.25,,14.6
86,0.225372,,137.5,,14.2
87,0.227601,,137.75,,13.8
88,0.22983,,138,,13.4
89,0.232005,,138,,13.4
90,0.23418,,138,,13.4
91,0.236603,,138.167,,13.4
92,0.239027,,138.333,,13.4
93,0.24145,,138.5,,13.4
94,0.243873,,138.667,,13.4
95,0.246297,,138.833,,13.4
96,0.24872,,139,,13.4
97,0.251478,,138.875,,13.6
98,0.254235,,138.75,,13.8
99,0.256993,,138.625,,14
100,0.25975,,138.5,,14.2
101,0.262508,,138.375,,14.4
102,0.265265,,138.25,,14.6
103,0.268022,,138.125,,14.8
104,0.27078,,138,,15
105,0.273679,,138.143,,14.9714
106,0.276577,,138.286,,14.9429
107,0.279476,,138.429,,14.9143
108,0.282374,,138.571,,14.8857
109,0.285273,,138.714,,14.8571
110,0.288171,,138.857,,14.8286
111,0.29107,,139,,14.8
112,0.293815,,139.25,,14.85
113,0.29656,,139.5,,14.9
114,0.299305,,139.75,,14.95
115,0.30205,,140,,15
116,0.303504,,140.071,,15.2714
117,0.304957,,140.143,,15.5429
118,0.306411,,140.214,,15.8143
119,0.307864,,140.286,,16.0857
120,0.309318,,140.357,,16.3571
121,0.310771,,140.429,,16.6286
122,0.312225,,140.5,,16.9
123,0.313679,,140.571,,17.1714
124,0.315132,,140.643,,17.4429
125,0.316586,,140.714,,17.7143
126,0.318039,,140.786,,17.9857
127,0.319493,,140.857,,18.2571
128,0.320946,,140.929,,18.5286
129,0.3224,,141,,18.8
130,0.324912,,140.75,,19.025
131,0.327425,,140.5,,19.25
132,0.329938,,140.25,,19.475
133,0.33245,,140,,19.7
134,0.334962,,139.75,,19.925
135,0.337475,,139.5,,20.15
136,0.339988,,139.25,,20.375
137,0.3425,,139,,20.6
138,0.34592,,139,,20.5
139,0.34934,,139,,20.4
140,0.35276,,139,,20.3
141,0.35618,,139,,20.2
142,0.3596,,139,,20.1
143,0.36302,,139,,20
144,0.365339,,139.111,,20.0889
145,0.367658,,139.222,,20.1778
146,0.369977,,139.333,,20.2667
147,0.372296,,139.444,,20.3556
148,0.374614,,139.556,,20.4444
149,0.376933,,139.667,,20.5333
150,0.379252,,139.778,,20.6222
151,0.381571,,139.889,,20.7111
152,0.38389,,140,,20.8
153,0.38606,,140.1,,20.84
154,0.38823,,140.2,,20.88
155,0.3904,,140.3,,20.92
156,0.39257,,140.4,,20.96
157,0.39474,,140.5,,21
158,0.39691,,140.6,,21.04
159,0.39908,,140.7,,21.08
160,0.40125,,140.8,,21.12
161,0.40342,,140.9,,21.16
162,0.40559,,141,,21.2
163,0.408155,,141,,21.125
164,0.41072,,141,,21.05
165,0.413285,,141,,20.975
166,0.41585,,141,,20.9
167,0.418415,,141,,20.825
168,0.42098,,141,,20.75
169,0.423545,,141,,20.675
170,0.42611,,141,,20.6
171,0.429259,,141.143,,20.7714
172,0.432407,,141.286,,20.9429
173,0.435556,,141.429,,21.1143
174,0.438704,,141.571,,21.2857
175,0.441853,,141.714,,21.4571
176,0.445001,,141.857,,21.6286
177,0.44815,,142,,21.8
178,0.45048,,141.778,,21.4667
179,0.45281,,141.556,,21.1333
180,0.45514,,141.333,,20.8
181,0.45747,,141.111,,20.4667
182,0.4598,,140.889,,20.1333
183,0.46213,,140.667,,19.8
184,0.46446,,140.444,,19.4667
185,0.46679,,140.222,,19.1333
186,0.46912,,140,,18.8
187,0.472004,,140,,18.7714
188,0.474889,,140,,18.7429
189,0.477773,,140,,18.7143
190,0.480657,,140,,18.6857
191,0.483541,,140,,18.6571
192,0.486426,,140,,18.6286
193,0.48931,,140,,18.6
194,0.492183,,140,,18.85
195,0.495055,,140,,19.1
196,0.497927,,140,,19.35
197,0.5008,,140,,19.6
198,0.504232,,140,,19.5
199,0.507665,,140,,19.4
200,0.511097,,140,,19.3
201,0.51453,,140,,19.2
202,0.517527,,140.286,,19.3143
203,0.520524,,140.571,,19.4286
204,0.523521,,140.857,,19.5429
205,0.526519,,141.143,,19.6571
206,0.529516,,141.429,,19.7714
207,0.532513,,141.714,,19.8857
208,0.53551,,142,,20
209,0.538191,,142.125,,19.7
210,0.540872,,142.25,,19.4
211,0.543554,,142.375,,19.1
212,0.546235,,142.5,,18.8
213,0.548916,,142.625,,18.5
214,0.551597,,142.75,,18.2
215,0.554279,,142.875,,17.9
216,0.55696,,143,,17.6
217,0.559016,,143.3,,17.3
218,0.561072,,143.6,,17
219,0.563128,,143.9,,16.7
220,0.565184,,144.2,,16.4
221,0.56724,,144.5,,16.1
222,0.569296,,144.8,,15.8
223,0.571352,,145.1,,15.5
224,0.573408,,145.4,,15.2
225,0.575464,,145.7,,14.9
226,0.57752,,146,,14.6
227,0.580115,,146.125,,14.4
228,0.58271,,146.25,,14.2
229,0.585305,,146.375,,14
230,0.5879,,146.5,,13.8
231,0.590495,,146.625,,13.6
232,0.59309,,146.75,,13.4
233,0.595685,,146.875,,13.2
234,0.59828,,147,,13
235,0.601173,,147,,12.8
236,0.604066,,147,,12.6
237,0.606959,,147,,12.4
238,0.609851,,147,,12.2
239,0.612744,,147,,12
240,0.615637,,147,,11.8
241,0.61853,,147,,11.6
242,0.621036,,147,,11.625
