secs,km,power,hr,cad,alt
0,0,,81,,-1
1,0.00226,,80,,1.4
2,0.005586,,80,,1.4
3,0.008912,,80,,1.4
4,0.012238,,80,,1.4
5,0.015564,,80,,1.4
6,0.01889,,80,,1.4
7,0.022618,,80.6,,1.64
8,0.026346,,81.2,,1.88
9,0.030074,,81.8,,2.12
10,0.033802,,82.4,,2.36
11,0.03753,,83,,2.6
12,0.04104,,85,,2.7
13,0.04455,,87,,2.8
14,0.048065,,89,,2.7
15,0.05158,,91,,2.6
16,0.05505,,92.6667,,2.33333
17,0.05852,,94.3333,,2.06667
18,0.06199,,96,,1.8
19,0.064335,,98.5,,1.8
20,0.06668,,101,,1.8
21,0.06763,,101,,1.8
22,0.06763,,101.8,,1.88
23,0.06763,,102.6,,1.96
24,0.06763,,103.4,,2.04
25,0.06763,,104.2,,2.12
26,0.06763,,105,,2.2
27,0.0686267,,107.667,,2.4
28,0.0696233,,110.333,,2.6
29,0.07062,,113,,2.8
30,0.07217,,115,,3.4
31,0.07393,,116,,4
32,0.07549,,117,,4.6
33,0.077735,,117.75,,4.65
34,0.07998,,118.5,,4.7
35,0.082225,,119.25,,4.75
36,0.08447,,120,,4.8
37,0.0871,,120.5,,4.5
38,0.08973,,121,,4.2
39,0.0929425,,121.75,,4.15
40,0.096155,,122.5,,4.1
41,0.0993675,,123.25,,4.05
42,0.10258,,124,,4
43,0.10574,,124.5,,4
44,0.1089,,125,,4
45,0.111886,,125.6,,3.88
46,0.114872,,126.2,,3.76
47,0.117858,,126.8,,3.64
48,0.120844,,127.4,,3.52
49,0.12383,,128,,3.4
50,0.127124,,128,,3.56
51,0.130418,,128,,3.72
52,0.133712,,128,,3.88
53,0.137006,,128,,4.04
54,0.1403,,128,,4.2
55,0.144033,,128,,3.9
56,0.147765,,128,,3.6
57,0.151497,,128,,3.3
58,0.15523,,128,,3
59,0.15889,,128,,2.7
60,0.16255,,128,,2.4
61,0.16631,,128,,2.2
62,0.16955,,128,,1.8
63,0.17285,,128.5,,1.5
64,0.17615,,129,,1.2
65,0.17992,,128.833,,1.2
66,0.18369,,128.667,,1.2
67,0.18746,,128.5,,1.2
68,0.19123,,128.333,,1.2
69,0.195,,128.167,,1.2
70,0.19877,,128,,1.2
71,0.20245,,129,,1.2
72,0.20615,,128.667,,1.3
73,0.20985,,128.333,,1.4
74,0.21355,,128,,1.5
