secs,km,power,hr,cad,alt
0,0,,54,,0
1,0,,54,,0
2,0,,56,,0
3,0,,56,,0
4,0,,56,,0
5,0,,56,,0
6,0,,56,,0
7,0.00373,,56,,0
8,0.00763,,60,,0
9,0.01154,,76,,0
10,0.01548,,76,,0
11,0.01941,,76,,0
12,0.02334,,76,,0
13,0.02715,,76,,0
14,0.03097,,76,,0
15,0.03467,,76,,0
16,0.03818,,77,,0
17,0.04154,,77,,0
18,0.04476,,81,,0
19,0.04788,,81,,0
20,0.05091,,81,,0
21,0.05391,,81,,0
22,0.05692,,81,,0
23,0.05995,,81,,0
24,0.063,,81,,0
25,0.06608,,81,,0
26,0.06918,,85,,0
27,0.0723,,95,,0
28,0.07543,,100,,0
29,0.07857,,102,,0
30,0.08174,,102,,0
31,0.08492,,102,,0
32,0.08812,,105,,0
33,0.09134,,105,,0
34,0.09458,,105,,0
35,0.09783,,108,,0
36,0.10111,,111,,0
37,0.1044,,113,,0
38,0.10772,,113,,0
39,0.11103,,115,,0
40,0.11434,,115,,0
41,0.11767,,115,,0
42,0.12102,,115,,0
43,0.12437,,115,,0
44,0.12771,,116,,0
45,0.13105,,118,,0
46,0.13439,,119,,0
47,0.1377,,119,,0
48,0.14097,,120,,0
49,0.14424,,121,,0
50,0.1475,,121,,0
51,0.15079,,121,,0
52,0.15408,,121,,0
53,0.15737,,122,,0
54,0.16064,,122,,0
55,0.1639,,123,,0
56,0.16719,,123,,0
57,0.17047,,124,,0
58,0.17373,,124,,0
59,0.17697,,124,,0
60,0.18018,,125,,0
61,0.18337,,125,,0
62,0.18654,,125,,0
63,0.18971,,126,,0
64,0.19289,,129,,0
65,0.19608,,129,,0
66,0.19929,,129,,0
67,0.20252,,128,,0
68,0.20574,,129,,0
69,0.20895,,129,,0
70,0.21214,,129,,0
71,0.21529,,129,,0
72,0.21841,,129,,0
73,0.22152,,129,,0
74,0.22458,,129,,0
75,0.22761,,129,,0
76,0.23061,,129,,0
77,0.2335,,128,,0
78,0.23632,,128,,0
79,0.23913,,127,,0
80,0.24194,,127,,0
81,0.24476,,127,,0
82,0.24761,,127,,0
83,0.25047,,127,,0
84,0.25332,,126,,0
85,0.25618,,126,,0
86,0.25904,,126,,0
87,0.2619,,126,,0
88,0.26475,,125,,0
89,0.26761,,125,,0
90,0.27046,,125,,0
91,0.27332,,125,,0
92,0.27622,,125,,0
93,0.27912,,125,,218.6
94,0.28206,,125,,218.4
95,0.28206,,125,,218.4
96,0.28676,,125,,218.2
97,0.2904,,124,,218
98,0.29285,,123,,217.8
99,0.29513,,122,,217.8
100,0.29784,,122,,217.6
101,0.30043,,122,,217.6
102,0.30284,,121,,217.6
103,0.30525,,121,,217.4
104,0.30766,,121,,217.4
105,0.30991,,121,,217.4
106,0.31181,,121,,217.4
107,0.31401,,120,,217.2
108,0.31563,,120,,217.2
109,0.3177,,120,,217.2
110,0.32013,,120,,217
111,0.32238,,125,,216.8
112,0.32478,,129,,216.6
113,0.32737,,129,,216.4
114,0.3302,,129,,216.2
115,0.33317,,128,,216.2
116,0.33598,,127,,216
117,0.33939,,127,,215.8
118,0.34164,,127,,215.6
119,0.34271,,127,,215.6
120,0.34438,,127,,215.4
121,0.34588,,127,,215.4
122,0.3482,,126,,215.4
123,0.35071,,125,,215.4
124,0.35296,,125,,215.2
125,0.35518,,124,,215.2
126,0.3576,,123,,215.2
127,0.35999,,123,,215.2
128,0.36349,,123,,215.2
129,0.36631,,123,,215
130,0.36872,,123,,215
131,0.37096,,123,,215
132,0.37353,,123,,214.8
133,0.37764,,123,,214.8
134,0.38193,,123,,214.8
135,0.38637,,123,,214.8
