secs,km,power,hr,cad,alt
0,0,,125,,242.2
1,0,,126,,242.2
2,0.002405,,127.5,,242.3
3,0.00481,,129,,242.4
4,0.00771,,129,,242.6
5,0.01102,,128.333,,242.6
6,0.01433,,127.667,,242.6
7,0.01764,,127,,242.6
8,0.0215067,,126.667,,242.533
9,0.0253733,,126.333,,242.467
10,0.02924,,126,,242.4
11,0.0331067,,125.667,,242.333
12,0.0369733,,125.333,,242.267
13,0.04084,,125,,242.2
14,0.04328,,125,,242
15,0.04607,,125.667,,241.967
16,0.04886,,126.333,,241.933
17,0.05165,,127,,241.9
18,0.05444,,127.667,,241.867
19,0.05723,,128.333,,241.833
20,0.06002,,129,,241.8
21,0.06296,,127,,241.6
22,0.0661133,,126.667,,241.4
23,0.0692667,,126.333,,241.2
24,0.07242,,126,,241
25,0.07599,,125,,240.8
26,0.07938,,125.333,,240.733
27,0.08277,,125.667,,240.667
28,0.08616,,126,,240.6
29,0.08955,,126.333,,240.533
30,0.09294,,126.667,,240.467
31,0.09633,,127,,240.4
32,0.099955,,127.25,,240.3
33,0.10358,,127.5,,240.2
34,0.107205,,127.75,,240.1
35,0.11083,,128,,240
36,0.114153,,128,,240
37,0.117477,,128,,240
38,0.1208,,128,,240
39,0.124014,,127.8,,240.2
40,0.127228,,127.6,,240.4
41,0.130442,,127.4,,240.6
42,0.133656,,127.2,,240.8
43,0.13687,,127,,241
44,0.139906,,126.8,,241.04
45,0.142942,,126.6,,241.08
46,0.145978,,126.4,,241.12
47,0.149014,,126.2,,241.16
48,0.15205,,126,,241.2
49,0.15449,,129,,241.2
50,0.156973,,128,,241.133
51,0.159457,,127,,241.067
52,0.16194,,126,,241
53,0.16459,,126,,240.9
54,0.16724,,126,,240.8
55,0.169996,,126.4,,240.8
56,0.172752,,126.8,,240.8
57,0.175508,,127.2,,240.8
58,0.178264,,127.6,,240.8
59,0.18102,,128,,240.8
60,0.184112,,128,,240.933
61,0.187203,,128,,241.067
62,0.190295,,128,,241.2
63,0.193387,,128,,241.333
64,0.196478,,128,,241.467
65,0.19957,,128,,241.6
66,0.202674,,128,,241.64
67,0.205778,,128,,241.68
68,0.208882,,128,,241.72
69,0.211986,,128,,241.76
70,0.21509,,128,,241.8
71,0.21815,,129.5,,241.7
72,0.22121,,131,,241.6
73,0.224167,,130.333,,241.533
74,0.227123,,129.667,,241.467
75,0.23008,,129,,241.4
76,0.23312,,130,,241.467
77,0.23616,,131,,241.533
78,0.2392,,132,,241.6
79,0.24258,,133,,241.8
80,0.24588,,133,,242.2
81,0.24907,,133.667,,242.333
82,0.25226,,134.333,,242.467
83,0.25545,,135,,242.6
84,0.258725,,135.5,,242.5
85,0.262,,136,,242.4
86,0.265275,,136.5,,242.3
87,0.26855,,137,,242.2
88,0.271807,,137.75,,242.2
89,0.275065,,138.5,,242.2
90,0.278322,,139.25,,242.2
91,0.28158,,140,,242.2
92,0.28517,,141,,242.2
93,0.28876,,142,,242.2
94,0.29235,,143,,242.2
95,0.29612,,142,,242.2
96,0.299682,,141.6,,242.28
97,0.303244,,141.2,,242.36
98,0.306806,,140.8,,242.44
99,0.310368,,140.4,,242.52
100,0.31393,,140,,242.6
101,0.317425,,140.25,,242.7
102,0.32092,,140.5,,242.8
103,0.324415,,140.75,,242.9
104,0.32791,,141,,243
105,0.33104,,140,,243.067
106,0.33417,,139,,243.133
107,0.3373,,138,,243.2
108,0.34004,,138,,243.2
109,0.34291,,138,,243
110,0.34655,,138,,243.2
111,0.350367,,137.667,,243.2
112,0.354183,,137.333,,243.2
113,0.358,,137,,243.2
114,0.361887,,136.667,,243.233
115,0.365773,,136.333,,243.267
116,0.36966,,136,,243.3
117,0.373547,,135.667,,243.333
118,0.377433,,135.333,,243.367
119,0.38132,,135,,243.4
120,0.385068,,135.167,,243.367
121,0.388817,,135.333,,243.333
122,0.392565,,135.5,,243.3
123,0.396313,,135.667,,243.267
124,0.400062,,135.833,,243.233
125,0.40381,,136,,243.2
126,0.40746,,136,,243
127,0.410972,,136.167,,242.9
128,0.414483,,136.333,,242.8
129,0.417995,,136.5,,242.7
130,0.421507,,136.667,,242.6
131,0.425018,,136.833,,242.5
132,0.42853,,137,,242.4
133,0.432143,,137.167,,242.433
134,0.435757,,137.333,,242.467
135,0.43937,,137.5,,242.5
136,0.442983,,137.667,,242.533
137,0.446597,,137.833,,242.567
138,0.45021,,138,,242.6
139,0.453665,,137,,242.3
140,0.45712,,136,,242
141,0.460552,,136.2,,241.96
142,0.463984,,136.4,,241.92
143,0.467416,,136.6,,241.88
144,0.470848,,136.8,,241.84
145,0.47428,,137,,241.8
146,0.477405,,136.5,,242.5
147,0.48053,,136,,243.2
148,0.48353,,136,,241.8
149,0.48656,,136,,242.6
150,0.48959,,136,,243.4
151,0.49267,,137,,242
152,0.4953,,136.5,,242.2
153,0.49793,,136,,242.4
154,0.500815,,135.5,,242.2
155,0.5037,,135,,242
156,0.506945,,137,,241.9
157,0.51019,,139,,241.8
158,0.513175,,139.5,,241.8
159,0.51616,,140,,241.8
160,0.51996,,143,,241.6
161,0.52383,,146,,241.5
162,0.5277,,149,,241.4
163,0.53123,,148.5,,241.6
164,0.53476,,148,,241.8
165,0.538194,,148,,241.92
166,0.541628,,148,,242.04
167,0.545062,,148,,242.16
168,0.548496,,148,,242.28
169,0.55193,,148,,242.4
170,0.555418,,148,,242.36
171,0.558906,,148,,242.32
172,0.562394,,148,,242.28
173,0.565882,,148,,242.24
174,0.56937,,148,,242.2
175,0.572825,,147.25,,242.15
176,0.57628,,146.5,,242.1
177,0.579735,,145.75,,242.05
178,0.58319,,145,,242
179,0.586525,,145,,242.1
180,0.58986,,145,,242.2
181,0.593073,,144,,242.2
182,0.596287,,143,,242.2
183,0.5995,,142,,242.2
184,0.60294,,143,,242.2
185,0.60613,,141.5,,242.2
186,0.60932,,140,,242.2
187,0.61239,,142,,242
188,0.615375,,142.5,,242
189,0.61836,,143,,242
190,0.621257,,142.75,,242
191,0.624155,,142.5,,242
192,0.627053,,142.25,,242
193,0.62995,,142,,242
194,0.633105,,142,,242.1
195,0.63626,,142,,242.2
196,0.639415,,142,,242.3
197,0.64257,,142,,242.4
198,0.64575,,141.75,,242.6
199,0.64893,,141.5,,242.8
200,0.65211,,141.25,,243
201,0.65529,,141,,243.2
202,0.658465,,142.5,,243.3
203,0.66164,,144,,243.4
204,0.66548,,144,,243.2
205,0.66916,,144,,243.267
206,0.67284,,144,,243.333
207,0.67652,,144,,243.4
208,0.679547,,143.667,,243.467
209,0.682573,,143.333,,243.533
210,0.6856,,143,,243.6
