secs,km,power,hr,cad,alt
0,0,,94,,27
1,0.00175,,94,,26.6
2,0.0039,,99,,26.4
3,0.00622333,,100.333,,26.4
4,0.00854667,,101.667,,26.4
5,0.01087,,103,,26.4
6,0.0133322,,103,,26.5556
7,0.0157944,,103,,26.7111
8,0.0182567,,103,,26.8667
9,0.0207189,,103,,27.0222
10,0.0231811,,103,,27.1778
11,0.0256433,,103,,27.3333
12,0.0281056,,103,,27.4889
13,0.0305678,,103,,27.6444
14,0.03303,,103,,27.8
15,0.0354656,,103,,27.8444
16,0.0379011,,103,,27.8889
17,0.0403367,,103,,27.9333
18,0.0427722,,103,,27.9778
19,0.0452078,,103,,28.0222
20,0.0476433,,103,,28.0667
21,0.0500789,,103,,28.1111
22,0.0525144,,103,,28.1556
23,0.05495,,103,,28.2
24,0.057485,,103,,28.25
25,0.06002,,103,,28.3
26,0.062555,,103,,28.35
27,0.06509,,103,,28.4
28,0.067625,,103,,28.45
29,0.07016,,103,,28.5
30,0.072695,,103,,28.55
31,0.07523,,103,,28.6
32,0.0776322,,103,,28.6
33,0.0800344,,103,,28.6
34,0.0824367,,103,,28.6
35,0.0848389,,103,,28.6
36,0.0872411,,103,,28.6
37,0.0896433,,103,,28.6
38,0.0920456,,103,,28.6
39,0.0944478,,103,,28.6
40,0.09685,,103,,28.6
41,0.0993133,,103,,28.6
42,0.101777,,103,,28.6
43,0.10424,,103,,28.6
44,0.106703,,103,,28.6
45,0.109167,,103,,28.6
46,0.11163,,103,,28.6
47,0.114093,,103,,28.6
48,0.116557,,103,,28.6
49,0.11902,,103,,28.6
50,0.121427,,103,,28.7333
51,0.123833,,103,,28.8667
52,0.12624,,103,,29
53,0.128647,,103,,29.1333
54,0.131053,,103,,29.2667
55,0.13346,,103,,29.4
56,0.135867,,103,,29.5333
57,0.138273,,103,,29.6667
58,0.14068,,103,,29.8
59,0.142815,,103,,29.86
60,0.14495,,103,,29.92
61,0.147085,,103,,29.98
62,0.14922,,103,,30.04
63,0.151355,,103,,30.1
64,0.15349,,103,,30.16
65,0.155625,,103,,30.22
66,0.15776,,103,,30.28
67,0.159895,,103,,30.34
68,0.16203,,103,,30.4
69,0.162155,,103,,30.2727
70,0.162281,,103,,30.1455
71,0.162406,,103,,30.0182
72,0.162532,,103,,29.8909
73,0.162657,,103,,29.7636
74,0.162783,,103,,29.6364
75,0.162908,,103,,29.5091
76,0.163034,,103,,29.3818
77,0.163159,,103,,29.2545
78,0.163285,,103,,29.1273
79,0.16341,,103,,29
80,0.1649,,109,,28.8
81,0.167257,,109.667,,28.8
82,0.169613,,110.333,,28.8
83,0.17197,,111,,28.8
84,0.1752,,111,,28.8
85,0.17843,,111,,28.8
86,0.18166,,111,,28.8
87,0.18489,,111,,28.8
88,0.18812,,111,,28.8
89,0.19135,,111,,28.8
90,0.19458,,111,,28.8
91,0.197757,,111,,28.7429
92,0.200934,,111,,28.6857
93,0.204111,,111,,28.6286
94,0.207289,,111,,28.5714
