secs,km,power,hr,cad,alt
0,0,,74,,27
1,0.00136,,74,,27
2,0.00344,,74.6667,,27
3,0.00552,,75.3333,,27
4,0.0076,,76,,27
5,0.0109767,,77,,27
6,0.0143533,,78,,27
7,0.01773,,79,,27
8,0.02083,,81,,26.9
9,0.02393,,83,,26.8
10,0.02618,,84.5,,26.8
11,0.02843,,86,,26.8
12,0.032675,,88,,26.7
13,0.03692,,90,,26.6
14,0.04011,,91.5,,26.6
15,0.0433,,93,,26.6
16,0.04642,,94.5,,26.5
17,0.04954,,96,,26.4
18,0.05208,,97.5,,26.4
19,0.05462,,99,,26.4
20,0.05695,,101,,26.4
21,0.05928,,103,,26.4
22,0.06243,,104,,26.4
23,0.06558,,105,,26.4
24,0.06873,,106,,26.4
25,0.07236,,107,,26.4
26,0.0756767,,108,,26.4
27,0.0789933,,109,,26.4
28,0.08231,,110,,26.4
29,0.08546,,110,,26.4
30,0.08911,,111,,26.4
31,0.0925567,,112,,26.4
32,0.0960033,,113,,26.4
33,0.09945,,114,,26.4
34,0.102743,,115,,26.4
35,0.106037,,116,,26.4
36,0.10933,,117,,26.4
37,0.112563,,118,,26.4
38,0.115797,,119,,26.4
39,0.11903,,120,,26.4
40,0.12238,,120.75,,26.4
41,0.12573,,121.5,,26.4
42,0.12908,,122.25,,26.4
43,0.13243,,123,,26.4
44,0.135644,,123.4,,26.4
45,0.138858,,123.8,,26.4
46,0.142072,,124.2,,26.4
47,0.145286,,124.6,,26.4
48,0.1485,,125,,26.4
49,0.151657,,125.333,,26.4
50,0.154813,,125.667,,26.4
51,0.15797,,126,,26.4
52,0.161127,,126.333,,26.4
53,0.164283,,126.667,,26.4
54,0.16744,,127,,26.4
55,0.17075,,127,,26.48
56,0.17406,,127,,26.56
57,0.17737,,127,,26.64
58,0.18068,,127,,26.72
59,0.18399,,127,,26.8
60,0.187124,,127.143,,26.7714
61,0.190259,,127.286,,26.7429
62,0.193393,,127.429,,26.7143
63,0.196527,,127.571,,26.6857
64,0.199661,,127.714,,26.6571
65,0.202796,,127.857,,26.6286
66,0.20593,,128,,26.6
67,0.20896,,128,,26.6
68,0.212141,,128,,26.6
69,0.215323,,128,,26.6
70,0.218504,,128,,26.6
71,0.221686,,128,,26.6
72,0.224867,,128,,26.6
73,0.228049,,128,,26.6
74,0.23123,,128,,26.6
75,0.23451,,128,,26.6
76,0.237778,,128.167,,26.5333
77,0.241047,,128.333,,26.4667
78,0.244315,,128.5,,26.4
79,0.247583,,128.667,,26.3333
80,0.250852,,128.833,,26.2667
81,0.25412,,129,,26.2
82,0.257451,,129,,26.1429
83,0.260783,,129,,26.0857
84,0.264114,,129,,26.0286
85,0.267446,,129,,25.9714
86,0.270777,,129,,25.9143
87,0.274109,,129,,25.8571
88,0.27744,,129,,25.8
89,0.280757,,128.857,,25.6857
90,0.284074,,128.714,,25.5714
91,0.287391,,128.571,,25.4571
92,0.290709,,128.429,,25.3429
93,0.294026,,128.286,,25.2286
94,0.297343,,128.143,,25.1143
95,0.30066,,128,,25
96,0.303896,,127.714,,24.9429
97,0.307131,,127.429,,24.8857
98,0.310367,,127.143,,24.8286
99,0.313603,,126.857,,24.7714
100,0.316839,,126.571,,24.7143
101,0.320074,,126.286,,24.6571
102,0.32331,,126,,24.6
103,0.32667,,125.833,,24.5333
104,0.33003,,125.667,,24.4667
105,0.33339,,125.5,,24.4
106,0.33675,,125.333,,24.3333
107,0.34011,,125.167,,24.2667
108,0.34347,,125,,24.2
109,0.346808,,125.167,,24.1333
110,0.350147,,125.333,,24.0667
111,0.353485,,125.5,,24
112,0.356823,,125.667,,23.9333
113,0.360162,,125.833,,23.8667
114,0.3635,,126,,23.8
115,0.36678,,126,,23.8
116,0.370086,,126,,23.76
117,0.373392,,126,,23.72
118,0.376698,,126,,23.68
119,0.380004,,126,,23.64
120,0.38331,,126,,23.6
121,0.386176,,126.2,,23.56
122,0.389042,,126.4,,23.52
