secs,km,power,hr,cad,alt
0,0,,85,,0
1,0.00419,,90,,-0.2
2,0.00755,,91,,-0.4
3,0.01324,,95,,-0.4
4,0.01759,,96,,-0.4
5,0.02171,,97,,-0.4
6,0.02451,,99,,-0.2
7,0.02733,,100,,0.2
8,0.0301,,101,,0.4
9,0.03302,,102,,0.8
10,0.03595,,102,,1.2
11,0.03933,,104,,1.8
12,0.04258,,104,,2.2
13,0.04604,,105,,2.6
14,0.0492,,106,,3
15,0.0522,,107,,3.2
16,0.05529,,109,,3.4
17,0.05845,,110,,3.6
18,0.06156,,112,,3.8
19,0.06454,,113,,3.8
20,0.06742,,115,,4
21,0.0703,,115,,4
22,0.07317,,114,,4
23,0.0759,,115,,4.2
24,0.07829,,114,,4.2
25,0.08052,,115,,4.4
26,0.08306,,115,,4.6
27,0.08606,,117,,4.8
28,0.08879,,118,,4.8
29,0.09162,,118,,5
30,0.09357,,119,,5
31,0.09566,,120,,5.4
32,0.09777,,121,,5.6
33,0.0998,,122,,5.6
34,0.10216,,123,,6
35,0.10459,,122,,6
36,0.10699,,125,,6.2
37,0.10962,,126,,6.4
38,0.11181,,126,,6.6
39,0.11413,,127,,7
40,0.11671,,127,,7.2
41,0.11914,,128,,7.4
42,0.12153,,129,,7.6
43,0.12408,,130,,7.8
44,0.12673,,130,,8.2
45,0.12969,,129,,8.6
46,0.13263,,128,,9
47,0.1357,,129,,9.2
48,0.13875,,131,,9.6
49,0.14161,,132,,9.8
50,0.14454,,133,,10.2
51,0.14756,,132,,10.4
52,0.15037,,132,,10.6
53,0.15312,,132,,10.8
54,0.15578,,131,,11
55,0.1585,,132,,11.2
56,0.1614,,131,,11.4
57,0.16425,,132,,11.6
58,0.16698,,133,,11.8
59,0.16964,,133,,11.8
60,0.17203,,133,,12
61,0.1743,,133,,12
62,0.17658,,133,,12
63,0.17864,,133,,12
64,0.18061,,134,,12
65,0.18243,,134,,12
66,0.18444,,133,,12
67,0.18624,,133,,12
68,0.18757,,135,,12
69,0.18907,,135,,12.2
70,0.19111,,136,,12.2
71,0.19364,,136,,12.2
72,0.19704,,139,,12.4
73,0.20062,,139,,12.6
74,0.20374,,140,,12.6
75,0.20668,,142,,12.6
76,0.20993,,141,,12.8
77,0.21332,,143,,13
78,0.21628,,142,,13.2
79,0.21934,,143,,13.4
80,0.22282,,143,,13.6
81,0.22615,,143,,13.8
82,0.22944,,144,,14
83,0.2325,,144,,14.2
84,0.23564,,144,,14.4
85,0.23874,,144,,14.4
86,0.24177,,145,,14.4
87,0.24489,,145,,14.6
88,0.248,,144,,14.8
89,0.2511,,145,,15
90,0.25431,,145,,15
91,0.25751,,144,,14.8
92,0.2603,,144,,14.8
93,0.2632,,143,,14.6
94,0.26613,,144,,14.6
95,0.26898,,145,,14.6
96,0.27189,,147,,14.6
97,0.27485,,149,,14.6
98,0.27787,,148,,14.8
99,0.28082,,148,,15
100,0.28384,,149,,15
101,0.28681,,149,,15
102,0.28963,,149,,15
103,0.29233,,150,,15.2
104,0.29501,,152,,15.2
105,0.29767,,151,,15.4
106,0.30026,,150,,15.4
107,0.30296,,150,,15.6
108,0.30562,,150,,15.6
109,0.30826,,149,,15.6
110,0.3104,,148,,15.8
111,0.31241,,150,,15.8
112,0.31459,,150,,16
113,0.31677,,150,,16.2
114,0.31866,,150,,16.4
115,0.32052,,150,,16.4
116,0.32266,,150,,16.4
117,0.32503,,150,,16.6
118,0.32755,,150,,16.2
119,0.33027,,150,,15.8
120,0.33273,,150,,15.2
121,0.33569,,150,,15
122,0.33872,,151,,15
123,0.34193,,151,,15
124,0.34528,,151,,15
125,0.34851,,151,,14.8
126,0.35141,,150,,14.6
127,0.35367,,150,,14.6
128,0.35607,,151,,14.6
129,0.35839,,150,,14.6
130,0.36074,,150,,14.6
131,0.36301,,151,,14.8
132,0.36545,,151,,14.4
133,0.36793,,151,,14.2
134,0.37024,,149,,13.8
135,0.37244,,149,,13.6
136,0.37467,,150,,13.6
137,0.37728,,152,,13.6
138,0.37984,,152,,13.6
139,0.38281,,152,,13.6
140,0.38584,,151,,13.4
141,0.38877,,151,,13
142,0.39207,,151,,12.6
143,0.39535,,151,,12.6
144,0.39854,,150,,12.4
145,0.40142,,151,,12.4
146,0.40405,,151,,12.2
147,0.40652,,150,,12
148,0.40894,,150,,11.8
149,0.41168,,150,,11.4
150,0.41449,,150,,11
151,0.41711,,150,,10.8
152,0.41998,,150,,10.6
153,0.42293,,148,,10.2
154,0.42561,,148,,10
155,0.42825,,149,,10
156,0.4308,,149,,9.8
157,0.43366,,150,,9.6
158,0.43706,,149,,9.4
159,0.44087,,149,,9
160,0.44473,,150,,8.6
161,0.44833,,148,,8.4
162,0.452,,150,,8.2
163,0.45538,,151,,8
164,0.45844,,149,,7.8
165,0.46144,,150,,7.6
166,0.46476,,151,,7.4
167,0.46779,,151,,7.2
168,0.47094,,150,,7
169,0.47424,,149,,6.8
170,0.47753,,148,,6.8
171,0.48071,,148,,6.8
172,0.48378,,150,,6.6
173,0.48658,,149,,6.6
174,0.48928,,149,,6.4
175,0.49176,,147,,6.2
176,0.49444,,146,,6.2
177,0.49738,,148,,6.2
178,0.50073,,150,,6.6
179,0.50413,,150,,6.4
180,0.50748,,150,,6.4
181,0.51079,,150,,6.2
182,0.51394,,151,,6.2
183,0.51705,,150,,6.2
184,0.52021,,150,,6
185,0.52336,,149,,6.2
186,0.52663,,150,,6.2
187,0.5298,,151,,6.2
188,0.53287,,152,,6.2
189,0.53593,,152,,6.2
190,0.53894,,151,,6.4
191,0.54195,,153,,6.4
192,0.54471,,153,,6.6
193,0.54767,,153,,6.6
194,0.55049,,151,,6.4
195,0.55327,,151,,6.6
196,0.55623,,151,,6.6
197,0.55915,,152,,6.6
198,0.56221,,154,,6.6
199,0.56536,,154,,6.8
200,0.56854,,153,,6.8
201,0.57159,,153,,6.8
202,0.57448,,152,,6.8
203,0.57734,,153,,7
204,0.58009,,152,,7.2
205,0.58273,,152,,7.6
206,0.58542,,153,,8
207,0.58803,,152,,8.2
208,0.59064,,152,,8.4
209,0.59311,,152,,8.4
210,0.59571,,152,,8.4
211,0.59838,,150,,8.4
212,0.60105,,151,,8.4
213,0.60356,,151,,8.2
214,0.60565,,151,,8.2
215,0.60734,,150,,8
216,0.60913,,150,,7.8
217,0.61114,,150,,7.6
218,0.61333,,152,,7.4
219,0.61561,,152,,7.2
220,0.61815,,152,,7
221,0.62053,,150,,6.8
222,0.6227,,148,,6.8
223,0.62472,,150,,6.6
224,0.62642,,149,,6.6
225,0.62822,,150,,6.4
226,0.63044,,151,,6.2
227,0.63288,,151,,6.2
228,0.63568,,151,,6
229,0.63829,,151,,5.8
230,0.64102,,151,,5.6
231,0.64354,,152,,5.4
232,0.64589,,152,,5.2
233,0.6477,,151,,5.2
234,0.64921,,153,,5
235,0.65106,,154,,5
236,0.65341,,154,,5
237,0.65552,,153,,5
238,0.65786,,153,,5.2
239,0.66033,,152,,5.2
240,0.66269,,153,,5.2
241,0.66537,,152,,5.4
242,0.66815,,153,,5.4
243,0.67113,,154,,5.4
244,0.67441,,154,,5.6
245,0.67742,,154,,5.6
246,0.68032,,154,,6
247,0.68338,,155,,6.2
248,0.68606,,155,,6.4
249,0.68869,,154,,6.8
250,0.69081,,155,,6.6
251,0.69279,,153,,6.6
252,0.69415,,155,,6.6
253,0.69611,,154,,6.2
254,0.69855,,153,,6.2
255,0.70141,,154,,6.2
256,0.70446,,155,,6.2
257,0.70767,,156,,6.2
258,0.71097,,156,,6
259,0.71441,,156,,6
260,0.71767,,156,,6
261,0.7211,,157,,5.8
262,0.72431,,157,,5.8
263,0.72731,,156,,5.6
264,0.73023,,156,,5.6
265,0.73298,,156,,5.6
266,0.7357,,156,,5.6
