secs,km,power,hr,cad,alt
0,0,,93,,122.6
1,0.00237,,93,,122.6
2,0.00447,,94,,122.5
3,0.00657,,95,,122.4
4,0.00867,,96,,122.3
5,0.01077,,97,,122.2
6,0.012725,,98.5,,122.1
7,0.01468,,100,,122
8,0.01591,,101,,121.933
9,0.01714,,102,,121.867
10,0.01837,,103,,121.8
11,0.01983,,104.5,,121.7
12,0.02129,,106,,121.6
13,0.02354,,106.333,,121.533
14,0.02579,,106.667,,121.467
15,0.02804,,107,,121.4
16,0.03029,,107.333,,121.333
17,0.03254,,107.667,,121.267
18,0.03479,,108,,121.2
19,0.03704,,108.333,,121.133
20,0.03929,,108.667,,121.067
21,0.04154,,109,,121
22,0.043679,,109.2,,120.92
23,0.045818,,109.4,,120.84
24,0.047957,,109.6,,120.76
25,0.050096,,109.8,,120.68
26,0.052235,,110,,120.6
27,0.054374,,110.2,,120.52
28,0.056513,,110.4,,120.44
29,0.058652,,110.6,,120.36
30,0.060791,,110.8,,120.28
31,0.06293,,111,,120.2
32,0.064025,,111.5,,120.2
33,0.06512,,112,,120.2
34,0.0666233,,113,,120.133
35,0.0681267,,114,,120.067
36,0.06963,,115,,120
37,0.0719229,,115.429,,119.914
38,0.0742157,,115.857,,119.829
39,0.0765086,,116.286,,119.743
40,0.0788014,,116.714,,119.657
41,0.0810943,,117.143,,119.571
42,0.0833871,,117.571,,119.486
43,0.08568,,118,,119.4
44,0.08693,,119,,119.4
45,0.088605,,120,,119.4
46,0.09028,,121,,119.4
47,0.092386,,121.6,,119.44
48,0.094492,,122.2,,119.48
49,0.096598,,122.8,,119.52
50,0.098704,,123.4,,119.56
51,0.10081,,124,,119.6
52,0.103179,,124.429,,119.657
53,0.105547,,124.857,,119.714
54,0.107916,,125.286,,119.771
55,0.110284,,125.714,,119.829
56,0.112653,,126.143,,119.886
57,0.115021,,126.571,,119.943
58,0.11739,,127,,120
59,0.119763,,127,,120.067
60,0.122137,,127,,120.133
61,0.12451,,127,,120.2
62,0.126883,,127,,120.267
63,0.129257,,127,,120.333
64,0.13163,,127,,120.4
65,0.134003,,127,,120.467
66,0.136377,,127,,120.533
67,0.13875,,127,,120.6
68,0.140193,,127.083,,120.633
69,0.141637,,127.167,,120.667
70,0.14308,,127.25,,120.7
71,0.144523,,127.333,,120.733
72,0.145967,,127.417,,120.767
73,0.14741,,127.5,,120.8
74,0.148853,,127.583,,120.833
75,0.150297,,127.667,,120.867
76,0.15174,,127.75,,120.9
77,0.153183,,127.833,,120.933
78,0.154627,,127.917,,120.967
79,0.15607,,128,,121
80,0.157453,,128.333,,120.933
81,0.158837,,128.667,,120.867
82,0.16022,,129,,120.8
83,0.163768,,128.667,,120.733
84,0.167317,,128.333,,120.667
85,0.170865,,128,,120.6
86,0.174413,,127.667,,120.533
87,0.177962,,127.333,,120.467
88,0.18151,,127,,120.4
89,0.18518,,127,,120.233
90,0.18885,,127,,120.067
91,0.19252,,127,,119.9
92,0.19619,,127,,119.733
93,0.19986,,127,,119.567
94,0.20353,,127,,119.4
95,0.206207,,127,,119.3
96,0.208885,,127,,119.2
97,0.211562,,127,,119.1
98,0.21424,,127,,119
99,0.216918,,127,,118.9
100,0.219595,,127,,118.8
101,0.222273,,127,,118.7
102,0.22495,,127,,118.6
103,0.227371,,127.111,,118.556
104,0.229792,,127.222,,118.511
105,0.232213,,127.333,,118.467
106,0.234634,,127.444,,118.422
107,0.237056,,127.556,,118.378
108,0.239477,,127.667,,118.333
109,0.241898,,127.778,,118.289
110,0.244319,,127.889,,118.244
111,0.24674,,128,,118.2
112,0.249415,,127.625,,118.175
113,0.25209,,127.25,,118.15
114,0.254765,,126.875,,118.125
115,0.25744,,126.5,,118.1
116,0.260115,,126.125,,118.075
117,0.26279,,125.75,,118.05
118,0.265465,,125.375,,118.025
119,0.26814,,125,,118
120,0.272164,,124.6,,118
121,0.276188,,124.2,,118
122,0.280212,,123.8,,118
123,0.284236,,123.4,,118
124,0.28826,,123,,118
125,0.289775,,122.5,,118
126,0.29129,,122,,118
127,0.293171,,122.429,,118
128,0.295053,,122.857,,118
129,0.296934,,123.286,,118
130,0.298816,,123.714,,118
131,0.300697,,124.143,,118
132,0.302579,,124.571,,118
133,0.30446,,125,,118
134,0.30524,,126,,118
135,0.30602,,127,,118
136,0.3068,,128,,118
137,0.308068,,128.125,,118.012
138,0.309336,,128.25,,118.025
139,0.310604,,128.375,,118.037
140,0.311873,,128.5,,118.05
141,0.313141,,128.625,,118.062
142,0.314409,,128.75,,118.075
143,0.315677,,128.875,,118.087
144,0.316945,,129,,118.1
145,0.318213,,129.125,,118.112
146,0.319481,,129.25,,118.125
147,0.320749,,129.375,,118.137
148,0.322017,,129.5,,118.15
149,0.323286,,129.625,,118.162
150,0.324554,,129.75,,118.175
151,0.325822,,129.875,,118.187
152,0.32709,,130,,118.2
153,0.329163,,129.9,,118.22
154,0.331236,,129.8,,118.24
155,0.333309,,129.7,,118.26
156,0.335382,,129.6,,118.28
157,0.337455,,129.5,,118.3
158,0.339528,,129.4,,118.32
159,0.341601,,129.3,,118.34
160,0.343674,,129.2,,118.36
161,0.345747,,129.1,,118.38
162,0.34782,,129,,118.4
163,0.349541,,129,,118.417
164,0.351262,,129,,118.433
165,0.352982,,129,,118.45
166,0.354703,,129,,118.467
167,0.356424,,129,,118.483
168,0.358145,,129,,118.5
169,0.359866,,129,,118.517
170,0.361587,,129,,118.533
171,0.363307,,129,,118.55
172,0.365028,,129,,118.567
173,0.366749,,129,,118.583
174,0.36847,,129,,118.6
175,0.371305,,128.75,,118.65
176,0.37414,,128.5,,118.7
177,0.376975,,128.25,,118.75
178,0.37981,,128,,118.8
179,0.382645,,127.75,,118.85
180,0.38548,,127.5,,118.9
181,0.388315,,127.25,,118.95
182,0.39115,,127,,119
183,0.393279,,126.9,,119.02
184,0.395408,,126.8,,119.04
185,0.397537,,126.7,,119.06
186,0.399666,,126.6,,119.08
187,0.401795,,126.5,,119.1
188,0.403924,,126.4,,119.12
189,0.406053,,126.3,,119.14
190,0.408182,,126.2,,119.16
191,0.410311,,126.1,,119.18
192,0.41244,,126,,119.2
193,0.414722,,126,,119.16
194,0.417004,,126,,119.12
195,0.419286,,126,,119.08
196,0.421568,,126,,119.04
197,0.42385,,126,,119
198,0.425819,,126,,119.055
199,0.427788,,126,,119.109
200,0.429757,,126,,119.164
201,0.431726,,126,,119.218
202,0.433695,,126,,119.273
203,0.435665,,126,,119.327
204,0.437634,,126,,119.382
205,0.439603,,126,,119.436
206,0.441572,,126,,119.491
207,0.443541,,126,,119.545
208,0.44551,,126,,119.6
209,0.447368,,126.2,,119.64
210,0.449226,,126.4,,119.68
211,0.451084,,126.6,,119.72
212,0.452942,,126.8,,119.76
213,0.4548,,127,,119.8
214,0.457163,,127,,119.778
215,0.459527,,127,,119.756
216,0.46189,,127,,119.733
217,0.464253,,127,,119.711
218,0.466617,,127,,119.689
219,0.46898,,127,,119.667
220,0.471343,,127,,119.644
221,0.473707,,127,,119.622
222,0.47607,,127,,119.6
223,0.478829,,127.125,,119.475
224,0.481588,,127.25,,119.35
225,0.484346,,127.375,,119.225
226,0.487105,,127.5,,119.1
227,0.489864,,127.625,,118.975
