secs,km,power,hr,cad,alt
0,0,,82,,195.8
1,0,,85,,196
2,0.00457,,86,,196
3,0.0091,,89,,196
4,0.01419,,90,,196
5,0.01775,,93,,196.2
6,0.0212,,96,,196.2
7,0.0253,,99,,196.2
8,0.0292,,102,,196.2
9,0.03308,,104,,196.4
10,0.03665,,106,,196.4
11,0.03998,,108,,196.2
12,0.04336,,110,,196.2
13,0.04391,,112,,196.4
14,0.05233,,114,,196.2
15,0.05605,,116,,196.2
16,0.05989,,117,,196.2
17,0.06387,,119,,196.2
18,0.06708,,120,,196.2
19,0.07089,,121,,196.2
20,0.07457,,122,,196.2
21,0.07829,,123,,196.2
22,0.08236,,124,,196.2
23,0.08644,,125,,196.2
24,0.08983,,126,,196.2
25,0.09321,,126,,196.2
26,0.09684,,127,,196.4
27,0.10093,,127,,196.4
28,0.10478,,127,,196.4
29,0.10854,,127,,196.2
30,0.11193,,128,,196.2
31,0.1146,,128,,196.2
32,0.11772,,129,,196.2
33,0.12156,,129,,196.2
34,0.12587,,130,,196.2
35,0.1296,,130,,196.2
36,0.13308,,130,,196.2
37,0.13308,,131,,196.2
38,0.13958,,131,,196
39,0.14253,,132,,196
40,0.14498,,133,,196
41,0.14815,,133,,196
42,0.1512,,134,,196
43,0.15451,,134,,196
44,0.15776,,134,,196
45,0.161,,134,,196
46,0.16344,,134,,196
47,0.16514,,135,,196
48,0.16809,,135,,196
49,0.17114,,136,,196
50,0.17369,,136,,196
51,0.17611,,136,,196
52,0.17857,,137,,196
53,0.18137,,137,,196
54,0.18478,,138,,196
55,0.18835,,138,,195.8
56,0.19111,,139,,195.8
57,0.19426,,139,,195.8
58,0.19682,,139,,195.8
59,0.19901,,139,,195.8
60,0.20108,,140,,195.8
61,0.20408,,140,,195.8
62,0.20759,,141,,195.8
63,0.20994,,141,,195.8
64,0.21245,,142,,195.8
65,0.21506,,142,,195.8
66,0.21725,,143,,195.8
67,0.22061,,143,,195.6
68,0.22361,,144,,195.6
69,0.22601,,144,,195.6
70,0.22933,,145,,195.6
71,0.2325,,145,,195.6
72,0.23558,,145,,195.6
73,0.23867,,146,,195.6
74,0.24102,,146,,195.6
75,0.24405,,146,,195.6
76,0.24704,,146,,195.6
77,0.25029,,146,,195.6
78,0.25289,,147,,195.6
79,0.25563,,147,,195.6
80,0.25825,,148,,195.6
81,0.26062,,148,,195.6
82,0.26303,,148,,195.6
83,0.26527,,149,,195.6
84,0.26855,,149,,195.6
85,0.27153,,149,,195.6
86,0.2742,,149,,195.6
87,0.27696,,149,,195.6
88,0.27995,,149,,195.6
89,0.28271,,149,,195.6
90,0.2859,,149,,195.6
91,0.28914,,148,,195.6
92,0.2925,,148,,195.6
93,0.29487,,148,,195.6
94,0.29784,,148,,195.6
95,0.30126,,148,,195.6
96,0.3055,,148,,195.6
97,0.30931,,148,,195.6
98,0.3121,,148,,195.6
99,0.3153,,148,,195.6
100,0.31817,,148,,195.6
101,0.32119,,148,,195.6
102,0.32413,,148,,195.6
103,0.32725,,149,,195.6
104,0.33051,,149,,195.6
105,0.33347,,149,,195.6
106,0.3358,,149,,195.6
